symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.1829918297,5.13445780758e-06,0.0796970540892
Fife,0.0,7.0460724455,5.13445780758e-06,0.0796970540892
CG33639,5.35617780707,0.0,7.09569794446e-06,0.110139423494
PVRAP,8.22135194736,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.07867344567,7.09569794446e-06,0.110139423494
C15,9.6832135959,0.0,7.09569794446e-06,0.110139423494
CG7985,0.0,8.98693546818,9.33764556343e-06,0.144938934436
Cbp53E,0.466652846343,11.1953952118,1.59244638206e-05,0.247179527424
CG42342,5.81065754442,10.0020596788,1.75893739454e-05,0.27302226238
CG2082,12.1756155132,9.28867386639,1.82210136462e-05,0.282826573817
CG43729,10.9606927474,8.60275630169,1.82922767695e-05,0.283932720016
fru,0.0,7.18053366596,1.87923035691e-05,0.291694136
bru-3,6.39666329555,0.0,1.88171500287e-05,0.292079802745
CG31221,9.51045809229,3.75190181063,2.2595776672e-05,0.350731645504
CG14762,11.2244275373,8.64000954371,2.34743628248e-05,0.364369059766
rdgC,6.88174590034,9.89222029227,2.9587322254e-05,0.459254416027
Cow,7.11195810832,9.61064141863,3.0028801484e-05,0.466107056635
CG15537,10.9346375748,9.36672250494,3.0028801484e-05,0.466107056635
CG30089,7.39407741489,0.0,3.03089062316e-05,0.470454842527
CG42541,7.80330673751,0.0,3.03089062316e-05,0.470454842527
DIP-eta,0.0,8.71382755762,4.50342179868e-05,0.699021131592
CG1402,6.59784621734,0.0,4.50342179868e-05,0.699021131592
sesB,12.0245818572,12.4065405388,4.86728378236e-05,0.755499788697
nAChRalpha2,9.08981379349,10.6234923437,6.1672877202e-05,0.957286399929
Rbp9,7.88956040959,9.1713266731,6.1672877202e-05,0.957286399929
CG9940,6.08514301884,0.0,6.2654363942e-05,0.972521037107
Irk1,0.0,7.11001311203,6.2654363942e-05,0.972521037107
klg,5.49561413354,8.73916539722,0.000121576208476,1.88710590796
CG9531,8.33146465941,9.83202203574,0.000123103116411,1.91080657294
caup,5.43525744626,0.0,0.000148206009967,2.30045368671
CG31997,7.16484992999,9.22163971546,0.000149416648845,2.31924522337
PlexA,5.8213260106,0.0,0.000191695863289,2.97550318997
CG31760,0.0,6.51173506633,0.000191695863289,2.97550318997
hth,9.21409576925,10.5783388017,0.000192101013517,2.98179193182
Ktl,9.65976702489,11.2190749453,0.000192101013517,2.98179193182
Hsp70Bb,6.35727109138,7.21495851004,0.000192101013517,2.98179193182
NnaD,0.0,6.46431477284,0.00019433835008,3.01651986994
CG1358,0.0,8.9503404586,0.000202898452929,3.14938978637
mCD8-GFP,11.9599203015,12.7225570425,0.000238840864478,3.70728789844
pros,10.1121559058,9.25752075441,0.000238840864478,3.70728789844
apt,0.0,8.33676929531,0.000318096176154,4.93748884626
dpr18,8.13017672651,0.0,0.000376532512733,5.84453766264
CG42747,8.23490825392,0.0,0.000401100451324,6.22588120545
CG1537,0.0,6.46721360598,0.000401100451324,6.22588120545
Hsp67Bc,10.4662950466,8.11807963882,0.000449304376389,6.9741025303
rgn,7.50932657558,9.43259370158,0.00045046779818,6.99216116335
CG13293,7.09237252121,0.0,0.000494091150955,7.66928284512
dpr15,0.0,7.8934853003,0.000505276606553,7.84290348691
acj6,5.19216836845,0.0,0.000542166280837,8.41550501115
CG13759,7.07831467652,0.0,0.000542166280837,8.41550501115
Gbeta13F,10.8165031952,9.98481932899,0.00055308909204,8.58504888665
qkr58E-3,7.94539586219,0.0,0.000608105492195,9.43901344985
Sulf1,6.93774440458,0.0,0.000614632174771,9.5403206168
TFAM,0.0,4.27061589985,0.000634034528259,9.84148394764
RhoGAP100F,7.07736242455,0.0,0.000673809488881,10.4588708864
nAChRalpha1,0.0,5.36618361434,0.000722323516879,11.211905629
Msp300,8.78758348768,4.35639556257,0.000818314149943,12.7018722354
Tomosyn,8.93520043566,10.2158641764,0.000826019728117,12.8214782198
CG7781,11.2739403167,11.7029345323,0.000826019728117,12.8214782198
lbk,0.0,7.17387141992,0.000919774599492,14.2767413333
pgant2,6.88379295583,0.0,0.000924738753125,14.353794926
dpr8,7.91171861923,5.50596232591,0.00100248323755,15.5605448133
Argk,12.1498764295,11.6073915,0.00100475242783,15.5957671848
Gpdh,8.56129587638,10.0374815895,0.00100475242783,15.5957671848
CG3662,11.9522040336,12.3951196861,0.00100475242783,15.5957671848
ppl,0.0,6.81912163141,0.0010139646038,15.7387585801
CR43481,0.0,2.44901773535,0.00113640233548,17.6392370513
bol,8.61758425104,6.99628088944,0.00121571023979,18.870254342
CTPsyn,5.73619243717,0.0,0.00126291265293,19.6029301988
cpb,7.04379350997,0.0,0.00139888360254,21.7134712786
CG30463,0.0,4.7710841803,0.00142779274305,22.1621989576
CG9896,0.0,1.91709202159,0.00142779274305,22.1621989576
CG13288,0.0,2.18811476219,0.00142779274305,22.1621989576
CG7601,0.0,1.22093301758,0.00142779274305,22.1621989576
dpa,0.0,3.02388757408,0.00142779274305,22.1621989576
CG10863,4.21857534609,0.0,0.00142779274305,22.1621989576
LIMK1,3.438915138,0.0,0.00142779274305,22.1621989576
Gr28b,5.31239207522,0.0,0.00142779274305,22.1621989576
IP3K2,0.0,7.64707290913,0.00142779274305,22.1621989576
beat-IIIb,8.0297179194,3.6231994898,0.00146044673523,22.6690542243
CG43324,9.62140899064,8.39944042535,0.00147282307527,22.8611597743
Ca-alpha1D,4.03523234387,7.11236812403,0.00158420443385,24.5900212222
CG3262,6.29930656189,0.0,0.00163600897563,25.3941313198
CG31676,8.44278349164,10.6938886171,0.00176053230348,27.3269824146
GluClalpha,7.62807453946,9.40336156761,0.00177491931746,27.5502976456
CG32700,1.52456905249,8.35641934232,0.00179822645201,27.9120709882
CG13594,0.0,7.22454012606,0.0018610634418,28.8874267436
CG11317,0.0,6.21302102309,0.00194175002269,30.1398438521
Ptp99A,6.2303007193,3.17771137037,0.00211572035207,32.8402113049
ST6Gal,11.2421461559,9.90099588104,0.00213238245702,33.0988404978
hrg,6.17557767758,0.0,0.00237816800051,36.9139237038
CG6959,3.71832088073,0.0,0.00239300692391,37.1442534729
CG11985,5.86575942825,3.40656499277,0.00250604271143,38.8987949668
Ten-a,6.8927811949,5.76158762025,0.00254913889704,39.5677339598
CG31808,11.3405478894,11.9466676878,0.0025539527125,39.6424540034
RpL23A,9.28986433807,8.71570535616,0.0025539527125,39.6424540034
CG32225,9.39494272205,10.1582745205,0.0025539527125,39.6424540034
Tsp42Ek,2.03667004391,7.34993366387,0.00278664517827,43.2543064571
twit,0.0,8.94912553564,0.00291155513335,45.1931587799
Dscam4,8.69789635108,2.35068639986,0.00293985221537,45.632386087
Nrx-1,8.00303766288,2.95026743287,0.00293985221537,45.632386087
CG43737,8.85597342635,6.03090835308,0.0030273744898,46.9909068306
dpr1,5.58275263999,0.0,0.00307529397712,47.7347131128
Ostgamma,0.0,7.36443680707,0.00319987388694,49.6684424731
mRpS34,0.0,6.55331714436,0.00319987388694,49.6684424731
CngA,0.0,0.71614307618,0.00352705120034,54.7468887317
DIP-delta,0.74162923505,0.0,0.00352705120034,54.7468887317
PIG-S,0.0,2.42971682561,0.00352705120034,54.7468887317
Tsp29Fb,0.58479173419,0.0,0.00352705120034,54.7468887317
CG3808,0.0,2.05293973855,0.00352705120034,54.7468887317
Vps29,0.0,2.08158407225,0.00352705120034,54.7468887317
CG13630,1.3455302856,0.0,0.00352705120034,54.7468887317
nAChRalpha5,8.36957535482,6.35716637429,0.00356688708755,55.3652213729
Karybeta3,0.0,5.52944666818,0.00359044554028,55.7308956763
CCKLR-17D3,7.22022289908,0.0,0.00359044554028,55.7308956763
CG5590,0.0,4.87886262581,0.00359044554028,55.7308956763
CG1307,8.43181317253,7.50121127413,0.00362364234065,56.2461764115
RpL8,9.00393312719,7.49942394594,0.00362364234065,56.2461764115
nmo,9.58919545371,8.4570463971,0.0036299774941,56.3445106633
Glut1,9.11085834426,9.80856171252,0.0036299774941,56.3445106633
DCP1,0.0,5.66000957688,0.00364894251992,56.6388857942
CG2701,6.67779499268,0.0,0.00364894251992,56.6388857942
ara,4.2949435402,0.0,0.00364894251992,56.6388857942
Ef1alpha48D,3.91022392379,8.3112821325,0.00372253114903,57.7811284952
Invadolysin,5.09057152869,0.0,0.00373444360938,57.9660337047
Mob3,6.18596677442,0.0,0.00374224898317,58.0871887168
CG13248,7.82716699451,0.0,0.00383068638571,59.4599140789
CG9705,0.0,7.12896419677,0.00383068638571,59.4599140789
CG8031,7.68405606963,0.0,0.0040621522325,63.0527269528
Hsp67Ba,0.0,6.03282909483,0.0041336439511,64.162421409
Rpn1,4.81733743238,8.75899382754,0.00416441879531,64.6401085409
Rbp,7.98903816918,5.46023271323,0.0042357913158,65.7479528038
Pax,8.3188149055,9.61116937949,0.00430777905941,66.8653465602
Atpalpha,14.5119875205,14.7214669413,0.00430777905941,66.8653465602
Qtzl,6.04103898365,0.471320343767,0.00442947100501,68.7542489398
KdelR,0.0,5.66724939881,0.00450661135093,69.9516213891
CG3104,0.0,1.83787033787,0.00451760512169,70.1222666989
CG2889,7.33071054592,0.0,0.00478027785591,74.1994728795
CG33229,0.0,7.26264685336,0.00494472589418,76.7520353295
Ggamma30A,8.8178796325,7.18156912637,0.00506374462822,78.5994441192
mod(mdg4),8.58453877524,7.08135970896,0.00509655249555,79.108687836
ATPsyngamma,11.507269851,11.993753975,0.00509655249555,79.108687836
Glut4EF,8.02187589394,6.524465275,0.00509655249555,79.108687836
CG7433,10.3545959095,10.9542385398,0.00509655249555,79.108687836
CG18769,7.46524284607,0.49070665653,0.00525425985974,81.5566215428
Sra-1,5.94908419645,0.0,0.00544425276621,84.5056914371
Hsp70Ba,0.0,1.20830653373,0.00545841288083,84.7254847362
trn,6.8538810786,0.0,0.00570910433234,88.6167174465
Ac76E,7.91201816022,0.0,0.00571579258186,88.7205324556
CG18135,3.63815983101,7.96492296332,0.00582677971481,90.4432747333
RpL30,6.64785634454,3.87792408934,0.00591876009522,91.8709941979
CG2246,9.56761307475,7.02840284922,0.00597427122471,92.7326379499
CG11050,7.80901745799,0.956541265935,0.00621296200904,96.4375963044
Aps,0.0,7.45821114466,0.0064436900087,100.018956315
CG1647,2.32239947634,0.0,0.0064649498014,100.348950817
cnir,6.0163148338,0.0,0.00653613018271,101.453812696
28SrRNA-Psi:CR45851,0.0,0.897100563118,0.00663282670479,102.954736112
CG4908,4.08834939679,0.0,0.00663282670479,102.954736112
CG6693,2.73364032602,0.0,0.00663282670479,102.954736112
Uba1,8.06609736121,0.0,0.00674805680549,104.743337735
CG4404,0.0,7.79377943106,0.00696973433282,108.184216314
Ddc,9.21125227006,10.3924814203,0.00706898472796,109.724780947
ATPCL,9.09147726877,10.584385685,0.00706898472796,109.724780947
ND-49,9.32090344446,10.0494149905,0.00706898472796,109.724780947
CG44153,6.32701468332,0.92175079496,0.00763910951658,118.574257916
CG45002,1.60833584634,7.33157086492,0.00763910951658,118.574257916
cyp33,5.83831400471,0.0,0.00770023265441,119.523011262
CG42673,5.45977944233,0.0,0.00770023265441,119.523011262
CG10418,0.0,3.4582042609,0.00781736611063,121.341156769
CG5674,4.04535421722,0.0,0.00781736611063,121.341156769
Usp16-45,0.0,2.73894153128,0.00802528727053,124.568509013
CG7841,0.0,1.82232120202,0.00802528727053,124.568509013
CG8401,0.0,0.919632862651,0.00802528727053,124.568509013
PAPLA1,3.40962926157,0.0,0.00802528727053,124.568509013
Sply,0.0,7.03371175774,0.00805893116142,125.090729488
Sap30,3.53904661765,0.0,0.00805893116142,125.090729488
CG5758,7.26127728438,0.0,0.00805893116142,125.090729488
CG3198,0.0,7.27382123026,0.00805893116142,125.090729488
EMC3,7.47913561434,0.0,0.00815814803603,126.630773815
l(2)k01209,8.33127730824,4.96389112003,0.0081700454027,126.815444741
ver,0.0,0.0,0.00823657790279,127.848162207
CG8641,0.0,0.0,0.00823657790279,127.848162207
CG13484,0.0,0.0,0.00823657790279,127.848162207
CG8152,0.0,0.0,0.00823657790279,127.848162207
Gpi1,0.0,0.0,0.00823657790279,127.848162207
CR45674,0.0,0.0,0.00823657790279,127.848162207
CG10384,0.0,0.0,0.00823657790279,127.848162207
CG1792,0.0,0.0,0.00823657790279,127.848162207
DIP-gamma,0.0,0.0,0.00823657790279,127.848162207
Dop1R2,0.0,0.0,0.00823657790279,127.848162207
GILT3,0.0,0.0,0.00823657790279,127.848162207
CG11539,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
CG14995,0.0,0.0,0.00823657790279,127.848162207
DIP-beta,0.0,0.0,0.00823657790279,127.848162207
mgl,0.0,0.0,0.00823657790279,127.848162207
Bka,0.0,0.0,0.00823657790279,127.848162207
GstE4,0.0,0.0,0.00823657790279,127.848162207
CG42313,0.0,0.0,0.00823657790279,127.848162207
CR43826,0.0,0.0,0.00823657790279,127.848162207
tsh,0.0,0.0,0.00823657790279,127.848162207
Cyp6a17,0.0,0.0,0.00823657790279,127.848162207
CG9650,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
CG32572,0.0,0.0,0.00823657790279,127.848162207
CG31633,0.0,0.0,0.00823657790279,127.848162207
CG10904,0.0,0.0,0.00823657790279,127.848162207
CG5039,0.0,0.0,0.00823657790279,127.848162207
CG17364,4.71684464918,0.0,0.0082400050643,127.901358608
Vha44,9.13849000009,10.3391630212,0.00828746337493,128.638006506
Rack1,8.50284293666,7.28063635559,0.00828746337493,128.638006506
CG10082,7.89988740409,3.22417529015,0.00883889186471,137.197279524
geminin,2.47609083707,0.0,0.00914149983987,141.894360514
CG31961,0.0,5.18591921847,0.00914149983987,141.894360514
ecd,5.03054108354,0.0,0.00931456777471,144.580720999
CG7506,0.0,6.69351589349,0.00931722324471,144.621939204
CG10137,8.10931526985,6.49498814978,0.00942455500723,146.287942822
ArgRS-m,0.903147847597,0.0,0.00966848626792,150.074243851
mt:ND3,0.0,0.882181214905,0.00966848626792,150.074243851
rho-4,0.0,0.9190681337,0.00966848626792,150.074243851
PCB,8.03929061428,9.08704136509,0.00967348688211,150.151863384
mt:ATPase6,10.5190096332,10.0195113583,0.0096866596658,150.356331332
CR41535,4.8701400996,4.61055565949,0.0096866596658,150.356331332
CG3257,10.5762485547,11.3488592017,0.0096866596658,150.356331332
rdgA,6.50142152245,4.43696968101,0.0096866596658,150.356331332
Apc,1.60833584634,0.0,0.00974606052132,151.278351412
CG5220,0.814189480655,0.0,0.00974606052132,151.278351412
CG8067,0.0,2.1909001307,0.00974606052132,151.278351412
