symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.1235614413,5.13445780758e-06,0.0796970540892
Fife,0.0,6.99859753546,5.13445780758e-06,0.0796970540892
C15,9.38229334298,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.22135194736,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.4749749606,5.13445780758e-06,0.0796970540892
Cbp53E,1.89485709334,11.1548271024,1.59244638206e-05,0.247179527424
apt,0.0,8.03194707829,1.60001094808e-05,0.248353699361
CG42342,6.61857644742,9.91472477608,1.80085268433e-05,0.279528353662
CG31221,9.63371275695,5.70914566301,1.82210136462e-05,0.282826573817
Cow,7.17548800625,9.82243325782,1.82922767695e-05,0.283932720016
fru,0.0,7.55464878101,1.87923035691e-05,0.291694136
CG31760,0.0,7.33063254965,1.87923035691e-05,0.291694136
CG33639,5.0630592749,0.0,1.87923035691e-05,0.291694136
CG42541,7.72505547116,0.0,1.87923035691e-05,0.291694136
caup,7.57998362772,0.0,1.87923035691e-05,0.291694136
CG9896,0.0,7.67654016095,1.87923035691e-05,0.291694136
CG7985,0.0,8.62958675339,1.87923035691e-05,0.291694136
CG43729,11.103736263,8.70853558677,3.0028801484e-05,0.466107056635
nAChRalpha2,9.02407329862,10.978787667,3.0028801484e-05,0.466107056635
CG30089,6.81611730996,0.0,3.03089062316e-05,0.470454842527
DIP-eta,0.0,8.76545242741,3.03089062316e-05,0.470454842527
dpr15,0.0,8.38347976516,3.92892831811e-05,0.609848253538
rdgC,6.88174590034,9.91494773454,4.79956184089e-05,0.744987988944
klg,6.00645363226,9.26676878635,4.85028584301e-05,0.752861368552
CG2082,12.1643446317,8.89074181858,6.1672877202e-05,0.957286399929
CG15537,10.8215918551,9.59235850229,7.78979465439e-05,1.20913192626
CG31997,0.0,9.54930916121,8.15947380484e-05,1.26651352399
CG1402,7.60420617468,0.0,0.000128393684088,1.99292676441
bru-3,6.58653081839,0.0,0.000151723321511,2.3550493965
acj6,5.44970148571,0.0,0.000191695863289,2.97550318997
Irk1,0.0,6.2794295752,0.000191695863289,2.97550318997
TSG101,8.29414803505,0.0,0.000252741572561,3.92305468928
CG14762,11.2244275373,9.42045071671,0.000296021072947,4.59483909429
CG31676,9.08585387243,10.5985098094,0.000361849544811,5.61662863455
Rbp9,7.75316699927,8.73549469523,0.000365740995907,5.67703173847
Hsp70Bb,5.75185276414,7.12930356448,0.00045046779818,6.99216116335
CCKLR-17D3,7.66220461997,0.0,0.000505276606553,7.84290348691
dpr6,6.96963961962,0.0,0.000542166280837,8.41550501115
CG42747,7.46775393678,0.0,0.000542166280837,8.41550501115
rgn,7.6571385064,9.45965262687,0.00055308909204,8.58504888665
Ac76E,7.5038019718,0.0,0.000599404297285,9.30395350247
twit,0.0,9.04786965273,0.000614632174771,9.5403206168
mCD8-GFP,11.2720056527,12.5506489425,0.000676970721546,10.5079395398
CG7414,9.33459981352,8.17922052241,0.000995695028697,15.4551782354
nmo,9.90981517782,7.975146563,0.00100475242783,15.5957671848
CG7646,9.33209307473,8.49793085345,0.00100475242783,15.5957671848
CG14853,2.31438332427,8.66486757101,0.00112748770879,17.5008642158
LeuRS-m,0.0,8.23655228931,0.00112880308385,17.5212814675
NnaD,0.0,5.90832418499,0.00113640233548,17.6392370513
Msp300,8.78758348768,4.60838305587,0.00120776019566,18.746853757
sesB,11.9966473642,12.4789584837,0.00121836740449,18.9114988526
Ktl,9.74796809079,11.0604223012,0.00121836740449,18.9114988526
Trs31,6.3189669338,0.0,0.00139888360254,21.7134712786
Gr28b,6.28779567849,0.0,0.00142779274305,22.1621989576
Gbs-76A,2.17173131533,0.0,0.00142779274305,22.1621989576
CG9323,1.38699867736,0.0,0.00142779274305,22.1621989576
CG6959,3.71832088073,0.0,0.00142779274305,22.1621989576
MsR1,0.0,7.63778926501,0.00142779274305,22.1621989576
CG13288,0.0,7.07874351477,0.00142779274305,22.1621989576
Hsp67Bc,10.723939011,8.7141984613,0.00146972308396,22.8130417092
Rpn1,2.89048936602,8.75899382754,0.00158420443385,24.5900212222
CG32225,9.39494272205,10.2717518291,0.00177491931746,27.5502976456
SdhC,9.08079587869,9.87057171458,0.00177491931746,27.5502976456
nAChRalpha1,0.0,6.52001578132,0.00179822645201,27.9120709882
CG45002,1.15991260765,7.65751790209,0.00190593953565,29.5839934724
CG34362,6.54389215648,0.0,0.00205903263078,31.960304495
NaPi-III,6.4665162977,8.99227770977,0.00212820989586,33.0340740036
RpL30,7.05580162113,5.06486212366,0.00212820989586,33.0340740036
