symbol,medianA,medianB,pvalue,pvalue_adj
C15,9.25825954803,0.0,5.13445780758e-06,0.0796970540892
CG30089,7.71418909569,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.16205913364,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.3468883168,5.13445780758e-06,0.0796970540892
CG42541,7.85297629609,0.0,5.13445780758e-06,0.0796970540892
CG33639,5.0630592749,0.0,1.22446437935e-05,0.190061360963
Fife,0.0,8.04455923597,1.87923035691e-05,0.291694136
caup,7.57998362772,0.0,1.87923035691e-05,0.291694136
CG2082,12.1496493374,8.87010829088,3.0028801484e-05,0.466107056635
DIP-eta,0.0,8.49360828638,3.03089062316e-05,0.470454842527
bru-3,6.58653081839,0.0,3.03089062316e-05,0.470454842527
CG31221,9.51045809229,2.75972617617,3.56123299774e-05,0.552774585909
CG42342,6.61890457634,9.6520251407,3.69333042231e-05,0.573278748152
klg,6.17225637731,9.1376152165,3.77436870141e-05,0.585857509833
trn,7.97707527449,0.0,3.92892831811e-05,0.609848253538
Cbp53E,0.0,11.16991737,3.98264953155e-05,0.618186860287
Ggamma30A,8.81444678787,0.473265365252,4.29865050075e-05,0.667236530727
apt,0.0,8.31518411625,5.78208106649e-05,0.897494623141
CG7985,0.0,9.08976652435,5.78208106649e-05,0.897494623141
Hsp70Bb,6.15926190752,7.3322581273,6.1672877202e-05,0.957286399929
CG31808,11.2730738276,11.9971090805,6.1672877202e-05,0.957286399929
IP3K2,0.0,7.87278764833,6.2654363942e-05,0.972521037107
fru,0.0,7.62957127054,6.2654363942e-05,0.972521037107
CG42339,0.0,9.35212976422,6.53070589699e-05,1.01369616933
CG33543,8.50671276372,10.2249679266,7.687377789e-05,1.19323478041
Cow,7.45322219356,9.37263652982,7.78979465439e-05,1.20913192626
mCD8-GFP,11.6122293344,13.0890889476,9.80807368533e-05,1.52240919744
CG4908,7.63372374008,0.0,0.000148206009967,2.30045368671
beat-IIIb,8.34077385763,2.11040436372,0.000173095085209,2.68678191261
CG11317,0.0,7.58597647341,0.000188639994557,2.92806999551
GV1,8.51985169305,0.0,0.000191695863289,2.97550318997
CG13288,0.0,7.80403233655,0.000191695863289,2.97550318997
CG9896,0.0,7.49275224548,0.000191695863289,2.97550318997
