symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.222369199,5.13445780758e-06,0.0796970540892
Fife,0.0,7.70998580885,5.13445780758e-06,0.0796970540892
CG42541,7.72505547116,0.0,7.09569794446e-06,0.110139423494
C15,9.71631137414,0.0,7.09569794446e-06,0.110139423494
PVRAP,8.34669180681,0.0,7.09569794446e-06,0.110139423494
CG42747,8.23490825392,0.0,7.09569794446e-06,0.110139423494
DIP-eta,0.0,8.65974689571,9.15336830931e-06,0.142078582897
CG30089,7.82455823116,0.0,9.15336830931e-06,0.142078582897
caup,7.81358742997,0.0,9.33764556343e-06,0.144938934436
CG33639,5.51812897522,0.0,1.19642080675e-05,0.185708437624
Cbp53E,0.0,11.1856336681,1.46238770616e-05,0.22699181975
CG42342,6.29909930193,9.70616958292,1.69078033979e-05,0.262442924342
CG14762,11.2900941878,8.7784704136,1.82922767695e-05,0.283932720016
CG43729,10.7581033876,8.85698184361,1.82922767695e-05,0.283932720016
CG15537,10.9346375748,9.18218045999,1.82922767695e-05,0.283932720016
nAChRalpha2,8.74872076765,10.8560608609,1.82922767695e-05,0.283932720016
bru-3,6.42731498741,0.0,2.02308250395e-05,0.314022866263
CG42339,0.0,9.57245030092,2.08338413307e-05,0.323382885135
CG2082,12.1222702792,8.91145435271,2.34743628248e-05,0.364369059766
klg,5.34914593016,8.8935788167,2.89345043e-05,0.449121375744
CG31221,9.36907760762,3.16862679413,3.69333042231e-05,0.573278748152
rdgC,6.06337607614,9.81905524433,3.69333042231e-05,0.573278748152
CG7985,0.0,8.62958675339,4.50342179868e-05,0.699021131592
Cow,7.17548800625,9.73309697242,4.86728378236e-05,0.755499788697
apt,0.0,8.04551005098,6.53782854001e-05,1.01480174598
nAChRalpha1,0.0,7.05117070128,0.000102961253475,1.59816457644
CG31997,5.70060916063,9.39164558952,0.000119311802124,1.85195779258
GluClalpha,7.62807453946,9.70919473675,0.000123103116411,1.91080657294
twit,0.0,9.86699361827,0.000132597583797,2.05817969569
ara,5.98979918777,0.0,0.000191695863289,2.97550318997
CG13288,0.0,7.39664864384,0.000191695863289,2.97550318997
fru,0.0,6.15548317165,0.000191695863289,2.97550318997
LIMK1,4.8243795661,0.0,0.000191695863289,2.97550318997
acj6,4.58889161601,0.0,0.000191695863289,2.97550318997
dpr15,0.0,7.60920380237,0.000191695863289,2.97550318997
CG9896,0.0,7.67654016095,0.000191695863289,2.97550318997
mRpS34,0.0,6.43690962762,0.000203467506621,3.15822263778
Ccn,0.0,8.04662084539,0.000245190061008,3.80584012697
bonsai,0.0,7.68104058368,0.000260993147107,4.05113562939
Glut4EF,8.31305441036,5.01699813246,0.000295206040972,4.58218816797
hth,9.44517887625,10.5477834113,0.000296021072947,4.59483909429
COX6B,9.21729309712,10.0653573443,0.000296021072947,4.59483909429
rgn,7.62261936144,9.40518739289,0.000296021072947,4.59483909429
pros,10.0142724615,9.11959762145,0.000296021072947,4.59483909429
CG8031,7.46979185273,0.0,0.000323022914551,5.01396167967
Mp,8.09380574797,2.60111102026,0.000356065705973,5.52685188811
CG14024,10.0264860299,8.64795134362,0.000364765459768,5.66188946651
Hsp70Bb,6.36590295228,7.19673611433,0.000365740995907,5.67703173847
DIP-theta,0.0,6.68515410894,0.000376532512733,5.84453766264
CR43481,0.0,2.19362412036,0.000401100451324,6.22588120545
NnaD,0.0,6.41202639751,0.000401100451324,6.22588120545
CG31808,11.3674091612,12.0058207651,0.00045046779818,6.99216116335
Ktl,9.8584591692,11.0999559693,0.00045046779818,6.99216116335
plum,6.44479766644,0.0,0.000468514203725,7.27227747022
CG1358,0.0,9.0634959554,0.0004791681021,7.43764728079
Gr28b,7.41885541696,0.0,0.000505276606553,7.84290348691
Mob3,6.53093704939,0.0,0.000505276606553,7.84290348691
IP3K2,0.0,7.80350068662,0.000542166280837,8.41550501115
CG31760,0.0,6.75804909348,0.000542166280837,8.41550501115
prominin-like,10.0129146828,8.48275872064,0.00055308909204,8.58504888665
tna,5.91856030422,1.48972246911,0.000560911060533,8.7064614816
Sulf1,6.90606133673,0.0,0.00058095302954,9.01755292451
CG32700,3.48572790758,9.0913604267,0.000687455978547,10.670691699
Gbeta13F,10.7903180037,9.96798185043,0.000826019728117,12.8214782198
mCD8-GFP,11.9921980466,12.7934977279,0.000826019728117,12.8214782198
Oli,6.23993270071,8.32250129255,0.000826019728117,12.8214782198
PIP5K59B,10.0848019042,9.21296067578,0.000826019728117,12.8214782198
CG1402,3.80812401971,0.0,0.000827498854029,12.8444372122
CG8768,1.78272314385,7.94398805188,0.000882615531441,13.699958279
heph,5.67593186895,0.0,0.000917336707587,14.2389003752
CG42673,7.02570647598,0.0,0.000919774599492,14.2767413333
CG31751,9.3388280498,8.09701455556,0.00100475242783,15.5957671848
Tsp96F,9.27632177154,8.2039213045,0.00100475242783,15.5957671848
CG4829,8.96277350234,6.14751673796,0.00116590237631,18.0971366851
otp,9.63363053567,8.20172386156,0.00121836740449,18.9114988526
Rbp9,7.53731130448,8.87492385592,0.00121836740449,18.9114988526
GV1,7.96052668623,0.0,0.00126291265293,19.6029301988
CR45312,0.0,6.15536793334,0.00126291265293,19.6029301988
drl,6.33255620385,0.0,0.00126291265293,19.6029301988
tsh,0.0,3.56864721878,0.00142779274305,22.1621989576
CR43826,0.0,0.877149521403,0.00142779274305,22.1621989576
Mctp,1.10113384485,0.0,0.00142779274305,22.1621989576
Blos2,4.44847348933,0.0,0.00142779274305,22.1621989576
CCKLR-17D3,7.56741488955,0.0,0.00142779274305,22.1621989576
CG3842,0.0,4.86566698694,0.00142779274305,22.1621989576
Ptpmeg,7.10557795896,0.0,0.00150721646069,23.3950139029
CG14400,0.0,2.83361370295,0.00156917424068,24.3567225639
TFAM,0.0,4.94761979096,0.00169115023202,26.2500339014
beat-IIIb,7.8540835171,3.96510854589,0.00170367355559,26.4444209299
CR45160,1.47661322338,0.0,0.00171566764987,26.6305932612
CG43737,8.91397570079,6.01230331762,0.00173908106987,26.9940163665
Mdh2,10.6647609202,11.3505400664,0.00177491931746,27.5502976456
CG10151,4.95599036103,0.0,0.0018610634418,28.8874267436
CG4629,7.21503387535,1.25619560499,0.00190593953565,29.5839934724
CG1537,0.0,2.58774252581,0.00194175002269,30.1398438521
CG44153,6.32701468332,0.0,0.00197494511039,30.6550980034
CG9344,5.54739459955,0.0,0.00209647825016,32.541535399
Ggamma30A,8.84410660372,5.92607679027,0.00211572035207,32.8402113049
CG3257,10.783752882,11.5123083951,0.00213238245702,33.0988404978
porin,11.6270228788,12.0426991266,0.00213238245702,33.0988404978
ATPsynF,10.1048865221,10.6470244082,0.00213238245702,33.0988404978
PyK,11.0014142131,11.6599862943,0.00213238245702,33.0988404978
Tsp66E,10.5514773229,9.32846230485,0.00213238245702,33.0988404978
Spn,6.68804342846,8.12904679193,0.00213238245702,33.0988404978
CG6959,4.67105703201,0.0,0.00239300692391,37.1442534729
CG34380,8.75997821336,6.16977749297,0.00245863997421,38.1630096797
Teh4,8.17874677296,0.0,0.00249812865642,38.7759530049
Usp7,4.45193495253,0.0,0.00255244743278,39.6190890516
Appl,4.71319549698,8.53257046292,0.0025539527125,39.6424540034
Argk,12.266269049,11.4243884875,0.0025539527125,39.6424540034
IA-2,10.3745669956,11.0088155751,0.0025539527125,39.6424540034
Hsp67Ba,0.0,6.23042496052,0.00286910496103,44.534247205
RnpS1,0.0,7.48098852814,0.00291155513335,45.1931587799
CG1647,1.28559264135,0.0,0.0029371589306,45.5905809207
Ptp99A,5.88788398986,0.89646135541,0.00293985221537,45.632386087
Karybeta3,0.0,6.67021698339,0.00302023299658,46.8800565729
CG11267,9.32865201026,9.88074689466,0.00304947296561,47.3339193722
Nhe3,8.84074098111,7.72628748507,0.00304947296561,47.3339193722
CG11317,0.0,8.0338201334,0.00309625179863,48.0600204183
S1P,0.0,6.22161445894,0.00331651673921,51.4789728259
plx,6.70328737888,0.962027000297,0.00350437791695,54.3949540269
Irk1,0.0,2.82518882474,0.00352705120034,54.7468887317
CG15747,1.30044822022,0.0,0.00352705120034,54.7468887317
ADD1,0.0,0.471320343767,0.00352705120034,54.7468887317
O-fut1,0.903457896635,0.0,0.00352705120034,54.7468887317
run,2.35782648605,0.0,0.00352705120034,54.7468887317
Pde8,0.964592955175,0.0,0.00352705120034,54.7468887317
Tsp29Fb,0.58479173419,0.0,0.00352705120034,54.7468887317
prt,2.76213448956,0.0,0.00352705120034,54.7468887317
lili,0.0,2.02613744348,0.00352705120034,54.7468887317
CG6621,2.09622673159,0.0,0.00352705120034,54.7468887317
CG5516,2.01524010802,0.0,0.00352705120034,54.7468887317
Dop2R,0.0,1.08963407675,0.00352705120034,54.7468887317
CG9849,0.0,2.50406317463,0.00352705120034,54.7468887317
