symbol,medianA,medianB,pvalue,pvalue_adj
Fife,0.0,7.4489486253,5.13445780758e-06,0.0796970540892
Scp2,0.0,10.9886199449,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.44584151374,5.13445780758e-06,0.0796970540892
PVRAP,8.190154474,0.0,7.09569794446e-06,0.110139423494
C15,9.56347545986,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.33052564169,7.09569794446e-06,0.110139423494
CG33639,5.14342719806,0.0,9.15336830931e-06,0.142078582897
bru-3,6.69428779238,0.0,9.33764556343e-06,0.144938934436
Cbp53E,0.0,11.3071177767,1.46238770616e-05,0.22699181975
CG42342,6.53288033861,9.8959006469,1.82210136462e-05,0.282826573817
GluClalpha,7.00284386847,9.35945537713,1.82922767695e-05,0.283932720016
fru,0.0,7.50327254359,1.87923035691e-05,0.291694136
acj6,5.91291572629,0.0,1.87923035691e-05,0.291694136
rdgC,5.28326667439,9.75421486674,2.2595776672e-05,0.350731645504
CG15537,10.9346375748,9.49325409848,2.34743628248e-05,0.364369059766
hth,9.16126749927,10.986140719,3.0028801484e-05,0.466107056635
CG43729,10.7229587682,8.87159407227,3.0028801484e-05,0.466107056635
Sulf1,7.03919724698,0.0,3.03089062316e-05,0.470454842527
CG2082,12.1870722202,8.87010829088,3.82914473375e-05,0.594359845572
CG7985,0.0,8.74485550319,3.92892831811e-05,0.609848253538
CG30089,6.61341805813,0.0,4.50342179868e-05,0.699021131592
klg,5.55852867094,8.76486728819,4.85028584301e-05,0.752861368552
Cow,7.10380265637,9.81734112958,4.86728378236e-05,0.755499788697
CG42541,7.90623320617,0.0,5.78208106649e-05,0.897494623141
Ktl,9.47784880132,11.0999559693,6.1672877202e-05,0.957286399929
dpr15,0.0,8.44763107039,6.2654363942e-05,0.972521037107
CG9896,0.0,7.49275224548,6.2654363942e-05,0.972521037107
CG14762,11.2244275373,8.72161928938,9.80807368533e-05,1.52240919744
nAChRalpha2,9.10230289256,10.7129349386,9.80807368533e-05,1.52240919744
apt,0.0,7.85703713367,0.000119835656962,1.86008906736
rgn,7.06215159487,9.50125998784,0.000122720086651,1.904861185
CG32700,0.0,8.73415788815,0.000129502823541,2.01014282701
caup,6.68472356383,0.0,0.000148206009967,2.30045368671
hdc,4.81509477039,0.0,0.000191695863289,2.97550318997
CG13288,0.0,6.934207511,0.000191695863289,2.97550318997
Hsp70Bb,6.28334530354,7.31204108756,0.000192101013517,2.98179193182
CG42747,8.14744055206,0.0,0.00019433835008,3.01651986994
nAChRalpha1,0.0,4.47824088319,0.000202898452929,3.14938978637
CG31221,9.58921746148,6.40557568566,0.000236135092723,3.66528890925
Tsp66E,10.6682320284,9.44898200615,0.000296021072947,4.59483909429
mCD8-GFP,11.9495030051,12.8147379269,0.000365740995907,5.67703173847
