symbol,medianA,medianB,pvalue,pvalue_adj
CG7985,0.0,8.874947342,5.13445780758e-06,0.0796970540892
Fife,0.0,7.37943056373,5.13445780758e-06,0.0796970540892
PVRAP,8.52104761503,0.0,5.13445780758e-06,0.0796970540892
C15,9.41025081877,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.3505432043,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.54543625581,5.13445780758e-06,0.0796970540892
Cbp53E,1.89485709334,11.3550086327,1.59244638206e-05,0.247179527424
CG42342,6.56207840731,9.49992339573,1.82210136462e-05,0.282826573817
CG2082,12.1369655734,8.92775648628,1.82922767695e-05,0.283932720016
CG43729,11.1568706273,8.93977231898,1.82922767695e-05,0.283932720016
CG42541,7.50270598557,0.0,1.87923035691e-05,0.291694136
fru,0.0,7.81151375482,1.87923035691e-05,0.291694136
Pex23,4.72905117111,0.0,1.87923035691e-05,0.291694136
CG33639,4.04253320411,0.0,1.87923035691e-05,0.291694136
apt,0.0,8.43331585841,2.02308250395e-05,0.314022866263
CG14762,11.403960176,8.67185235291,2.34743628248e-05,0.364369059766
klg,5.41206046755,8.78002505028,2.9587322254e-05,0.459254416027
CG31808,11.3674091612,12.1814442876,3.0028801484e-05,0.466107056635
CG30089,5.04141025754,0.0,3.03089062316e-05,0.470454842527
CG31221,9.4924109001,0.0,3.11543104412e-05,0.483577206668
nAChRalpha2,8.87654510839,10.864305691,3.81539413546e-05,0.592225477705
DIP-eta,0.0,8.22716727997,4.50342179868e-05,0.699021131592
dpr15,0.0,8.647566363,5.07461880929e-05,0.787682331577
bru-3,7.01042368333,0.0,5.78208106649e-05,0.897494623141
CG31997,6.2439599263,9.3652431651,5.9603053663e-05,0.925158598957
CG9896,0.0,6.6290903013,6.2654363942e-05,0.972521037107
GV1,7.88059835535,0.0,6.2654363942e-05,0.972521037107
acj6,5.33643468222,0.0,6.2654363942e-05,0.972521037107
rdgC,4.95669718386,9.74398375263,7.28770520889e-05,1.13119760252
CG4768,6.9265364293,0.0,7.39782380629e-05,1.14829021121
Cow,7.26800337151,9.79484916794,9.80807368533e-05,1.52240919744
twit,0.0,9.68085050081,0.000119835656962,1.86008906736
CG18858,5.65035817001,1.00647959398,0.000121576208476,1.88710590796
GluClalpha,6.56208987311,9.55513588809,0.000123103116411,1.91080657294
Ktl,9.76263835917,11.5602396079,0.000154022352814,2.39073496038
rb,2.05703091826,0.0,0.000172783050115,2.68193850389
Dscam4,8.44322175671,1.90237388097,0.000173095085209,2.68678191261
caup,7.17326225647,0.0,0.000191695863289,2.97550318997
CG42747,7.39884477636,0.0,0.000191695863289,2.97550318997
CG13288,0.0,6.69370454594,0.000191695863289,2.97550318997
Pax,7.98497883874,9.81161134747,0.000236135092723,3.66528890925
Argk,12.0570215943,11.2482232558,0.000238840864478,3.70728789844
CG15537,11.0749585188,9.44757046211,0.000238840864478,3.70728789844
Sulf1,7.00751417913,0.0,0.000240683285505,3.73588595761
CG15803,4.54055614756,0.0,0.000245190061008,3.80584012697
Glut1,8.5860834396,10.1430136409,0.000296021072947,4.59483909429
Rbp9,7.53731130448,8.92988684578,0.000296021072947,4.59483909429
hth,9.22941505835,11.0503102288,0.000365740995907,5.67703173847
CG43737,9.0261309097,1.93751646752,0.000427583200774,6.63694644241
sesB,12.1672428268,12.62835031,0.00045046779818,6.99216116335
CG10254,6.12381290886,0.0,0.000468514203725,7.27227747022
dpr18,7.65516832395,0.0,0.000481941769935,7.48070015293
CG31760,0.0,3.47512097557,0.000542166280837,8.41550501115
TfIIS,7.26510239187,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,7.23696763292,0.000542166280837,8.41550501115
MsR1,0.0,4.59649371285,0.000542166280837,8.41550501115
dpr1,4.74013895752,0.0,0.000542166280837,8.41550501115
rgn,8.28345439861,9.85316923817,0.00055308909204,8.58504888665
jdp,7.47496425053,0.0,0.000589256886706,9.14644539545
CG8243,7.37710527942,0.0,0.000634034528259,9.84148394764
CG7781,11.3735590791,11.9109371508,0.000676970721546,10.5079395398
RhoGEF3,8.349940114,7.06489172053,0.000676970721546,10.5079395398
jigr1,8.07094166909,0.0,0.000722323516879,11.211905629
ecd,7.79647682394,0.0,0.000792514928053,12.3014167132
mahe,7.05461522728,0.0,0.000924738753125,14.353794926
CG8108,8.3933565806,5.20752635371,0.000995695028697,15.4551782354
Ggamma30A,8.8178796325,6.84192726461,0.00121836740449,18.9114988526
nAChRalpha1,0.0,4.73057725175,0.00122607677974,19.0311637751
CG11781,7.2243226791,4.64095160447,0.00124181627851,19.275472275
CG9940,5.44943830583,0.0,0.00132692743138,20.5965675898
CG14104,1.52371942421,0.0,0.00142779274305,22.1621989576
CG8641,2.74619981667,0.0,0.00142779274305,22.1621989576
CG1537,0.0,3.9700375271,0.00142779274305,22.1621989576
CG13707,6.12198742246,0.0,0.00142779274305,22.1621989576
tsh,0.0,3.4329989913,0.00142779274305,22.1621989576
CG6959,3.59913271888,0.0,0.00142779274305,22.1621989576
dpr3,3.64919362243,0.0,0.00142779274305,22.1621989576
CG33543,9.37755177167,10.7559404094,0.00147282307527,22.8611597743
CCKLR-17D3,7.55530006337,0.0,0.00156917424068,24.3567225639
NnaD,0.0,3.55257348362,0.00156917424068,24.3567225639
Irk1,0.0,7.65695965277,0.00156917424068,24.3567225639
Msp300,7.81409799395,0.80259656961,0.00165136891435,25.6325482885
CG1402,7.57213401888,0.0,0.00166511987523,25.8459907033
CG31324,0.0,6.31830315575,0.00169115023202,26.2500339014
beat-IIIb,8.35696421299,5.53965928678,0.00170367355559,26.4444209299
ST6Gal,11.2421461559,10.0828109416,0.00177491931746,27.5502976456
VhaM8.9,10.3246486287,9.50926172575,0.00177491931746,27.5502976456
Sap47,11.5008448079,12.1184794561,0.00177491931746,27.5502976456
CG43658,6.30622194244,0.0,0.001828432202,28.3809246395
heph,4.67381289449,0.0,0.0018610634418,28.8874267436
Dgk,0.0,4.882484149,0.00194175002269,30.1398438521
ara,5.2304827344,0.0,0.00194175002269,30.1398438521
CG11317,0.0,7.10876299054,0.00194175002269,30.1398438521
Gycbeta100B,8.41306216226,9.82464889885,0.00213238245702,33.0988404978
akirin,8.15417677281,0.0,0.00216729483419,33.6407504163
CG3253,6.39802711505,0.0,0.00221073834775,34.3150806338
beat-Vb,0.0,8.42934259072,0.0022921955282,35.5794589887
