symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,9.79610297235,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,9.15336830931e-06,0.142078582897
fred,0.0,8.6824511808,1.22446437935e-05,0.190061360963
hth,10.0828168406,5.9125078672,1.80085268433e-05,0.279528353662
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
twz,10.5900754202,0.0,1.88783859368e-05,0.293030306511
CG30463,0.0,8.78922438832,3.98264953155e-05,0.618186860287
CG9650,6.69669805133,0.0,4.01279246574e-05,0.622865646532
Dtg,0.0,9.46427113728,4.50342179868e-05,0.699021131592
CG11317,0.0,8.22649839311,7.39782380629e-05,1.14829021121
Ca-alpha1T,8.8747317127,3.38728701689,7.76409585271e-05,1.20514295826
Ggamma30A,9.52968857074,8.47000205523,7.78979465439e-05,1.20913192626
CG8861,0.0,7.83087612642,0.000208948864483,3.24330427451
CG3955,7.11233078484,8.71821355402,0.000232116999732,3.60292006985
Tbh,8.15410383908,0.0,0.000232858915968,3.61443609366
l(1)G0469,0.0,7.30412291747,0.000308239766457,4.78449765495
CG32982,2.92730187681,0.0,0.000380367227827,5.90406011033
Cdk12,6.94510395063,0.0,0.00039571968757,6.14236099045
klg,0.0,7.60527336075,0.000401100451324,6.22588120545
Sulf1,5.76962799526,0.0,0.000401100451324,6.22588120545
glob1,8.7019394658,5.46416327534,0.000438924708267,6.81298932172
wit,0.0,8.70105413784,0.000494091150955,7.66928284512
rdo,7.37831140697,0.0,0.000505276606553,7.84290348691
Vha14-1,5.30297554542,7.22099920523,0.000551706634864,8.56359038637
Cda5,0.0,3.96154819518,0.000792514928053,12.3014167132
Vrp1,7.25119082047,0.0,0.000884060424462,13.7223859085
oaf,1.33633697256,7.57297565969,0.000959980575337,14.9008184904
beat-IIIc,3.85166741847,0.0,0.000986770339198,15.316649205
Cchl,6.59485985584,0.0,0.00112880308385,17.5212814675
tinc,8.5140095086,2.03257389001,0.00121571023979,18.870254342
pros,12.4606935331,11.7463800759,0.00121836740449,18.9114988526
NK7.1,2.19905967981,0.0,0.00122388950565,18.9972129066
CG32176,0.0,5.28602947657,0.00122388950565,18.9972129066
CG34393,0.0,3.11719500506,0.00126291265293,19.6029301988
frj,0.0,7.48114295443,0.00137316776791,21.3143100934
na,0.0,1.22965520166,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
Ptp99A,6.50547359616,3.31158909798,0.00147282307527,22.8611597743
Con,10.1064173558,7.40455680785,0.00147282307527,22.8611597743
beat-IIIb,8.20906784392,1.13305718381,0.0015028760232,23.3276416321
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
CG3632,7.14804766205,0.0,0.00169115023202,26.2500339014
CG13926,0.0,3.49982942827,0.00169115023202,26.2500339014
Syx18,7.52289240804,0.0,0.00171566764987,26.6305932612
MED17,0.0,7.92122430796,0.00194175002269,30.1398438521
Ih,6.98550939389,0.0,0.00201257007866,31.239112761
