symbol,medianA,medianB,pvalue,pvalue_adj
klg,0.0,8.20702584056,7.09569794446e-06,0.110139423494
Dtg,0.0,10.5784244612,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.7745837585,1.19642080675e-05,0.185708437624
fred,0.0,8.07263234586,1.22446437935e-05,0.190061360963
hth,10.0828168406,5.9125078672,1.75893739454e-05,0.27302226238
twz,10.5900754202,0.459606922659,2.05109686014e-05,0.318371254631
CG31676,9.87083365218,0.0,3.03089062316e-05,0.470454842527
CG43729,9.85193410769,0.0,3.11543104412e-05,0.483577206668
CG30463,0.0,8.22431872852,3.98264953155e-05,0.618186860287
CG9650,6.69669805133,0.0,9.0096108543e-05,1.3984717968
CG11191,0.0,8.38971702246,0.000148803009366,2.30972031139
CG4266,0.0,7.90295820331,0.000148803009366,2.30972031139
Ggamma30A,9.52968857074,8.36910829667,0.000154022352814,2.39073496038
Ca-alpha1T,8.8747317127,1.42220963984,0.000189856989075,2.94696018442
l(1)G0469,0.0,5.90375713337,0.000191427754366,2.97134160328
CG8861,0.0,7.56745908655,0.000208948864483,3.24330427451
Tbh,8.15410383908,1.07951178639,0.000225527629852,3.50063987056
CG14853,9.06770290044,2.6960379061,0.000268413593425,4.16631579714
glob1,8.7019394658,1.11804790195,0.000268413593425,4.16631579714
CG32982,2.92730187681,0.0,0.000386116522864,5.99330066789
Cdk12,6.94510395063,0.0,0.00039571968757,6.14236099045
CG34393,0.0,3.11719500506,0.000401100451324,6.22588120545
pros,12.4606935331,11.2070202941,0.00045046779818,6.99216116335
tinc,8.5140095086,3.80023225416,0.00045046779818,6.99216116335
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
Appl,9.03969325878,10.2863973003,0.00055308909204,8.58504888665
Plod,0.0,5.87886915738,0.00058095302954,9.01755292451
oaf,1.33633697256,7.72662982604,0.000644725598377,10.007430738
CG31221,8.60127989747,3.58375429843,0.000687455978547,10.670691699
CG12484,0.0,8.26314411089,0.000717893223829,11.1431386203
NK7.1,2.19905967981,0.0,0.000986770339198,15.316649205
Con,10.1064173558,7.78519420266,0.00100475242783,15.5957671848
CG3955,7.11233078484,8.64396855481,0.00119195654579,18.5015495037
Cbs,0.0,8.10797322591,0.00135089837356,20.9686445544
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
Herp,8.09054549203,0.0,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
CG8641,2.61121313592,0.0,0.00142779274305,22.1621989576
na,0.0,1.7245551579,0.00142779274305,22.1621989576
VhaSFD,9.17834323337,8.35392045852,0.00177131609779,27.4943684699
CG6523,6.11181951585,7.47768595986,0.00209086789089,32.4544514023
Cow,4.38514062535,9.09843087682,0.00218053624123,33.8462835364
CG6700,0.0,6.79376649083,0.00221073834775,34.3150806338
CG31145,7.97736184887,0.0,0.00221073834775,34.3150806338
CG6454,0.0,8.32396362734,0.00237816800051,36.9139237038
CG8223,4.73216058952,0.0,0.00237816800051,36.9139237038
2mit,0.0,2.89483907384,0.00239300692391,37.1442534729
Cda5,0.0,3.05176792066,0.00239300692391,37.1442534729
CG32176,0.0,5.10492825681,0.00239300692391,37.1442534729
Map60,3.03534541321,8.35134382438,0.00245863997421,38.1630096797
CG11317,0.0,7.87225687499,0.00252281894047,39.159195594
Mical,6.23455573009,0.0,0.00255244743278,39.6190890516
ATPsynC,12.4334017264,12.19179662,0.0025539527125,39.6424540034
CG1703,0.0,5.58936602009,0.00278672611851,43.2555628115
CG42359,0.0,6.9618541609,0.00286910496103,44.534247205
da,1.43496075514,8.47961913033,0.00293985221537,45.632386087
Vha14-1,5.30297554542,6.68087930264,0.00304394018393,47.248039535
CG9636,9.6381058114,10.3016720846,0.00304947296561,47.3339193722
CG42541,8.50599811427,6.3520123691,0.00304947296561,47.3339193722
CG4300,9.84160530279,7.07563530112,0.00304947296561,47.3339193722
sdt,1.4773389732,5.35784659052,0.00350437791695,54.3949540269
Mrtf,0.0,0.58080455541,0.00352705120034,54.7468887317
CG12768,0.0,0.866752263955,0.00352705120034,54.7468887317
CG17841,0.488442692924,0.0,0.00352705120034,54.7468887317
D19B,0.0,3.29077292786,0.00352705120034,54.7468887317
CG6123,0.0,1.06916885502,0.00352705120034,54.7468887317
nop5,1.85629804772,0.0,0.00352705120034,54.7468887317
CG12728,0.0,0.56370487254,0.00352705120034,54.7468887317
CG15537,0.810328266,0.0,0.00352705120034,54.7468887317
