symbol,medianA,medianB,pvalue,pvalue_adj
klg,0.0,8.01195658453,7.09569794446e-06,0.110139423494
fred,0.0,8.39278536377,7.09569794446e-06,0.110139423494
Dtg,0.0,10.1129877204,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.71627220318,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,1.55845526505e-05,0.24190342624
hth,10.0828168406,3.15901100348,1.69078033979e-05,0.262442924342
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
twz,10.5900754202,3.50601091019,2.78712282901e-05,0.43261720552
CG30463,0.0,7.87690403724,3.11543104412e-05,0.483577206668
CG32982,2.92730187681,0.0,6.2654363942e-05,0.972521037107
Ca-alpha1T,8.8747317127,2.93852879703,7.687377789e-05,1.19323478041
Ih,6.98550939389,0.0,7.99259080905e-05,1.24060994538
NK7.1,2.19905967981,0.0,0.000191695863289,2.97550318997
beat-IIIc,3.85166741847,0.0,0.000191695863289,2.97550318997
CG9650,6.69669805133,0.0,0.000208948864483,3.24330427451
Cdk12,6.94510395063,0.0,0.000240683285505,3.73588595761
pros,12.4606935331,11.233825648,0.000296021072947,4.59483909429
Ggamma30A,9.52968857074,8.63075860275,0.000296021072947,4.59483909429
glob1,8.7019394658,1.11804790195,0.000332648759751,5.16337404885
CG10543,0.0,4.48744644933,0.000490627225359,7.61551579203
CG8861,0.0,6.88684701234,0.0004986200163,7.73957989301
dpr13,0.0,2.24484576152,0.000505276606553,7.84290348691
rdo,7.37831140697,0.0,0.000505276606553,7.84290348691
2mit,0.0,4.59381839695,0.000505276606553,7.84290348691
noc,1.86295409603,0.0,0.000542166280837,8.41550501115
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
Con,10.1064173558,5.74634729039,0.000551706634864,8.56359038637
nAChRalpha7,10.2186329748,10.8508964848,0.00055308909204,8.58504888665
CG12484,0.0,8.28596613043,0.000717893223829,11.1431386203
CG11317,0.0,8.42496623841,0.000741696486829,11.5126128686
oaf,1.33633697256,7.81855966238,0.000787953959844,12.2306213647
mod,7.70860683993,0.0,0.000882615531441,13.699958279
bur,7.29934549826,0.0,0.00108495092142,16.8406082023
CG31145,7.97736184887,0.0,0.00112880308385,17.5212814675
CG34393,0.0,2.7982285731,0.00126291265293,19.6029301988
DIP-beta,0.0,7.30121781145,0.00132692743138,20.5965675898
