symbol,medianA,medianB,pvalue,pvalue_adj
CG43729,9.85193410769,0.0,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.80982346987,9.15336830931e-06,0.142078582897
Dtg,0.0,9.68080436113,9.15336830931e-06,0.142078582897
CG11317,0.0,9.06544046969,1.19642080675e-05,0.185708437624
fred,0.0,9.01139108328,1.22446437935e-05,0.190061360963
hth,10.0828168406,0.540616894535,1.59244638206e-05,0.247179527424
twz,10.5900754202,0.0,1.68616240509e-05,0.261726128517
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
CG9650,6.69669805133,0.0,2.02308250395e-05,0.314022866263
klg,0.0,6.9663150726,3.03089062316e-05,0.470454842527
CG30463,0.0,8.55584964258,3.11543104412e-05,0.483577206668
glob1,8.7019394658,0.0,5.84228460578e-05,0.906839416509
Ggamma30A,9.52968857074,8.28095599502,6.1672877202e-05,0.957286399929
CG32982,2.92730187681,0.0,6.2654363942e-05,0.972521037107
Cdk12,6.94510395063,0.0,7.39782380629e-05,1.14829021121
Ih,6.98550939389,0.0,7.99259080905e-05,1.24060994538
CG8861,0.0,8.07162284643,8.30327653547e-05,1.28883458384
Ca-alpha1T,8.8747317127,0.5715420375,0.000215892781976,3.35108776183
Cda5,0.0,6.34502264438,0.000239209057348,3.71300298815
La,4.86679521138,0.0,0.000302203756243,4.69080670441
sn,10.8647277956,11.6682194759,0.000365740995907,5.67703173847
Cchl,6.59485985584,0.0,0.000481941769935,7.48070015293
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
noc,1.86295409603,0.0,0.000542166280837,8.41550501115
Bet1,0.0,5.65485582261,0.000545613281863,8.46900936108
grp,9.57294035349,8.35229426344,0.000676970721546,10.5079395398
l(1)G0469,0.0,4.6270533609,0.000742842896261,11.5304074358
wit,0.0,8.59094503956,0.000746008722863,11.5795473963
beat-IIIb,8.20906784392,0.0,0.000912230265352,14.1596381788
CG10880,0.0,6.85441758117,0.000916382889454,14.2240952101
tnc,8.21746774526,10.0311819182,0.00100475242783,15.5957671848
pros,12.4606935331,11.5792371411,0.00100475242783,15.5957671848
