symbol,medianA,medianB,pvalue,pvalue_adj
CG43729,9.85193410769,0.0,7.09569794446e-06,0.110139423494
beat-VI,0.0,9.48195286647,9.15336830931e-06,0.142078582897
twz,10.5900754202,0.0,1.30214778044e-05,0.20211937848
hth,10.0828168406,0.5092919278,1.59244638206e-05,0.247179527424
fred,0.0,8.9904523659,1.60001094808e-05,0.248353699361
CG31676,9.87083365218,0.0,3.03089062316e-05,0.470454842527
CG30463,0.0,7.98168812477,3.11543104412e-05,0.483577206668
Cdk12,6.94510395063,0.0,3.92892831811e-05,0.609848253538
Dtg,0.0,10.2922432948,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,4.56318460793,5.9603053663e-05,0.925158598957
CG8861,0.0,8.50006930095,0.000105103273193,1.6314130065
klg,0.0,7.2921940684,0.00011600356004,1.80060725894
CG1358,0.0,8.38044203487,0.00011600356004,1.80060725894
Ggamma30A,9.52968857074,8.50001062533,0.000192101013517,2.98179193182
glob1,8.7019394658,0.0,0.000202898452929,3.14938978637
l(1)G0469,0.0,4.89305017927,0.000240683285505,3.73588595761
CG11317,0.0,8.26814380822,0.000245190061008,3.80584012697
CG31221,8.60127989747,0.0,0.000324921862813,5.04343715458
pros,12.4606935331,11.4607200014,0.000365740995907,5.67703173847
Ih,6.98550939389,0.0,0.000494091150955,7.66928284512
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
ogre,0.0,3.30913282143,0.000542166280837,8.41550501115
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
sn,10.8647277956,11.6252237937,0.00055308909204,8.58504888665
CG9650,6.69669805133,0.0,0.000614632174771,9.5403206168
Tbh,8.15410383908,0.0,0.000673809488881,10.4588708864
tinc,8.5140095086,4.03535913167,0.0006753339723,10.482533918
tyf,5.40128715397,1.09987238447,0.000787953959844,12.2306213647
CG11191,0.0,8.13339137285,0.000924738753125,14.353794926
Cow,4.38514062535,8.68068524122,0.000959980575337,14.9008184904
