symbol,medianA,medianB,pvalue,pvalue_adj
CG43729,9.85193410769,0.0,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.77058572541,9.15336830931e-06,0.142078582897
fred,0.0,8.2248430097,1.22446437935e-05,0.190061360963
hth,10.0828168406,2.09831616931,1.59244638206e-05,0.247179527424
twz,10.5900754202,3.50601091019,2.17429698644e-05,0.337494378236
CG31676,9.87083365218,0.0,3.03089062316e-05,0.470454842527
klg,0.0,7.49614241315,3.03089062316e-05,0.470454842527
Dtg,0.0,9.69296528961,4.50342179868e-05,0.699021131592
CG11317,0.0,8.42496623841,5.78208106649e-05,0.897494623141
Ca-alpha1T,8.8747317127,1.10324927767,7.28770520889e-05,1.13119760252
CG30463,0.0,8.51992842612,8.15947380484e-05,1.26651352399
CG9650,6.69669805133,0.0,8.30327653547e-05,1.28883458384
Cdk12,6.94510395063,0.0,0.000191427754366,2.97134160328
NK7.1,2.19905967981,0.0,0.000191695863289,2.97550318997
CG8861,0.0,7.38618403578,0.000208948864483,3.24330427451
2mit,0.0,4.30571840362,0.000239209057348,3.71300298815
glob1,8.7019394658,4.45301671869,0.000346567437383,5.37941976306
CG43902,0.0,6.3230608508,0.000359671675717,5.58282375049
Ggamma30A,9.52968857074,8.31661787674,0.000365740995907,5.67703173847
l(1)G0469,0.0,7.19723681839,0.000386116522864,5.99330066789
pros,12.4606935331,11.3102701403,0.00045046779818,6.99216116335
CG45263,6.65620893096,2.36451897199,0.000525874701383,8.16262711487
CG32982,2.92730187681,0.0,0.000599404297285,9.30395350247
beat-IIIb,8.20906784392,0.0,0.000608105492195,9.43901344985
Con,10.1064173558,7.40455680785,0.0006753339723,10.482533918
CG14853,9.06770290044,8.00630881318,0.000787953959844,12.2306213647
beat-IIIc,3.85166741847,0.0,0.000986770339198,15.316649205
Bsg,8.39987325639,6.98471071922,0.00100475242783,15.5957671848
PsGEF,0.0,6.14896940618,0.00122607677974,19.0311637751
CG34393,0.0,3.03495256659,0.00126291265293,19.6029301988
rdo,7.37831140697,0.0,0.00139888360254,21.7134712786
CG5287,0.0,4.29266140922,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
CG13300,8.33476068104,5.70564502494,0.00147282307527,22.8611597743
CG31221,8.60127989747,4.19950814779,0.0015028760232,23.3276416321
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
Ih,6.98550939389,0.0,0.00166511987523,25.8459907033
Sulf1,5.76962799526,0.0,0.00171566764987,26.6305932612
regucalcin,0.0,8.33018566579,0.00196453706682,30.4935443511
CG33199,4.1653440868,0.0,0.00197494511039,30.6550980034
VhaSFD,9.17834323337,8.28744643962,0.00204982228844,31.8173415611
CG3955,7.11233078484,8.64396855481,0.00209086789089,32.4544514023
ND-SGDH,5.45542344143,8.10242882445,0.00212820989586,33.0340740036
CG42541,8.50599811427,5.64605224744,0.00213238245702,33.0988404978
Atet,5.60763027315,0.0,0.00226897640886,35.2190518183
Rpb8,0.0,5.42480485174,0.00237816800051,36.9139237038
Nop17l,0.0,7.96659066627,0.00237816800051,36.9139237038
Cda5,0.0,1.17487994553,0.00239300692391,37.1442534729
alpha-Spec,1.53796115986,8.34411279944,0.00245863997421,38.1630096797
oaf,1.33633697256,7.54038730532,0.00245863997421,38.1630096797
CG12484,0.0,7.70896361054,0.00249812865642,38.7759530049
Dyb,6.76500820103,8.93311303472,0.0025539527125,39.6424540034
Mgat2,2.39760582299,9.67503871606,0.00261422729693,40.578036103
CG42265,0.0,5.91757249956,0.00292094333165,45.3388823938
bru-3,7.81718412022,5.6028971454,0.00304947296561,47.3339193722
MED19,0.0,7.61742669696,0.00340824673532,52.9028058256
wit,0.0,7.99991304745,0.00348497681177,54.0938100723
Mrtf,0.0,0.508109422075,0.00352705120034,54.7468887317
CG15537,0.810328266,0.0,0.00352705120034,54.7468887317
CG17841,0.488442692924,0.0,0.00352705120034,54.7468887317
nop5,1.85629804772,0.0,0.00352705120034,54.7468887317
CG4041,1.32057687419,0.0,0.00352705120034,54.7468887317
CR45392,0.493862374575,0.0,0.00352705120034,54.7468887317
Tsp66E,3.61202686743,0.0,0.00359044554028,55.7308956763
eIF-2gamma,4.47865613272,8.15495277622,0.00360467167913,55.9517138034
Ten-a,7.02759908844,8.29573509462,0.0036299774941,56.3445106633
Snx16,7.41988413116,0.0,0.00364894251992,56.6388857942
dpr13,0.0,2.02672258103,0.00364894251992,56.6388857942
CG9393,0.0,6.36094519791,0.00373444360938,57.9660337047
Tbh,8.15410383908,0.0,0.00391260416836,60.7314419014
CG42540,8.10619913838,0.0,0.00398864969176,61.9118205154
Rpn8,0.0,8.01114218355,0.0040621522325,63.0527269528
CG2889,0.0,8.37600299155,0.0041336439511,64.162421409
CG14232,0.0,8.2638486667,0.00415787213509,64.5384912809
tinc,8.5140095086,7.16638235723,0.00430055266134,66.7531784093
sn,10.8647277956,11.5537508411,0.00430777905941,66.8653465602
tnc,8.21746774526,9.87545949883,0.00430777905941,66.8653465602
Rtf1,0.0,6.50455476904,0.00437130777888,67.8514393438
sano,4.41519823387,0.0,0.00447257634231,69.4233299853
CG17698,3.34267090991,0.0,0.00450661135093,69.9516213891
Syx18,7.52289240804,0.0,0.00450661135093,69.9516213891
CG1116,0.0,3.91045778462,0.00451760512169,70.1222666989
CG7857,0.0,2.23377661895,0.00451760512169,70.1222666989
CG1885,0.0,6.64448802363,0.00457076610572,70.9474314929
Vrp1,7.25119082047,0.0,0.00457076610572,70.9474314929
CG5510,0.0,7.63184645004,0.00457076610572,70.9474314929
Pex19,7.58559226463,0.0,0.00493654540271,76.6250577408
vih,3.47682779684,8.00563168826,0.00501472614484,77.8385792202
Arl1,4.488117419,6.89840318283,0.00501472614484,77.8385792202
Nmda1,8.23105605418,5.50575892197,0.00506374462822,78.5994441192
RpS14a,7.79128783972,8.6468978197,0.00509655249555,79.108687836
Cow,4.38514062535,8.48579308992,0.00523521521884,81.2610106268
Ndfip,8.27956164707,6.55844231935,0.00545010546949,84.5965370974
CG9330,1.65907548993,8.34226468107,0.00550127178673,85.3907406736
mod,7.70860683993,0.0,0.00550127178673,85.3907406736
CG42671,0.0,3.23431774745,0.00570910433234,88.6167174465
