symbol,medianA,medianB,pvalue,pvalue_adj
CG43729,9.85193410769,0.0,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.8702616212,9.15336830931e-06,0.142078582897
fred,0.0,8.71094624279,1.60001094808e-05,0.248353699361
hth,10.0828168406,1.12267273908,1.75893739454e-05,0.27302226238
twz,10.5900754202,1.58415601029,2.05109686014e-05,0.318371254631
CG31676,9.87083365218,0.0,3.03089062316e-05,0.470454842527
CG8861,0.0,8.50006930095,3.12804076921e-05,0.485534488196
CG30463,0.0,8.0630837318,3.98264953155e-05,0.618186860287
Dtg,0.0,10.5041891231,4.50342179868e-05,0.699021131592
Ggamma30A,9.52968857074,8.25809556723,7.78979465439e-05,1.20913192626
l(1)G0469,0.0,5.77119359833,0.000191427754366,2.97134160328
Ca-alpha1T,8.8747317127,2.67106891728,0.000191538245668,2.97305664926
Sulf1,5.76962799526,0.0,0.000191695863289,2.97550318997
NK7.1,2.19905967981,0.0,0.000191695863289,2.97550318997
Tbh,8.15410383908,0.0,0.000202898452929,3.14938978637
CG11191,0.0,8.13339137285,0.000232858915968,3.61443609366
CG11317,0.0,8.20914708302,0.000245190061008,3.80584012697
glob1,8.7019394658,0.0,0.000252741572561,3.92305468928
pros,12.4606935331,11.4607200014,0.000296021072947,4.59483909429
CG13148,0.513426486735,8.87967305344,0.000313816746402,4.87106353765
CG14024,0.0,8.18231686683,0.000323022914551,5.01396167967
CG9650,6.69669805133,0.0,0.000324921862813,5.04343715458
Cdk12,6.94510395063,0.0,0.00039571968757,6.14236099045
klg,0.0,6.16393971139,0.000401100451324,6.22588120545
tinc,8.5140095086,3.79917234738,0.000438924708267,6.81298932172
CR46008,2.36029169891,0.0,0.000468514203725,7.27227747022
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
CG32982,2.92730187681,0.0,0.000599404297285,9.30395350247
CG32176,0.0,5.92644302164,0.000792514928053,12.3014167132
Cda5,0.0,3.05176792066,0.000986770339198,15.316649205
CG31221,8.60127989747,1.936437571,0.00107504485903,16.6868463018
CG34393,0.0,3.07791480672,0.00126291265293,19.6029301988
CG1358,0.0,4.23171816614,0.00126291265293,19.6029301988
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
CG6621,0.0,6.94575629828,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
Su(fu),1.12766029773,0.0,0.00142779274305,22.1621989576
Rtf1,0.0,5.65275869508,0.00151213077469,23.4712938847
DIP-beta,0.0,6.78781524917,0.00161732083694,25.1040540309
CG42541,8.50599811427,5.68261580284,0.00177491931746,27.5502976456
Rbp6,10.6424392542,9.96067449094,0.00177491931746,27.5502976456
wit,0.0,8.46508553353,0.00201257007866,31.239112761
Syx18,7.52289240804,0.0,0.00209647825016,32.541535399
VhaSFD,9.17834323337,8.27675361465,0.00211572035207,32.8402113049
CG14853,9.06770290044,6.75501794703,0.00212820989586,33.0340740036
ATPsyngamma,10.7662632032,10.1760249832,0.00213238245702,33.0988404978
nAChRalpha7,10.2186329748,10.7460630165,0.0025539527125,39.6424540034
sn,10.8647277956,11.6500892798,0.0025539527125,39.6424540034
hang,2.68870425214,6.85429730998,0.00261422729693,40.578036103
CG2931,7.04456172136,0.0,0.0026641228572,41.3525149895
sau,1.56428638574,7.75271387492,0.00285906907543,44.3784701888
ATPsynC,12.4334017264,12.1366134809,0.00304947296561,47.3339193722
Tpr2,9.94479060263,9.07431751283,0.00304947296561,47.3339193722
CadN,8.86059735849,7.66712881629,0.00304947296561,47.3339193722
Mgat2,2.39760582299,9.30518813218,0.0031244049632,48.4970138387
eIF-2gamma,4.47865613272,8.58080417203,0.00326938483288,50.747391376
HP1b,7.19410533727,0.502580328425,0.00328417982783,50.9770392876
CG31145,7.97736184887,0.0,0.00348497681177,54.0938100723
Cbs,0.0,8.06516885945,0.00348497681177,54.0938100723
ASPP,0.0,0.846144305555,0.00352705120034,54.7468887317
CR18217,0.47911303765,0.0,0.00352705120034,54.7468887317
CR45473,0.0,0.559255489935,0.00352705120034,54.7468887317
CG15537,0.810328266,0.0,0.00352705120034,54.7468887317
ogre,0.0,0.682574480695,0.00352705120034,54.7468887317
Mrtf,0.0,2.15779582016,0.00352705120034,54.7468887317
CG10286,0.47911303765,0.0,0.00352705120034,54.7468887317
CR45789,0.0,0.936574770235,0.00352705120034,54.7468887317
CG17841,0.488442692924,0.0,0.00352705120034,54.7468887317
Dop1R2,0.0,0.866752263955,0.00352705120034,54.7468887317
corto,6.94441973589,9.46440455898,0.00360467167913,55.9517138034
dally,3.08666057399,8.78085025903,0.00362364234065,56.2461764115
CG42342,6.56234121946,8.48955957963,0.0036299774941,56.3445106633
Slip1,9.46442772475,7.54366653632,0.00372253114903,57.7811284952
Cow,4.38514062535,8.5701212234,0.00372253114903,57.7811284952
Map60,3.03534541321,8.36295836703,0.00372253114903,57.7811284952
CG9601,0.0,4.3110137622,0.00373444360938,57.9660337047
Ih,6.98550939389,1.29677668414,0.00391260416836,60.7314419014
CG31637,8.21718405523,0.0,0.0040621522325,63.0527269528
CG45263,6.65620893096,3.43964582172,0.00416441879531,64.6401085409
CG15011,0.0,4.76324125605,0.00447257634231,69.4233299853
GstZ2,2.6499629331,0.0,0.00447257634231,69.4233299853
CG4282,0.0,7.27402819849,0.00447257634231,69.4233299853
trsn,5.96045054806,0.0,0.00450661135093,69.9516213891
IA-2,6.80397511242,0.0,0.00457076610572,70.9474314929
CG3955,7.11233078484,7.84111164765,0.00493354571083,76.5784965235
frj,0.0,7.50740655706,0.00493654540271,76.6250577408
eIF4AIII,4.83180638743,7.80237994133,0.00506374462822,78.5994441192
CkIalpha,9.72070088354,10.3017902668,0.00509655249555,79.108687836
Wbp2,6.45269681365,0.0,0.0053005570512,82.2752465487
CG8915,0.0,5.01934141376,0.00540745351568,83.9344934703
Non3,6.65516262138,0.0,0.00540745351568,83.9344934703
Snx16,7.41988413116,0.0,0.00545841288083,84.7254847362
pigs,1.71082780959,6.38286555458,0.00550127178673,85.3907406736
CG10880,0.0,6.87022487543,0.00570910433234,88.6167174465
CG33199,4.1653440868,0.0,0.00571579258186,88.7205324556
Mi-2,7.16526549441,0.0,0.00586160832233,90.9838843792
Fim,7.49932000118,3.89044995682,0.00597427122471,92.7326379499
CG32264,9.7121819536,7.92589789742,0.00601141270381,93.3091479885
ND-ACP,7.71309294401,6.35564958937,0.00601141270381,93.3091479885
ATPsynbeta,12.2564766018,11.9378026506,0.00601141270381,93.3091479885
