symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,9.49808883496,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,1.11685890367e-05,0.173358839028
twz,10.5900754202,0.0,1.30214778044e-05,0.20211937848
CG30463,0.0,8.42585491093,1.46238770616e-05,0.22699181975
fred,0.0,7.59076263828,1.60001094808e-05,0.248353699361
hth,10.0828168406,4.46261682228,1.75893739454e-05,0.27302226238
CG9650,6.69669805133,0.0,2.70325472882e-05,0.419599199007
CG31676,9.87083365218,0.0,3.03089062316e-05,0.470454842527
l(1)G0469,0.0,6.48830093531,4.33551179312e-05,0.672958140528
Dtg,0.0,9.73461393753,4.50342179868e-05,0.699021131592
Ggamma30A,9.52968857074,8.47348197345,4.86728378236e-05,0.755499788697
Ca-alpha1T,8.8747317127,4.92273685726,6.14635008328e-05,0.954036459927
Tbh,8.15410383908,0.0,6.53782854001e-05,1.01480174598
Cdk12,6.94510395063,0.0,7.39782380629e-05,1.14829021121
klg,0.0,7.97143910812,0.00011600356004,1.80060725894
glob1,8.7019394658,0.0,0.000129502823541,2.01014282701
CG8861,0.0,8.39797368408,0.000166728382707,2.58795795638
Ih,6.98550939389,0.0,0.000203467506621,3.15822263778
pros,12.4606935331,11.4314258671,0.000296021072947,4.59483909429
Ten-a,7.02759908844,8.54334044183,0.000296021072947,4.59483909429
CG11317,0.0,8.11933238704,0.000308239766457,4.78449765495
CG31221,8.60127989747,0.0,0.000324921862813,5.04343715458
tinc,8.5140095086,2.29366907973,0.000361849544811,5.61662863455
Sulf1,5.76962799526,0.0,0.000401100451324,6.22588120545
Taf12,4.05691668576,7.73961512135,0.000438924708267,6.81298932172
Appl,9.03969325878,10.2863973003,0.00045046779818,6.99216116335
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
CG13300,8.33476068104,5.63253617506,0.000826019728117,12.8214782198
CG43902,0.0,7.25109893311,0.000924738753125,14.353794926
Cow,4.38514062535,8.81696484675,0.000959980575337,14.9008184904
