symbol,medianA,medianB,pvalue,pvalue_adj
CG43729,9.85193410769,0.0,1.11685890367e-05,0.173358839028
beat-VI,0.0,9.54554564832,1.19642080675e-05,0.185708437624
fred,0.0,9.28899280969,1.22446437935e-05,0.190061360963
hth,10.0828168406,4.24884565533,1.75893739454e-05,0.27302226238
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
twz,10.5900754202,0.0,1.88783859368e-05,0.293030306511
CG30463,0.0,8.06124677293,3.11543104412e-05,0.483577206668
Dtg,0.0,9.94150674117,4.50342179868e-05,0.699021131592
CG9650,6.69669805133,0.0,9.38526806308e-05,1.45678130875
CG31221,8.60127989747,0.0,0.00010544394443,1.63670090544
klg,0.0,7.60527336075,0.00011600356004,1.80060725894
Cdk12,6.94510395063,0.0,0.000119835656962,1.86008906736
CG32176,0.0,5.28602947657,0.000136211739994,2.11427862819
glob1,8.7019394658,1.70721025037,0.000225527629852,3.50063987056
Ca-alpha1T,8.8747317127,5.83702823955,0.000236135092723,3.66528890925
CG11191,0.0,7.98041180936,0.000359671675717,5.58282375049
Ggamma30A,9.52968857074,8.63075860275,0.000365740995907,5.67703173847
Con,10.1064173558,7.23120741107,0.000365740995907,5.67703173847
Ih,6.98550939389,0.0,0.000400152907868,6.21117343593
CG34393,0.0,3.99611225047,0.000401100451324,6.22588120545
CG8861,0.0,6.88684701234,0.000403173249831,6.25805518388
tinc,8.5140095086,3.61794720642,0.000449304376389,6.9741025303
nAChRalpha7,10.2186329748,10.8906331401,0.00045046779818,6.99216116335
CG31145,7.97736184887,0.0,0.000468514203725,7.27227747022
Tbh,8.15410383908,0.0,0.0004791681021,7.43764728079
oaf,1.33633697256,8.19272930451,0.000525874701383,8.16262711487
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
pros,12.4606935331,11.3448500087,0.000676970721546,10.5079395398
l(1)G0469,0.0,4.29004743861,0.000742842896261,11.5304074358
Cow,4.38514062535,8.71371292053,0.000787953959844,12.2306213647
PsGEF,0.0,3.72808436778,0.0008252767023,12.8099449731
CG11317,0.0,8.0605355049,0.000919774599492,14.2767413333
Cchl,6.59485985584,0.0,0.00113640233548,17.6392370513
CG7185,9.45589012483,7.50663935481,0.00121836740449,18.9114988526
rdo,7.37831140697,0.0,0.00122388950565,18.9972129066
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
Mes4,2.64892371437,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
unc-5,1.06703201629,0.0,0.00142779274305,22.1621989576
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
ND-SGDH,5.45542344143,8.55771982231,0.00176053230348,27.3269824146
CG14431,9.00358397396,5.31815105182,0.00176053230348,27.3269824146
rdgA,0.0,3.88846204664,0.00196453706682,30.4935443511
CG32982,2.92730187681,0.0,0.00205903263078,31.960304495
CG13148,0.513426486735,7.89551553937,0.0022921955282,35.5794589887
2mit,0.0,3.35925538171,0.00239300692391,37.1442534729
Rtnl1,9.85397426851,10.4791914667,0.0025539527125,39.6424540034
lark,10.3092351191,9.35100202117,0.0025539527125,39.6424540034
tnc,8.21746774526,9.30621490606,0.0025539527125,39.6424540034
frj,0.0,7.63124510775,0.00292094333165,45.3388823938
Taf12,4.05691668576,7.74517644196,0.00299439011492,46.4789233637
Prosalpha7,6.59493028815,8.14178312549,0.0030273744898,46.9909068306
Vha14-1,5.30297554542,7.01897675179,0.00304394018393,47.248039535
Sulf1,5.76962799526,0.0,0.00309625179863,48.0600204183
beat-IIIb,8.20906784392,3.8329586387,0.0031244049632,48.4970138387
Nos,0.553605529555,0.0,0.00352705120034,54.7468887317
CG15537,0.810328266,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
CG10384,0.0,0.844920641705,0.00352705120034,54.7468887317
RpIII128,0.0,2.69932779257,0.00352705120034,54.7468887317
na,0.0,1.09472521472,0.00352705120034,54.7468887317
Cdc2rk,0.513426486735,0.0,0.00352705120034,54.7468887317
GILT3,1.33595451761,0.0,0.00352705120034,54.7468887317
CG6621,0.0,2.59229626472,0.00352705120034,54.7468887317
CG32706,0.0,1.93433093893,0.00352705120034,54.7468887317
CG6123,0.0,0.95316734092,0.00352705120034,54.7468887317
CG7979,2.76205108381,0.0,0.00352705120034,54.7468887317
CG2918,5.19790660495,8.48891029555,0.00356688708755,55.3652213729
noc,1.86295409603,0.0,0.00359044554028,55.7308956763
l(1)G0255,8.60492575889,9.74264962126,0.0036299774941,56.3445106633
CG17829,0.0,5.80770509508,0.00364894251992,56.6388857942
CR46008,2.36029169891,0.0,0.00415787213509,64.5384912809
rap,8.19132062989,1.83571209797,0.00416441879531,64.6401085409
Acn,8.07795967804,9.67656966596,0.00427891027272,66.4172452531
RpS14a,7.79128783972,8.64801927302,0.00430777905941,66.8653465602
Mgat2,2.39760582299,9.19552487935,0.00442139823196,68.6289433564
mRpS33,0.82291048582,4.74481038658,0.00442947100501,68.7542489398
Dat,7.92936111415,0.898327115915,0.00442947100501,68.7542489398
sano,4.41519823387,0.0,0.00447257634231,69.4233299853
CG3262,0.0,3.85672793789,0.00450661135093,69.9516213891
CG14200,0.0,7.59328191257,0.00494472589418,76.7520353295
SP2353,6.76057068897,8.42104056077,0.00506374462822,78.5994441192
Rpn11,9.37744700446,7.72781236103,0.00506374462822,78.5994441192
Nmda1,8.23105605418,6.42553913245,0.00508834087578,78.9812270738
dally,3.08666057399,6.88865095046,0.00508834087578,78.9812270738
unc-13,9.49952335516,8.76728241675,0.00509655249555,79.108687836
mri,0.513426486735,8.04185603361,0.00525425985974,81.5566215428
Bre1,6.66868892306,0.0,0.00540745351568,83.9344934703
NK7.1,2.19905967981,0.0,0.00540745351568,83.9344934703
La,4.86679521138,0.0,0.00543592854447,84.3764828673
east,6.43160193186,0.0,0.00544425276621,84.5056914371
CR40641,2.06554815884,1.16996690383,0.00545010546949,84.5965370974
Mical,6.23455573009,0.0,0.00570910433234,88.6167174465
CG6184,8.58857791572,0.0,0.00586160832233,90.9838843792
CG9727,5.36331991907,0.0,0.00586160832233,90.9838843792
CG34370,8.66484471029,6.55779565801,0.00601141270381,93.3091479885
IA-2,6.80397511242,0.0,0.0064436900087,100.018956315
CG9376,6.6855317982,0.0,0.0064436900087,100.018956315
Atg6,6.6093716508,0.0,0.0064649498014,100.348950817
CG45263,6.65620893096,0.0,0.00649274409288,100.78037381
CG2218,7.78143406952,0.0,0.00653613018271,101.453812696
CG12746,0.0,2.20132775658,0.00663282670479,102.954736112
hng3,0.0,1.90997963608,0.00663282670479,102.954736112
CG5886,3.50103976848,0.0,0.00663282670479,102.954736112
mGluR,7.57762991805,1.7230583775,0.00686066545951,106.491249262
MED10,1.37567194297,5.22339925432,0.00686066545951,106.491249262
qsm,0.0,7.61465207607,0.00696973433282,108.184216314
CG14853,9.06770290044,8.04636560457,0.00702709940089,109.074636901
Rop,10.027794185,9.0234459772,0.00706898472796,109.724780947
Bet1,0.0,5.65485582261,0.00740310196334,114.910948675
CG6454,0.0,7.01219255505,0.00740310196334,114.910948675
Syx18,7.52289240804,0.0,0.00770143730756,119.541709888
Tango13,2.72479189628,0.0,0.00770143730756,119.541709888
CG4393,0.0,1.78344988583,0.00802528727053,124.568509013
CG6136,0.0,4.20632688495,0.00802528727053,124.568509013
