symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,9.77058572541,9.15336830931e-06,0.142078582897
Dtg,0.0,9.62853918283,9.15336830931e-06,0.142078582897
twz,10.5900754202,0.0,1.30214778044e-05,0.20211937848
fred,0.0,8.76815960402,1.60001094808e-05,0.248353699361
hth,10.0828168406,2.8668809814,1.69078033979e-05,0.262442924342
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
CG43729,9.85193410769,0.0,1.88783859368e-05,0.293030306511
Ggamma30A,9.52968857074,8.35528894663,2.34743628248e-05,0.364369059766
l(1)G0469,0.0,7.37585073639,2.61723833413e-05,0.406247734223
klg,0.0,7.82095659308,3.03089062316e-05,0.470454842527
CG30463,0.0,7.94016969055,3.98264953155e-05,0.618186860287
CG32982,2.92730187681,0.0,6.2654363942e-05,0.972521037107
CG9650,6.69669805133,0.0,7.39782380629e-05,1.14829021121
CG8861,0.0,8.14985699976,0.000105103273193,1.6314130065
Cdk12,6.94510395063,0.0,0.000191427754366,2.97134160328
tinc,8.5140095086,2.62724159565,0.000191538245668,2.97305664926
Tbh,8.15410383908,0.0,0.000202898452929,3.14938978637
Ca-alpha1T,8.8747317127,2.63193309873,0.000232116999732,3.60292006985
CG11191,0.0,8.17645853232,0.000232858915968,3.61443609366
CG34393,0.0,5.61477733396,0.000401100451324,6.22588120545
pros,12.4606935331,11.5792371411,0.00045046779818,6.99216116335
Cchl,6.59485985584,0.0,0.000481941769935,7.48070015293
glob1,8.7019394658,3.34203471547,0.00053936770472,8.37206551266
na,0.0,1.7245551579,0.000542166280837,8.41550501115
Rlip,7.14147238436,0.0,0.000634034528259,9.84148394764
dpr3,3.80860907891,9.00282046542,0.000687455978547,10.670691699
Sulf1,5.76962799526,0.0,0.000741696486829,11.5126128686
CG11317,0.0,8.85088294822,0.000741696486829,11.5126128686
CG3632,7.14804766205,0.0,0.000919774599492,14.2767413333
Mgat2,2.39760582299,9.3209497426,0.000959980575337,14.9008184904
CG2918,5.19790660495,8.80376259822,0.000982205636211,15.2457958853
FK506-bp1,7.40200042638,0.0,0.000986770339198,15.316649205
frj,0.0,7.63463160068,0.00112871004054,17.5198372493
tnc,8.21746774526,9.59500536038,0.00121836740449,18.9114988526
Rack1,9.37413894067,8.20672313136,0.00121836740449,18.9114988526
CG43759,0.0,4.29427549056,0.00122607677974,19.0311637751
Cbs,0.0,8.70354630432,0.00137316776791,21.3143100934
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
VhaSFD,9.17834323337,8.22887159424,0.00144200028716,22.3827284574
lark,10.3092351191,9.54706050755,0.00147282307527,22.8611597743
CG31221,8.60127989747,2.95634425951,0.0015028760232,23.3276416321
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
CG31808,0.0,6.46836692683,0.00156917424068,24.3567225639
LTV1,3.16447606185,8.44244698923,0.00176053230348,27.3269824146
sn,10.8647277956,11.664339093,0.00177491931746,27.5502976456
CG33229,7.53616920052,3.48401927737,0.00181311024187,28.1430971743
beat-IIIc,3.85166741847,0.0,0.0018610634418,28.8874267436
Bet1,0.0,6.03168844481,0.00196453706682,30.4935443511
Rbp6,10.6424392542,10.1343282837,0.00213238245702,33.0988404978
Cow,4.38514062535,9.04804007156,0.00218053624123,33.8462835364
Cda5,0.0,3.32746633283,0.00239300692391,37.1442534729
Syx18,7.52289240804,0.0,0.00255244743278,39.6190890516
CG42541,8.50599811427,6.13007985627,0.0025539527125,39.6424540034
Fdh,3.18693585729,7.9494101814,0.00261422729693,40.578036103
Hip14,0.0,7.78852801851,0.0027480089233,42.6545945074
CG32176,0.0,4.61226374299,0.0029371589306,45.5905809207
nAChRalpha2,4.54977824435,9.0713281012,0.00293985221537,45.632386087
Teh2,2.41425784502,7.67537146474,0.0031244049632,48.4970138387
oaf,1.33633697256,7.15075516079,0.00350437791695,54.3949540269
twe,0.603813973245,0.0,0.00352705120034,54.7468887317
Or43b,0.603813973245,0.0,0.00352705120034,54.7468887317
CG6005,0.83944580996,0.0,0.00352705120034,54.7468887317
CG17328,0.93829985598,0.0,0.00352705120034,54.7468887317
CG6276,0.59864195362,0.0,0.00352705120034,54.7468887317
CG12659,0.513426486735,0.0,0.00352705120034,54.7468887317
CR45312,1.92841674878,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
Tsp42Ee,8.0182307189,4.46896432645,0.00356688708755,55.3652213729
noc,1.86295409603,0.0,0.00359044554028,55.7308956763
Tsp66E,3.61202686743,0.0,0.00359044554028,55.7308956763
CG1358,0.0,1.75975461516,0.00364894251992,56.6388857942
beat-VII,0.0,3.26849093179,0.00364894251992,56.6388857942
Map60,3.03534541321,8.70751176364,0.00372253114903,57.7811284952
