symbol,medianA,medianB,pvalue,pvalue_adj
CG43729,9.85193410769,0.0,9.15336830931e-06,0.142078582897
Dtg,0.0,9.87472731426,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.10469985368,1.19642080675e-05,0.185708437624
fred,0.0,8.6544386529,1.22446437935e-05,0.190061360963
CG30463,0.0,8.22065706422,1.46238770616e-05,0.22699181975
Ca-alpha1T,8.8747317127,2.67106891728,1.69078033979e-05,0.262442924342
hth,10.0828168406,1.33532724504,1.75893739454e-05,0.27302226238
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
twz,10.5900754202,0.0,1.88783859368e-05,0.293030306511
klg,0.0,7.55248181728,3.03089062316e-05,0.470454842527
Tbh,8.15410383908,0.0,5.55151040341e-05,0.861705444818
CG8861,0.0,8.19143936783,8.30327653547e-05,1.28883458384
CG9650,6.69669805133,0.0,9.0096108543e-05,1.3984717968
HP1b,7.19410533727,0.0,0.000151723321511,2.3550493965
ATPsynC,12.4334017264,12.1036112636,0.000154022352814,2.39073496038
NK7.1,2.19905967981,0.0,0.000191695863289,2.97550318997
CG31221,8.60127989747,4.4760365761,0.000193390407598,3.00180590674
tinc,8.5140095086,3.61688729963,0.000236135092723,3.66528890925
Ih,6.98550939389,0.5092919278,0.000252741572561,3.92305468928
CG45263,6.65620893096,0.0,0.000313816746402,4.87106353765
glob1,8.7019394658,3.29116627978,0.000410945679018,6.37869882972
Cow,4.38514062535,9.08630081094,0.000427583200774,6.63694644241
Ggamma30A,9.52968857074,8.65760918881,0.00045046779818,6.99216116335
asrij,0.0,7.42629152811,0.0004791681021,7.43764728079
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
ASPP,0.0,6.58714175667,0.000542166280837,8.41550501115
pros,12.4606935331,11.4802228839,0.00055308909204,8.58504888665
l(1)G0469,0.0,6.55533426316,0.000599404297285,9.30395350247
Cdk12,6.94510395063,0.0,0.000614632174771,9.5403206168
dpr12,9.25944228902,5.41673096917,0.000670439238374,10.406557858
CG42541,8.50599811427,5.97842334072,0.000676970721546,10.5079395398
CG11317,0.0,8.20914708302,0.000741696486829,11.5126128686
CG11191,0.0,8.26715839525,0.000755145951111,11.7213754531
Map60,3.03534541321,8.48682883546,0.000959980575337,14.9008184904
rdo,7.37831140697,0.0,0.00113640233548,17.6392370513
CG1358,0.0,1.65395153062,0.00126291265293,19.6029301988
Wbp2,6.45269681365,0.0,0.00126291265293,19.6029301988
CG32982,2.92730187681,0.0,0.00138410255674,21.4840398857
CG1116,0.0,7.02183650734,0.00139888360254,21.7134712786
Sulf1,5.76962799526,0.0,0.00139888360254,21.7134712786
unc-5,1.06703201629,0.0,0.00142779274305,22.1621989576
CG8641,2.61121313592,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
Rtf1,0.0,5.55650433881,0.00151213077469,23.4712938847
Ptp99A,6.50547359616,3.46594236616,0.00177131609779,27.4943684699
tyf,5.40128715397,2.06972943265,0.00250604271143,38.8987949668
CG9601,0.0,6.63235864647,0.00252281894047,39.159195594
