symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,9.57143909986,9.15336830931e-06,0.142078582897
Dtg,0.0,9.73461393753,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,1.19642080675e-05,0.185708437624
fred,0.0,8.92579863086,1.22446437935e-05,0.190061360963
twz,10.5900754202,0.0,1.46238770616e-05,0.22699181975
CG30463,0.0,7.94016969055,1.46238770616e-05,0.22699181975
hth,10.0828168406,1.37676619505,1.82210136462e-05,0.282826573817
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
Ggamma30A,9.52968857074,8.49376058376,2.34743628248e-05,0.364369059766
klg,0.0,7.97211339436,3.03089062316e-05,0.470454842527
CG9650,6.69669805133,0.0,7.39782380629e-05,1.14829021121
Ca-alpha1T,8.8747317127,4.48033437179,7.53563582746e-05,1.16968139314
CG8861,0.0,7.94120740698,0.000105103273193,1.6314130065
Cdk12,6.94510395063,0.0,0.000191427754366,2.97134160328
DIP-beta,0.0,6.53086059334,0.000260993147107,4.05113562939
pros,12.4606935331,11.4731584002,0.000365740995907,5.67703173847
Rlip,7.14147238436,0.0,0.000401100451324,6.22588120545
Sulf1,5.76962799526,0.0,0.000401100451324,6.22588120545
glob1,8.7019394658,1.75820006832,0.000427583200774,6.63694644241
Mgat2,2.39760582299,9.89676544033,0.000427583200774,6.63694644241
Teh2,2.41425784502,7.67537146474,0.000427583200774,6.63694644241
CR46008,2.36029169891,0.0,0.000468514203725,7.27227747022
CG32982,2.92730187681,0.0,0.000476968848332,7.40351046381
l(1)G0469,0.0,5.33625069483,0.000481941769935,7.48070015293
CG2918,5.19790660495,8.91050154781,0.00053936770472,8.37206551266
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
noc,1.86295409603,0.0,0.000542166280837,8.41550501115
Tbh,8.15410383908,0.0,0.000722323516879,11.211905629
CG11317,0.0,8.34466421199,0.000741696486829,11.5126128686
frj,0.0,8.2785542733,0.000746609897836,11.5888788342
Cow,4.38514062535,9.18313046384,0.000787953959844,12.2306213647
beat-IIIc,3.85166741847,0.0,0.000792514928053,12.3014167132
dally,3.08666057399,8.79929751687,0.000824088988833,12.7915092847
CG45263,6.65620893096,0.582055844545,0.000927243614384,14.3926753825
tinc,8.5140095086,3.55000023,0.000995695028697,15.4551782354
Ih,6.98550939389,0.0,0.00111189349193,17.2588107817
Syx18,7.52289240804,0.0,0.00113640233548,17.6392370513
CG13300,8.33476068104,4.99692612611,0.00121571023979,18.870254342
CG13108,4.2251710096,0.0,0.00126291265293,19.6029301988
CG17829,0.0,6.8609423269,0.00126291265293,19.6029301988
Wbp2,6.45269681365,0.0,0.00126291265293,19.6029301988
CG1358,0.0,4.41052470822,0.00126291265293,19.6029301988
regucalcin,0.0,7.33845414754,0.00137316776791,21.3143100934
CG11191,0.0,8.08755471583,0.00137316776791,21.3143100934
CG12484,0.0,8.82461543972,0.00138410255674,21.4840398857
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
CG15643,0.0,1.59509718045,0.00142779274305,22.1621989576
Ubr1,1.42742344897,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
CG4502,2.1730686521,8.76674288836,0.0015028760232,23.3276416321
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
CG30394,6.73370888209,0.0,0.00156917424068,24.3567225639
HP1b,7.19410533727,0.0,0.00163600897563,25.3941313198
nAChRalpha7,10.2186329748,10.7347758349,0.00177491931746,27.5502976456
CG33129,8.938934679,8.17527541426,0.00177491931746,27.5502976456
CG43778,1.50237388692,0.0,0.00194175002269,30.1398438521
CG31145,7.97736184887,0.0,0.00196453706682,30.4935443511
Cbs,0.0,8.37151278614,0.00201257007866,31.239112761
CG31221,8.60127989747,4.11495515878,0.00204982228844,31.8173415611
rdo,7.37831140697,0.0,0.00209647825016,32.541535399
Prosalpha4,8.70417744559,7.21235957654,0.00211572035207,32.8402113049
CG42541,8.50599811427,5.94730513666,0.00213238245702,33.0988404978
bur,7.29934549826,0.0,0.00242787202676,37.6854295993
l(2)tid,8.60909013672,0.0,0.00285052336252,44.245823633
Snp,6.69104504043,3.12560183275,0.00293985221537,45.632386087
sn,10.8647277956,11.7124704542,0.00304947296561,47.3339193722
