symbol,medianA,medianB,pvalue,pvalue_adj
CG9650,6.69669805133,0.0,7.09569794446e-06,0.110139423494
CG43729,9.85193410769,0.0,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.80982346987,9.15336830931e-06,0.142078582897
Dtg,0.0,9.68080436113,9.15336830931e-06,0.142078582897
Tbh,8.15410383908,0.0,1.11685890367e-05,0.173358839028
twz,10.5900754202,0.0,1.45213319843e-05,0.22540011506
CG30463,0.0,8.119534641,1.46238770616e-05,0.22699181975
fred,0.0,8.77823285613,1.60001094808e-05,0.248353699361
hth,10.0828168406,1.29729067893,1.69078033979e-05,0.262442924342
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
Ggamma30A,9.52968857074,8.47000205523,3.0028801484e-05,0.466107056635
tinc,8.5140095086,2.03257389001,5.9603053663e-05,0.925158598957
CG32982,2.92730187681,0.0,6.2654363942e-05,0.972521037107
Ca-alpha1T,8.8747317127,3.38728701689,7.687377789e-05,1.19323478041
glob1,8.7019394658,0.0,0.000102961253475,1.59816457644
Ih,6.98550939389,0.0,0.000105103273193,1.6314130065
klg,0.0,7.0754460202,0.00011600356004,1.80060725894
CG8861,0.0,7.95445392164,0.000166728382707,2.58795795638
rdo,7.37831140697,0.0,0.000191695863289,2.97550318997
beat-IIIc,3.85166741847,0.0,0.000191695863289,2.97550318997
CG11317,0.0,8.85088294822,0.000245190061008,3.80584012697
pros,12.4606935331,11.4731584002,0.000365740995907,5.67703173847
Cow,4.38514062535,9.24104969908,0.000525874701383,8.16262711487
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
noc,1.86295409603,0.0,0.000542166280837,8.41550501115
Gprk1,8.53485719171,9.44386063306,0.000676970721546,10.5079395398
CG31221,8.60127989747,2.95634425951,0.000687455978547,10.670691699
Sulf1,5.76962799526,0.0,0.000741696486829,11.5126128686
l(1)G0469,0.0,3.83239322937,0.000742842896261,11.5304074358
Cbs,0.0,8.4219485991,0.000746008722863,11.5795473963
DIP-beta,0.0,6.3661764057,0.000916382889454,14.2240952101
pgant2,4.60058166711,0.0,0.000919774599492,14.2767413333
oaf,1.33633697256,7.81653260502,0.000959980575337,14.9008184904
CG34370,8.66484471029,5.19065208633,0.00100248323755,15.5605448133
Cdk12,6.94510395063,0.0,0.00111189349193,17.2588107817
CG11191,0.0,7.95992361971,0.00112871004054,17.5198372493
emc,9.10839868456,7.37705624634,0.00121836740449,18.9114988526
mRpL17,0.0,6.46853947111,0.00123829633922,19.2208357774
CG34393,0.0,5.4897247331,0.00126291265293,19.6029301988
CG13108,4.2251710096,0.0,0.00126291265293,19.6029301988
Syx18,7.52289240804,0.0,0.00139888360254,21.7134712786
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
D19B,0.0,4.92594682305,0.00142779274305,22.1621989576
na,0.0,1.10149772905,0.00142779274305,22.1621989576
CG2004,0.0,5.10871520564,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
Ubr1,1.42742344897,0.0,0.00142779274305,22.1621989576
sn,10.8647277956,11.6824415067,0.00147282307527,22.8611597743
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
Cchl,6.59485985584,0.0,0.00161732083694,25.1040540309
Bet1,0.0,5.71343292464,0.00196453706682,30.4935443511
frj,0.0,7.7074663487,0.00201135394335,31.2202359087
CG8910,4.96891284219,8.31082941615,0.00212820989586,33.0340740036
HP1b,7.19410533727,0.0,0.00237647722609,36.8876795033
PsGEF,0.0,3.67253800387,0.00242461696602,37.6349045466
Act42A,12.2242178223,12.7528179941,0.0025539527125,39.6424540034
tnc,8.21746774526,9.73979661104,0.0025539527125,39.6424540034
Map60,3.03534541321,8.52553380634,0.00261422729693,40.578036103
Rlip,7.14147238436,0.0,0.00278672611851,43.2555628115
SelR,0.0,6.98215243551,0.00285052336252,44.245823633
tws,0.810328266,8.4950900605,0.00311817639929,48.4003340699
Tango11,8.86809138539,3.21985622841,0.00328417982783,50.9770392876
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
CG17328,0.93829985598,0.0,0.00352705120034,54.7468887317
CG6005,0.83944580996,0.0,0.00352705120034,54.7468887317
Edc3,0.0,2.97278786812,0.00352705120034,54.7468887317
CG6276,0.59864195362,0.0,0.00352705120034,54.7468887317
Las,0.0,0.522379327755,0.00352705120034,54.7468887317
Taf12,4.05691668576,7.24285742297,0.00356688708755,55.3652213729
CG32176,0.0,4.49085498205,0.00359044554028,55.7308956763
corto,6.94441973589,9.30625379166,0.00360467167913,55.9517138034
Map205,6.77168568947,8.30952244336,0.00362364234065,56.2461764115
ND-SGDH,5.45542344143,7.63185453321,0.00362364234065,56.2461764115
Argk,9.81458688027,10.4617551217,0.0036299774941,56.3445106633
NKAIN,6.67903668861,8.39574462773,0.0036299774941,56.3445106633
CG13300,8.33476068104,5.57375212354,0.0036299774941,56.3445106633
Snx16,7.41988413116,0.0,0.00364894251992,56.6388857942
CG7427,0.0,7.31507870917,0.00373444360938,57.9660337047
CG4050,8.44755619829,0.0,0.00398864969176,61.9118205154
tyf,5.40128715397,1.5045095355,0.00405851819082,62.9963193579
