symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,9.85654112368,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,1.11685890367e-05,0.173358839028
twz,10.5900754202,0.0,1.11685890367e-05,0.173358839028
fred,0.0,8.26093134459,1.60001094808e-05,0.248353699361
hth,10.0828168406,2.89302651981,1.69078033979e-05,0.262442924342
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
klg,0.0,8.49188336639,3.03089062316e-05,0.470454842527
CG30463,0.0,8.22431872852,3.98264953155e-05,0.618186860287
Dtg,0.0,9.93810314447,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.8747317127,4.48033437179,6.14635008328e-05,0.954036459927
Ggamma30A,9.52968857074,8.4762520968,6.1672877202e-05,0.957286399929
CG8861,0.0,8.48729625223,8.30327653547e-05,1.28883458384
Tbh,8.15410383908,0.0,0.000186449746378,2.89407296328
l(1)G0469,0.0,6.53540349533,0.000191427754366,2.97134160328
na,0.0,2.50278256201,0.000191695863289,2.97550318997
tinc,8.5140095086,3.68725953191,0.000238840864478,3.70728789844
CG9650,6.69669805133,0.0,0.000284835194191,4.42121188424
pros,12.4606935331,11.5240294437,0.000365740995907,5.67703173847
CG31221,8.60127989747,3.37443273374,0.000369877481387,5.74123826609
CG1358,0.0,7.22817174949,0.000401100451324,6.22588120545
Sulf1,5.76962799526,0.0,0.000401100451324,6.22588120545
dpr13,0.0,5.17799450898,0.000505276606553,7.84290348691
glob1,8.7019394658,5.50796581229,0.000525874701383,8.16262711487
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
CG9636,9.6381058114,10.5655233416,0.000676970721546,10.5079395398
dpr3,3.80860907891,9.15051577281,0.000687455978547,10.670691699
rdgA,0.0,5.24933793459,0.000717893223829,11.1431386203
oaf,1.33633697256,7.72053812963,0.000787953959844,12.2306213647
CG11317,0.0,8.57653893527,0.000919774599492,14.2767413333
CG11191,0.0,8.07611010461,0.000924738753125,14.353794926
CG32982,2.92730187681,0.0,0.00112880308385,17.5212814675
CG3955,7.11233078484,8.59160350836,0.00119195654579,18.5015495037
CG2918,5.19790660495,8.82360766631,0.00119195654579,18.5015495037
Ald,8.1929405202,9.58422429591,0.00121836740449,18.9114988526
NK7.1,2.19905967981,0.0,0.00122388950565,18.9972129066
CG34393,0.0,2.84119081323,0.00126291265293,19.6029301988
Cdk12,6.94510395063,0.0,0.00137316776791,21.3143100934
Map60,3.03534541321,8.32650580596,0.00141157064903,21.9103996143
Mes4,2.64892371437,0.0,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
c11.1,1.30000232939,0.0,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
ckn,2.09745005082,8.03603525149,0.00148723147035,23.0848068828
CG1890,1.33271586445,6.10041371834,0.00165136891435,25.6325482885
CG11486,4.53946081281,8.63460311141,0.00177131609779,27.4943684699
pxb,10.165255225,11.2689761517,0.00177491931746,27.5502976456
Rtf1,0.0,6.18401093182,0.0018610634418,28.8874267436
Uch-L5,0.0,7.73703635334,0.00201135394335,31.2202359087
CG17454,5.24854059588,6.92016257972,0.00211572035207,32.8402113049
tnc,8.21746774526,9.41144645394,0.00213238245702,33.0988404978
Vap-33B,3.23825135462,0.0,0.00228171554653,35.4167887132
Ndfip,8.27956164707,7.10148049667,0.00228994716263,35.5445598584
Ih,6.98550939389,0.0,0.00237647722609,36.8876795033
Con,10.1064173558,8.29392640361,0.0025539527125,39.6424540034
Dat,7.92936111415,0.0,0.0026641228572,41.3525149895
CG3792,7.35627231671,0.0,0.00285052336252,44.245823633
CG42359,0.0,6.86170525554,0.00286910496103,44.534247205
wit,0.0,7.99991304745,0.00291155513335,45.1931587799
CR44976,0.0,1.12871354856,0.0029371589306,45.5905809207
Mgat2,2.39760582299,9.15474521894,0.00293985221537,45.632386087
eIF-2gamma,4.47865613272,8.05778294641,0.0030273744898,46.9909068306
ogre,0.0,0.682574480695,0.00352705120034,54.7468887317
CG14757,0.0,2.62721710413,0.00352705120034,54.7468887317
ASPP,0.0,2.8807230922,0.00352705120034,54.7468887317
CG6005,0.83944580996,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
GILT3,1.33595451761,0.0,0.00352705120034,54.7468887317
CG32176,0.0,5.10492825681,0.00359044554028,55.7308956763
Tsp66E,3.61202686743,0.0,0.00359044554028,55.7308956763
VhaSFD,9.17834323337,8.28744643962,0.00362364234065,56.2461764115
Jupiter,9.31281238648,9.99779212856,0.0036299774941,56.3445106633
Hip14,0.0,7.47859648525,0.00398864969176,61.9118205154
DIP-beta,0.0,7.16466652111,0.00398864969176,61.9118205154
Mtch,8.59688979493,6.60626381708,0.00416441879531,64.6401085409
Taf12,4.05691668576,7.23348185415,0.0042357913158,65.7479528038
dati,7.89972709939,5.0643205053,0.00430777905941,66.8653465602
l(1)G0255,8.60492575889,9.56526432766,0.00430777905941,66.8653465602
beat-VII,0.0,2.39719594327,0.00447257634231,69.4233299853
Su(fu),1.12766029773,0.0,0.00447257634231,69.4233299853
mRpL38,7.40803168508,0.0,0.00447257634231,69.4233299853
CG31808,0.0,5.48051580736,0.00447257634231,69.4233299853
CG5844,7.50732534208,0.0,0.00450661135093,69.9516213891
CG31145,7.97736184887,0.0,0.00493654540271,76.6250577408
CG14024,0.0,7.96719106083,0.00494472589418,76.7520353295
CG34370,8.66484471029,5.94042697399,0.00508834087578,78.9812270738
lark,10.3092351191,9.5860978018,0.00509655249555,79.108687836
CG3967,9.93128982006,9.12130517343,0.00509655249555,79.108687836
Ten-a,7.02759908844,8.29622029921,0.00509655249555,79.108687836
Appl,9.03969325878,10.2651886534,0.00509655249555,79.108687836
CG2025,0.0,4.95047361361,0.0053005570512,82.2752465487
Wbp2,6.45269681365,0.0,0.0053005570512,82.2752465487
CG15019,4.49334120938,0.0,0.00544425276621,84.5056914371
Snx16,7.41988413116,0.0,0.00545841288083,84.7254847362
GABA-B-R1,0.863105162205,6.34489214889,0.00569007744509,88.3213821027
Taf10b,2.14328767555,6.27399252441,0.00582677971481,90.4432747333
CG43902,0.0,3.86512030732,0.00586160832233,90.9838843792
CG6700,0.0,7.08525234034,0.00587556329273,91.2004934297
tyf,5.40128715397,3.24322772923,0.00591876009522,91.8709941979
Vha14-1,5.30297554542,7.28424003326,0.00597427122471,92.7326379499
CG42747,9.25539816768,7.63341560218,0.00600211729593,93.1648646674
dally,3.08666057399,8.27131436613,0.00600211729593,93.1648646674
stai,9.8990104083,10.4783723284,0.00601141270381,93.3091479885
Atpalpha,11.9385246529,12.7351049472,0.00601141270381,93.3091479885
Mi-2,7.16526549441,1.83299385379,0.00621296200904,96.4375963044
beat-IIIc,3.85166741847,0.0,0.0064649498014,100.348950817
CG12484,0.0,8.26314411089,0.0064649498014,100.348950817
CG31637,8.21718405523,1.68426178367,0.00649274409288,100.78037381
CG6201,0.0,6.66182418075,0.00649274409288,100.78037381
Sec10,7.31638229608,0.0,0.00653613018271,101.453812696
