symbol,medianA,medianB,pvalue,pvalue_adj
klg,0.0,8.01195658453,7.09569794446e-06,0.110139423494
Dtg,0.0,10.191594057,9.15336830931e-06,0.142078582897
beat-VI,0.0,9.85230500581,9.15336830931e-06,0.142078582897
CG9650,6.69669805133,0.0,1.60001094808e-05,0.248353699361
fred,0.0,8.12294592736,1.60001094808e-05,0.248353699361
hth,10.0828168406,2.94635649752,1.69078033979e-05,0.262442924342
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
CG43729,9.85193410769,0.0,1.88171500287e-05,0.292079802745
Ca-alpha1T,8.8747317127,1.1927337006,2.17429698644e-05,0.337494378236
twz,10.5900754202,3.50601091019,2.78712282901e-05,0.43261720552
CG30463,0.0,8.36361995907,3.11543104412e-05,0.483577206668
Ih,6.98550939389,0.0,6.27394017787e-05,0.973840994409
glob1,8.7019394658,0.0,7.41699466527e-05,1.15126591194
Ggamma30A,9.52968857074,8.36910829667,0.000123103116411,1.91080657294
beat-IIIc,3.85166741847,0.0,0.000191695863289,2.97550318997
CG11317,0.0,8.88784472726,0.00019433835008,3.01651986994
CG32982,2.92730187681,0.0,0.000239209057348,3.71300298815
Cdk12,6.94510395063,0.0,0.000260993147107,4.05113562939
Con,10.1064173558,6.04450199932,0.000295206040972,4.58218816797
CG13300,8.33476068104,4.99692612611,0.000296021072947,4.59483909429
Tbh,8.15410383908,0.0,0.000359671675717,5.58282375049
tinc,8.5140095086,3.10451489861,0.000364765459768,5.66188946651
pros,12.4606935331,11.4926612827,0.000365740995907,5.67703173847
CG31221,8.60127989747,2.45881689876,0.000369877481387,5.74123826609
beat-VII,0.0,5.26653811686,0.000401100451324,6.22588120545
CG8861,0.0,7.14190820647,0.000403173249831,6.25805518388
CG11191,0.0,8.95462729589,0.000403173249831,6.25805518388
Syx18,7.52289240804,0.0,0.000505276606553,7.84290348691
rdo,7.37831140697,0.0,0.000505276606553,7.84290348691
Cow,4.38514062535,8.81696484675,0.000525874701383,8.16262711487
l(1)G0469,0.0,5.52176894508,0.000599404297285,9.30395350247
Mgat2,2.39760582299,9.83294156106,0.000787953959844,12.2306213647
Arl4,7.05493488437,5.59688627372,0.000818314149943,12.7018722354
Pis,0.0,8.15443538592,0.000882615531441,13.699958279
