symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,9.88148141322,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,1.19642080675e-05,0.185708437624
CG30463,0.0,7.69669558596,1.46238770616e-05,0.22699181975
fred,0.0,8.2248430097,1.60001094808e-05,0.248353699361
hth,10.0828168406,1.09134777234,1.75893739454e-05,0.27302226238
CG31676,9.87083365218,0.0,1.87923035691e-05,0.291694136
l(1)G0469,0.0,7.50746105096,2.02308250395e-05,0.314022866263
twz,10.5900754202,1.58415601029,2.05109686014e-05,0.318371254631
CG9650,6.69669805133,0.0,2.70325472882e-05,0.419599199007
Cdk12,6.94510395063,0.0,3.92892831811e-05,0.609848253538
Dtg,0.0,9.65562967133,4.50342179868e-05,0.699021131592
CG8861,0.0,8.06679610999,5.1305805304e-05,0.796368709929
CG11317,0.0,8.65305933905,5.78208106649e-05,0.897494623141
Ca-alpha1T,8.8747317127,3.11347140276,6.08385738294e-05,0.94433634298
klg,0.0,7.97143910812,0.00011600356004,1.80060725894
Ggamma30A,9.52968857074,8.54113606012,0.000154022352814,2.39073496038
Tbh,8.15410383908,0.0,0.000186449746378,2.89407296328
Sulf1,5.76962799526,0.0,0.000191695863289,2.97550318997
tinc,8.5140095086,2.55479547227,0.000236135092723,3.66528890925
Cow,4.38514062535,8.8042834618,0.000280015124478,4.34639476215
pros,12.4606935331,11.4314258671,0.000296021072947,4.59483909429
glob1,8.7019394658,5.50796581229,0.000438924708267,6.81298932172
CG42541,8.50599811427,4.20885976141,0.00045046779818,6.99216116335
Ac76E,7.17350972358,0.0,0.000542166280837,8.41550501115
noc,1.86295409603,0.0,0.000542166280837,8.41550501115
CG2931,7.04456172136,0.0,0.000599404297285,9.30395350247
Mgat2,2.39760582299,9.58256701368,0.000644725598377,10.007430738
CG31221,8.60127989747,4.61248251953,0.000644725598377,10.007430738
ND-SGDH,5.45542344143,8.04201763842,0.0006753339723,10.482533918
Ten-a,7.02759908844,8.34096529559,0.000676970721546,10.5079395398
CG34370,8.66484471029,4.28260496856,0.000818314149943,12.7018722354
CG5903,8.00735933334,5.02584944349,0.000982205636211,15.2457958853
beat-IIIc,3.85166741847,0.0,0.000986770339198,15.316649205
rdo,7.37831140697,0.0,0.000986770339198,15.316649205
CG3632,7.14804766205,0.0,0.00112880308385,17.5212814675
Rbp6,10.6424392542,10.0379892062,0.00121836740449,18.9114988526
MESR4,0.0,6.08361727202,0.00123829633922,19.2208357774
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
Mrtf,0.0,1.86742495194,0.00142779274305,22.1621989576
CG11103,0.0,3.87987269865,0.00142779274305,22.1621989576
Snx16,7.41988413116,0.0,0.00142779274305,22.1621989576
Fas3,3.54034818985,0.0,0.00142779274305,22.1621989576
sano,4.41519823387,0.0,0.00142779274305,22.1621989576
CG14431,9.00358397396,6.961130443,0.00146972308396,22.8130417092
Con,10.1064173558,6.69550004022,0.00146972308396,22.8130417092
Appl,9.03969325878,10.2253152012,0.00147282307527,22.8611597743
MED7,0.0,6.66724116595,0.00148723147035,23.0848068828
CG1998,2.20357354904,8.41272001039,0.0015028760232,23.3276416321
CG13148,0.513426486735,7.96846495383,0.00157976558932,24.5211214775
CG1885,0.0,7.00125575227,0.00166511987523,25.8459907033
Ih,6.98550939389,0.0,0.00166511987523,25.8459907033
Nmda1,8.23105605418,4.89167470974,0.00173908106987,26.9940163665
ND-24,6.86797209043,8.13462585849,0.00177131609779,27.4943684699
CG45263,6.65620893096,0.564202089475,0.00198913301754,30.8753226982
CG33199,4.1653440868,0.0,0.00201257007866,31.239112761
CG32982,2.92730187681,0.0,0.00205903263078,31.960304495
Cngl,0.47911303765,5.07669302604,0.0022921955282,35.5794589887
Nop17l,0.0,8.22972539119,0.00237816800051,36.9139237038
E2f1,2.04265935231,8.58934700845,0.00245863997421,38.1630096797
Teh2,2.41425784502,7.80511984871,0.00261422729693,40.578036103
frj,0.0,7.86185639541,0.00292094333165,45.3388823938
oaf,1.33633697256,7.51746557345,0.00293985221537,45.632386087
Gprk2,9.08637150292,7.56081404365,0.00304947296561,47.3339193722
Rcd-1,7.49388339669,8.51550111065,0.00326938483288,50.747391376
disp,0.0,7.31512372243,0.00344965301637,53.54551412
CG15537,0.810328266,0.0,0.00352705120034,54.7468887317
ASPP,0.0,1.06258087385,0.00352705120034,54.7468887317
Dop1R2,0.0,1.26111219064,0.00352705120034,54.7468887317
CG17841,0.488442692924,0.0,0.00352705120034,54.7468887317
CR45392,0.493862374575,0.0,0.00352705120034,54.7468887317
CR45156,0.94109838056,0.0,0.00352705120034,54.7468887317
CG12288,0.0,0.5715420375,0.00352705120034,54.7468887317
ogre,0.0,0.682574480695,0.00352705120034,54.7468887317
nop5,1.85629804772,0.0,0.00352705120034,54.7468887317
Tsp66E,3.61202686743,0.0,0.00359044554028,55.7308956763
nAChRalpha7,10.2186329748,10.8385218845,0.0036299774941,56.3445106633
CG17829,0.0,6.40641283898,0.00364894251992,56.6388857942
CCKLR-17D3,7.45920883712,0.0,0.00364894251992,56.6388857942
Bre1,6.66868892306,0.0,0.00374224898317,58.0871887168
CG12484,0.0,7.84777363197,0.00374224898317,58.0871887168
CG11191,0.0,7.7888210948,0.00383068638571,59.4599140789
CG43759,0.0,5.20433259792,0.00383068638571,59.4599140789
CG2918,5.19790660495,9.14063891696,0.00405851819082,62.9963193579
CR46008,2.36029169891,0.0,0.00415787213509,64.5384912809
CG43066,0.0,4.35594174901,0.00415787213509,64.5384912809
