symbol,medianA,medianB,pvalue,pvalue_adj
Dtg,0.0,10.8217534715,9.15336830931e-06,0.142078582897
CG43729,9.85193410769,0.0,1.11685890367e-05,0.173358839028
beat-VI,0.0,9.36297478422,1.19642080675e-05,0.185708437624
fred,0.0,8.9904523659,1.22446437935e-05,0.190061360963
CG9650,6.69669805133,0.0,1.60001094808e-05,0.248353699361
twz,10.5900754202,2.04376293295,1.69078033979e-05,0.262442924342
hth,10.0828168406,4.514830139,1.80085268433e-05,0.279528353662
klg,0.0,7.5201513678,3.03089062316e-05,0.470454842527
CG31676,9.87083365218,0.0,3.03089062316e-05,0.470454842527
CG30463,0.0,8.22431872852,3.11543104412e-05,0.483577206668
glob1,8.7019394658,0.0,4.01279246574e-05,0.622865646532
Ih,6.98550939389,0.0,5.78208106649e-05,0.897494623141
Ca-alpha1T,8.8747317127,1.48881559185,7.687377789e-05,1.19323478041
CG32982,2.92730187681,0.0,0.00011600356004,1.80060725894
eIF-2gamma,4.47865613272,8.68343680393,0.000121576208476,1.88710590796
Tbh,8.15410383908,0.0,0.000148803009366,2.30972031139
CG11317,0.0,8.51754221008,0.00019433835008,3.01651986994
CG8861,0.0,7.71105960502,0.000208948864483,3.24330427451
CG11191,0.0,8.08755471583,0.000232858915968,3.61443609366
pros,12.4606935331,11.3398554824,0.000238840864478,3.70728789844
Cdk12,6.94510395063,0.0,0.000240683285505,3.73588595761
Ggamma30A,9.52968857074,8.6425330294,0.000365740995907,5.67703173847
CG34393,0.0,3.99611225047,0.000401100451324,6.22588120545
CG3955,7.11233078484,8.30993594911,0.000438924708267,6.81298932172
na,0.0,1.69455047321,0.000542166280837,8.41550501115
CG43778,1.50237388692,0.0,0.000542166280837,8.41550501115
Tsp66E,3.61202686743,0.0,0.000542166280837,8.41550501115
nAChRalpha7,10.2186329748,10.9378639326,0.00055308909204,8.58504888665
CG31221,8.60127989747,2.81989831608,0.000560911060533,8.7064614816
l(1)G0469,0.0,4.19398683651,0.000742842896261,11.5304074358
Cow,4.38514062535,8.78515836109,0.000787953959844,12.2306213647
tinc,8.5140095086,3.92344631619,0.000826019728117,12.8214782198
CG12484,0.0,8.59118848675,0.000884060424462,13.7223859085
CG32176,0.0,5.36861876918,0.000986770339198,15.316649205
Rcd-1,7.49388339669,8.55539407749,0.000995695028697,15.4551782354
Cbs,0.0,8.37146032396,0.00111189349193,17.2588107817
tyf,5.40128715397,2.27337068105,0.00116590237631,18.0971366851
NK7.1,2.19905967981,0.0,0.00122388950565,18.9972129066
CG31808,0.0,7.22087284583,0.00126291265293,19.6029301988
CG1358,0.0,6.8647010689,0.00126291265293,19.6029301988
Arfrp1,0.0,5.849016254,0.00142779274305,22.1621989576
NPFR,1.94224310471,0.0,0.00142779274305,22.1621989576
corto,6.94441973589,9.26704767679,0.00146044673523,22.6690542243
Ac76E,7.17350972358,0.0,0.00156917424068,24.3567225639
Mi-2,7.16526549441,0.0,0.00161732083694,25.1040540309
Wbp2,6.45269681365,0.0,0.00252281894047,39.159195594
Nmda1,8.23105605418,5.75242996845,0.00254913889704,39.5677339598
lark,10.3092351191,9.4547676035,0.0025539527125,39.6424540034
Uch-L5,0.0,7.87231979768,0.00286910496103,44.534247205
qsm,0.0,7.98798860534,0.00286910496103,44.534247205
CG4502,2.1730686521,7.63162595235,0.00293985221537,45.632386087
Pkc53E,4.13559297338,0.0,0.00307529397712,47.7347131128
CG7857,0.0,5.11667806198,0.00307529397712,47.7347131128
rdo,7.37831140697,0.0,0.00309625179863,48.0600204183
CG7427,0.0,6.30825055782,0.00309625179863,48.0600204183
CG43902,0.0,4.29215906583,0.00311817639929,48.4003340699
CG11781,0.0,5.68153727324,0.00340824673532,52.9028058256
Cchl,6.59485985584,0.0,0.00344965301637,53.54551412
Bet1,0.0,5.19949489089,0.00344965301637,53.54551412
CG31145,7.97736184887,0.0,0.00348497681177,54.0938100723
Teh2,2.41425784502,7.28903172572,0.00350437791695,54.3949540269
CG10384,0.0,0.844920641705,0.00352705120034,54.7468887317
CG2162,0.513426486735,0.0,0.00352705120034,54.7468887317
CG2004,0.0,2.79447016776,0.00352705120034,54.7468887317
Rtf1,0.0,6.91425817958,0.00359044554028,55.7308956763
Rpn11,9.37744700446,7.72781236103,0.00360467167913,55.9517138034
Atpalpha,11.9385246529,12.8356728185,0.0036299774941,56.3445106633
Argk,9.81458688027,10.4925133896,0.0036299774941,56.3445106633
Bre1,6.66868892306,0.0,0.00374224898317,58.0871887168
CG10543,0.0,3.88959353725,0.00398864969176,61.9118205154
CG14024,0.0,7.81458084308,0.00415787213509,64.5384912809
CG42747,9.25539816768,7.45469994584,0.00430777905941,66.8653465602
CG13148,0.513426486735,7.97111282349,0.00442947100501,68.7542489398
CG8641,2.61121313592,0.0,0.00447257634231,69.4233299853
sano,4.41519823387,0.0,0.00447257634231,69.4233299853
Sulf1,5.76962799526,0.0,0.00478027785591,74.1994728795
PsGEF,0.0,3.67253800387,0.00494472589418,76.7520353295
wit,0.0,7.6836632582,0.00494472589418,76.7520353295
exd,8.67909644513,6.68386495726,0.00506374462822,78.5994441192
Vps28,0.0,4.95559888792,0.00522636036729,81.1235656211
oaf,1.33633697256,7.37090497009,0.00523521521884,81.2610106268
Rlip,7.14147238436,0.0,0.00540745351568,83.9344934703
beat-IIIb,8.20906784392,3.63570262673,0.00545010546949,84.5965370974
CG10333,0.0,1.96117716541,0.00545841288083,84.7254847362
CG15011,0.0,2.041775878,0.00545841288083,84.7254847362
CG13096,0.0,3.81019981889,0.00545841288083,84.7254847362
DIP-beta,0.0,6.07964865473,0.00570910433234,88.6167174465
ArfGAP1,0.0,7.88185007492,0.00570910433234,88.6167174465
pgant2,4.60058166711,0.0,0.00570910433234,88.6167174465
CR46008,2.36029169891,0.0,0.00586160832233,90.9838843792
CG33090,8.3071135992,0.0,0.00587556329273,91.2004934297
regucalcin,0.0,6.72642335464,0.00587556329273,91.2004934297
Taf12,4.05691668576,7.59710624336,0.00591876009522,91.8709941979
Appl,9.03969325878,10.2857984541,0.00601141270381,93.3091479885
Gprk1,8.53485719171,9.44386063306,0.00601141270381,93.3091479885
Dhc64C,0.513426486735,7.90757561416,0.00621296200904,96.4375963044
CG11739,0.0,7.27502457564,0.00640153135102,99.3645696306
CSN4,0.990773866755,7.64324684264,0.00649274409288,100.78037381
2mit,0.0,2.27514062551,0.00663282670479,102.954736112
tth,4.73190736347,0.0,0.00663282670479,102.954736112
cic,7.56745192679,5.39251388759,0.0069644785992,108.102636817
MRP,0.0,6.83345798047,0.00700700427144,108.762720301
Vha14-1,5.30297554542,6.41705664111,0.00705850305669,109.562084446
Cnx99A,9.13167209593,10.2888164792,0.00706898472796,109.724780947
Gdh,10.7515458547,11.1794841205,0.00706898472796,109.724780947
tnc,8.21746774526,9.79304073989,0.00706898472796,109.724780947
GABA-B-R2,6.26378473236,8.65205115462,0.00706898472796,109.724780947
Dat,7.92936111415,2.19934103552,0.00732347214775,113.674934677
unc-5,1.06703201629,0.0,0.00802528727053,124.568509013
CG4393,0.0,1.34659311226,0.00802528727053,124.568509013
CG1275,0.0,3.02416236233,0.00802528727053,124.568509013
CG33229,7.53616920052,2.76550088495,0.00805333439793,125.003856525
CG1291,6.13418633223,0.0,0.00805893116142,125.090729488
ksh,0.0,4.07026773045,0.00805893116142,125.090729488
CG6621,0.0,0.0,0.00823657790279,127.848162207
CG6123,0.0,0.0,0.00823657790279,127.848162207
IntS4,0.0,0.0,0.00823657790279,127.848162207
Ac13E,0.0,0.0,0.00823657790279,127.848162207
CG34347,0.0,0.0,0.00823657790279,127.848162207
AstA-R1,0.0,0.0,0.00823657790279,127.848162207
CG32392,0.0,0.0,0.00823657790279,127.848162207
CR44909,0.0,0.0,0.00823657790279,127.848162207
CR45789,0.0,0.0,0.00823657790279,127.848162207
CG8475,0.0,0.0,0.00823657790279,127.848162207
IntS9,0.0,0.0,0.00823657790279,127.848162207
JhI-21,0.0,0.0,0.00823657790279,127.848162207
Catsup,0.0,0.0,0.00823657790279,127.848162207
ppk19,0.0,0.0,0.00823657790279,127.848162207
CG8368,0.0,0.0,0.00823657790279,127.848162207
CG14353,0.0,0.0,0.00823657790279,127.848162207
CG12594,0.0,0.0,0.00823657790279,127.848162207
CCKLR-17D1,0.0,0.0,0.00823657790279,127.848162207
CG4743,0.0,0.0,0.00823657790279,127.848162207
eys,0.0,0.0,0.00823657790279,127.848162207
CG12768,0.0,0.0,0.00823657790279,127.848162207
mt:ND4,1.69321867961,0.0,0.0082400050643,127.901358608
CG42541,8.50599811427,6.42732229072,0.00828746337493,128.638006506
sn,10.8647277956,11.5278740874,0.00828746337493,128.638006506
Ptp99A,6.50547359616,4.4459570934,0.00828746337493,128.638006506
shakB,9.60319654935,8.72939496999,0.00828746337493,128.638006506
ScpX,0.0,5.85879939137,0.00914149983987,141.894360514
Su(fu),1.12766029773,0.0,0.00922543868928,143.197259335
rap,8.19132062989,1.17136729599,0.00942455500723,146.287942822
CG17904,0.0,6.321499857,0.00966848626792,150.074243851
Fur2,2.4386321191,0.0,0.00966848626792,150.074243851
U4-U6-60K,9.97565480679,8.72246125296,0.00967348688211,150.151863384
mCD8-GFP,12.251408472,12.7993901708,0.0096866596658,150.356331332
Sh,7.96373468332,6.79221115111,0.0096866596658,150.356331332
SsRbeta,6.29593586361,7.38300162964,0.0096866596658,150.356331332
rad,0.0,4.41778488279,0.00970929361144,150.707655437
CG17829,0.0,3.27016599994,0.00974606052132,151.278351412
CG15537,0.810328266,0.0,0.00974606052132,151.278351412
CG31475,0.0,3.87379162292,0.00974606052132,151.278351412
beat-IIb,2.63337812803,0.0,0.00974606052132,151.278351412
beat-VII,0.0,1.33071848528,0.00974606052132,151.278351412
CG14868,7.54440867521,0.0,0.0103424167488,160.534992776
CG30116,4.49987875524,0.501672470555,0.0104769505192,162.623225958
Cngl,0.47911303765,4.55265300062,0.0104769505192,162.623225958
wkd,0.0,5.66018028765,0.010524821166,163.366274139
east,6.43160193186,0.0,0.010812027636,167.824292966
Gmap,4.17356351599,0.0,0.010812027636,167.824292966
CG9940,0.0,5.95248302662,0.0108968262449,169.140536974
Herp,8.09054549203,0.0,0.011008781754,170.878310386
Fas3,3.54034818985,0.0,0.011008781754,170.878310386
Plod,0.0,7.35553038723,0.0110568859277,171.62498337
Sec10,7.31638229608,0.0,0.0110568859277,171.62498337
Gprk2,9.08637150292,7.89508274592,0.0112733508526,174.984951934
CG34370,8.66484471029,6.95523266564,0.0112880312616,175.212821242
CG9636,9.6381058114,10.2622962434,0.0112880312616,175.212821242
grp,9.57294035349,8.45820357266,0.0112880312616,175.212821242
CG17270,9.07934243014,8.33358568961,0.0112880312616,175.212821242
nej,4.2478094434,0.0,0.0113892126512,176.783358771
CG3632,7.14804766205,0.0,0.0114025301101,176.990072369
GAPsec,0.0,2.42190243885,0.0115984223418,180.030711589
l(2)37Cg,1.04204822248,0.0,0.0115984223418,180.030711589
Cda5,0.0,1.06299622229,0.0115984223418,180.030711589
wol,3.20232354586,0.0,0.0115984223418,180.030711589
CG9376,6.6855317982,0.459606922659,0.0117705980311,182.703222638
CG11970,0.513426486735,0.0,0.011783775848,182.907768713
Cdc2rk,0.513426486735,0.0,0.011783775848,182.907768713
mRpS31,1.62525609861,0.0,0.011783775848,182.907768713
CR31054,0.553605529555,0.0,0.011783775848,182.907768713
CG12746,0.0,3.93926275599,0.011783775848,182.907768713
Ate1,0.0,1.51151020754,0.011783775848,182.907768713
sdt,1.4773389732,5.46683586621,0.0122129533629,189.569462099
CG10947,0.764495372015,8.66375784728,0.0125484922768,194.77769712
GABA-B-R1,0.863105162205,5.95251235305,0.0125484922768,194.77769712
CG5037,0.0,3.64492682212,0.0127422475789,197.785166919
CG10880,0.0,6.78360736841,0.0127422475789,197.785166919
CG5746,6.81774771443,8.64508077808,0.0129520479039,201.041687564
CG3568,6.65613864003,0.0,0.0130791275405,203.014217684
GlyS,0.0,3.00271102001,0.013084786887,203.10206206
CG7785,0.0,3.00723043067,0.013084786887,203.10206206
kek3,3.04063347452,0.0,0.013084786887,203.10206206
Cam,9.01509476116,9.69022215173,0.0131146939174,203.566278986
beat-IIIc,3.85166741847,0.0,0.0131707186202,204.435894423
GluProRS,0.0,6.9234154236,0.0131707186202,204.435894423
SF1,5.30975211026,0.0,0.0133466716311,207.167037058
CG2116,3.39373966869,0.0,0.0138544332379,215.048512718
grau,0.0,2.87173037708,0.0141814401924,220.124314667
CG6136,0.0,1.65450404891,0.0141814401924,220.124314667
nop5,1.85629804772,0.0,0.0141814401924,220.124314667
ND-B14.7,0.603813973245,6.18900572392,0.0141929274703,220.302620194
DCTN6-p27,5.33449860336,0.0,0.0142000564574,220.413276333
CG7927,8.43968673912,0.0,0.0142515527606,221.21260195
Rpn8,0.0,7.0887229824,0.0147661604059,229.20034182
Pmp70,7.32933131963,0.0,0.0149637184723,232.266838127
Slip1,9.46442772475,7.8316432252,0.0151193855559,234.683102598
CG5642,6.81957530842,9.05195411468,0.0151733946934,235.521432431
RpLP0,10.8867541965,10.1385667324,0.0151914109883,235.80108136
tws,0.810328266,8.17787282079,0.0152110271534,236.105563475
noc,1.86295409603,0.0,0.0154063337215,239.137112025
