symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,6.24702075372,5.13445780758e-06,0.0796970540892
GV1,9.26506360569,0.0,5.13445780758e-06,0.0796970540892
CG31676,10.7075208431,0.0,7.09569794446e-06,0.110139423494
Ten-m,6.42972858838,0.0,7.09569794446e-06,0.110139423494
klg,0.0,8.61949919308,1.11685890367e-05,0.173358839028
twz,11.2897181824,6.9892163283,1.75893739454e-05,0.27302226238
Ac76E,7.10525701953,0.0,1.87923035691e-05,0.291694136
hth,9.55136865658,0.56740397803,2.05109686014e-05,0.318371254631
CG8861,0.0,8.3058326611,3.58926629413e-05,0.557125914175
sdt,0.0,5.57761508488,6.2654363942e-05,0.972521037107
regucalcin,0.0,8.53051173663,7.39782380629e-05,1.14829021121
Sulf1,8.33672583502,0.0,7.41699466527e-05,1.15126591194
glob1,9.0469300703,0.0,7.41699466527e-05,1.15126591194
mspo,0.0,8.28325113293,8.30327653547e-05,1.28883458384
beat-VI,0.0,8.16605881616,0.00011600356004,1.80060725894
SkpA,9.91205613731,9.30698898781,0.000123103116411,1.91080657294
Cow,0.0,8.87116763686,0.000162360448308,2.52015887864
hig,0.0,8.28976921885,0.000188639994557,2.92806999551
CG30463,0.0,6.25104806352,0.000191695863289,2.97550318997
dpr13,0.0,7.13269158049,0.000191695863289,2.97550318997
CCKLR-17D3,6.46903050733,0.0,0.000191695863289,2.97550318997
IA-2,8.5405625244,0.0,0.000313816746402,4.87106353765
Ca-alpha1T,7.91374125935,0.0,0.000444828728981,6.90463153124
pros,11.561619183,10.7098169995,0.00045046779818,6.99216116335
side,0.0,8.10685030141,0.0004791681021,7.43764728079
Mmp2,6.22955636507,0.0,0.000490627225359,7.61551579203
stan,0.0,2.46460399898,0.000542166280837,8.41550501115
AIMP2,3.00008777853,0.0,0.000542166280837,8.41550501115
Nlg2,5.04543950255,0.0,0.000595886334442,9.24934768321
CG31475,0.0,7.7600125023,0.000741696486829,11.5126128686
bru-3,8.37319883199,4.77739671056,0.000995695028697,15.4551782354
nmo,9.57164033781,7.80952878109,0.00100475242783,15.5957671848
Nopp140,7.4556184483,0.53431913916,0.00107504485903,16.6868463018
CG34114,0.0,7.20488524121,0.00108495092142,16.8406082023
CG10565,8.03178763698,0.0,0.00113640233548,17.6392370513
CG17816,7.69713512242,8.84067742496,0.00121836740449,18.9114988526
cv-2,0.0,7.51773561778,0.00125050505117,19.4103394042
CG10384,0.0,7.48198860327,0.00126291265293,19.6029301988
trio,0.0,6.68039295933,0.00135089837356,20.9686445544
CR44987,1.57536279066,0.0,0.00142779274305,22.1621989576
CG11563,4.96872159764,0.0,0.00142779274305,22.1621989576
beta4GalNAcTA,5.19704117578,0.0,0.00142779274305,22.1621989576
Dtg,0.0,8.0573786631,0.00142779274305,22.1621989576
