symbol,medianA,medianB,pvalue,pvalue_adj
GV1,9.22337728138,0.0,5.13445780758e-06,0.0796970540892
Ac76E,7.42514071435,0.0,5.13445780758e-06,0.0796970540892
CG31676,10.6545790378,0.0,7.09569794446e-06,0.110139423494
Ten-m,6.42972858838,0.0,7.09569794446e-06,0.110139423494
klg,0.0,8.61949919308,1.11685890367e-05,0.173358839028
hth,9.72007795239,0.56740397803,1.59244638206e-05,0.247179527424
twz,11.5168531155,6.9892163283,1.75893739454e-05,0.27302226238
CG8861,0.0,8.3058326611,2.43019981857e-05,0.377215615839
regucalcin,0.0,8.53051173663,3.92892831811e-05,0.609848253538
fred,0.0,6.24702075372,5.78208106649e-05,0.897494623141
sdt,0.0,5.57761508488,6.2654363942e-05,0.972521037107
glob1,9.05958994518,0.0,7.41699466527e-05,1.15126591194
Sulf1,7.71852397119,0.0,9.38526806308e-05,1.45678130875
SkpA,10.0287757194,9.30698898781,9.80807368533e-05,1.52240919744
beat-VI,0.0,8.16605881616,0.00011600356004,1.80060725894
mspo,0.0,8.28325113293,0.000132597583797,2.05817969569
Cow,0.429335811418,8.87116763686,0.000173095085209,2.68678191261
hig,0.0,8.28976921885,0.000188639994557,2.92806999551
CCKLR-17D3,8.19772829953,0.0,0.000191695863289,2.97550318997
dpr13,0.0,7.13269158049,0.000191695863289,2.97550318997
IA-2,8.56482839525,0.0,0.000252741572561,3.92305468928
side,0.0,8.10685030141,0.000313816746402,4.87106353765
Mmp2,6.35280128975,0.0,0.000318096176154,4.93748884626
drl,9.77895834189,7.24562706943,0.000356065705973,5.52685188811
pros,11.7521856795,10.7098169995,0.00045046779818,6.99216116335
stan,0.0,2.46460399898,0.000542166280837,8.41550501115
CG11563,5.62954927574,0.0,0.000542166280837,8.41550501115
AIMP2,3.29950584451,0.0,0.000542166280837,8.41550501115
CG17816,7.08916731732,8.84067742496,0.00055308909204,8.58504888665
nmo,9.6081764247,7.80952878109,0.00055308909204,8.58504888665
AP-2mu,0.0,6.74428436616,0.000589256886706,9.14644539545
bru-3,8.73235403292,4.77739671056,0.000670439238374,10.406557858
CG31475,0.0,7.7600125023,0.000741696486829,11.5126128686
CG30463,0.0,6.25104806352,0.000741696486829,11.5126128686
Atpalpha,13.2947946961,13.6261585976,0.000826019728117,12.8214782198
drpr,8.96420372064,10.3342471491,0.000826019728117,12.8214782198
Rab11,8.27121632272,8.81457061183,0.00100475242783,15.5957671848
RpS25,10.0600814185,9.32683131308,0.00100475242783,15.5957671848
CG34114,0.0,7.20488524121,0.00108495092142,16.8406082023
CG13004,0.0,3.32708313823,0.00112880308385,17.5212814675
CG10384,0.0,7.48198860327,0.00126291265293,19.6029301988
mgl,6.23073512657,0.522164871615,0.00130526710377,20.2603559847
CG10565,7.94446046239,0.0,0.00139888360254,21.7134712786
CG15765,9.20743238125,5.68541991726,0.00141157064903,21.9103996143
CR44987,1.57536279066,0.0,0.00142779274305,22.1621989576
Dtg,0.0,8.0573786631,0.00142779274305,22.1621989576
CCKLR-17D1,2.98236784399,0.0,0.00142779274305,22.1621989576
CG31637,8.67922785996,5.84557419088,0.00144200028716,22.3827284574
Nlg2,5.04543950255,0.0,0.00151213077469,23.4712938847
cv-2,0.0,7.51773561778,0.00153061881771,23.7582652885
Fas3,7.2030519375,0.0,0.00156917424068,24.3567225639
CG4829,0.0,8.0374145232,0.00166511987523,25.8459907033
Ca-alpha1T,7.73420403781,0.0,0.00166511987523,25.8459907033
me31B,8.32750375684,1.40155838284,0.00190593953565,29.5839934724
scrt,8.16204184266,5.88094825473,0.00190761839086,29.610052663
CG3967,10.1803002574,9.12663188985,0.00213238245702,33.0988404978
CG14446,0.0,4.61797682377,0.00221073834775,34.3150806338
CaBP1,8.81985077961,9.84284176929,0.00254913889704,39.5677339598
Klc,6.12015858363,8.56290727025,0.0025539527125,39.6424540034
igl,9.02858534565,10.5299941752,0.0025539527125,39.6424540034
CG42541,9.32191921971,7.79691235557,0.0025539527125,39.6424540034
A2bp1,8.69675925006,7.25552319626,0.0025539527125,39.6424540034
Pxn,9.22792044301,10.3497367407,0.0025539527125,39.6424540034
nAChRalpha2,7.48925446762,9.59791921159,0.00261422729693,40.578036103
CG12264,0.0,8.31076009702,0.0026641228572,41.3525149895
Btk29A,0.0,5.05010150534,0.00292094333165,45.3388823938
GstT2,0.0,1.72210559575,0.0029371589306,45.5905809207
Ald,8.52249914622,10.1094858669,0.00304947296561,47.3339193722
mRpL27,6.18322590373,0.0,0.00319987388694,49.6684424731
Cngl,2.51591670482,6.37071057709,0.00341170718464,52.95651892
Gprk2,8.56641652291,6.89085215532,0.00350437791695,54.3949540269
CG34353,0.873590013875,0.0,0.00352705120034,54.7468887317
pn,0.0,0.832090892855,0.00352705120034,54.7468887317
CG4858,0.0,0.888134324595,0.00352705120034,54.7468887317
CG9855,0.0,2.12591130614,0.00352705120034,54.7468887317
rdgC,5.11522455686,0.0,0.00364894251992,56.6388857942
CG44325,2.83207266273,0.0,0.00364894251992,56.6388857942
CG5919,7.82338497054,0.0,0.00373444360938,57.9660337047
CG10602,0.0,6.96538095723,0.00374224898317,58.0871887168
Trim9,0.0,7.89608924994,0.00415787213509,64.5384912809
IP3K1,1.95328870202,0.0,0.00418611821577,64.9769269452
comt,0.0,4.26100009875,0.00447257634231,69.4233299853
CG4603,5.46665311683,0.0,0.00447257634231,69.4233299853
Arl5,6.43754883227,0.0,0.00447257634231,69.4233299853
CG8209,0.0,7.38768433893,0.00457076610572,70.9474314929
dpr14,7.85502375887,9.05345144691,0.0046796772687,72.6379505648
GluRIB,4.97334505389,0.0,0.00494472589418,76.7520353295
Nopp140,6.82811291473,0.53431913916,0.00525425985974,81.5566215428
CG1105,0.0,5.22602016523,0.0053005570512,82.2752465487
CG14853,8.83606324275,0.0,0.00550127178673,85.3907406736
beat-Vb,7.72867199768,0.0,0.00570910433234,88.6167174465
