symbol,medianA,medianB,pvalue,pvalue_adj
GV1,9.23456506577,0.0,5.13445780758e-06,0.0796970540892
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
hth,10.3395435165,3.91880364784,1.80085268433e-05,0.279528353662
IA-2,11.3532981021,6.55787188707,1.82922767695e-05,0.283932720016
CCKLR-17D3,8.29747868136,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
eys,6.0787273017,0.0,1.87923035691e-05,0.291694136
CG42342,8.2947575132,10.3569749635,2.99179589652e-05,0.464386559058
CG31676,10.0787727453,0.0,3.03089062316e-05,0.470454842527
hig,1.32333713782,9.27361986668,4.53579289172e-05,0.704045772652
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
CG8861,0.0,8.90657215602,6.44528980183e-05,1.00043788304
twz,10.9156026168,8.00131018621,7.53563582746e-05,1.16968139314
l(1)G0469,1.07708017769,7.17677442842,9.49709897323e-05,1.47413970262
CG10384,0.0,7.98823314784,0.00011600356004,1.80060725894
dpr13,0.0,7.68671106566,0.000118369727248,1.83733490635
NK7.1,7.46791666743,3.91176121402,0.000119311802124,1.85195779258
mspo,1.33419292687,8.20656155668,0.000119311802124,1.85195779258
pros,11.8468647557,10.9151336155,0.000154022352814,2.39073496038
CG33543,8.57069738937,0.0,0.000191427754366,2.97134160328
CG32392,0.0,5.10719992197,0.000191695863289,2.97550318997
CCKLR-17D1,6.18825997114,0.0,0.000191695863289,2.97550318997
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
sdt,0.0,6.11165919239,0.000202898452929,3.14938978637
Mmp2,7.25382655089,2.15954436742,0.000202898452929,3.14938978637
CG30463,0.0,6.42252078871,0.000239209057348,3.71300298815
CG14298,0.0,5.38805560115,0.000245190061008,3.80584012697
CG15765,10.5767560281,8.14658021248,0.000296021072947,4.59483909429
CG4341,7.32650609855,0.0,0.000301562738535,4.68085682754
CG31997,0.0,8.60024386331,0.000318096176154,4.93748884626
glob1,8.22257299305,0.0,0.000324921862813,5.04343715458
CG31637,9.06903700946,4.53494344222,0.000346567437383,5.37941976306
kek3,7.87972780421,2.6556467902,0.000356065705973,5.52685188811
Cow,7.92746709109,9.82769667208,0.000365740995907,5.67703173847
Ac76E,7.53648952244,0.0,0.000386116522864,5.99330066789
DIP-beta,0.0,5.87911707175,0.000401100451324,6.22588120545
Sulf1,9.33137190883,7.88232152829,0.00045046779818,6.99216116335
klg,5.08050400933,8.85859980474,0.000525874701383,8.16262711487
CG15537,7.64979081235,0.0,0.000542166280837,8.41550501115
CG33977,0.0,5.25503430552,0.000614632174771,9.5403206168
CG42260,4.10879997169,8.05852137866,0.000644725598377,10.007430738
regucalcin,0.0,7.98605276789,0.000742842896261,11.5304074358
CG11110,0.0,4.25081283707,0.000792514928053,12.3014167132
Pxn,9.49677215153,10.8060680331,0.000826019728117,12.8214782198
igl,9.6906073258,10.633571159,0.000826019728117,12.8214782198
bru-3,8.01898780357,4.87806770972,0.000826019728117,12.8214782198
GstZ2,8.6542086489,4.49516753425,0.000890564171517,13.8233370703
CG7991,0.0,6.04540408399,0.000986770339198,15.316649205
Tpr2,9.56384693172,8.1881916602,0.00100475242783,15.5957671848
nAChRbeta1,10.1305551057,10.8727753869,0.00100475242783,15.5957671848
Ssb-c31a,4.67109339821,7.27025164063,0.00100475242783,15.5957671848
CG14669,0.0,8.3301275821,0.00107504485903,16.6868463018
elB,4.89063489345,0.0,0.00108495092142,16.8406082023
CG34353,8.5892038745,1.47002154443,0.00112748770879,17.5008642158
CG42674,7.1037761112,0.0,0.00112871004054,17.5198372493
beat-Vb,8.56322576944,5.96809257003,0.00119195654579,18.5015495037
Ace,9.20362995338,10.4044563314,0.00121836740449,18.9114988526
botv,0.0,5.04732011287,0.00126291265293,19.6029301988
Nplp1,4.35227396902,0.0,0.00142779274305,22.1621989576
Aatf,0.0,4.44857456682,0.00142779274305,22.1621989576
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
p130CAS,4.71694032138,8.49061348488,0.0015028760232,23.3276416321
CG3226,0.497600207898,6.30120276288,0.00157976558932,24.5211214775
CG34356,8.21300508963,2.45760033061,0.00158420443385,24.5900212222
gry,6.3108649471,0.0,0.00171566764987,26.6305932612
tud,8.49268876496,4.74588089542,0.00173908106987,26.9940163665
Pde9,6.68250991175,5.38069765298,0.00176053230348,27.3269824146
CG32276,6.45861558619,7.51571584238,0.00176053230348,27.3269824146
Prosap,6.73926916777,8.0502779254,0.00177491931746,27.5502976456
norpA,7.88557862309,8.83747477742,0.00177491931746,27.5502976456
Cdk5alpha,7.39004969493,8.58469333195,0.00177491931746,27.5502976456
CG9650,3.76948776286,0.0,0.0018610634418,28.8874267436
CG34114,0.0,7.44036249326,0.00190593953565,29.5839934724
metl,6.32648385879,0.0,0.00194175002269,30.1398438521
CG42700,3.74656541431,0.0,0.00194175002269,30.1398438521
nAChRalpha6,8.1257623728,6.39622745545,0.00213238245702,33.0988404978
Gprk2,8.87068775494,7.60419558634,0.0025539527125,39.6424540034
Ca-alpha1T,10.0097505109,7.61873561129,0.0025539527125,39.6424540034
shrb,5.32152658359,7.47302419809,0.00261422729693,40.578036103
