symbol,medianA,medianB,pvalue,pvalue_adj
CG31676,10.0787727453,0.0,5.13445780758e-06,0.0796970540892
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
twz,10.9501559028,8.00131018621,1.69078033979e-05,0.262442924342
hth,10.2852627646,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.79056015052,1.82922767695e-05,0.283932720016
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
CCKLR-17D3,7.9553138743,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
Ca-alpha1T,10.2727814123,7.61873561129,3.0028801484e-05,0.466107056635
eys,5.88406419501,0.0,3.03089062316e-05,0.470454842527
Ac76E,7.84762386678,0.0,3.92892831811e-05,0.609848253538
pros,11.935389009,10.9151336155,4.86728378236e-05,0.755499788697
CG33543,8.66499634921,0.0,5.07461880929e-05,0.787682331577
hig,2.46172363516,9.45555873015,5.75858987489e-05,0.89384832038
sdt,0.0,6.11165919239,5.84228460578e-05,0.906839416509
CG42342,8.84205657236,10.3569749635,6.1672877202e-05,0.957286399929
beat-VI,0.0,7.91257507616,6.2654363942e-05,0.972521037107
klg,5.08050400933,8.85859980474,7.28770520889e-05,1.13119760252
Cow,7.73453756517,9.69904132408,7.76409585271e-05,1.20514295826
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
dpr13,0.0,7.64492930111,0.000118369727248,1.83733490635
mspo,1.27306809446,8.01915359009,0.000119311802124,1.85195779258
CG31637,9.3080857428,1.54299894185,0.000138338286964,2.14728689026
Pde9,7.44898209804,5.38069765298,0.000153557237674,2.38351544317
Mmp2,7.30697203542,2.15954436742,0.000162360448308,2.52015887864
CG15537,7.99956416568,0.0,0.000191695863289,2.97550318997
CG34114,0.0,7.44036249326,0.000202898452929,3.14938978637
l(1)G0469,1.0335089535,6.88063391692,0.000225527629852,3.50063987056
CG15765,10.5767560281,8.14658021248,0.000238840864478,3.70728789844
Ace,8.89429924062,10.522229622,0.000238840864478,3.70728789844
metl,6.64941373019,0.0,0.000239209057348,3.71300298815
CG30463,0.0,6.42252078871,0.000239209057348,3.71300298815
CG14298,0.0,5.15125277729,0.000245190061008,3.80584012697
glob1,8.22257299305,0.0,0.000254836523736,3.95557252143
regucalcin,0.0,7.98605276789,0.000302203756243,4.69080670441
NK7.1,7.72715838966,2.45754572687,0.000346567437383,5.37941976306
kek3,7.84256220437,2.6556467902,0.000356065705973,5.52685188811
bru-3,8.22938489178,4.87806770972,0.000365740995907,5.67703173847
igl,9.51162793619,10.6569862523,0.000365740995907,5.67703173847
DIP-beta,0.0,6.34933562496,0.000401100451324,6.22588120545
Ssb-c31a,5.0928902439,7.35793852362,0.00045046779818,6.99216116335
Sulf1,9.3078867421,7.93343468602,0.00045046779818,6.99216116335
IntS14,0.0,5.42873449489,0.000505276606553,7.84290348691
