symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
hth,10.1786543382,3.91880364784,1.80085268433e-05,0.279528353662
IA-2,11.3764112207,6.55787188707,1.82922767695e-05,0.283932720016
eys,5.88406419501,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
GV1,8.8137394365,0.0,1.87923035691e-05,0.291694136
CG31676,10.0399331829,0.0,3.03089062316e-05,0.470454842527
hig,1.32333713782,9.27361986668,4.53579289172e-05,0.704045772652
l(1)G0469,1.0335089535,7.17677442842,5.75858987489e-05,0.89384832038
glob1,8.34404727375,0.0,5.84228460578e-05,0.906839416509
CCKLR-17D3,7.66116600659,0.0,6.2654363942e-05,0.972521037107
CG10384,0.0,7.98823314784,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
regucalcin,0.0,7.98605276789,6.2654363942e-05,0.972521037107
twz,10.9501559028,8.00131018621,7.53563582746e-05,1.16968139314
CG42342,8.51566098224,10.3569749635,7.76409585271e-05,1.20514295826
mspo,1.12109162987,8.20656155668,9.19345635454e-05,1.42700829535
pros,11.9473696508,10.9151336155,9.80807368533e-05,1.52240919744
CG31637,9.3080857428,4.53494344222,0.000115606413363,1.79444274822
CG14298,0.0,5.38805560115,0.00011600356004,1.80060725894
sdt,0.0,6.11165919239,0.000148803009366,2.30972031139
CG33543,8.66499634921,0.0,0.000191427754366,2.97134160328
Ac76E,7.84762386678,0.0,0.00019433835008,3.01651986994
dpr13,0.0,7.68671106566,0.000202898452929,3.14938978637
Mmp2,7.19439821291,2.15954436742,0.000202898452929,3.14938978637
CG15765,10.7900590382,8.14658021248,0.000238840864478,3.70728789844
CG30463,0.0,6.42252078871,0.000239209057348,3.71300298815
kek3,7.87972780421,2.6556467902,0.000287940759511,4.46941646913
Cow,7.73453756517,9.82769667208,0.000295206040972,4.58218816797
bru-3,8.22938489178,4.87806770972,0.000296021072947,4.59483909429
GstZ2,8.6542086489,4.49516753425,0.000361849544811,5.61662863455
igl,9.51162793619,10.633571159,0.000365740995907,5.67703173847
DIP-beta,0.0,5.87911707175,0.000401100451324,6.22588120545
Sulf1,9.3078867421,7.88232152829,0.00045046779818,6.99216116335
CG8861,0.0,8.90657215602,0.0004791681021,7.43764728079
klg,5.20495837536,8.85859980474,0.000525874701383,8.16262711487
NK7.1,7.35911850638,3.91176121402,0.00053936770472,8.37206551266
GM130,0.0,6.72750748934,0.000542166280837,8.41550501115
Fas3,6.40533238347,0.0,0.000542166280837,8.41550501115
CG15537,7.47437285586,0.0,0.000542166280837,8.41550501115
CG14669,0.0,8.3301275821,0.00054836409405,8.51170746785
Ca-alpha1T,10.1047212227,7.61873561129,0.00055308909204,8.58504888665
CG33977,0.0,5.25503430552,0.000606251512059,9.41023597018
metl,6.64941373019,0.0,0.000634034528259,9.84148394764
sano,8.4584965588,2.87741075823,0.000644725598377,10.007430738
norpA,7.42816223968,8.83747477742,0.000676970721546,10.5079395398
Hsromega,10.8028576556,11.7639665752,0.000676970721546,10.5079395398
CG9650,3.76948776286,0.0,0.000741696486829,11.5126128686
nAChRalpha6,8.1257623728,6.39622745545,0.000826019728117,12.8214782198
CG32276,6.14444374119,7.51571584238,0.000890564171517,13.8233370703
CG31997,0.0,8.60024386331,0.000924738753125,14.353794926
tud,8.60170411715,4.74588089542,0.000982205636211,15.2457958853
CG7991,0.0,6.04540408399,0.000986770339198,15.316649205
cindr,3.72178767132,5.85097752921,0.000995695028697,15.4551782354
Pde9,7.44898209804,5.38069765298,0.000995695028697,15.4551782354
Ddr,8.05439513623,5.4374671966,0.00100475242783,15.5957671848
Tpr2,9.56384693172,8.1881916602,0.00100475242783,15.5957671848
CG34356,9.06727540848,2.45760033061,0.00108243223757,16.8015131916
Trx-2,6.71418864182,7.99520531846,0.00121836740449,18.9114988526
Ace,8.89429924062,10.4044563314,0.00121836740449,18.9114988526
CG32392,0.0,5.10719992197,0.00122388950565,18.9972129066
botv,0.0,5.04732011287,0.00126291265293,19.6029301988
Aatf,0.0,4.44857456682,0.00142779274305,22.1621989576
Start1,0.0,4.92192036847,0.00142779274305,22.1621989576
ssp3,0.0,1.07237310041,0.00142779274305,22.1621989576
CG1504,2.66527935092,0.0,0.00142779274305,22.1621989576
Nplp1,5.74930273172,0.0,0.00142779274305,22.1621989576
CCKLR-17D1,2.5019258058,0.0,0.00142779274305,22.1621989576
CG6123,0.0,4.78174975641,0.00142779274305,22.1621989576
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
CG10433,3.1259023677,0.0,0.00142779274305,22.1621989576
CR45469,0.0,3.34327373974,0.00163600897563,25.3941313198
Ssb-c31a,5.0928902439,7.27025164063,0.00177491931746,27.5502976456
nAChRbeta1,10.0668605702,10.8727753869,0.00177491931746,27.5502976456
Pxn,9.43383526457,10.8060680331,0.00177491931746,27.5502976456
Bap60,0.0,6.32709098732,0.001828432202,28.3809246395
CG34114,0.0,7.44036249326,0.00190593953565,29.5839934724
CG13760,4.87779663253,0.0,0.00190593953565,29.5839934724
CG42260,1.8480696088,8.05852137866,0.00198913301754,30.8753226982
CG42674,7.30079881531,0.0,0.00201135394335,31.2202359087
Grasp65,0.0,7.13364072242,0.00201257007866,31.239112761
CG10098,8.64614928052,9.32644687373,0.00212820989586,33.0340740036
Prosap,6.73926916777,8.0502779254,0.00213238245702,33.0988404978
milt,4.31334119072,7.70328366274,0.00254913889704,39.5677339598
Mkk4,7.85999518328,9.04737153607,0.0025539527125,39.6424540034
RhoGAP100F,9.44413891752,7.21642554411,0.0025539527125,39.6424540034
koi,7.43626532925,0.0,0.0029371589306,45.5905809207
CG45263,5.93493966198,7.75676617406,0.00304394018393,47.248039535
rad,4.27271798625,7.24157584837,0.00304394018393,47.248039535
CG10082,7.45450756958,8.37831685025,0.00304947296561,47.3339193722
GluRIA,5.80857130143,0.0,0.00340824673532,52.9028058256
CG5973,0.500003967445,0.0,0.00352705120034,54.7468887317
CR44458,0.0,0.509521389525,0.00352705120034,54.7468887317
haf,0.0,0.99941394149,0.00352705120034,54.7468887317
pyr,0.497600207898,0.0,0.00352705120034,54.7468887317
CG2201,0.0,0.532934869045,0.00352705120034,54.7468887317
CG4610,0.0,3.46228137504,0.00352705120034,54.7468887317
Cul5,0.0,0.54453300162,0.00352705120034,54.7468887317
Pvr,0.0,1.56766338852,0.00352705120034,54.7468887317
CG5886,0.0,3.96815704534,0.00359044554028,55.7308956763
CG3061,9.02925455231,7.98470835734,0.0036299774941,56.3445106633
CG31475,0.0,7.75905210258,0.00364894251992,56.6388857942
gry,7.83049955773,0.0,0.00373444360938,57.9660337047
CR45660,0.0,1.34458694284,0.00373444360938,57.9660337047
CG9121,0.0,8.04535815364,0.00383068638571,59.4599140789
mtSSB,0.0,4.43635426974,0.00398864969176,61.9118205154
CG7987,7.75943169478,0.0,0.0041336439511,64.162421409
nsl1,7.60923154321,0.0,0.0041336439511,64.162421409
CG32549,6.5096907784,9.1931072174,0.00427891027272,66.4172452531
mCD8-GFP,10.5371982151,11.7774149993,0.00430055266134,66.7531784093
mnb,8.12117888203,7.41251190036,0.00430777905941,66.8653465602
pit,5.54706701737,0.0,0.00437130777888,67.8514393438
cin,0.0,4.53164470399,0.00447257634231,69.4233299853
CG42700,3.70354244416,0.0,0.00447257634231,69.4233299853
CG33144,0.0,6.13111846495,0.00447257634231,69.4233299853
CG4341,6.9970414673,0.0,0.00450661135093,69.9516213891
Corin,5.78373857088,0.0,0.00450661135093,69.9516213891
elB,4.89063489345,0.0,0.00450661135093,69.9516213891
CG8297,0.0,4.79921747229,0.00457076610572,70.9474314929
dpr3,5.79184273837,8.24076065212,0.00493354571083,76.5784965235
Rgk3,5.2451222629,0.0,0.00493654540271,76.6250577408
Gprk2,8.72410080128,7.60419558634,0.00509655249555,79.108687836
Dhod,0.0,5.73511554252,0.00545841288083,84.7254847362
CG3226,0.497600207898,6.30120276288,0.00550127178673,85.3907406736
CG34353,8.14735069618,1.47002154443,0.00550127178673,85.3907406736
frj,7.48430384162,0.532934869045,0.00550127178673,85.3907406736
Vps4,5.34469250336,0.0,0.00570910433234,88.6167174465
p130CAS,4.71694032138,8.49061348488,0.00582677971481,90.4432747333
EloB,7.14643839462,5.94234051967,0.00597427122471,92.7326379499
Unc-115a,6.49294329818,5.77972832938,0.00597427122471,92.7326379499
trx,4.47081131604,7.59252180632,0.00600211729593,93.1648646674
drpr,9.67393084335,10.4640698298,0.00601141270381,93.3091479885
Eph,6.08593236634,3.48309367553,0.00601141270381,93.3091479885
Hsc70Cb,4.51233067174,7.07929405219,0.00601141270381,93.3091479885
Rsf1,8.35985770912,8.73772951498,0.00601141270381,93.3091479885
shrb,5.37951560208,7.47302419809,0.00617968770751,95.9211125959
Actbeta,7.42252601368,3.89498679031,0.0064228111727,99.6948750227
CG7967,0.544802487065,7.71596537432,0.00649274409288,100.78037381
CG13248,0.0,6.45943992343,0.00653613018271,101.453812696
Oseg6,0.0,2.7425695494,0.00663282670479,102.954736112
CG2224,3.62089925878,0.0,0.00663282670479,102.954736112
CR45009,0.0,3.16189923125,0.00663282670479,102.954736112
CG12402,1.71557901373,7.44168207458,0.00670625474974,104.094486225
PVRAP,7.30906599424,0.0,0.0067947678321,105.46838629
COQ7,0.0,6.52258424756,0.0067947678321,105.46838629
CG32982,4.35762340563,1.62455659369,0.00686066545951,106.491249262
beat-Vb,8.24834140206,5.96809257003,0.00686066545951,106.491249262
LpR2,8.79825499223,6.94874160132,0.0069644785992,108.102636817
scf,0.0,6.99394967238,0.00696973433282,108.184216314
Bem46,0.0,7.51390579835,0.00700700427144,108.762720301
Med,0.0,7.27312321609,0.00700700427144,108.762720301
pHCl,5.77549652338,8.62763110533,0.00702709940089,109.074636901
Hsp70Bb,5.18092331065,6.38134003962,0.00705850305669,109.562084446
chic,8.29277389302,8.9072718983,0.00706898472796,109.724780947
Unc-76,9.83947955872,9.63674778134,0.00706898472796,109.724780947
snRNA:7SK,3.64055813279,4.17456550618,0.00706898472796,109.724780947
ctrip,6.29355524047,1.6835240956,0.00727208916095,112.877367956
Hmt4-20,3.11057324223,7.15207864441,0.00754608265317,117.130294943
Sucb,2.69798070436,7.16703390209,0.00763910951658,118.574257916
CR12842,5.42038153961,0.0,0.00770023265441,119.523011262
CG13204,6.19273392874,0.0,0.00781736611063,121.341156769
Efr,0.0,5.71578645163,0.00802528727053,124.568509013
CG4670,0.0,2.2960857675,0.00802528727053,124.568509013
Tango4,0.0,3.33939979417,0.00802528727053,124.568509013
unc-13-4A,1.47121101361,0.0,0.00802528727053,124.568509013
CG9799,0.0,0.0,0.00823657790279,127.848162207
CG8490,0.0,0.0,0.00823657790279,127.848162207
CG18476,0.0,0.0,0.00823657790279,127.848162207
CG9149,0.0,0.0,0.00823657790279,127.848162207
CG3149,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
CG2260,0.0,0.0,0.00823657790279,127.848162207
obe,0.0,0.0,0.00823657790279,127.848162207
CG7101,0.0,0.0,0.00823657790279,127.848162207
GlyP,0.0,0.0,0.00823657790279,127.848162207
Ptp4E,0.0,0.0,0.00823657790279,127.848162207
ArgRS,0.0,0.0,0.00823657790279,127.848162207
dpr4,0.0,0.0,0.00823657790279,127.848162207
CG17167,0.0,0.0,0.00823657790279,127.848162207
CR45120,0.0,0.0,0.00823657790279,127.848162207
CG11837,0.0,0.0,0.00823657790279,127.848162207
Sply,0.0,0.0,0.00823657790279,127.848162207
rpr,0.0,0.0,0.00823657790279,127.848162207
CG15747,0.0,0.0,0.00823657790279,127.848162207
CG33969,0.0,0.0,0.00823657790279,127.848162207
wake,0.0,0.0,0.00823657790279,127.848162207
CR45925,0.0,0.0,0.00823657790279,127.848162207
Map205,7.81139551875,6.20341203054,0.00824041168623,127.907670194
Ten-a,7.54771917947,8.28500781268,0.00828746337493,128.638006506
Teh3,9.12433853062,8.54351621285,0.00828746337493,128.638006506
CG5065,8.96259725704,7.71160501871,0.00828746337493,128.638006506
Tm1,7.72873205873,6.22611433971,0.00828746337493,128.638006506
CG42797,8.21222095074,3.29560256125,0.0085313207872,132.423161259
CG5026,4.72156860523,8.10837854608,0.0085313207872,132.423161259
crq,0.0,6.6134453799,0.00876529106594,136.054847926
Gyc-89Db,3.98393747663,0.0,0.00931456777471,144.580720999
Octbeta2R,0.0,3.74890026328,0.00931456777471,144.580720999
Flo1,7.74248649801,2.90972318624,0.00942455500723,146.287942822
GCS2beta,0.0,7.8518979688,0.00952535138118,147.852504139
Pa1,0.0,7.29351768574,0.00952535138118,147.852504139
CG10948,0.0,6.90882602631,0.00957854978099,148.678249701
NitFhit,2.82959359426,0.0,0.00966848626792,150.074243851
CG12333,3.18342500127,0.0,0.00966848626792,150.074243851
Rab11,8.45782911712,7.40757173924,0.0096866596658,150.356331332
grp,9.32738235222,7.61609991785,0.0096866596658,150.356331332
CG43729,10.0406117713,9.17014536066,0.0096866596658,150.356331332
