symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.70042338091,7.09569794446e-06,0.110139423494
hth,10.3955077814,3.03180212045,1.75893739454e-05,0.27302226238
IA-2,11.3916994412,6.55787188707,1.82922767695e-05,0.283932720016
GV1,9.12223126389,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
CG31676,10.0841615112,0.0,3.03089062316e-05,0.470454842527
eys,6.0787273017,0.0,3.03089062316e-05,0.470454842527
sdt,0.0,6.38101457431,4.58679335698e-05,0.711962064871
CG42342,8.2947575132,10.3569749635,4.85028584301e-05,0.752861368552
twz,10.9652160193,7.40540162637,5.75858987489e-05,0.89384832038
hig,2.72335957791,9.27361986668,5.75858987489e-05,0.89384832038
CG30463,0.0,6.800029929,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.98101241491,6.2654363942e-05,0.972521037107
CCKLR-17D3,7.66116600659,0.0,6.2654363942e-05,0.972521037107
Ac76E,7.76440247703,0.0,9.43200352927e-05,1.46403558781
pros,11.935389009,10.9151336155,9.80807368533e-05,1.52240919744
CG10384,0.0,7.98823314784,0.00011600356004,1.80060725894
CG8861,0.0,8.90657215602,0.000118369727248,1.83733490635
mspo,1.42677895665,8.20656155668,0.000119311802124,1.85195779258
kek3,7.87972780421,4.97956077825,0.000121576208476,1.88710590796
norpA,7.42816223968,8.96473990742,0.000123103116411,1.91080657294
trx,4.08349117217,7.7901159137,0.000152167966278,2.36195117257
CG33543,8.57069738937,0.0,0.000191427754366,2.97134160328
CG15537,8.17498212216,0.0,0.000191695863289,2.97550318997
glob1,8.52927215332,0.0,0.000208948864483,3.24330427451
klg,2.45656617109,9.07201569306,0.000215892781976,3.35108776183
CG31637,9.2477056379,4.53494344222,0.000225527629852,3.50063987056
tud,8.57942689643,4.74588089542,0.000232116999732,3.60292006985
CG31997,0.0,8.60024386331,0.000232858915968,3.61443609366
Mmp2,7.27712481241,4.43828781043,0.000240821116194,3.73802536556
l(1)G0469,1.04888793612,7.17677442842,0.000280015124478,4.34639476215
CG15765,10.3131264156,8.14658021248,0.000296021072947,4.59483909429
Ace,8.89429924062,10.522229622,0.000296021072947,4.59483909429
igl,9.59000783809,10.5118906885,0.000296021072947,4.59483909429
dpr13,0.0,7.68671106566,0.000313816746402,4.87106353765
CG14298,0.0,5.38805560115,0.000376532512733,5.84453766264
CG7991,0.0,6.04540408399,0.000380367227827,5.90406011033
DIP-beta,0.0,5.87911707175,0.000401100451324,6.22588120545
Sulf1,9.3078867421,7.93343468602,0.00045046779818,6.99216116335
bru-3,8.01898780357,4.77786718714,0.00045046779818,6.99216116335
NK7.1,7.22775498934,3.91176121402,0.00053936770472,8.37206551266
Fas3,6.64334947072,0.0,0.000542166280837,8.41550501115
CCKLR-17D1,4.13413726173,0.0,0.000542166280837,8.41550501115
regucalcin,0.0,8.19052693024,0.000599404297285,9.30395350247
CG12484,6.78140492871,9.42530842719,0.0006753339723,10.482533918
Cow,7.39994261754,9.82769667208,0.0006753339723,10.482533918
CG32276,5.59318584788,7.51571584238,0.00073042034003,11.3375845179
Ssb-c31a,5.94339275202,7.35793852362,0.000826019728117,12.8214782198
Tcp-1eta,8.02389758572,2.71906856253,0.000959980575337,14.9008184904
CG34356,9.31294993649,3.04369179918,0.000995695028697,15.4551782354
CG5026,2.2095278536,8.10837854608,0.00107504485903,16.6868463018
CG10082,7.44276633011,8.51932652539,0.00121836740449,18.9114988526
CG32392,0.0,5.10719992197,0.00122388950565,18.9972129066
botv,0.0,5.04732011287,0.00126291265293,19.6029301988
Pde9,7.44898209804,5.38069765298,0.00133721448484,20.7562432338
CG3226,0.0,6.41862607194,0.00135089837356,20.9686445544
Aatf,0.0,3.30373752226,0.00142779274305,22.1621989576
dnt,2.92563057708,0.0,0.00142779274305,22.1621989576
haf,0.0,1.43621367882,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
CG33144,0.0,6.13111846495,0.00142779274305,22.1621989576
Snx6,0.0,7.49402582772,0.00169115023202,26.2500339014
elB,4.36119558628,0.0,0.00171566764987,26.6305932612
pHCl,6.49276171433,8.59011243669,0.00176053230348,27.3269824146
Tpr2,9.56384693172,8.1881916602,0.00177491931746,27.5502976456
Pxn,9.40476554848,10.7614751945,0.00177491931746,27.5502976456
CG9121,0.0,8.04535815364,0.001828432202,28.3809246395
CG9650,3.1692531464,0.0,0.0018610634418,28.8874267436
metl,6.26453351337,0.0,0.00194175002269,30.1398438521
CG42260,2.26073036289,8.05852137866,0.00198913301754,30.8753226982
Flo1,7.95028546904,4.04230960241,0.00211572035207,32.8402113049
CG44422,8.75451713686,7.58916932073,0.00213238245702,33.0988404978
Ca-alpha1T,10.0337415801,7.61873561129,0.00213238245702,33.0988404978
GstZ2,8.59961170467,5.98530170862,0.00228994716263,35.5445598584
Pa1,0.0,7.29351768574,0.00237816800051,36.9139237038
CG34114,1.78212009754,7.44036249326,0.00238848778678,37.0741074264
milt,5.18038153437,7.88991898981,0.00254913889704,39.5677339598
Mkk4,7.96158923029,9.04737153607,0.0025539527125,39.6424540034
nAChRbeta1,10.1305551057,10.7805513907,0.0025539527125,39.6424540034
CG33977,0.0,5.42007937315,0.00285052336252,44.245823633
CG1486,0.0,6.56187734154,0.00302023299658,46.8800565729
Prosap,6.23390837822,8.03206928692,0.00304947296561,47.3339193722
Caper,6.37450190778,7.79313054223,0.00304947296561,47.3339193722
Ddr,7.80298739706,5.29309197621,0.00304947296561,47.3339193722
PVRAP,7.30906599424,0.0,0.00309625179863,48.0600204183
GluRIA,6.34754171599,1.30828112141,0.00341170718464,52.95651892
CG42674,6.96873393428,0.0,0.00350254619339,54.3665220138
Rat1,7.62114584111,3.45868560872,0.00350437791695,54.3949540269
CG10433,0.590241032335,0.0,0.00352705120034,54.7468887317
Sply,2.40879554898,0.0,0.00352705120034,54.7468887317
CG7857,0.0,0.869793903635,0.00352705120034,54.7468887317
CR44458,0.0,0.509521389525,0.00352705120034,54.7468887317
kay,0.0,2.31190107314,0.00352705120034,54.7468887317
Cul5,0.0,0.54453300162,0.00352705120034,54.7468887317
CG9149,0.0,0.54453300162,0.00352705120034,54.7468887317
CG3061,9.20866994624,7.98470835734,0.0036299774941,56.3445106633
CG18812,9.23107946598,9.74068549455,0.0036299774941,56.3445106633
CG31475,0.0,7.75905210258,0.00364894251992,56.6388857942
CG6123,0.0,4.64365454284,0.00364894251992,56.6388857942
Nplp1,4.35227396902,0.0,0.00364894251992,56.6388857942
Vti1a,0.0,6.6283698352,0.00364894251992,56.6388857942
CG31323,0.0,7.52348225694,0.0040621522325,63.0527269528
Hmt4-20,2.8050728684,7.28566399586,0.00416441879531,64.6401085409
CG8909,7.08794120105,2.45224221918,0.00416441879531,64.6401085409
CG30089,8.17271357413,9.1440516868,0.00430777905941,66.8653465602
drpr,9.67393084335,10.5613209697,0.00430777905941,66.8653465602
SdhD,8.19342088241,6.87804372585,0.00430777905941,66.8653465602
NitFhit,2.82959359426,0.0,0.00437130777888,67.8514393438
Octbeta2R,0.0,3.74890026328,0.00450661135093,69.9516213891
CG4341,6.93727940093,0.0,0.00450661135093,69.9516213891
gry,3.71094205769,0.0,0.00451760512169,70.1222666989
CG1311,8.07484228289,0.0,0.00478027785591,74.1994728795
CG42232,5.94200195177,0.0,0.00493654540271,76.6250577408
Gprk2,8.78769805289,7.60419558634,0.00509655249555,79.108687836
CG18815,9.24303643567,7.85135228753,0.00509655249555,79.108687836
RhoGAP100F,9.14248885804,7.70171677149,0.00509655249555,79.108687836
RpL37A,6.73257273028,7.56493833148,0.00509655249555,79.108687836
Ubi-p63E,0.463912480287,5.64551060701,0.00525425985974,81.5566215428
mod(r),0.0,7.56657848526,0.00543592854447,84.3764828673
beta-PheRS,5.92421392716,0.0,0.00544425276621,84.5056914371
ssp3,0.0,1.08397123299,0.00545841288083,84.7254847362
CR45009,0.0,3.16189923125,0.00545841288083,84.7254847362
CG14669,0.0,7.9053857044,0.00550127178673,85.3907406736
CG4829,7.70543826323,8.63641019597,0.00582677971481,90.4432747333
CG8297,0.0,4.59455965903,0.00586160832233,90.9838843792
CG14446,3.00718413582,6.18084573188,0.00597427122471,92.7326379499
CG45263,6.17028755399,7.75676617406,0.00600211729593,93.1648646674
Ten-a,7.67212080337,8.28500781268,0.00601141270381,93.3091479885
nAChRalpha6,8.19444877066,6.65002355351,0.00601141270381,93.3091479885
side,5.31130002684,7.61928406079,0.00601141270381,93.3091479885
Diap1,8.23313969431,5.43217948994,0.00617968770751,95.9211125959
beat-Ia,0.637882030745,7.49067593818,0.00621296200904,96.4375963044
CG42671,0.0,1.78905009439,0.00640153135102,99.3645696306
IntS14,0.0,3.6358103449,0.00640153135102,99.3645696306
CG31344,0.0,6.05749255289,0.00640153135102,99.3645696306
CG12333,3.18342500127,0.0,0.00640153135102,99.3645696306
nudE,0.0,4.20310422669,0.0064649498014,100.348950817
CG8460,7.37329765671,0.0,0.0064649498014,100.348950817
CG14104,2.18187591938,0.0,0.00653613018271,101.453812696
l(2)09851,3.71587947379,0.0,0.00663282670479,102.954736112
Oseg6,0.0,2.7425695494,0.00663282670479,102.954736112
CG2224,3.62089925878,0.0,0.00663282670479,102.954736112
Pde1c,0.0,4.31171039984,0.00663282670479,102.954736112
Sucb,5.54348252825,7.24821872144,0.00686066545951,106.491249262
CG7739,7.41858389812,8.21659659992,0.00702709940089,109.074636901
CG7433,8.98702992814,9.53323040466,0.00706898472796,109.724780947
CG9919,9.61531304827,10.1068462678,0.00706898472796,109.724780947
Hem,3.23765717025,8.30863394381,0.00763910951658,118.574257916
CG32815,6.03319408547,8.25508095004,0.00763910951658,118.574257916
CG3823,0.0,4.50960038297,0.00770023265441,119.523011262
rgn,5.08180338003,0.0,0.00770023265441,119.523011262
CG7627,0.0,7.58272097842,0.00770143730756,119.541709888
Su(Tpl),7.48991696398,0.0,0.00770143730756,119.541709888
CG13325,0.0,1.41433960086,0.00802528727053,124.568509013
msl-3,2.53088993344,0.0,0.00802528727053,124.568509013
CG42797,8.09680214706,3.29560256125,0.00805333439793,125.003856525
p130CAS,4.71694032138,8.49061348488,0.00805333439793,125.003856525
sano,8.35713314074,4.72104725432,0.00805333439793,125.003856525
CR45660,0.0,1.34458694284,0.00805893116142,125.090729488
Pcd,0.0,4.92493393283,0.00805893116142,125.090729488
sca,5.73222842544,8.10205926501,0.0081700454027,126.815444741
cindr,3.88716486022,5.52947213765,0.0081700454027,126.815444741
jbug,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
Ppt2,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
ArgRS,0.0,0.0,0.00823657790279,127.848162207
CG3149,0.0,0.0,0.00823657790279,127.848162207
CR45120,0.0,0.0,0.00823657790279,127.848162207
CG14463,0.0,0.0,0.00823657790279,127.848162207
CR17025,0.0,0.0,0.00823657790279,127.848162207
obe,0.0,0.0,0.00823657790279,127.848162207
CG5973,0.0,0.0,0.00823657790279,127.848162207
CR45925,0.0,0.0,0.00823657790279,127.848162207
CR30267,0.0,0.0,0.00823657790279,127.848162207
CG7101,0.0,0.0,0.00823657790279,127.848162207
CR43943,0.0,0.0,0.00823657790279,127.848162207
Ptp4E,0.0,0.0,0.00823657790279,127.848162207
rpr,0.0,0.0,0.00823657790279,127.848162207
CG1271,0.0,0.0,0.00823657790279,127.848162207
CG18476,0.0,0.0,0.00823657790279,127.848162207
CR46006,0.0,0.0,0.00823657790279,127.848162207
CG43861,0.0,0.0,0.00823657790279,127.848162207
gdl,0.0,0.0,0.00823657790279,127.848162207
dpr4,0.0,0.0,0.00823657790279,127.848162207
CG7272,0.0,0.0,0.00823657790279,127.848162207
Alg10,0.0,0.0,0.00823657790279,127.848162207
Zip102B,7.79507817486,5.18164534817,0.00824041168623,127.907670194
EloB,6.96963538846,5.94234051967,0.00824041168623,127.907670194
GEFmeso,3.54007444217,7.74969091481,0.00824041168623,127.907670194
CG9205,0.0,6.01252510396,0.00826542146736,128.295872016
nsl1,7.490302031,0.0,0.00826542146736,128.295872016
CG2258,6.91306747801,9.03163621632,0.00828746337493,128.638006506
dpr6,9.39779784204,9.79090152518,0.00828746337493,128.638006506
CG34353,8.16411571195,4.14473526208,0.0085313207872,132.423161259
Grasp65,0.0,7.13364072242,0.00860538725139,133.572820916
Cct1,7.62657310379,9.14697704831,0.00883889186471,137.197279524
CG13760,4.51617108206,1.78151627405,0.0089600468541,139.077847269
Vps26,7.75258091662,1.61034184838,0.00922986119094,143.265905406
koi,5.81563106117,0.0,0.00931456777471,144.580720999
psidin,0.0,6.25905120792,0.00952535138118,147.852504139
CG9705,0.0,7.42484157205,0.00957854978099,148.678249701
CG3918,0.0,5.28736084361,0.00957854978099,148.678249701
mbf1,9.30003562045,8.3459055091,0.0096866596658,150.356331332
CG17816,9.34092841411,10.1192542717,0.0096866596658,150.356331332
CG33143,6.6328511728,8.80904990619,0.0096866596658,150.356331332
mnb,8.12117888203,7.34572746013,0.0096866596658,150.356331332
CG1646,7.07991308574,0.0,0.00970929361144,150.707655437
crq,0.0,6.72163635293,0.00970929361144,150.707655437
Start1,0.0,2.40513681785,0.00974606052132,151.278351412
CR12842,2.5686733641,0.0,0.00974606052132,151.278351412
Taf13,2.9448697492,0.0,0.00974606052132,151.278351412
l(2)37Cg,1.13486908005,0.0,0.00974606052132,151.278351412
CG16758,0.0,7.82759107938,0.0103424167488,160.534992776
Octbeta3R,0.0,3.03358214698,0.010524821166,163.366274139
Papst2,0.0,6.5145308357,0.010812027636,167.824292966
GCS2beta,0.0,6.07751559134,0.010812027636,167.824292966
CG5604,7.78471037708,0.0,0.0108968262449,169.140536974
beat-Va,7.32642572349,3.57767133362,0.010995767115,170.676297159
Scox,3.07155652703,6.60281814571,0.010995767115,170.676297159
CG6488,4.40189953436,0.0,0.011008781754,170.878310386
Corin,5.59184840667,0.0,0.0110568859277,171.62498337
Pde8,5.48080363817,0.0,0.0110568859277,171.62498337
CG11700,0.0,1.69586843273,0.0112105614883,174.010335422
rdgA,3.03181239929,6.7442689174,0.0112293518472,174.301999373
CG32549,7.82300191665,9.1931072174,0.0112293518472,174.301999373
alpha-Man-IIb,5.69344281464,2.68478488436,0.0112293518472,174.301999373
CG15237,3.50732343926,5.201442774,0.0112293518472,174.301999373
Cdk5alpha,7.6909231625,8.58469333195,0.0112880312616,175.212821242
Tina-1,8.89381685158,9.37515188363,0.0112880312616,175.212821242
Mgat2,8.53201551176,9.70351596375,0.0112880312616,175.212821242
Argk,10.5331596046,9.92998568822,0.0112880312616,175.212821242
Mid1,10.0845163942,8.89129763962,0.0112880312616,175.212821242
Teh3,9.07076161031,8.54351621285,0.0112880312616,175.212821242
RpS26,6.64584766154,7.5839454451,0.0112880312616,175.212821242
Hsromega,10.961952281,11.5955902655,0.0112880312616,175.212821242
CG4629,6.77954526514,5.80360548556,0.0112880312616,175.212821242
MED10,4.83384759951,0.0,0.0114025301101,176.990072369
PGAP5,2.3477793716,7.19211654283,0.0117705980311,182.703222638
CG15630,0.544802487065,0.0,0.011783775848,182.907768713
CG9588,0.0,1.38789334369,0.011783775848,182.907768713
Ten-m,8.13250102798,3.52318696872,0.0120172595735,186.531903099
Eph,5.40480878101,3.99831478485,0.0121562171375,188.688802408
CG16979,0.0,7.36172450832,0.0121614578309,188.770148451
CG6843,4.96144803435,0.0,0.0127422475789,197.785166919
CG5886,0.0,3.96815704534,0.0127422475789,197.785166919
CG14903,1.85118922263,4.69232485147,0.0127900973043,198.527890357
EMC8-9,6.35280206419,5.09094420058,0.0129520479039,201.041687564
LpR2,8.76807569867,6.94874160132,0.0130495525571,202.555154792
CG34380,11.2130048025,10.4914936882,0.0131146939174,203.566278986
ND-75,8.79246199013,9.41489146396,0.0131146939174,203.566278986
ctp,10.31264845,9.75422541073,0.0131146939174,203.566278986
Bap60,0.0,5.5927676883,0.013304503679,206.512506106
Men,0.0,8.05454900257,0.0133466716311,207.167037058
CG17593,7.93340661892,2.66565024389,0.0135242580583,209.92353358
CG4610,0.0,7.42093470762,0.0138544332379,215.048512718
robo3,0.0,2.03332838252,0.0138544332379,215.048512718
CG11652,0.0,5.89357429695,0.0138544332379,215.048512718
CG43736,4.20064568344,7.89284607412,0.0141030413397,218.907407675
GlyP,0.0,2.79771053648,0.0141814401924,220.124314667
Dhod,0.0,2.71877526021,0.0141814401924,220.124314667
pelo,0.0,2.7794429765,0.0141814401924,220.124314667
Rpb7,0.0,1.76705718929,0.0141814401924,220.124314667
nclb,2.81255395744,0.0,0.0141814401924,220.124314667
Alr,1.43471122592,0.0,0.0141814401924,220.124314667
2mit,0.0,5.62097807875,0.0142000564574,220.413276333
CR45469,0.0,3.09279740323,0.0147661604059,229.20034182
shrb,6.223931836,7.43337082072,0.0148323523275,230.227772827
Vang,0.0,7.57520203893,0.0149637184723,232.266838127
Ero1L,0.0,2.67951543318,0.0149637184723,232.266838127
Map205,8.13296028398,6.22302848063,0.0151193855559,234.683102598
CG10098,8.64614928052,9.26331280473,0.0151733946934,235.521432431
Trp1,7.15295945945,8.42605762625,0.0151914109883,235.80108136
Hmu,7.32459973002,8.67180155177,0.0151914109883,235.80108136
RpL11,6.05890390294,7.65855440886,0.0151914109883,235.80108136
RhoBTB,9.00402361343,9.69607218378,0.0151914109883,235.80108136
Rsf1,8.35985770912,8.83254169562,0.0151914109883,235.80108136
CG17746,0.0,7.33040003315,0.0152110271534,236.105563475
CG3732,2.78338871182,0.0,0.0154063337215,239.137112025
CG15443,1.7159698431,0.0,0.0154079350585,239.161967977
CG15561,0.0,1.44071925662,0.015490861509,240.449152343
unc-13-4A,2.76775144172,0.0,0.015490861509,240.449152343
Psi,0.0,2.28364731744,0.0154918624829,240.46468946
CG6665,0.0,6.63755410808,0.0155706873687,241.688209337
Uba2,0.0,6.85214441273,0.0155706873687,241.688209337
