symbol,medianA,medianB,pvalue,pvalue_adj
GV1,9.08246395788,0.0,5.13445780758e-06,0.0796970540892
fred,0.0,8.70042338091,9.15336830931e-06,0.142078582897
hth,10.2888993549,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.55787188707,1.82922767695e-05,0.283932720016
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
CCKLR-17D3,8.29747868136,0.0,1.87923035691e-05,0.291694136
eys,5.95545583197,0.0,3.03089062316e-05,0.470454842527
CG31676,10.0841615112,0.0,3.03089062316e-05,0.470454842527
hig,0.530850597535,9.45555873015,3.36991026146e-05,0.523077470784
twz,10.9652160193,7.40540162637,5.75858987489e-05,0.89384832038
CG42342,8.51566098224,10.317318446,6.14635008328e-05,0.954036459927
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
NK7.1,7.72715838966,2.45754572687,7.28770520889e-05,1.13119760252
CG8861,0.0,8.66545652232,8.15947380484e-05,1.26651352399
mspo,1.27480249207,8.01915359009,9.19345635454e-05,1.42700829535
CG10384,0.0,7.96343528214,0.00011600356004,1.80060725894
sdt,0.0,6.38101457431,0.000118369727248,1.83733490635
kek3,7.98666895459,4.97956077825,0.000121576208476,1.88710590796
pros,11.935389009,10.9772937815,0.000123103116411,1.91080657294
l(1)G0469,1.0335089535,7.17677442842,0.000144911179874,2.249311334
CG33543,8.68637317529,0.0,0.000151723321511,2.3550493965
dpr13,0.0,7.64492930111,0.000186449746378,2.89407296328
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
CG7991,0.0,5.77282872779,0.000191695863289,2.97550318997
CG14298,0.0,5.38805560115,0.00019433835008,3.01651986994
Mmp2,7.27712481241,2.27874344301,0.000202898452929,3.14938978637
CG31637,9.27064836731,4.53494344222,0.000225527629852,3.50063987056
CG30463,0.0,7.24668645302,0.000239209057348,3.71300298815
CG42260,4.10879997169,8.14597298202,0.000280015124478,4.34639476215
CG15765,10.7900590382,8.28499556886,0.000296021072947,4.59483909429
glob1,8.22257299305,0.0,0.000324921862813,5.04343715458
klg,2.62393783824,9.07201569306,0.000332648759751,5.16337404885
bru-3,8.08595691615,4.77786718714,0.000365740995907,5.67703173847
Ac76E,7.4532681327,0.0,0.000386116522864,5.99330066789
DIP-beta,0.0,5.87911707175,0.000401100451324,6.22588120545
elB,4.89063489345,0.0,0.000481941769935,7.48070015293
gry,7.83049955773,0.0,0.000481941769935,7.48070015293
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
CCKLR-17D1,6.18825997114,0.0,0.000542166280837,8.41550501115
CG32392,0.0,3.7770490735,0.000542166280837,8.41550501115
CG15537,8.0446613014,0.0,0.000542166280837,8.41550501115
Sulf1,9.3078867421,7.93343468602,0.00055308909204,8.58504888665
CG31997,0.0,8.19340377467,0.000614632174771,9.5403206168
trx,3.56547537784,7.7901159137,0.000670439238374,10.406557858
Cow,7.92746709109,9.82769667208,0.000676970721546,10.5079395398
Ace,8.9971296175,10.522229622,0.000676970721546,10.5079395398
regucalcin,0.0,7.98605276789,0.000742842896261,11.5304074358
GstZ2,8.6542086489,4.49516753425,0.000890564171517,13.8233370703
igl,9.6906073258,10.5118906885,0.00100475242783,15.5957671848
CG34114,0.0,7.44036249326,0.0010075321246,15.6389136381
CG32276,6.14444374119,7.85755103159,0.00108243223757,16.8015131916
Rpt5,7.74394318214,2.17341354797,0.00116590237631,18.0971366851
CG4341,7.21637810625,0.0,0.00125050505117,19.4103394042
Nplp1,5.74930273172,0.0,0.00126291265293,19.6029301988
CG6123,0.0,5.94357042723,0.00126291265293,19.6029301988
CG3226,0.497600207898,6.32019666492,0.00130526710377,20.2603559847
CG34356,9.06727540848,2.45760033061,0.00131154095616,20.3577387215
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
haf,0.0,1.43621367882,0.00142779274305,22.1621989576
Prosap,6.23390837822,8.01100517378,0.00147282307527,22.8611597743
Gprk2,8.87068775494,7.60419558634,0.00147282307527,22.8611597743
CG33144,0.0,7.09808980322,0.00156917424068,24.3567225639
CG9121,0.0,8.04535815364,0.00163600897563,25.3941313198
CG13760,4.87779663253,0.0,0.00163600897563,25.3941313198
CG34353,8.16411571195,4.14473526208,0.00170367355559,26.4444209299
Pde9,6.68250991175,4.9258082409,0.00176053230348,27.3269824146
norpA,7.88557862309,8.83747477742,0.00177491931746,27.5502976456
PI31,7.3779842109,3.4398829133,0.00190761839086,29.610052663
metl,6.26453351337,0.0,0.00194175002269,30.1398438521
CG4829,3.66068080447,8.61161574493,0.00198913301754,30.8753226982
CG9705,0.0,7.42484157205,0.00201257007866,31.239112761
cindr,3.36713124232,5.85097752921,0.00209086789089,32.4544514023
