symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.70042338091,9.15336830931e-06,0.142078582897
hth,10.2852627646,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.55787188707,1.82922767695e-05,0.283932720016
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
GV1,9.23456506577,0.0,1.87923035691e-05,0.291694136
beat-VI,0.0,7.98101241491,1.87923035691e-05,0.291694136
CG10384,0.0,7.98823314784,3.03089062316e-05,0.470454842527
eys,6.0787273017,0.0,3.03089062316e-05,0.470454842527
CG31676,10.0399331829,0.0,3.03089062316e-05,0.470454842527
CG42342,8.51566098224,10.317318446,3.81539413546e-05,0.592225477705
CG33543,8.66499634921,0.0,4.33551179312e-05,0.672958140528
hig,2.72335957791,9.27361986668,5.9603053663e-05,0.925158598957
CCKLR-17D3,8.29747868136,0.0,6.2654363942e-05,0.972521037107
twz,10.9121638061,8.00131018621,7.53563582746e-05,1.16968139314
pros,11.935389009,10.9772937815,9.80807368533e-05,1.52240919744
mspo,1.27306809446,8.20656155668,0.000119311802124,1.85195779258
dpr13,0.0,7.64492930111,0.000186449746378,2.89407296328
CG30463,0.0,7.24668645302,0.000188639994557,2.92806999551
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
DIP-beta,0.0,5.87911707175,0.000191695863289,2.97550318997
CG15765,10.5767560281,8.28499556886,0.000192101013517,2.98179193182
Mmp2,7.25382655089,2.15954436742,0.000202898452929,3.14938978637
sdt,0.0,6.38101457431,0.000202898452929,3.14938978637
l(1)G0469,1.07708017769,6.89705588987,0.000287940759511,4.46941646913
glob1,8.22257299305,0.0,0.000324921862813,5.04343715458
CG31637,9.06903700946,4.53494344222,0.000346567437383,5.37941976306
kek3,7.7702051211,2.6556467902,0.000356065705973,5.52685188811
bru-3,8.08595691615,4.87806770972,0.000365740995907,5.67703173847
CG14298,0.0,5.38805560115,0.000376532512733,5.84453766264
Ac76E,7.84762386678,0.0,0.000386116522864,5.99330066789
klg,5.37233004251,9.07201569306,0.000438924708267,6.81298932172
Sulf1,9.33137190883,7.93343468602,0.00045046779818,6.99216116335
CG8861,0.0,8.90657215602,0.0004791681021,7.43764728079
NK7.1,7.46791666743,3.91176121402,0.00053936770472,8.37206551266
CG15537,7.60469367662,0.0,0.000542166280837,8.41550501115
CCKLR-17D1,4.13413726173,0.0,0.000542166280837,8.41550501115
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
CR45009,0.0,3.72082948671,0.000542166280837,8.41550501115
Ssb-c31a,4.67109339821,7.35793852362,0.00055308909204,8.58504888665
CG33977,0.0,5.25503430552,0.000614632174771,9.5403206168
