symbol,medianA,medianB,pvalue,pvalue_adj
GV1,9.23456506577,0.0,5.13445780758e-06,0.0796970540892
CCKLR-17D3,8.29747868136,0.0,5.13445780758e-06,0.0796970540892
CG31676,10.0841615112,0.0,7.09569794446e-06,0.110139423494
fred,0.0,8.70042338091,9.15336830931e-06,0.142078582897
twz,10.9652160193,7.40540162637,1.69078033979e-05,0.262442924342
hth,10.3395435165,3.03180212045,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.55787188707,1.82922767695e-05,0.283932720016
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
eys,5.88406419501,0.0,3.03089062316e-05,0.470454842527
CG31997,0.0,8.60024386331,3.12804076921e-05,0.485534488196
hig,0.530850597535,9.27361986668,4.29865050075e-05,0.667236530727
sdt,0.0,6.38101457431,4.58679335698e-05,0.711962064871
CG42342,8.51566098224,10.3569749635,4.86728378236e-05,0.755499788697
beat-VI,0.0,7.98101241491,6.2654363942e-05,0.972521037107
CG8861,0.0,8.90657215602,6.44528980183e-05,1.00043788304
klg,2.45656617109,9.07201569306,6.92728397833e-05,1.07525301912
Cow,7.73453756517,9.82769667208,7.78979465439e-05,1.20913192626
Ac76E,7.68856698543,0.0,9.43200352927e-05,1.46403558781
CG10384,0.0,7.98823314784,0.00011600356004,1.80060725894
dpr13,0.0,7.68671106566,0.000118369727248,1.83733490635
mspo,1.33419292687,8.20656155668,0.000119311802124,1.85195779258
NK7.1,7.72715838966,3.91176121402,0.000119311802124,1.85195779258
CG34114,0.0,7.44036249326,0.000148803009366,2.30972031139
pros,11.8468647557,10.9151336155,0.000154022352814,2.39073496038
CG33543,8.57069738937,0.0,0.000191427754366,2.97134160328
CCKLR-17D1,6.18825997114,0.0,0.000191695863289,2.97550318997
Fas3,7.71577118432,0.0,0.000191695863289,2.97550318997
CG15537,8.0446613014,0.0,0.000191695863289,2.97550318997
CG32392,0.0,5.10719992197,0.000191695863289,2.97550318997
Ace,8.9971296175,10.522229622,0.000192101013517,2.98179193182
Ca-alpha1T,10.2727814123,7.61873561129,0.000192101013517,2.98179193182
Pde9,7.09677175749,5.38069765298,0.000192101013517,2.98179193182
l(1)G0469,1.0335089535,7.17677442842,0.000225527629852,3.50063987056
CG31637,9.27064836731,4.53494344222,0.000225527629852,3.50063987056
Ssb-c31a,4.67109339821,7.35793852362,0.000238840864478,3.70728789844
CG30463,0.0,6.800029929,0.000239209057348,3.71300298815
