symbol,medianA,medianB,pvalue,pvalue_adj
eys,6.33981975032,0.0,7.09569794446e-06,0.110139423494
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
hig,1.32333713782,9.45555873015,1.69078033979e-05,0.262442924342
hth,10.3955077814,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.1903299239,6.55787188707,1.82922767695e-05,0.283932720016
GV1,8.8137394365,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
CG31676,10.0841615112,0.0,3.03089062316e-05,0.470454842527
twz,10.9652160193,7.40540162637,5.75858987489e-05,0.89384832038
Sulf1,9.2663440894,7.85987021768,6.1672877202e-05,0.957286399929
CCKLR-17D3,8.29747868136,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
CG7991,0.0,6.04540408399,6.2654363942e-05,0.972521037107
CG42342,8.84205657236,10.317318446,7.76409585271e-05,1.20514295826
l(1)G0469,0.530850597535,7.17677442842,8.75151666445e-05,1.35841041666
sdt,0.0,6.38101457431,9.38526806308e-05,1.45678130875
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
mspo,1.42677895665,8.06389022142,0.000119311802124,1.85195779258
kek3,7.98666895459,4.97956077825,0.000121576208476,1.88710590796
pros,11.935389009,10.9151336155,0.000123103116411,1.91080657294
CG33543,8.66499634921,0.0,0.000151723321511,2.3550493965
CG34356,9.31294993649,2.45760033061,0.000152167966278,2.36195117257
Mmp2,7.36640037341,4.43828781043,0.000154805827293,2.40289605124
dpr13,0.0,7.68671106566,0.000186449746378,2.89407296328
CG30463,0.0,7.24668645302,0.000188639994557,2.92806999551
CG15537,8.17498212216,0.0,0.000191695863289,2.97550318997
glob1,8.45141557083,0.0,0.000203467506621,3.15822263778
CG31637,9.3080857428,1.54299894185,0.000215892781976,3.35108776183
NK7.1,7.72715838966,2.45754572687,0.000280015124478,4.34639476215
bru-3,8.22938489178,4.87806770972,0.000296021072947,4.59483909429
Prosap,6.19582852348,8.0502779254,0.000296021072947,4.59483909429
CG15765,10.5264294257,8.28499556886,0.000296021072947,4.59483909429
Pxn,9.49677215153,10.7614751945,0.000365740995907,5.67703173847
norpA,7.60214276693,8.96473990742,0.000365740995907,5.67703173847
CG14298,0.0,5.04707645956,0.000376532512733,5.84453766264
Ac76E,7.4532681327,0.0,0.000386116522864,5.99330066789
DIP-beta,0.0,5.87911707175,0.000401100451324,6.22588120545
Nplp1,6.60735632887,0.0,0.000401100451324,6.22588120545
klg,5.37233004251,8.85859980474,0.000427583200774,6.63694644241
CG1504,3.78411167613,0.0,0.000542166280837,8.41550501115
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
CCKLR-17D1,6.18825997114,0.0,0.000542166280837,8.41550501115
Fas3,6.40533238347,0.0,0.000542166280837,8.41550501115
Cow,7.73453756517,9.69904132408,0.000551706634864,8.56359038637
Ddr,7.80298739706,5.15098428707,0.00055308909204,8.58504888665
regucalcin,0.0,8.19052693024,0.000599404297285,9.30395350247
igl,9.61537835341,10.6569862523,0.000676970721546,10.5079395398
Gprk2,8.96234432988,7.73103617168,0.000676970721546,10.5079395398
Ace,8.9971296175,10.522229622,0.000676970721546,10.5079395398
CG8861,2.97236835729,8.66545652232,0.000760159209284,11.7991912465
CG34114,0.0,7.5597262832,0.000882615531441,13.699958279
dpr3,5.79184273837,8.39650181539,0.000959980575337,14.9008184904
CG3226,0.497600207898,6.41862607194,0.00107504485903,16.6868463018
CG31475,0.0,7.95976105695,0.00126291265293,19.6029301988
CG13760,4.87779663253,0.0,0.00135089837356,20.9686445544
CG31997,0.0,8.60024386331,0.00135089837356,20.9686445544
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
Trax,3.40581299917,0.0,0.00142779274305,22.1621989576
Oseg6,0.0,2.7425695494,0.00142779274305,22.1621989576
Pde9,6.68250991175,4.9258082409,0.00146044673523,22.6690542243
drpr,9.67393084335,10.5613209697,0.00147282307527,22.8611597743
CG33144,0.0,7.09808980322,0.00156917424068,24.3567225639
