symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
hig,1.32333713782,9.45555873015,1.69078033979e-05,0.262442924342
hth,10.1786543382,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.3916994412,6.55787188707,1.82922767695e-05,0.283932720016
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
CG15765,10.7900590382,8.28499556886,2.34743628248e-05,0.364369059766
CG33543,8.7372144363,0.0,2.61723833413e-05,0.406247734223
CG31676,10.0399331829,0.0,3.03089062316e-05,0.470454842527
eys,6.0787273017,0.0,3.03089062316e-05,0.470454842527
Sulf1,9.33137190883,7.85987021768,4.86728378236e-05,0.755499788697
twz,10.9121638061,7.40540162637,5.75858987489e-05,0.89384832038
CCKLR-17D3,7.9553138743,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
Fas3,7.71577118432,0.0,6.2654363942e-05,0.972521037107
CG42342,8.84205657236,10.317318446,7.76409585271e-05,1.20514295826
mspo,1.12109162987,8.06389022142,9.19345635454e-05,1.42700829535
pros,11.9437085736,10.9151336155,9.80807368533e-05,1.52240919744
sdt,0.0,6.38101457431,0.000102961253475,1.59816457644
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
dpr13,0.0,7.68671106566,0.000148803009366,2.30972031139
l(1)G0469,1.07708017769,7.17677442842,0.000149416648845,2.31924522337
CG30463,0.0,7.24668645302,0.000188639994557,2.92806999551
DIP-beta,0.0,5.87911707175,0.000191695863289,2.97550318997
Ace,8.9971296175,10.522229622,0.000192101013517,2.98179193182
glob1,8.34404727375,0.0,0.000203467506621,3.15822263778
CG31637,9.2477056379,1.54299894185,0.000215892781976,3.35108776183
Mmp2,7.19439821291,4.43828781043,0.000240821116194,3.73802536556
NK7.1,7.46791666743,2.45754572687,0.000346567437383,5.37941976306
klg,5.08050400933,8.85859980474,0.000346567437383,5.37941976306
bru-3,8.08595691615,4.87806770972,0.000365740995907,5.67703173847
CG14298,0.0,5.04707645956,0.000376532512733,5.84453766264
CG7991,0.0,6.04540408399,0.000380367227827,5.90406011033
Ac76E,7.84762386678,0.0,0.000386116522864,5.99330066789
Octbeta2R,0.0,3.14988833378,0.000542166280837,8.41550501115
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
CG15537,7.47437285586,0.0,0.000542166280837,8.41550501115
kek3,7.7702051211,4.97956077825,0.000547573038485,8.49942870336
igl,9.59000783809,10.6569862523,0.00055308909204,8.58504888665
regucalcin,0.0,8.19052693024,0.000599404297285,9.30395350247
CG42260,4.10879997169,8.14597298202,0.000644725598377,10.007430738
CG8861,0.0,8.66545652232,0.000673809488881,10.4588708864
Prosap,5.70025496088,8.0502779254,0.000676970721546,10.5079395398
Ddr,8.05439513623,5.15098428707,0.000676970721546,10.5079395398
CG4341,7.32650609855,0.0,0.000741696486829,11.5126128686
metl,6.26453351337,0.0,0.000792514928053,12.3014167132
norpA,7.88557862309,8.96473990742,0.000826019728117,12.8214782198
Ssb-c31a,4.67109339821,7.35793852362,0.000826019728117,12.8214782198
Cow,7.82539824395,9.69904132408,0.000826019728117,12.8214782198
CG34353,8.60449212673,1.47002154443,0.000882615531441,13.699958279
CG34114,0.0,7.5597262832,0.000882615531441,13.699958279
Vang,0.0,7.92236751113,0.000919774599492,14.2767413333
CG8297,0.0,4.79921747229,0.000924738753125,14.353794926
Pde9,7.11577802619,4.9258082409,0.000995695028697,15.4551782354
tud,8.60170411715,4.74588089542,0.00119195654579,18.5015495037
drpr,9.44303952304,10.5613209697,0.00121836740449,18.9114988526
CG31475,0.0,7.95976105695,0.00126291265293,19.6029301988
CG13760,5.16711482715,0.0,0.00135089837356,20.9686445544
CG31997,0.0,8.60024386331,0.00135089837356,20.9686445544
botv,0.0,2.34987374634,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
Tango4,0.0,3.33939979417,0.00142779274305,22.1621989576
CCKLR-17D1,2.5019258058,0.0,0.00142779274305,22.1621989576
CR45009,0.0,3.16189923125,0.00142779274305,22.1621989576
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
CG33144,0.0,7.09808980322,0.00156917424068,24.3567225639
CG32276,6.45861558619,7.85755103159,0.00176053230348,27.3269824146
CG33977,0.0,5.42007937315,0.00197494511039,30.6550980034
cindr,3.72178767132,5.52947213765,0.00211572035207,32.8402113049
side,5.31130002684,7.61928406079,0.00212820989586,33.0340740036
milt,5.18038153437,7.70328366274,0.00212820989586,33.0340740036
Tpr2,9.56384693172,8.2686181496,0.00213238245702,33.0988404978
CG34356,8.21300508963,2.45760033061,0.00228994716263,35.5445598584
dpr1,5.9349373388,0.0,0.00242461696602,37.6349045466
CG4829,7.50612588307,8.63641019597,0.00245863997421,38.1630096797
CG14903,2.11587877312,4.48435061175,0.00245863997421,38.1630096797
CG45263,5.93493966198,7.75676617406,0.00254913889704,39.5677339598
Sik2,9.06235763584,7.81721920388,0.00278664517827,43.2543064571
CG32392,0.0,3.7770490735,0.0029371589306,45.5905809207
trx,3.56547537784,7.59252180632,0.0030273744898,46.9909068306
Pxn,9.49677215153,10.7614751945,0.00304947296561,47.3339193722
Mkk4,7.96158923029,9.04737153607,0.00304947296561,47.3339193722
Ca-alpha1T,10.0337415801,7.77926780067,0.00304947296561,47.3339193722
koi,7.43626532925,0.0,0.00309625179863,48.0600204183
CG5026,0.0,8.10837854608,0.00340824673532,52.9028058256
CG5973,0.500003967445,0.0,0.00352705120034,54.7468887317
CG10433,0.590241032335,0.0,0.00352705120034,54.7468887317
CG9149,0.0,0.54453300162,0.00352705120034,54.7468887317
CG42534,0.0,0.486243527265,0.00352705120034,54.7468887317
rnh1,0.0,1.24451709278,0.00352705120034,54.7468887317
Cul5,0.0,0.54453300162,0.00352705120034,54.7468887317
CG18476,0.0,0.76123965239,0.00352705120034,54.7468887317
Trax,0.71632014258,0.0,0.00352705120034,54.7468887317
haf,0.0,0.436799737331,0.00352705120034,54.7468887317
CG42700,5.30354269558,0.0,0.00359044554028,55.7308956763
dnt,4.63722227661,0.0,0.00359044554028,55.7308956763
nAChRalpha6,8.1257623728,6.65002355351,0.0036299774941,56.3445106633
Nplp1,4.35227396902,0.0,0.00364894251992,56.6388857942
CG6123,0.0,4.64365454284,0.00364894251992,56.6388857942
CG9849,5.81035515169,0.0,0.00364894251992,56.6388857942
Start1,0.0,4.92192036847,0.00364894251992,56.6388857942
sano,8.4584965588,4.72104725432,0.00372253114903,57.7811284952
CG3226,2.20130072001,6.41862607194,0.00372253114903,57.7811284952
CG6565,7.8486664505,0.0,0.00398864969176,61.9118205154
CG10948,0.0,6.90882602631,0.00415787213509,64.5384912809
PI31,7.3779842109,3.4398829133,0.00416441879531,64.6401085409
CG34380,11.1043781653,10.4428446119,0.00430777905941,66.8653465602
RpS28b,8.06754428615,8.76853785845,0.00430777905941,66.8653465602
CG18812,9.30377135646,9.80158465688,0.00430777905941,66.8653465602
CG9650,3.1692531464,0.0,0.00437130777888,67.8514393438
frj,7.48430384162,0.532934869045,0.00442947100501,68.7542489398
rgn,5.98619006964,0.0,0.00450661135093,69.9516213891
shn,0.0,4.01515480474,0.00451760512169,70.1222666989
GstZ2,8.63971457498,4.77093887861,0.00461059787865,71.5657002724
Pa1,0.0,7.29351768574,0.00478027785591,74.1994728795
Octbeta3R,0.0,3.31391106992,0.00494472589418,76.7520353295
dpr3,6.21619889781,8.39650181539,0.00501472614484,77.8385792202
Actbeta,7.6715418859,4.2410187403,0.00506374462822,78.5994441192
CR43481,3.65713990001,4.4163355209,0.00509655249555,79.108687836
dpr11,6.63134800872,7.59975346214,0.00509655249555,79.108687836
CG18815,9.24303643567,7.85135228753,0.00509655249555,79.108687836
CG9636,9.27150313338,10.182541823,0.00509655249555,79.108687836
Tcp-1eta,7.99103384064,0.964756319475,0.00525425985974,81.5566215428
IntS14,0.0,5.42873449489,0.00540745351568,83.9344934703
CG1486,0.0,6.00502218354,0.00540745351568,83.9344934703
gry,3.71094205769,0.0,0.00544425276621,84.5056914371
Pcd,0.0,5.36997213048,0.00570910433234,88.6167174465
Map205,7.81139551875,6.20341203054,0.00597427122471,92.7326379499
CG12484,7.02228268182,9.42530842719,0.00600211729593,93.1648646674
rad,4.27271798625,7.24157584837,0.00600211729593,93.1648646674
C15,8.69273658115,9.69290057723,0.00601141270381,93.3091479885
AP-1sigma,6.96300009207,8.05824172998,0.00601141270381,93.3091479885
shrb,5.79054311077,7.47302419809,0.00617968770751,95.9211125959
vih,7.81874026811,3.49394345609,0.00617968770751,95.9211125959
Ten-m,8.1334558879,2.41499229306,0.0064228111727,99.6948750227
Pcmt,0.0,6.42820022974,0.0064649498014,100.348950817
CG18265,5.34253321142,0.0,0.00653613018271,101.453812696
nudE,0.0,3.47501857931,0.00653613018271,101.453812696
Oseg6,0.0,2.7425695494,0.00663282670479,102.954736112
CG2224,3.62089925878,0.0,0.00663282670479,102.954736112
ssp3,0.0,1.07237310041,0.00663282670479,102.954736112
Hmt4-20,2.00874070326,7.15207864441,0.00686066545951,106.491249262
mod(mdg4),7.25034588006,8.38165734878,0.00686066545951,106.491249262
disp,6.53004414987,8.63527922427,0.00686066545951,106.491249262
CG9121,0.0,7.91157920568,0.00692625716683,107.509363743
LpR2,8.65851082145,5.97439135339,0.0069644785992,108.102636817
Mob4,8.08843181963,6.99508947871,0.00705850305669,109.562084446
p130CAS,3.87473653633,8.3069553052,0.00727208916095,112.877367956
CG15894,3.42131366097,7.21606727473,0.00727208916095,112.877367956
GstT1,3.61343894291,0.0,0.00770143730756,119.541709888
mAChR-B,6.31736697295,0.0,0.00770143730756,119.541709888
drosha,2.73509585919,0.0,0.00770143730756,119.541709888
CG14669,2.03920751447,7.9053857044,0.00787960493564,122.307227811
Efr,0.0,5.71578645163,0.00802528727053,124.568509013
CG32982,3.98743202021,1.05835671089,0.00805333439793,125.003856525
PVRAP,7.30906599424,0.0,0.00805893116142,125.090729488
IntS6,0.0,0.0,0.00823657790279,127.848162207
CG7101,0.0,0.0,0.00823657790279,127.848162207
CG43102,0.0,0.0,0.00823657790279,127.848162207
