symbol,medianA,medianB,pvalue,pvalue_adj
CG31676,10.0841615112,0.0,5.13445780758e-06,0.0796970540892
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
twz,10.9652160193,8.00131018621,1.69078033979e-05,0.262442924342
hth,10.3955077814,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.2056181444,6.79056015052,1.82922767695e-05,0.283932720016
GV1,9.23456506577,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
CCKLR-17D3,7.9553138743,0.0,1.87923035691e-05,0.291694136
eys,5.88406419501,0.0,3.03089062316e-05,0.470454842527
klg,2.45656617109,8.85859980474,3.36991026146e-05,0.523077470784
pros,11.935389009,10.9151336155,3.82914473375e-05,0.594359845572
CG33543,8.57069738937,0.0,5.07461880929e-05,0.787682331577
Ac76E,7.76440247703,0.0,5.07461880929e-05,0.787682331577
hig,2.46172363516,9.45555873015,5.75858987489e-05,0.89384832038
sdt,0.0,6.11165919239,5.84228460578e-05,0.906839416509
CG42342,8.66340603539,10.3569749635,6.1672877202e-05,0.957286399929
beat-VI,0.0,7.91257507616,6.2654363942e-05,0.972521037107
Cow,7.39994261754,9.69904132408,7.76409585271e-05,1.20514295826
Ace,8.89429924062,10.522229622,7.78979465439e-05,1.20913192626
kek3,7.98666895459,2.6556467902,9.49709897323e-05,1.47413970262
CG31637,9.3080857428,1.54299894185,0.000110207004978,1.71063313127
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
dpr13,0.0,7.64492930111,0.000118369727248,1.83733490635
Pde9,7.44898209804,5.38069765298,0.000122720086651,1.904861185
mspo,1.42677895665,8.01915359009,0.000152167966278,2.36195117257
Mmp2,7.36640037341,2.15954436742,0.000162360448308,2.52015887864
CG15537,8.17498212216,0.0,0.000191695863289,2.97550318997
IntS14,0.0,5.42873449489,0.000191695863289,2.97550318997
Ca-alpha1T,10.0337415801,7.61873561129,0.000192101013517,2.98179193182
CG34114,0.0,7.44036249326,0.000202898452929,3.14938978637
glob1,8.34404727375,0.0,0.000203467506621,3.15822263778
l(1)G0469,1.0335089535,6.88063391692,0.000225527629852,3.50063987056
CG30463,0.0,6.42252078871,0.000239209057348,3.71300298815
CG15765,10.3131264156,8.14658021248,0.000296021072947,4.59483909429
NK7.1,7.46791666743,2.45754572687,0.000346567437383,5.37941976306
CG14298,0.0,5.15125277729,0.000376532512733,5.84453766264
CG9121,0.0,8.04535815364,0.00039571968757,6.14236099045
DIP-beta,0.0,6.34933562496,0.000401100451324,6.22588120545
igl,9.59000783809,10.6569862523,0.00045046779818,6.99216116335
Ssb-c31a,5.50712753338,7.35793852362,0.00045046779818,6.99216116335
CG33144,0.0,7.09808980322,0.000542166280837,8.41550501115
CCKLR-17D1,4.13413726173,0.0,0.000542166280837,8.41550501115
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
Fas3,7.71577118432,0.0,0.000542166280837,8.41550501115
CG45263,5.93493966198,8.06322080155,0.000551706634864,8.56359038637
Sulf1,9.2663440894,7.93343468602,0.00055308909204,8.58504888665
CG8861,0.0,8.66545652232,0.000589256886706,9.14644539545
CG32276,5.87963299782,7.85755103159,0.000597201954302,9.26976873468
CG31997,0.0,8.19340377467,0.000614632174771,9.5403206168
Tpr2,9.68029323403,8.1881916602,0.000676970721546,10.5079395398
norpA,7.60214276693,8.83747477742,0.000676970721546,10.5079395398
regucalcin,0.0,7.98605276789,0.000742842896261,11.5304074358
metl,6.26453351337,0.0,0.000792514928053,12.3014167132
bru-3,8.06053479073,4.87806770972,0.000826019728117,12.8214782198
CG7991,0.0,6.01241299794,0.000986770339198,15.316649205
CG12484,7.11839942494,9.42530842719,0.00100248323755,15.5605448133
CG1311,8.28673530361,0.0,0.00108495092142,16.8406082023
PVRAP,7.46183269046,0.0,0.00112880308385,17.5212814675
Mkk4,7.8329787443,9.04737153607,0.00121836740449,18.9114988526
Nplp1,5.74930273172,0.0,0.00126291265293,19.6029301988
CG31475,0.0,7.95976105695,0.00126291265293,19.6029301988
CG34356,9.06727540848,3.04369179918,0.00131154095616,20.3577387215
Efr,0.0,5.71578645163,0.00142779274305,22.1621989576
CG42340,0.0,2.03279949729,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
CG10433,3.1259023677,0.0,0.00142779274305,22.1621989576
Prosap,6.23390837822,8.0502779254,0.00147282307527,22.8611597743
Pxn,9.49677215153,10.7614751945,0.00177491931746,27.5502976456
Cdk5alpha,7.39004969493,8.58469333195,0.00177491931746,27.5502976456
LpR2,8.86532931016,6.94874160132,0.0019423292965,30.1488353403
CG42260,4.10879997169,8.14597298202,0.00204982228844,31.8173415611
ctrip,6.29355524047,1.6835240956,0.00204982228844,31.8173415611
tud,8.57942689643,4.74588089542,0.00209086789089,32.4544514023
pHCl,6.49276171433,8.52143941194,0.00211572035207,32.8402113049
nAChRbeta1,10.1305551057,10.8727753869,0.00213238245702,33.0988404978
CG9650,3.1692531464,0.0,0.00228171554653,35.4167887132
mAChR-B,6.31736697295,0.0,0.00228171554653,35.4167887132
CG34353,8.13206244395,1.47002154443,0.0022921955282,35.5794589887
CG14669,0.0,8.3301275821,0.0022921955282,35.5794589887
CG2224,6.53315640158,0.0,0.00239300692391,37.1442534729
Tcp-1eta,7.96286047397,0.964756319475,0.00274804120397,42.6550955681
Pcd,0.0,5.36997213048,0.00286910496103,44.534247205
tra2,0.0,5.98457534304,0.00286910496103,44.534247205
gry,3.71094205769,0.0,0.0029371589306,45.5905809207
CG32392,0.0,5.10719992197,0.0029371589306,45.5905809207
Gprk2,8.87068775494,7.73103617168,0.00304947296561,47.3339193722
nAChRalpha6,8.11799566616,6.39622745545,0.00304947296561,47.3339193722
Vha26,10.2293697566,10.7326215855,0.00304947296561,47.3339193722
side,5.31130002684,7.61928406079,0.00304947296561,47.3339193722
CG3226,1.70370051211,6.41862607194,0.00328417982783,50.9770392876
Bap60,0.0,6.32709098732,0.00348497681177,54.0938100723
GlcAT-S,7.60668372868,0.0,0.00348497681177,54.0938100723
CG5026,4.72156860523,8.10837854608,0.00350437791695,54.3949540269
Flo1,7.80401291538,2.21146287891,0.00350437791695,54.3949540269
CG9149,0.0,0.54453300162,0.00352705120034,54.7468887317
robo3,0.0,0.90299405217,0.00352705120034,54.7468887317
Ppt2,0.0,1.99980001355,0.00352705120034,54.7468887317
haf,0.0,0.436799737331,0.00352705120034,54.7468887317
kay,0.0,1.55668529135,0.00352705120034,54.7468887317
CG3149,0.0,1.45924933705,0.00352705120034,54.7468887317
Rpb7,0.0,1.76705718929,0.00352705120034,54.7468887317
trx,4.08349117217,7.59252180632,0.00360467167913,55.9517138034
rad,4.45336729591,7.3813488013,0.00362364234065,56.2461764115
Ddr,7.23414970353,5.15098428707,0.0036299774941,56.3445106633
CG18812,9.23107946598,9.80158465688,0.0036299774941,56.3445106633
drpr,9.67393084335,10.5033908155,0.0036299774941,56.3445106633
botv,0.0,2.34987374634,0.00364894251992,56.6388857942
CG6123,0.0,4.64365454284,0.00364894251992,56.6388857942
elB,4.36119558628,0.0,0.00398864969176,61.9118205154
CG33977,0.0,5.25503430552,0.0040621522325,63.0527269528
mnb,8.12117888203,7.34572746013,0.00430777905941,66.8653465602
CG30089,8.17271357413,9.1440516868,0.00430777905941,66.8653465602
CG17124,7.62665909712,8.70192364718,0.00430777905941,66.8653465602
NitFhit,2.82959359426,0.0,0.00437130777888,67.8514393438
CG4341,6.93727940093,0.0,0.00450661135093,69.9516213891
Snx6,0.0,7.4210518655,0.00450661135093,69.9516213891
CG8297,0.0,4.59455965903,0.00457076610572,70.9474314929
dpr3,6.21619889781,8.39650181539,0.00493354571083,76.5784965235
Mapmodulin,3.07736284299,7.55543523232,0.00493354571083,76.5784965235
Hsc70Cb,4.51233067174,7.07929405219,0.00509655249555,79.108687836
milt,5.18038153437,7.70328366274,0.00509655249555,79.108687836
mbf1,9.34728610595,8.42257014123,0.00509655249555,79.108687836
p130CAS,3.80523602884,8.49061348488,0.00523521521884,81.2610106268
sano,8.03628654743,2.87741075823,0.00523521521884,81.2610106268
beta-PheRS,5.92421392716,0.0,0.00544425276621,84.5056914371
GstZ2,8.50545213854,5.98530170862,0.00545010546949,84.5965370974
Dhod,0.0,5.73511554252,0.00545841288083,84.7254847362
CR45009,0.0,3.56220727781,0.00545841288083,84.7254847362
CG42797,8.09680214706,3.29560256125,0.00582677971481,90.4432747333
CG4829,7.70543826323,8.63641019597,0.00582677971481,90.4432747333
CG1354,0.0,7.4900197711,0.00586160832233,90.9838843792
NfI,0.0,4.24447913519,0.00587556329273,91.2004934297
CG15443,2.24555294891,0.0,0.00587556329273,91.2004934297
cindr,3.51276788409,5.73812523421,0.00591876009522,91.8709941979
CG5065,8.96259725704,7.71160501871,0.00601141270381,93.3091479885
Fas2,9.00683020495,8.13054841534,0.00601141270381,93.3091479885
CG32039,4.58897938039,0.0,0.00640153135102,99.3645696306
CG1486,0.0,6.56187734154,0.0064649498014,100.348950817
Alas,5.68304365575,8.34563223139,0.00649274409288,100.78037381
nclb,5.84915216712,0.0,0.00663282670479,102.954736112
Pde1c,0.0,4.31171039984,0.00663282670479,102.954736112
ssp3,0.0,1.07237310041,0.00663282670479,102.954736112
CG42674,7.20467156694,0.0,0.00692625716683,107.509363743
CG42232,5.94200195177,0.0,0.00696973433282,108.184216314
RhoGAP100F,9.14248885804,7.70171677149,0.00706898472796,109.724780947
CG12384,5.34668776581,6.43147124213,0.00706898472796,109.724780947
CG13760,4.80548927667,1.78151627405,0.00763910951658,118.574257916
CR12842,5.42038153961,0.0,0.00770023265441,119.523011262
CG7627,0.0,7.58272097842,0.00770143730756,119.541709888
koi,6.02306193598,0.0,0.00781736611063,121.341156769
Tango4,0.0,3.33939979417,0.00802528727053,124.568509013
dnt,4.39291374581,0.0,0.00802528727053,124.568509013
CG13325,0.0,1.41433960086,0.00802528727053,124.568509013
Hem,0.94516831564,8.30863394381,0.00815814803603,126.630773815
CR45469,0.0,3.09279740323,0.00815814803603,126.630773815
beat-Va,7.63318488782,3.57767133362,0.0081700454027,126.815444741
rpr,0.0,0.0,0.00823657790279,127.848162207
CG13671,0.0,0.0,0.00823657790279,127.848162207
Cul5,0.0,0.0,0.00823657790279,127.848162207
CG1271,0.0,0.0,0.00823657790279,127.848162207
trk,0.0,0.0,0.00823657790279,127.848162207
dpr4,0.0,0.0,0.00823657790279,127.848162207
jbug,0.0,0.0,0.00823657790279,127.848162207
CG7101,0.0,0.0,0.00823657790279,127.848162207
CG10463,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
CR43943,0.0,0.0,0.00823657790279,127.848162207
AstC-R1,0.0,0.0,0.00823657790279,127.848162207
CG7857,0.0,0.0,0.00823657790279,127.848162207
Gclc,0.0,0.0,0.00823657790279,127.848162207
Sply,0.0,0.0,0.00823657790279,127.848162207
CR17025,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
gdl,0.0,0.0,0.00823657790279,127.848162207
CG18476,0.0,0.0,0.00823657790279,127.848162207
CG17167,0.0,0.0,0.00823657790279,127.848162207
CG5973,0.0,0.0,0.00823657790279,127.848162207
wake,0.0,0.0,0.00823657790279,127.848162207
CR45120,0.0,0.0,0.00823657790279,127.848162207
CR44458,0.0,0.0,0.00823657790279,127.848162207
Amph,0.0,0.0,0.00823657790279,127.848162207
CG12355,7.15960650701,0.0,0.00826542146736,128.295872016
Tina-1,8.91956764446,9.37515188363,0.00828746337493,128.638006506
CG10082,7.6786482372,8.37831685025,0.00828746337493,128.638006506
CtBP,8.53456873638,7.6455720604,0.00828746337493,128.638006506
tsr,9.03379518201,9.37314869194,0.00828746337493,128.638006506
GluClalpha,9.17079210167,7.32040561171,0.00828746337493,128.638006506
Sucb,4.4801008019,7.16703390209,0.0085313207872,132.423161259
Pa1,0.0,7.29351768574,0.00896604537191,139.170956263
CG42700,3.74656541431,0.0,0.00931456777471,144.580720999
Arp1,3.46006634623,7.93737452821,0.00942455500723,146.287942822
CG17746,0.0,7.49825069121,0.00957854978099,148.678249701
CG11808,0.0,1.21644219183,0.00966848626792,150.074243851
RpL37A,6.9628044521,7.56493833148,0.0096866596658,150.356331332
Trp1,7.15295945945,8.42605762625,0.0096866596658,150.356331332
CG17270,9.50036700367,10.073057423,0.0096866596658,150.356331332
grp,9.55992399097,7.85853351611,0.0096866596658,150.356331332
Taf13,2.9448697492,0.0,0.00974606052132,151.278351412
Start1,0.0,2.40513681785,0.00974606052132,151.278351412
GluRIA,5.88931081309,1.30828112141,0.0104769505192,162.623225958
scf,0.0,7.24287593484,0.010524821166,163.366274139
GCS2beta,0.0,6.07751559134,0.010812027636,167.824292966
CG6488,4.40189953436,0.0,0.011008781754,170.878310386
Gyc-89Db,3.87951619552,0.0,0.0110568859277,171.62498337
CG8668,3.25473638049,0.0,0.0110568859277,171.62498337
Tim10,2.20277549263,0.0,0.0112105614883,174.010335422
l(2)k01209,8.05644327926,0.0,0.0112199271545,174.155709292
Syx1A,8.84910468862,9.85081199858,0.0112880312616,175.212821242
CR43481,3.65713990001,4.4163355209,0.0112880312616,175.212821242
Sec61beta,6.42360597901,7.60912223714,0.0112880312616,175.212821242
CG5110,4.56280820294,0.0,0.0114025301101,176.990072369
CG15630,0.544802487065,0.0,0.011783775848,182.907768713
Ten-m,8.05608117754,2.41499229306,0.0120172595735,186.531903099
Zip102B,7.79507817486,5.18164534817,0.0120172595735,186.531903099
Pcmt,0.0,6.42820022974,0.0121614578309,188.770148451
CG15561,0.0,1.44071925662,0.0127422475789,197.785166919
CR45758,3.98179422701,6.30094293834,0.0127900973043,198.527890357
Diap1,8.24034840672,6.66399527208,0.0127900973043,198.527890357
