symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
hth,10.234618603,3.91880364784,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.59686028543,1.82922767695e-05,0.283932720016
GV1,8.8137394365,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
CG31676,10.0787727453,0.0,3.03089062316e-05,0.470454842527
eys,6.33981975032,0.0,3.03089062316e-05,0.470454842527
hig,0.530850597535,9.45555873015,3.36991026146e-05,0.523077470784
CG15765,10.7900590382,8.14658021248,3.82914473375e-05,0.594359845572
pros,11.9437085736,10.9151336155,4.86728378236e-05,0.755499788697
CCKLR-17D3,7.9553138743,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.98101241491,6.2654363942e-05,0.972521037107
twz,10.9501559028,8.00131018621,7.53563582746e-05,1.16968139314
CG42342,8.84205657236,10.317318446,7.76409585271e-05,1.20514295826
dpr13,0.0,7.67776180149,8.30327653547e-05,1.28883458384
mspo,1.21367765966,8.01915359009,9.19345635454e-05,1.42700829535
CG33543,8.7372144363,0.0,9.43200352927e-05,1.46403558781
DIP-beta,0.0,6.34933562496,0.00011600356004,1.80060725894
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
kek3,7.87972780421,4.97956077825,0.000119311802124,1.85195779258
CG31637,9.3080857428,2.99194450037,0.000138338286964,2.14728689026
l(1)G0469,1.0335089535,6.88063391692,0.000144911179874,2.249311334
Ac76E,7.68856698543,0.0,0.000148206009967,2.30045368671
sdt,0.0,6.11165919239,0.000186449746378,2.89407296328
CG32276,6.14444374119,7.85755103159,0.000189856989075,2.94696018442
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
CG7991,0.0,6.04540408399,0.000191695863289,2.97550318997
bru-3,8.08595691615,4.77786718714,0.000192101013517,2.98179193182
C15,8.69273658115,9.69290057723,0.000238840864478,3.70728789844
CG30463,0.0,6.42252078871,0.000239209057348,3.71300298815
Mmp2,7.27712481241,4.43828781043,0.000240821116194,3.73802536556
glob1,8.45141557083,0.0,0.000260993147107,4.05113562939
NK7.1,7.46791666743,2.45754572687,0.000280015124478,4.34639476215
Ace,8.89429924062,10.4044563314,0.000296021072947,4.59483909429
CG34114,0.0,7.5597262832,0.000359671675717,5.58282375049
CG14298,0.0,5.04707645956,0.000376532512733,5.84453766264
klg,2.62393783824,8.85859980474,0.000410945679018,6.37869882972
regucalcin,0.0,8.19052693024,0.000481941769935,7.48070015293
CG1504,3.78411167613,0.0,0.000542166280837,8.41550501115
botv,0.0,5.04732011287,0.000542166280837,8.41550501115
CG15537,7.99956416568,0.0,0.000542166280837,8.41550501115
CG8861,0.0,8.66545652232,0.000589256886706,9.14644539545
side,5.18122205562,7.57438310642,0.0006753339723,10.482533918
Cow,7.92746709109,9.69904132408,0.000676970721546,10.5079395398
Sulf1,9.28872682123,7.85987021768,0.000676970721546,10.5079395398
CG42260,4.10879997169,8.05852137866,0.000787953959844,12.2306213647
metl,6.26453351337,0.0,0.000792514928053,12.3014167132
norpA,7.88557862309,8.96473990742,0.000826019728117,12.8214782198
igl,9.6906073258,10.5118906885,0.00100475242783,15.5957671848
CG6565,7.91832320509,0.0,0.00108495092142,16.8406082023
CG4341,7.21637810625,0.0,0.00125050505117,19.4103394042
CG31475,0.0,7.95976105695,0.00126291265293,19.6029301988
CG6123,0.0,5.94357042723,0.00126291265293,19.6029301988
Nplp1,6.35510732837,0.0,0.00126291265293,19.6029301988
CG34356,9.13959558286,3.04369179918,0.00131154095616,20.3577387215
Pde9,7.09677175749,5.38069765298,0.00133721448484,20.7562432338
Aatf,0.0,2.55867864917,0.00142779274305,22.1621989576
CCKLR-17D1,4.13413726173,0.0,0.00142779274305,22.1621989576
Prosap,5.70025496088,8.01100517378,0.00147282307527,22.8611597743
Gprk2,8.87068775494,7.60419558634,0.00147282307527,22.8611597743
Vang,0.0,7.92236751113,0.00153061881771,23.7582652885
CG3226,0.497600207898,6.30120276288,0.00157976558932,24.5211214775
CG13760,5.16711482715,1.78151627405,0.00157976558932,24.5211214775
gry,6.3108649471,0.0,0.00171566764987,26.6305932612
Tpr2,9.58406769971,8.19813327073,0.00177491931746,27.5502976456
Octbeta2R,0.0,3.14988833378,0.00194175002269,30.1398438521
CG31997,0.0,8.19340377467,0.00197494511039,30.6550980034
CG9705,0.0,7.42484157205,0.00201257007866,31.239112761
trx,3.56547537784,7.74223810761,0.00211572035207,32.8402113049
milt,5.18038153437,7.70328366274,0.00212820989586,33.0340740036
CG12484,7.02228268182,9.42530842719,0.00212820989586,33.0340740036
Pxn,9.54089031677,10.8060680331,0.00213238245702,33.0988404978
Mkk4,7.96158923029,9.13643859981,0.00213238245702,33.0988404978
Ddr,7.80298739706,5.15098428707,0.00213238245702,33.0988404978
Ssb-c31a,5.50712753338,7.27025164063,0.00213238245702,33.0988404978
ctrip,7.86586104752,1.6835240956,0.00218053624123,33.8462835364
CG14669,0.0,8.3301275821,0.0022921955282,35.5794589887
CR45009,0.0,3.72082948671,0.00239300692391,37.1442534729
cindr,3.72178767132,5.85097752921,0.00253472786605,39.3440459369
tud,8.57942689643,5.27981959028,0.00253472786605,39.3440459369
Con,10.1761411681,9.42849008367,0.0025539527125,39.6424540034
nAChRalpha6,8.1257623728,6.65002355351,0.0025539527125,39.6424540034
Ca-alpha1T,10.0337415801,7.61873561129,0.0025539527125,39.6424540034
CG42797,8.21222095074,3.29560256125,0.00261422729693,40.578036103
PI31,7.3779842109,2.67099802372,0.00285906907543,44.3784701888
CG9121,0.0,8.04535815364,0.00291155513335,45.1931587799
Sec61beta,6.42005345782,7.60912223714,0.00304947296561,47.3339193722
shrb,5.32152658359,7.11062874472,0.0031244049632,48.4970138387
CG8297,0.0,4.59455965903,0.00319987388694,49.6684424731
CG33977,0.0,5.25503430552,0.00340824673532,52.9028058256
CG5973,0.500003967445,0.0,0.00352705120034,54.7468887317
CG10433,2.53566133536,0.0,0.00352705120034,54.7468887317
haf,0.0,0.436799737331,0.00352705120034,54.7468887317
kay,0.0,1.55668529135,0.00352705120034,54.7468887317
CR44458,0.0,0.509521389525,0.00352705120034,54.7468887317
CG42534,0.0,0.486243527265,0.00352705120034,54.7468887317
CG3149,0.0,1.45924933705,0.00352705120034,54.7468887317
dnt,4.63722227661,0.0,0.00359044554028,55.7308956763
CG32392,0.0,3.7770490735,0.00359044554028,55.7308956763
