symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.70042338091,7.09569794446e-06,0.110139423494
hth,10.3955077814,3.91880364784,1.80085268433e-05,0.279528353662
IA-2,11.3532981021,6.79056015052,1.82922767695e-05,0.283932720016
GV1,8.8137394365,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
eys,6.33981975032,0.0,3.03089062316e-05,0.470454842527
CG31676,10.0841615112,0.0,3.03089062316e-05,0.470454842527
sdt,0.0,6.38101457431,4.01279246574e-05,0.622865646532
hig,0.79248654028,9.27361986668,4.29865050075e-05,0.667236530727
CG42342,8.51566098224,10.317318446,6.14635008328e-05,0.954036459927
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
CCKLR-17D3,7.9553138743,0.0,6.2654363942e-05,0.972521037107
CG30463,0.0,7.24668645302,6.2654363942e-05,0.972521037107
twz,10.9652160193,8.00131018621,7.53563582746e-05,1.16968139314
CG3226,0.0,6.41862607194,8.15947380484e-05,1.26651352399
mspo,1.42677895665,8.20656155668,9.19345635454e-05,1.42700829535
Ac76E,7.68856698543,0.0,9.43200352927e-05,1.46403558781
kek3,7.87972780421,2.6556467902,9.49709897323e-05,1.47413970262
l(1)G0469,0.502658355965,7.17677442842,0.000110207004978,1.71063313127
CG10384,0.0,7.98823314784,0.00011600356004,1.80060725894
pros,11.935389009,10.9772937815,0.000123103116411,1.91080657294
CG8861,0.0,8.90657215602,0.000129502823541,2.01014282701
CG33543,8.66499634921,0.0,0.000151723321511,2.3550493965
dpr13,0.0,7.64492930111,0.000186449746378,2.89407296328
regucalcin,0.0,8.19052693024,0.000191427754366,2.97134160328
CG7991,0.0,5.77282872779,0.000191695863289,2.97550318997
CG15537,8.17498212216,0.0,0.000191695863289,2.97550318997
klg,2.62393783824,9.07201569306,0.000215892781976,3.35108776183
CG31637,9.2477056379,4.53494344222,0.000225527629852,3.50063987056
Sulf1,9.3078867421,7.85987021768,0.000238840864478,3.70728789844
igl,9.59000783809,10.6569862523,0.000238840864478,3.70728789844
Mmp2,7.27712481241,4.43828781043,0.000240821116194,3.73802536556
glob1,8.45141557083,0.0,0.000260993147107,4.05113562939
trx,3.56547537784,7.59252180632,0.00029277029605,4.54438053528
bru-3,8.08595691615,4.87806770972,0.000365740995907,5.67703173847
CG15765,10.5035344995,8.28499556886,0.000365740995907,5.67703173847
CG14298,0.0,5.04707645956,0.000376532512733,5.84453766264
DIP-beta,0.0,6.34933562496,0.000401100451324,6.22588120545
NK7.1,7.46791666743,3.91176121402,0.000438924708267,6.81298932172
CCKLR-17D1,6.18825997114,0.0,0.000542166280837,8.41550501115
CG1504,3.78411167613,0.0,0.000542166280837,8.41550501115
metl,6.26453351337,0.0,0.000542166280837,8.41550501115
NitFhit,2.82959359426,0.0,0.000542166280837,8.41550501115
Fas3,6.40533238347,0.0,0.000542166280837,8.41550501115
norpA,7.60214276693,8.83747477742,0.00055308909204,8.58504888665
CG31997,0.0,8.60024386331,0.000755145951111,11.7213754531
Cow,7.73453756517,9.69904132408,0.000824088988833,12.7915092847
Ssb-c31a,5.94339275202,7.35793852362,0.000826019728117,12.8214782198
CG13760,4.87779663253,0.0,0.000912230265352,14.1596381788
CG34356,9.31294993649,3.04369179918,0.000995695028697,15.4551782354
Prosap,5.70025496088,8.0502779254,0.00100475242783,15.5957671848
CG34380,11.2130048025,10.4428446119,0.00100475242783,15.5957671848
CG32276,5.59318584788,7.51571584238,0.00108243223757,16.8015131916
GluRIA,6.84944700502,1.30828112141,0.00112748770879,17.5008642158
milt,5.42505638304,7.88991898981,0.00121571023979,18.870254342
Ace,8.89429924062,10.4044563314,0.00121836740449,18.9114988526
CG32392,0.0,5.10719992197,0.00122388950565,18.9972129066
CG6123,0.0,5.94357042723,0.00126291265293,19.6029301988
Nplp1,5.74930273172,0.0,0.00126291265293,19.6029301988
beta-PheRS,5.92421392716,0.0,0.00126291265293,19.6029301988
CG34114,0.0,7.44036249326,0.00130526710377,20.2603559847
gry,6.5454111787,0.0,0.00139888360254,21.7134712786
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
haf,0.0,1.43621367882,0.00142779274305,22.1621989576
Aatf,0.0,2.55867864917,0.00142779274305,22.1621989576
GstZ2,8.6542086489,5.98530170862,0.00146044673523,22.6690542243
CG33144,0.0,7.09808980322,0.00156917424068,24.3567225639
CG14669,0.0,8.3301275821,0.00157976558932,24.5211214775
CG8297,0.0,4.79921747229,0.00163600897563,25.3941313198
shrb,5.79054311077,7.47302419809,0.00173908106987,26.9940163665
tud,8.57942689643,5.27981959028,0.00176053230348,27.3269824146
Pde9,7.0157139836,5.38069765298,0.00176053230348,27.3269824146
Mkk4,8.26688237562,9.13643859981,0.00177491931746,27.5502976456
beat-Ia,0.637882030745,7.49067593818,0.00190593953565,29.5839934724
Pxn,9.51182060068,10.8060680331,0.00213238245702,33.0988404978
Ca-alpha1T,10.2727814123,7.61873561129,0.00213238245702,33.0988404978
CR45009,0.0,3.72082948671,0.00239300692391,37.1442534729
cindr,3.72178767132,5.85097752921,0.00250604271143,38.8987949668
Flo1,7.74248649801,4.04230960241,0.00250604271143,38.8987949668
side,5.18122205562,7.61928406079,0.00254913889704,39.5677339598
C15,8.84993493649,9.69290057723,0.0025539527125,39.6424540034
nudE,0.0,4.20310422669,0.00278672611851,43.2555628115
CG33977,0.0,5.39633818531,0.00285052336252,44.245823633
CG8243,0.0,5.32518485557,0.0029371589306,45.5905809207
CG42260,4.8276453494,8.14597298202,0.00293985221537,45.632386087
alpha-Man-IIb,5.98146912161,2.68478488436,0.00299439011492,46.4789233637
CG43729,10.0406117713,9.17014536066,0.00304947296561,47.3339193722
Gprk2,8.96234432988,7.73103617168,0.00304947296561,47.3339193722
Ddr,7.80298739706,5.4374671966,0.00304947296561,47.3339193722
RhoGAP100F,9.14248885804,7.21642554411,0.00304947296561,47.3339193722
Alas,2.8309932686,8.34563223139,0.00311817639929,48.4003340699
sano,8.4584965588,3.45393391903,0.0031244049632,48.4970138387
CG5026,2.2095278536,7.61084763522,0.00328417982783,50.9770392876
Cul5,0.0,0.54453300162,0.00352705120034,54.7468887317
CG42534,0.0,0.486243527265,0.00352705120034,54.7468887317
CR44458,0.0,0.509521389525,0.00352705120034,54.7468887317
CG3149,0.0,1.45924933705,0.00352705120034,54.7468887317
CG18476,0.0,0.76123965239,0.00352705120034,54.7468887317
botv,0.0,2.34987374634,0.00364894251992,56.6388857942
CG31475,0.0,7.75905210258,0.00364894251992,56.6388857942
Vti1a,0.0,6.6283698352,0.00364894251992,56.6388857942
Ten-m,8.13250102798,2.41499229306,0.00388846980714,60.3568283465
elB,4.36119558628,0.0,0.00398864969176,61.9118205154
Rgk3,3.95382642919,0.0,0.0041336439511,64.162421409
dpr1,5.53290553342,0.0,0.00415787213509,64.5384912809
Zip102B,7.79507817486,5.18164534817,0.00427891027272,66.4172452531
CG9919,9.54001623881,9.98390333885,0.00430777905941,66.8653465602
CG17124,7.41465669914,8.70192364718,0.00430777905941,66.8653465602
Tpr2,9.41093995401,8.2686181496,0.00430777905941,66.8653465602
CG10082,7.37101841752,8.50128738993,0.00430777905941,66.8653465602
CG9650,2.63276499958,0.0,0.00437130777888,67.8514393438
Tcp-1eta,7.96286047397,2.71906856253,0.00442139823196,68.6289433564
CG4341,6.93727940093,0.0,0.00450661135093,69.9516213891
Octbeta2R,0.0,3.74890026328,0.00450661135093,69.9516213891
CG5114,0.0,1.94121738684,0.00451760512169,70.1222666989
rdgA,2.79270130047,6.84118108367,0.00506374462822,78.5994441192
CG32549,6.99216182904,9.1931072174,0.00506374462822,78.5994441192
Rpt5,7.74394318214,2.17341354797,0.00523521521884,81.2610106268
Actbeta,7.42252601368,3.89498679031,0.00545010546949,84.5965370974
ssp3,0.0,1.07746787067,0.00545841288083,84.7254847362
CG9588,0.0,3.44846211032,0.00545841288083,84.7254847362
CG9902,0.0,1.88225969702,0.00545841288083,84.7254847362
Dhod,0.0,5.73511554252,0.00545841288083,84.7254847362
Vps26,7.59548209479,0.0,0.00550127178673,85.3907406736
CG34353,8.16411571195,2.67471371765,0.00550127178673,85.3907406736
PVRAP,7.46183269046,0.0,0.00570910433234,88.6167174465
Ero1L,0.0,3.39886724681,0.00570910433234,88.6167174465
CG6565,7.91832320509,0.0,0.00587556329273,91.2004934297
mnb,8.25496425153,7.41251190036,0.00601141270381,93.3091479885
CG3061,9.20866994624,7.98470835734,0.00601141270381,93.3091479885
nAChRalpha6,8.1257623728,6.65002355351,0.00601141270381,93.3091479885
mod(r),0.0,7.56657848526,0.0064436900087,100.018956315
Use1,0.0,5.49072395071,0.0064649498014,100.348950817
Oseg6,0.0,2.7425695494,0.00663282670479,102.954736112
l(2)09851,3.71587947379,0.0,0.00663282670479,102.954736112
CG31323,0.0,7.26687097745,0.00674805680549,104.743337735
Pa1,0.0,6.86880092459,0.0067947678321,105.46838629
Hmt4-20,3.11057324223,7.15207864441,0.00686066545951,106.491249262
CG9121,0.0,7.91157920568,0.00692625716683,107.509363743
mRpL46,6.39747276561,0.0,0.00692625716683,107.509363743
tra2,0.0,6.72669517105,0.00692625716683,107.509363743
Vang,0.0,7.92236751113,0.00696973433282,108.184216314
CG12484,6.78140492871,9.30163936478,0.00705850305669,109.562084446
Mp,9.71268532073,10.354582533,0.00706898472796,109.724780947
Cdk5alpha,7.10780890092,8.58469333195,0.00706898472796,109.724780947
CG17816,9.34092841411,10.1192542717,0.00706898472796,109.724780947
nAChRbeta1,10.1305551057,10.8088808042,0.00706898472796,109.724780947
CG8909,7.08794120105,2.45224221918,0.00727208916095,112.877367956
Octbeta3R,0.0,3.0401925172,0.00761334768996,118.174382844
Eph,6.08593236634,3.48309367553,0.00764579663351,118.678055345
Pcmt,0.0,6.42820022974,0.00770143730756,119.541709888
GstT1,3.61343894291,0.0,0.00770143730756,119.541709888
CG16979,0.0,7.36172450832,0.00770143730756,119.541709888
CG12822,0.0,7.1858548021,0.00794171135451,123.271243645
dnt,2.92563057708,0.0,0.00802528727053,124.568509013
CG14903,1.85118922263,4.69232485147,0.00805333439793,125.003856525
ctrip,6.29355524047,2.12049149879,0.00805333439793,125.003856525
CG1646,7.07991308574,0.0,0.00815814803603,126.630773815
CG17167,0.0,0.0,0.00823657790279,127.848162207
gdl,0.0,0.0,0.00823657790279,127.848162207
Alg10,0.0,0.0,0.00823657790279,127.848162207
ArgRS,0.0,0.0,0.00823657790279,127.848162207
jbug,0.0,0.0,0.00823657790279,127.848162207
GlcT-1,0.0,0.0,0.00823657790279,127.848162207
Sply,0.0,0.0,0.00823657790279,127.848162207
Crag,0.0,0.0,0.00823657790279,127.848162207
CG9149,0.0,0.0,0.00823657790279,127.848162207
CR45120,0.0,0.0,0.00823657790279,127.848162207
