symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.70042338091,7.09569794446e-06,0.110139423494
hth,10.2852627646,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.3916994412,6.55787188707,1.82922767695e-05,0.283932720016
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
beat-VI,0.0,7.98101241491,1.87923035691e-05,0.291694136
GV1,9.12223126389,0.0,1.87923035691e-05,0.291694136
CG31676,10.0452102581,0.0,3.03089062316e-05,0.470454842527
eys,6.0787273017,0.0,3.03089062316e-05,0.470454842527
CG33543,8.66499634921,0.0,4.33551179312e-05,0.672958140528
hig,2.72335957791,9.45555873015,5.75858987489e-05,0.89384832038
twz,10.9501559028,7.40540162637,5.75858987489e-05,0.89384832038
sdt,0.0,6.11165919239,5.84228460578e-05,0.906839416509
CG42342,8.51566098224,10.317318446,6.14635008328e-05,0.954036459927
CG30463,0.0,6.42252078871,6.2654363942e-05,0.972521037107
CCKLR-17D3,7.9553138743,0.0,6.2654363942e-05,0.972521037107
mspo,1.27306809446,8.01915359009,9.19345635454e-05,1.42700829535
Ac76E,7.84762386678,0.0,9.43200352927e-05,1.46403558781
pros,11.935389009,10.9772937815,9.80807368533e-05,1.52240919744
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
CG8861,0.0,8.66545652232,0.000118369727248,1.83733490635
DIP-beta,0.0,5.87911707175,0.000191695863289,2.97550318997
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
CG15537,7.99956416568,0.0,0.000191695863289,2.97550318997
bru-3,8.08595691615,4.77786718714,0.000192101013517,2.98179193182
Mmp2,7.19439821291,2.15954436742,0.000202898452929,3.14938978637
glob1,8.34404727375,0.0,0.000203467506621,3.15822263778
igl,9.51162793619,10.5118906885,0.000238840864478,3.70728789844
CG15765,10.5767560281,8.28499556886,0.000238840864478,3.70728789844
l(1)G0469,1.04888793612,6.88063391692,0.000280015124478,4.34639476215
Flo1,7.74248649801,2.21146287891,0.000287940759511,4.46941646913
kek3,7.7702051211,2.6556467902,0.000287940759511,4.46941646913
Hmt4-20,2.00874070326,7.28566399586,0.000287940759511,4.46941646913
dpr13,0.0,7.64492930111,0.000313816746402,4.87106353765
NK7.1,7.46791666743,2.56090214871,0.000346567437383,5.37941976306
CG31637,9.06903700946,4.53494344222,0.000346567437383,5.37941976306
Sulf1,9.33137190883,7.93343468602,0.000365740995907,5.67703173847
CG14298,0.0,5.04707645956,0.000376532512733,5.84453766264
trx,3.56547537784,7.59252180632,0.000445826278835,6.92011550008
klg,5.08050400933,8.85859980474,0.000525874701383,8.16262711487
CCKLR-17D1,4.13413726173,0.0,0.000542166280837,8.41550501115
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
norpA,7.60214276693,8.83747477742,0.00055308909204,8.58504888665
Cow,7.39994261754,9.82769667208,0.0006753339723,10.482533918
Ace,9.14938842102,10.522229622,0.000676970721546,10.5079395398
regucalcin,0.0,7.98605276789,0.000742842896261,11.5304074358
tud,8.60170411715,5.27981959028,0.000982205636211,15.2457958853
CG7991,0.0,6.04540408399,0.000986770339198,15.316649205
CG5026,0.0,7.61084763522,0.00111189349193,17.2588107817
CG31997,0.0,8.19340377467,0.00112871004054,17.5198372493
CG32276,6.14444374119,7.51571584238,0.00120776019566,18.746853757
CG32392,0.0,5.10719992197,0.00122388950565,18.9972129066
sano,8.4584965588,2.87741075823,0.00124181627851,19.275472275
CG6123,0.0,5.94357042723,0.00126291265293,19.6029301988
botv,0.0,5.04732011287,0.00126291265293,19.6029301988
CR45009,0.0,3.16189923125,0.00142779274305,22.1621989576
CG11652,0.0,5.89357429695,0.00142779274305,22.1621989576
haf,0.0,1.43621367882,0.00142779274305,22.1621989576
Tango4,0.0,3.33939979417,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
Ssb-c31a,5.50712753338,7.27025164063,0.00147282307527,22.8611597743
CG3226,0.497600207898,6.41862607194,0.00157976558932,24.5211214775
CG42674,7.1037761112,0.0,0.00166076442124,25.7783853464
CG34356,9.06727540848,3.04369179918,0.00176053230348,27.3269824146
Pde9,7.0347202523,5.38069765298,0.00176053230348,27.3269824146
Ddr,8.05439513623,5.4374671966,0.00177491931746,27.5502976456
Dgkepsilon,7.79127983357,0.0,0.00190593953565,29.5839934724
GstZ2,8.6542086489,4.49516753425,0.00190761839086,29.610052663
CG15561,0.0,1.44071925662,0.00194175002269,30.1398438521
nudE,0.0,3.47501857931,0.00194175002269,30.1398438521
metl,6.26453351337,0.0,0.00194175002269,30.1398438521
rad,4.45336729591,7.3813488013,0.00212820989586,33.0340740036
Pxn,9.40476554848,10.8060680331,0.00213238245702,33.0988404978
CG17816,9.34092841411,10.3302397843,0.00213238245702,33.0988404978
CG33977,0.0,5.42007937315,0.00237647722609,36.8876795033
Pcd,0.0,5.36997213048,0.00237816800051,36.9139237038
Pa1,0.0,7.29351768574,0.00237816800051,36.9139237038
CG34114,1.78212009754,7.5597262832,0.00238848778678,37.0741074264
ssp3,0.0,1.08397123299,0.00239300692391,37.1442534729
cindr,3.72178767132,5.52947213765,0.00250604271143,38.8987949668
CG8668,3.25473638049,0.0,0.00252281894047,39.159195594
CG4341,7.21637810625,0.0,0.00252281894047,39.159195594
rgn,5.98619006964,0.0,0.00252281894047,39.159195594
Ca-alpha1T,10.2727814123,7.7563048721,0.0025539527125,39.6424540034
GluRIA,6.34754171599,0.0,0.00274804120397,42.6550955681
CG14669,2.03920751447,8.3301275821,0.00285906907543,44.3784701888
CG14903,1.85118922263,4.48435061175,0.00293985221537,45.632386087
CG42260,4.8276453494,8.05852137866,0.00293985221537,45.632386087
CG32549,7.82300191665,9.38245636022,0.0030273744898,46.9909068306
CG13532,8.58781202702,7.29405958641,0.00304947296561,47.3339193722
Prosap,5.70025496088,8.01100517378,0.00304947296561,47.3339193722
CG34380,11.2130048025,10.4914936882,0.00304947296561,47.3339193722
mod(r),0.0,7.38635268601,0.00344965301637,53.54551412
CG4829,7.50612588307,8.57906126888,0.00350437791695,54.3949540269
CG9149,0.0,0.54453300162,0.00352705120034,54.7468887317
CG3149,0.0,1.45924933705,0.00352705120034,54.7468887317
kay,0.0,1.55668529135,0.00352705120034,54.7468887317
p130CAS,4.97350929849,8.49061348488,0.00356688708755,55.3652213729
CG45263,6.17028755399,8.06322080155,0.00362364234065,56.2461764115
Tpr2,9.41093995401,8.2686181496,0.0036299774941,56.3445106633
Nplp1,4.35227396902,0.0,0.00364894251992,56.6388857942
CG31475,0.0,7.95976105695,0.00364894251992,56.6388857942
Start1,0.0,4.92192036847,0.00364894251992,56.6388857942
CR45660,0.0,1.34458694284,0.00374224898317,58.0871887168
CG5823,0.0,6.74943460302,0.00374224898317,58.0871887168
milt,5.42505638304,7.88991898981,0.00430055266134,66.7531784093
CG9919,9.61531304827,10.1068462678,0.00430777905941,66.8653465602
CG42540,10.9717324793,9.78005769804,0.00430777905941,66.8653465602
Mkk4,8.26688237562,9.13643859981,0.00430777905941,66.8653465602
CG10082,7.37101841752,8.51932652539,0.00430777905941,66.8653465602
CG9650,3.1692531464,0.0,0.00437130777888,67.8514393438
Octbeta2R,0.0,3.6847861606,0.00437130777888,67.8514393438
NitFhit,2.82959359426,0.0,0.00437130777888,67.8514393438
Tcp-1eta,8.02389758572,2.71906856253,0.00442139823196,68.6289433564
Hem,0.94516831564,8.30863394381,0.00442947100501,68.7542489398
CG33144,0.0,6.13111846495,0.00447257634231,69.4233299853
CG3744,0.0,2.60376897789,0.00450661135093,69.9516213891
gry,3.71094205769,0.0,0.00451760512169,70.1222666989
vih,7.81874026811,0.53943823137,0.00464668781242,72.1258882244
GstT1,5.19787403794,0.0,0.00493654540271,76.6250577408
nsl1,7.39506968482,0.0,0.00493654540271,76.6250577408
CG10948,0.0,6.57310376569,0.00494472589418,76.7520353295
ps,9.38962488135,8.38797933398,0.00509655249555,79.108687836
nAChRalpha6,8.1257623728,6.39622745545,0.00509655249555,79.108687836
RhoGAP100F,9.35408254951,7.70171677149,0.00509655249555,79.108687836
Gprk2,8.78769805289,7.60419558634,0.00509655249555,79.108687836
Ubi-p63E,0.463912480287,5.64551060701,0.00525425985974,81.5566215428
CG1486,0.0,6.26200248501,0.00540745351568,83.9344934703
Pi3K92E,0.0,7.8077050758,0.00540745351568,83.9344934703
elB,2.66080372024,0.0,0.00544425276621,84.5056914371
Ten-m,8.23892146212,2.41499229306,0.00545010546949,84.5965370974
CG12877,0.0,3.93689596011,0.00545841288083,84.7254847362
Ero1L,0.0,3.39886724681,0.00570910433234,88.6167174465
CG13630,0.0,7.23039149295,0.00571579258186,88.7205324556
CG8297,0.0,4.59455965903,0.00586160832233,90.9838843792
dpr1,5.78007055783,0.0,0.00586160832233,90.9838843792
alpha-Man-IIb,5.98146912161,2.14089484322,0.00591876009522,91.8709941979
Actbeta,7.6715418859,5.1373730931,0.00597427122471,92.7326379499
mnb,8.25496425153,7.3781310952,0.00601141270381,93.3091479885
Trx-2,6.71418864182,7.84244092979,0.00601141270381,93.3091479885
SkpA,9.35577284161,8.45692366812,0.00601141270381,93.3091479885
CG34353,8.60449212673,4.14473526208,0.00617968770751,95.9211125959
CG31344,0.0,7.09683509355,0.0064649498014,100.348950817
CG13760,4.87779663253,1.78151627405,0.00649274409288,100.78037381
Sik2,9.04954599093,7.81721920388,0.00651138445306,101.06970948
Vps26,7.86177508923,1.61034184838,0.00670625474974,104.094486225
gammaCOP,8.89074274388,7.09499446226,0.00686066545951,106.491249262
CG9121,0.0,7.91157920568,0.00692625716683,107.509363743
CG10960,2.6452237595,7.20192197592,0.0069644785992,108.102636817
mCD8-GFP,10.4240840213,11.7774149993,0.00702709940089,109.074636901
CG12484,6.78140492871,9.30163936478,0.00705850305669,109.562084446
mub,11.997866839,11.4858365184,0.00706898472796,109.724780947
Vha26,10.3024591196,10.7326215855,0.00706898472796,109.724780947
Mp,9.71268532073,10.354582533,0.00706898472796,109.724780947
CG18812,9.30377135646,9.80158465688,0.00706898472796,109.724780947
CG3061,9.08621517524,7.98556614675,0.00706898472796,109.724780947
CG1354,0.770801527465,7.76799127468,0.00763910951658,118.574257916
CG3823,0.0,4.50960038297,0.00770023265441,119.523011262
CG18265,3.94673686442,0.0,0.00802528727053,124.568509013
dnt,2.92563057708,0.0,0.00802528727053,124.568509013
Efr,0.0,5.71578645163,0.00802528727053,124.568509013
CG32982,3.95977748466,1.05835671089,0.00805333439793,125.003856525
PVRAP,7.30906599424,0.0,0.00805893116142,125.090729488
CR46006,0.0,0.0,0.00823657790279,127.848162207
CG11103,0.0,0.0,0.00823657790279,127.848162207
CR45120,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
ArgRS,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
Alg10,0.0,0.0,0.00823657790279,127.848162207
CG10433,0.0,0.0,0.00823657790279,127.848162207
CG17544,0.0,0.0,0.00823657790279,127.848162207
Cul5,0.0,0.0,0.00823657790279,127.848162207
CG18476,0.0,0.0,0.00823657790279,127.848162207
CG32113,0.0,0.0,0.00823657790279,127.848162207
CR44458,0.0,0.0,0.00823657790279,127.848162207
wol,0.0,0.0,0.00823657790279,127.848162207
CG43101,0.0,0.0,0.00823657790279,127.848162207
GlcT-1,0.0,0.0,0.00823657790279,127.848162207
CG17167,0.0,0.0,0.00823657790279,127.848162207
wake,0.0,0.0,0.00823657790279,127.848162207
CG5973,0.0,0.0,0.00823657790279,127.848162207
CR45925,0.0,0.0,0.00823657790279,127.848162207
CG14463,0.0,0.0,0.00823657790279,127.848162207
rnh1,0.0,0.0,0.00823657790279,127.848162207
CR43943,0.0,0.0,0.00823657790279,127.848162207
CG7272,0.0,0.0,0.00823657790279,127.848162207
Sply,0.0,0.0,0.00823657790279,127.848162207
CG30466,0.0,0.0,0.00823657790279,127.848162207
Arl2,0.0,0.0,0.00823657790279,127.848162207
pHCl,7.46234749399,8.62763110533,0.00827568991394,128.455258844
Hsp70Bb,5.1788237784,6.38134003962,0.00827568991394,128.455258844
Sec61beta,6.42360597901,7.60912223714,0.00828746337493,128.638006506
rdgA,3.03181239929,6.84118108367,0.00895070993697,138.932919642
beat-Ia,1.76933535464,6.77255703964,0.0089600468541,139.077847269
CG8909,7.08794120105,0.54453300162,0.0089600468541,139.077847269
mAChR-B,6.31736697295,0.0,0.00914149983987,141.894360514
