symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.70042338091,7.09569794446e-06,0.110139423494
hth,10.1786543382,3.03180212045,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.55787188707,1.82922767695e-05,0.283932720016
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
CG31676,10.0399331829,0.0,3.03089062316e-05,0.470454842527
eys,5.88406419501,0.0,3.03089062316e-05,0.470454842527
CG33543,8.7372144363,0.0,3.37431000766e-05,0.523760399388
CG42342,8.51566098224,10.3569749635,4.85028584301e-05,0.752861368552
hig,1.32333713782,9.27361986668,5.75858987489e-05,0.89384832038
twz,10.9121638061,7.40540162637,5.75858987489e-05,0.89384832038
CCKLR-17D3,7.9553138743,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.98101241491,6.2654363942e-05,0.972521037107
mspo,1.12109162987,8.20656155668,9.19345635454e-05,1.42700829535
pros,11.9473696508,10.9151336155,9.80807368533e-05,1.52240919744
CG10384,0.0,7.98823314784,0.00011600356004,1.80060725894
sdt,0.0,6.38101457431,0.000118369727248,1.83733490635
dpr13,0.0,7.68671106566,0.000186449746378,2.89407296328
DIP-beta,0.0,5.87911707175,0.000191695863289,2.97550318997
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
CG15765,10.7900590382,8.14658021248,0.000192101013517,2.98179193182
igl,9.51162793619,10.5118906885,0.000192101013517,2.98179193182
l(1)G0469,1.0335089535,7.17677442842,0.000225527629852,3.50063987056
bru-3,8.18783790461,4.77786718714,0.000238840864478,3.70728789844
CG30463,0.0,6.800029929,0.000239209057348,3.71300298815
Mmp2,7.27712481241,4.43828781043,0.000240821116194,3.73802536556
glob1,8.34404727375,0.0,0.000260993147107,4.05113562939
tud,8.58137417233,4.74588089542,0.000287940759511,4.46941646913
Ssb-c31a,4.67109339821,7.35793852362,0.000296021072947,4.59483909429
CG31637,9.06903700946,4.53494344222,0.000346567437383,5.37941976306
