symbol,medianA,medianB,pvalue,pvalue_adj
CG31676,10.0841615112,0.0,7.09569794446e-06,0.110139423494
eys,6.0787273017,0.0,7.09569794446e-06,0.110139423494
fred,0.0,8.70042338091,9.15336830931e-06,0.142078582897
twz,10.9652160193,7.61672536826,1.69078033979e-05,0.262442924342
hth,10.3955077814,3.91880364784,1.75893739454e-05,0.27302226238
IA-2,11.1903299239,6.79056015052,1.82922767695e-05,0.283932720016
CCKLR-17D3,8.29747868136,0.0,1.87923035691e-05,0.291694136
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
Dtg,0.0,8.64906489862,1.87923035691e-05,0.291694136
dpr13,0.0,7.68671106566,4.58679335698e-05,0.711962064871
Cow,7.39994261754,9.69904132408,4.85028584301e-05,0.752861368552
hig,2.46172363516,9.40196556989,5.75858987489e-05,0.89384832038
sdt,0.0,6.13960902664,5.84228460578e-05,0.906839416509
CG15537,8.17498212216,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.98101241491,6.2654363942e-05,0.972521037107
CG30463,0.0,7.24668645302,6.53070589699e-05,1.01369616933
klg,5.08050400933,8.85859980474,7.28770520889e-05,1.13119760252
CG42342,8.84205657236,10.3569749635,7.78979465439e-05,1.20913192626
CG33543,8.57069738937,0.0,8.37425492817e-05,1.29985184995
Ac76E,7.68856698543,0.0,9.43200352927e-05,1.46403558781
CG10384,0.0,7.98823314784,0.00011600356004,1.80060725894
DIP-beta,0.0,6.34933562496,0.00011600356004,1.80060725894
Mmp2,7.36640037341,2.15954436742,0.000129502823541,2.01014282701
PVRAP,7.55066840667,0.0,0.000151723321511,2.3550493965
mspo,1.42677895665,8.01915359009,0.000152167966278,2.36195117257
pros,11.8468647557,10.9151336155,0.000154022352814,2.39073496038
Pde9,7.09677175749,5.10649384086,0.000191538245668,2.97305664926
CCKLR-17D1,6.18825997114,0.0,0.000191695863289,2.97550318997
CG15765,10.3131264156,8.14658021248,0.000192101013517,2.98179193182
Ace,8.9971296175,10.522229622,0.000192101013517,2.98179193182
CG34114,0.0,7.50066717361,0.000202898452929,3.14938978637
CG31637,9.3080857428,1.54299894185,0.000215892781976,3.35108776183
l(1)G0469,0.530850597535,6.88063391692,0.000215892781976,3.35108776183
glob1,8.34404727375,0.0,0.000260993147107,4.05113562939
CG34356,9.06727540848,2.51560410752,0.00029277029605,4.54438053528
Ca-alpha1T,10.0337415801,7.77926780067,0.000296021072947,4.59483909429
Pxn,9.49677215153,10.8060680331,0.000365740995907,5.67703173847
igl,9.51162793619,10.6569862523,0.000365740995907,5.67703173847
CG14298,0.0,5.04707645956,0.000376532512733,5.84453766264
CG7991,0.0,6.04540408399,0.000380367227827,5.90406011033
Nplp1,6.60735632887,0.0,0.000401100451324,6.22588120545
CG8861,2.97236835729,8.90657215602,0.00050606021451,7.85506664963
NK7.1,7.72715838966,3.91176121402,0.000525874701383,8.16262711487
kek3,7.98666895459,4.97956077825,0.00053936770472,8.37206551266
CG1504,3.78411167613,0.0,0.000542166280837,8.41550501115
Fas3,7.04866623243,0.0,0.000542166280837,8.41550501115
CG9650,2.63276499958,0.0,0.000542166280837,8.41550501115
Sulf1,9.2663440894,7.85987021768,0.00055308909204,8.58504888665
Gprk2,8.96234432988,7.73103617168,0.00055308909204,8.58504888665
CG31997,0.0,8.19340377467,0.000614632174771,9.5403206168
norpA,7.60214276693,8.88240212178,0.000676970721546,10.5079395398
bru-3,8.22938489178,4.77786718714,0.000676970721546,10.5079395398
regucalcin,0.0,7.98605276789,0.000742842896261,11.5304074358
metl,6.26453351337,0.0,0.000792514928053,12.3014167132
CG32276,6.45861558619,7.85755103159,0.000818314149943,12.7018722354
CG33977,0.0,5.42007937315,0.0008252767023,12.8099449731
Tpr2,9.50716548834,8.1881916602,0.00100475242783,15.5957671848
Ssb-c31a,5.50712753338,7.27025164063,0.00100475242783,15.5957671848
Prosap,6.19582852348,8.0502779254,0.00100475242783,15.5957671848
gry,3.71094205769,0.0,0.00126291265293,19.6029301988
CG6123,0.0,5.94357042723,0.00126291265293,19.6029301988
CG31475,0.0,7.95976105695,0.00126291265293,19.6029301988
Aatf,0.0,2.55867864917,0.00142779274305,22.1621989576
LpR2,8.86532931016,5.97439135339,0.00146044673523,22.6690542243
Cdk5alpha,7.39004969493,8.69278775101,0.00147282307527,22.8611597743
CG33144,0.0,7.09808980322,0.00156917424068,24.3567225639
IntS14,0.0,5.0649448127,0.00156917424068,24.3567225639
Ddr,7.80298739706,5.4374671966,0.00177491931746,27.5502976456
nAChRalpha6,8.06480274411,6.39622745545,0.00177491931746,27.5502976456
Gyc-89Db,3.98393747663,0.0,0.0018610634418,28.8874267436
Mkk4,7.96158923029,9.04737153607,0.00213238245702,33.0988404978
GstZ2,8.50545213854,4.49516753425,0.00228994716263,35.5445598584
CR45009,0.0,3.72082948671,0.00239300692391,37.1442534729
CG2224,6.53315640158,0.0,0.00239300692391,37.1442534729
dpr3,5.79184273837,8.39650181539,0.00245863997421,38.1630096797
CG42260,4.8276453494,8.14597298202,0.00250604271143,38.8987949668
Pde8,6.0077629996,0.0,0.00255244743278,39.6190890516
Sucb,1.78212009754,7.16703390209,0.00274804120397,42.6550955681
tra2,0.0,5.98457534304,0.00286910496103,44.534247205
side,5.18122205562,7.49744600017,0.00304394018393,47.248039535
CG45263,6.17028755399,7.78191503086,0.00304394018393,47.248039535
Rab11,8.51655241901,7.62094964029,0.00304947296561,47.3339193722
CG9149,0.0,0.54453300162,0.00352705120034,54.7468887317
Efr,0.0,2.62730972462,0.00352705120034,54.7468887317
Cul5,0.0,0.54453300162,0.00352705120034,54.7468887317
CG11808,0.0,0.509521389525,0.00352705120034,54.7468887317
haf,0.0,0.436799737331,0.00352705120034,54.7468887317
CG42534,0.0,0.486243527265,0.00352705120034,54.7468887317
robo3,0.0,0.90299405217,0.00352705120034,54.7468887317
Oseg6,0.0,1.36325540273,0.00352705120034,54.7468887317
CG42340,0.0,0.647321577795,0.00352705120034,54.7468887317
trk,0.0,0.436799737331,0.00352705120034,54.7468887317
CR44458,0.0,0.509521389525,0.00352705120034,54.7468887317
CG18476,0.0,0.76123965239,0.00352705120034,54.7468887317
CG10433,0.590241032335,0.0,0.00352705120034,54.7468887317
kay,0.0,1.55668529135,0.00352705120034,54.7468887317
CR45120,0.463912480287,0.0,0.00352705120034,54.7468887317
CG32392,0.0,3.7770490735,0.00359044554028,55.7308956763
tud,8.57942689643,5.27981959028,0.00360467167913,55.9517138034
CG17124,7.62665909712,8.70192364718,0.0036299774941,56.3445106633
botv,0.0,2.34987374634,0.00364894251992,56.6388857942
CG13369,0.0,5.95824688759,0.00364894251992,56.6388857942
CG42700,5.30354269558,0.0,0.00374224898317,58.0871887168
CG9121,0.0,7.95736233423,0.00383068638571,59.4599140789
p130CAS,4.71694032138,8.49061348488,0.00416441879531,64.6401085409
trx,4.08349117217,7.59252180632,0.00430055266134,66.7531784093
CG44422,8.9002158152,7.58916932073,0.00430777905941,66.8653465602
milt,5.42505638304,7.88991898981,0.00430777905941,66.8653465602
CG5065,9.01627061965,7.71160501871,0.00430777905941,66.8653465602
Sec61beta,6.42005345782,7.60912223714,0.00430777905941,66.8653465602
Taf13,5.02529258623,0.0,0.00447257634231,69.4233299853
CG4341,6.93727940093,0.0,0.00450661135093,69.9516213891
CG8297,0.0,4.79921747229,0.00457076610572,70.9474314929
CR45469,0.0,3.34327373974,0.00464668781242,72.1258882244
Nmda1,7.57996483196,2.71335826378,0.00464668781242,72.1258882244
Pcd,0.0,4.92493393283,0.00478027785591,74.1994728795
CG9018,0.0,5.0010789799,0.00478027785591,74.1994728795
tko,6.0519089014,4.38821426487,0.00493354571083,76.5784965235
unc79,9.15944712821,8.20855878896,0.00509655249555,79.108687836
RhoGAPp190,7.27686539913,4.75464308544,0.00509655249555,79.108687836
RhoGAP100F,9.14248885804,7.70171677149,0.00509655249555,79.108687836
Trp1,6.68730074953,8.21298393011,0.00509655249555,79.108687836
mbf1,9.36504191188,8.42257014123,0.00509655249555,79.108687836
Diap1,8.24034840672,5.43217948994,0.00523521521884,81.2610106268
GluRIA,5.88931081309,0.0,0.00571579258186,88.7205324556
CG42674,7.30079881531,0.0,0.00586160832233,90.9838843792
Bem46,0.0,7.42929366364,0.00586160832233,90.9838843792
CG15443,2.24555294891,0.0,0.00587556329273,91.2004934297
ctrip,6.29355524047,2.12049149879,0.00591876009522,91.8709941979
Dyb,8.11483832679,9.09353465586,0.00601141270381,93.3091479885
CG9919,9.54001623881,10.1068462678,0.00601141270381,93.3091479885
drpr,9.67393084335,10.4640698298,0.00601141270381,93.3091479885
sano,8.03628654743,2.87741075823,0.00617968770751,95.9211125959
CG3226,2.20130072001,6.30120276288,0.00617968770751,95.9211125959
Rab39,0.590241032335,6.79856361779,0.00621296200904,96.4375963044
CG42450,5.76350195599,0.0,0.0064436900087,100.018956315
Use1,0.0,5.49072395071,0.0064649498014,100.348950817
CG34353,8.13206244395,1.47002154443,0.00649274409288,100.78037381
Alas,5.68304365575,8.34563223139,0.00649274409288,100.78037381
nst,6.72008895672,0.0,0.00653613018271,101.453812696
Naa60,0.0,6.38892588082,0.00653613018271,101.453812696
ssp3,0.0,1.07237310041,0.00663282670479,102.954736112
CG14881,0.0,4.01197947309,0.00663282670479,102.954736112
CR45758,3.356626816,6.30094293834,0.0069644785992,108.102636817
RpL12,7.82950650924,7.11650687849,0.00706898472796,109.724780947
nAChRbeta1,10.1305551057,10.8727753869,0.00706898472796,109.724780947
AP-1sigma,6.8348473775,8.05824172998,0.00706898472796,109.724780947
Mp,9.71268532073,10.354582533,0.00706898472796,109.724780947
CG13760,4.53597139696,1.78151627405,0.00763910951658,118.574257916
mAChR-B,6.31736697295,0.0,0.00770143730756,119.541709888
NfI,0.0,4.0609602638,0.00770143730756,119.541709888
CG14669,2.03920751447,7.9053857044,0.00787960493564,122.307227811
mRpL41,5.71211155771,0.0,0.00815814803603,126.630773815
CG10463,0.0,0.0,0.00823657790279,127.848162207
CG3149,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
CG7272,0.0,0.0,0.00823657790279,127.848162207
CG14463,0.0,0.0,0.00823657790279,127.848162207
AstC-R1,0.0,0.0,0.00823657790279,127.848162207
CR43943,0.0,0.0,0.00823657790279,127.848162207
CG7101,0.0,0.0,0.00823657790279,127.848162207
CG13671,0.0,0.0,0.00823657790279,127.848162207
Nf-YC,0.0,0.0,0.00823657790279,127.848162207
Sgf11,0.0,0.0,0.00823657790279,127.848162207
jbug,0.0,0.0,0.00823657790279,127.848162207
CG32432,0.0,0.0,0.00823657790279,127.848162207
Crag,0.0,0.0,0.00823657790279,127.848162207
GlcT-1,0.0,0.0,0.00823657790279,127.848162207
CR45925,0.0,0.0,0.00823657790279,127.848162207
obe,0.0,0.0,0.00823657790279,127.848162207
CG43102,0.0,0.0,0.00823657790279,127.848162207
Alr,0.0,0.0,0.00823657790279,127.848162207
Amph,0.0,0.0,0.00823657790279,127.848162207
CG1311,7.83924047511,0.0,0.0082400050643,127.901358608
nsl1,7.60923154321,0.0,0.00826542146736,128.295872016
Shab,7.49177505499,8.91475591002,0.00828746337493,128.638006506
CG2258,5.41543905244,8.70335317602,0.00828746337493,128.638006506
Flo1,7.80401291538,4.04230960241,0.00883889186471,137.197279524
psidin,0.0,5.61521646459,0.00931456777471,144.580720999
shrb,5.79054311077,7.47302419809,0.00942455500723,146.287942822
Su(Tpl),7.6946664644,0.0,0.00952535138118,147.852504139
P32,8.6787343811,7.38330994777,0.00963401099964,149.539118736
cindr,3.72178767132,5.52947213765,0.00963401099964,149.539118736
Vti1a,0.0,6.6283698352,0.00966848626792,150.074243851
C15,8.85362174098,9.69290057723,0.0096866596658,150.356331332
RpL32,7.20896078336,8.03571343804,0.0096866596658,150.356331332
tnc,9.01949859801,8.13394851506,0.0096866596658,150.356331332
Syn,9.40807292076,8.50529831116,0.0096866596658,150.356331332
mnb,8.12117888203,7.34572746013,0.0096866596658,150.356331332
CG45186,10.0663848722,8.80929600505,0.0096866596658,150.356331332
CG1646,6.92843114224,0.0,0.00970929361144,150.707655437
Start1,0.0,2.40513681785,0.00974606052132,151.278351412
RyR,0.833328982865,0.0,0.00974606052132,151.278351412
Dhc64C,7.45042543509,1.49931621876,0.0104769505192,162.623225958
CG11505,7.8297295702,2.24229699395,0.0107784465374,167.303047153
CLIP-190,7.35319789607,5.8697092527,0.0107784465374,167.303047153
CG6565,7.83929740639,0.0,0.010812027636,167.824292966
CG44325,5.75421700229,0.0,0.011008781754,170.878310386
CG32039,5.07520130076,0.0,0.0110568859277,171.62498337
Octbeta2R,0.0,3.14988833378,0.0110568859277,171.62498337
GEFmeso,3.55022397716,7.74969091481,0.0112293518472,174.301999373
Zip102B,7.96590289239,5.89374317516,0.0112293518472,174.301999373
CG12484,7.13221327187,9.30163936478,0.0112733508526,174.984951934
COX5A,9.93960425826,9.5445278147,0.0112880312616,175.212821242
CG10082,7.6786482372,8.37831685025,0.0112880312616,175.212821242
Mgat2,8.57263157756,9.70351596375,0.0112880312616,175.212821242
Ef1beta,7.54532023332,8.26190905039,0.0112880312616,175.212821242
CG30089,8.17271357413,9.18880225579,0.0112880312616,175.212821242
Ggamma30A,9.38213852742,8.64725933547,0.0112880312616,175.212821242
Ten-a,7.46288845,8.19551534946,0.0112880312616,175.212821242
snRNA:7SK,3.70001244632,4.17456550618,0.0112880312616,175.212821242
CG5110,4.56280820294,0.0,0.0114025301101,176.990072369
NitFhit,2.37594582386,0.0,0.0115984223418,180.030711589
cdc14,3.6876431998,1.26084899962,0.0116342743551,180.58720654
CG15630,0.544802487065,0.0,0.011783775848,182.907768713
