symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.70042338091,7.09569794446e-06,0.110139423494
hth,10.1786543382,2.81651416635,1.75893739454e-05,0.27302226238
IA-2,11.3532981021,6.55787188707,1.82922767695e-05,0.283932720016
GV1,8.8137394365,0.0,1.87923035691e-05,0.291694136
beat-VI,0.0,7.98101241491,1.87923035691e-05,0.291694136
Dtg,0.0,8.99400178932,1.87923035691e-05,0.291694136
eys,6.0787273017,0.0,3.03089062316e-05,0.470454842527
CG10384,0.0,7.98823314784,3.03089062316e-05,0.470454842527
CG31676,10.0399331829,0.0,3.03089062316e-05,0.470454842527
CG15765,10.7900590382,8.28499556886,3.82914473375e-05,0.594359845572
hig,0.530850597535,9.27361986668,4.29865050075e-05,0.667236530727
CG42342,8.51566098224,10.317318446,6.14635008328e-05,0.954036459927
CCKLR-17D3,7.66116600659,0.0,6.2654363942e-05,0.972521037107
twz,10.9121638061,8.00131018621,7.53563582746e-05,1.16968139314
dpr13,0.0,7.64492930111,8.30327653547e-05,1.28883458384
mspo,1.12109162987,8.20656155668,9.19345635454e-05,1.42700829535
CG33543,8.7372144363,0.0,9.43200352927e-05,1.46403558781
pros,11.8588453975,10.9772937815,0.000154022352814,2.39073496038
sdt,0.0,6.38101457431,0.000186449746378,2.89407296328
CG30463,0.0,7.24668645302,0.000188639994557,2.92806999551
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
Mmp2,7.27712481241,2.15954436742,0.000202898452929,3.14938978637
glob1,8.52927215332,0.0,0.000208948864483,3.24330427451
CG31637,9.2477056379,4.53494344222,0.000225527629852,3.50063987056
l(1)G0469,1.0335089535,6.89705588987,0.000225527629852,3.50063987056
igl,9.59000783809,10.5118906885,0.000238840864478,3.70728789844
Ace,8.9971296175,10.4044563314,0.000296021072947,4.59483909429
Mkk4,7.8329787443,9.11638312065,0.000296021072947,4.59483909429
klg,5.08050400933,9.07201569306,0.000346567437383,5.37941976306
kek3,7.7702051211,2.6556467902,0.000356065705973,5.52685188811
CG14298,0.0,5.38805560115,0.000376532512733,5.84453766264
Ac76E,7.68856698543,0.0,0.000386116522864,5.99330066789
DIP-beta,0.0,5.87911707175,0.000401100451324,6.22588120545
CG42260,1.8480696088,8.06064860134,0.000410945679018,6.37869882972
CG8861,0.0,8.90657215602,0.0004791681021,7.43764728079
NK7.1,7.22775498934,3.91176121402,0.00053936770472,8.37206551266
CG15537,7.47437285586,0.0,0.000542166280837,8.41550501115
Aatf,0.0,4.44857456682,0.000542166280837,8.41550501115
Pde9,7.44898209804,4.9258082409,0.000670439238374,10.406557858
CG34114,0.0,7.5597262832,0.000673809488881,10.4588708864
Cow,7.92746709109,9.7191802734,0.000676970721546,10.5079395398
Sulf1,9.28872682123,7.93343468602,0.000676970721546,10.5079395398
regucalcin,0.0,8.14014153597,0.000742842896261,11.5304074358
metl,6.26453351337,0.0,0.000792514928053,12.3014167132
norpA,7.88557862309,8.96473990742,0.000826019728117,12.8214782198
bru-3,8.01898780357,4.87806770972,0.000826019728117,12.8214782198
CG32276,6.14444374119,7.57909093487,0.000890564171517,13.8233370703
CG45263,6.17028755399,8.06322080155,0.00100248323755,15.5605448133
CG18812,9.23107946598,9.74068549455,0.00100475242783,15.5957671848
Ssb-c31a,4.67109339821,7.35793852362,0.00100475242783,15.5957671848
Tpr2,9.68029323403,8.2686181496,0.00121836740449,18.9114988526
snRNA:7SK,3.64055813279,4.41420453255,0.00121836740449,18.9114988526
CG7991,0.0,5.77282872779,0.00122388950565,18.9972129066
CG4341,7.21637810625,0.0,0.00125050505117,19.4103394042
Corin,5.78373857088,0.0,0.00126291265293,19.6029301988
Nplp1,6.35510732837,0.0,0.00126291265293,19.6029301988
CCKLR-17D1,2.5019258058,0.0,0.00142779274305,22.1621989576
botv,0.0,2.34987374634,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
milt,5.18038153437,7.88991898981,0.00146972308396,22.8130417092
nAChRalpha6,8.14125584861,6.39622745545,0.00147282307527,22.8611597743
Ca-alpha1T,10.0337415801,7.77926780067,0.00147282307527,22.8611597743
CG34356,9.13959558286,2.45760033061,0.00158420443385,24.5900212222
gry,6.3108649471,0.0,0.00171566764987,26.6305932612
Hsromega,10.8028576556,11.7639665752,0.00177491931746,27.5502976456
CG6565,7.91832320509,0.0,0.001828432202,28.3809246395
Octbeta2R,0.0,3.14988833378,0.00194175002269,30.1398438521
koi,5.81563106117,0.0,0.00194175002269,30.1398438521
CG31997,0.0,8.19340377467,0.00197494511039,30.6550980034
Pxn,9.49677215153,10.7614751945,0.00213238245702,33.0988404978
Ddr,7.80298739706,5.15098428707,0.00213238245702,33.0988404978
GluRIA,6.34754171599,0.0,0.00237647722609,36.8876795033
CR45009,0.0,3.72082948671,0.00239300692391,37.1442534729
