symbol,medianA,medianB,pvalue,pvalue_adj
Dtg,0.0,8.99400178932,5.13445780758e-06,0.0796970540892
GV1,9.08246395788,0.0,5.13445780758e-06,0.0796970540892
fred,0.0,8.60282454037,9.15336830931e-06,0.142078582897
hth,10.2888993549,3.91880364784,1.80085268433e-05,0.279528353662
IA-2,11.3532981021,6.79056015052,1.82922767695e-05,0.283932720016
CCKLR-17D3,8.29747868136,0.0,1.87923035691e-05,0.291694136
CG31676,10.0841615112,0.0,3.03089062316e-05,0.470454842527
eys,5.95545583197,0.0,3.03089062316e-05,0.470454842527
hig,0.530850597535,9.27361986668,3.36991026146e-05,0.523077470784
CG14298,0.0,5.38805560115,5.78208106649e-05,0.897494623141
CG42342,8.51566098224,10.3569749635,6.14635008328e-05,0.954036459927
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
glob1,8.22257299305,0.0,6.27394017787e-05,0.973840994409
CG8861,0.0,8.90657215602,6.44528980183e-05,1.00043788304
CG30463,0.0,7.24668645302,6.53070589699e-05,1.01369616933
CG31637,9.27064836731,1.54299894185,6.92728397833e-05,1.07525301912
NK7.1,7.72715838966,2.45754572687,7.28770520889e-05,1.13119760252
dpr13,0.0,7.68671106566,7.41699466527e-05,1.15126591194
twz,10.9652160193,8.00131018621,7.53563582746e-05,1.16968139314
mspo,1.27480249207,8.01915359009,9.19345635454e-05,1.42700829535
kek3,7.98666895459,3.43060064961,9.49709897323e-05,1.47413970262
CG10384,0.0,7.95559868389,0.00011600356004,1.80060725894
sdt,0.0,6.38101457431,0.000118369727248,1.83733490635
bru-3,8.08595691615,4.77786718714,0.000123103116411,1.91080657294
pros,11.935389009,10.9772937815,0.000123103116411,1.91080657294
l(1)G0469,1.0335089535,6.88063391692,0.000144911179874,2.249311334
CG33543,8.68637317529,0.0,0.000151723321511,2.3550493965
regucalcin,0.0,8.19052693024,0.000191427754366,2.97134160328
Fas3,7.04866623243,0.0,0.000191695863289,2.97550318997
CG7991,0.0,5.77282872779,0.000191695863289,2.97550318997
CG15765,10.7900590382,8.14658021248,0.000238840864478,3.70728789844
Mmp2,7.27712481241,4.43828781043,0.000240821116194,3.73802536556
Ac76E,7.4532681327,0.0,0.000386116522864,5.99330066789
DIP-beta,0.0,6.14427141748,0.000401100451324,6.22588120545
CG31997,0.0,8.60024386331,0.000403173249831,6.25805518388
klg,2.62393783824,8.96646254398,0.000410945679018,6.37869882972
gry,7.83049955773,0.0,0.000481941769935,7.48070015293
CG15537,8.0446613014,0.0,0.000542166280837,8.41550501115
CCKLR-17D1,6.18825997114,0.0,0.000542166280837,8.41550501115
CG32392,0.0,3.7770490735,0.000542166280837,8.41550501115
Sulf1,9.3078867421,7.85987021768,0.00055308909204,8.58504888665
CG34356,9.06727540848,2.45760033061,0.000597201954302,9.26976873468
CG42260,4.10879997169,8.05852137866,0.000644725598377,10.007430738
CG34114,0.0,7.5597262832,0.000673809488881,10.4588708864
Cow,7.92746709109,9.69904132408,0.000676970721546,10.5079395398
igl,9.6906073258,10.6569862523,0.000676970721546,10.5079395398
Pde9,6.68250991175,4.9258082409,0.000818314149943,12.7018722354
norpA,7.88557862309,8.96473990742,0.000826019728117,12.8214782198
CG3226,0.497600207898,6.41862607194,0.00107504485903,16.6868463018
elB,4.89063489345,0.0,0.00108495092142,16.8406082023
PI31,7.3779842109,2.67099802372,0.00116590237631,18.0971366851
Ace,8.9971296175,10.4044563314,0.00121836740449,18.9114988526
CG4341,7.21637810625,0.0,0.00125050505117,19.4103394042
CG31475,0.0,7.95976105695,0.00126291265293,19.6029301988
CG32039,5.07520130076,0.0,0.00126291265293,19.6029301988
Nplp1,5.74930273172,0.0,0.00126291265293,19.6029301988
GstZ2,8.6542086489,5.98530170862,0.00131154095616,20.3577387215
kay,0.0,3.86858636449,0.00142779274305,22.1621989576
haf,0.0,1.43621367882,0.00142779274305,22.1621989576
Aatf,0.0,2.55867864917,0.00142779274305,22.1621989576
CG2224,3.62089925878,0.0,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
CG32276,6.14444374119,7.51571584238,0.00158420443385,24.5900212222
CG34353,8.16411571195,4.14473526208,0.00170367355559,26.4444209299
Prosap,6.23390837822,8.01100517378,0.00177491931746,27.5502976456
metl,6.26453351337,0.0,0.00194175002269,30.1398438521
CG4829,3.66068080447,8.63641019597,0.00198913301754,30.8753226982
CG14903,2.5344277106,4.69232485147,0.00209086789089,32.4544514023
trx,3.56547537784,7.7901159137,0.00211572035207,32.8402113049
Ssb-c31a,5.52159590633,7.32494262865,0.00213238245702,33.0988404978
Mkk4,8.26688237562,9.13643859981,0.00213238245702,33.0988404978
CG45263,6.17731867893,8.06322080155,0.00213238245702,33.0988404978
CG6565,7.8486664505,0.0,0.00226897640886,35.2190518183
ssp3,0.0,1.08397123299,0.00239300692391,37.1442534729
LpR2,8.86532931016,6.94874160132,0.00253472786605,39.3440459369
alpha-Man-IIb,5.98146912161,2.68478488436,0.00253472786605,39.3440459369
