symbol,medianA,medianB,pvalue,pvalue_adj
fred,0.0,8.52740564982,9.15336830931e-06,0.142078582897
mspo,1.12109162987,8.20656155668,1.69078033979e-05,0.262442924342
hth,10.1786543382,3.91880364784,1.80085268433e-05,0.279528353662
IA-2,11.3916994412,6.79056015052,1.82922767695e-05,0.283932720016
Dtg,0.0,8.57487567236,1.87923035691e-05,0.291694136
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
CG31676,10.0399331829,0.0,3.03089062316e-05,0.470454842527
CG10384,0.0,7.98823314784,3.03089062316e-05,0.470454842527
eys,5.88406419501,0.0,3.03089062316e-05,0.470454842527
CG33543,8.7372144363,0.0,4.33551179312e-05,0.672958140528
twz,10.9121638061,7.40540162637,5.75858987489e-05,0.89384832038
CG14298,0.0,5.38805560115,5.78208106649e-05,0.897494623141
hig,2.72335957791,9.45555873015,5.9603053663e-05,0.925158598957
beat-VI,0.0,7.82482396106,6.2654363942e-05,0.972521037107
CCKLR-17D3,7.9553138743,0.0,6.2654363942e-05,0.972521037107
DIP-beta,0.0,6.34933562496,6.2654363942e-05,0.972521037107
CG42342,8.84205657236,10.3342780168,7.76409585271e-05,1.20514295826
CG31637,9.2477056379,1.54299894185,8.75151666445e-05,1.35841041666
pros,11.9473696508,10.943037949,9.80807368533e-05,1.52240919744
bru-3,8.22938489178,4.87806770972,0.000154022352814,2.39073496038
Fas3,7.47775409708,0.0,0.000191695863289,2.97550318997
CG15765,10.7900590382,8.28499556886,0.000192101013517,2.98179193182
sdt,0.0,6.11165919239,0.000202898452929,3.14938978637
CG30463,0.0,6.42252078871,0.000239209057348,3.71300298815
Mmp2,7.19439821291,4.43828781043,0.000240821116194,3.73802536556
Ac76E,7.84762386678,0.0,0.000245190061008,3.80584012697
klg,5.37233004251,9.07201569306,0.000287940759511,4.46941646913
l(1)G0469,1.07708017769,6.88063391692,0.000287940759511,4.46941646913
regucalcin,0.0,7.98605276789,0.000302203756243,4.69080670441
dpr13,0.0,7.64492930111,0.000313816746402,4.87106353765
glob1,8.22257299305,0.0,0.000324921862813,5.04343715458
NK7.1,7.72715838966,2.45754572687,0.000346567437383,5.37941976306
kek3,7.7702051211,2.6556467902,0.000356065705973,5.52685188811
Cow,7.82539824395,9.82769667208,0.000364765459768,5.66188946651
Sulf1,9.33137190883,7.85987021768,0.000365740995907,5.67703173847
igl,9.51162793619,10.6569862523,0.000365740995907,5.67703173847
Ddr,8.05439513623,5.15098428707,0.000365740995907,5.67703173847
CG8861,0.0,8.7086092062,0.0004791681021,7.43764728079
CG15537,7.47437285586,0.0,0.000542166280837,8.41550501115
Ca-alpha1T,10.2727814123,7.77926780067,0.00055308909204,8.58504888665
vih,7.92421056232,0.53943823137,0.000722323516879,11.211905629
CG31997,0.0,8.60024386331,0.000746008722863,11.5795473963
metl,6.26453351337,0.0,0.000792514928053,12.3014167132
sano,8.4584965588,4.72104725432,0.000806842561265,12.523810236
CG34356,8.21300508963,2.45760033061,0.000890564171517,13.8233370703
CG33977,0.0,5.42007937315,0.000924738753125,14.353794926
