symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,8.10215104992,5.13445780758e-06,0.0796970540892
CG42342,5.81065754442,10.3675982044,1.80085268433e-05,0.279528353662
CG31997,5.56015071701,9.68995998532,2.78712282901e-05,0.43261720552
PVRAP,8.48513537357,1.9016866979,3.36991026146e-05,0.523077470784
klg,4.96803505663,8.11534670195,3.69333042231e-05,0.573278748152
hth,9.34399940507,0.82528573317,4.29865050075e-05,0.667236530727
mspo,4.6076552984,8.98828278229,4.53579289172e-05,0.704045772652
CG15537,11.0074630168,8.30872127947,6.1672877202e-05,0.957286399929
CG31676,8.0748229587,0.0,6.2654363942e-05,0.972521037107
Ac76E,7.970785442,0.0,6.2654363942e-05,0.972521037107
Sulf1,7.00751417913,0.0,0.000114191513836,1.77248067777
CG10527,7.46994965691,8.59060966443,0.000123103116411,1.91080657294
regucalcin,7.45566734955,9.25176541875,0.000123103116411,1.91080657294
betaTub56D,11.4853782973,10.400522781,0.000123103116411,1.91080657294
hppy,0.0,7.8023555433,0.000166728382707,2.58795795638
CG31814,0.0,7.02516109025,0.000188639994557,2.92806999551
CG33543,9.37755177167,0.0,0.000254836523736,3.95557252143
His2Av,5.73782194929,7.86829686172,0.000445826278835,6.92011550008
CG32392,0.0,5.47429891992,0.000505276606553,7.84290348691
CG15630,7.53060283749,0.0,0.000505276606553,7.84290348691
CCKLR-17D3,7.22022289908,0.0,0.000542166280837,8.41550501115
GV1,7.34807954072,0.0,0.000542166280837,8.41550501115
tinc,4.55881709865,0.0,0.000542166280837,8.41550501115
Fas3,6.00188919832,0.0,0.000542166280837,8.41550501115
CG42747,8.0453398208,0.0,0.000545613281863,8.46900936108
Eip63E,3.51304287855,0.0,0.00058095302954,9.01755292451
CG9253,6.00701960397,0.0,0.000589256886706,9.14644539545
CG34380,8.96509778982,6.2480390713,0.000670439238374,10.406557858
CG3803,0.0,7.39820128723,0.000673809488881,10.4588708864
Cow,6.87158061102,8.47180674481,0.000676970721546,10.5079395398
scaf6,6.78021891515,0.0,0.000717893223829,11.1431386203
CG14669,0.0,4.91370153618,0.000746609897836,11.5888788342
CG34370,8.843771825,7.18761866369,0.000826019728117,12.8214782198
Atg18a,7.86317179973,0.0,0.000912230265352,14.1596381788
CG12484,0.0,8.07260567934,0.00111189349193,17.2588107817
UQCR-C2,10.8043427237,11.3659933172,0.00121836740449,18.9114988526
beat-IIb,0.0,3.87845342885,0.00142779274305,22.1621989576
CG11317,0.0,4.59269073206,0.00142779274305,22.1621989576
fred,0.0,1.49437671522,0.00142779274305,22.1621989576
CG34393,0.0,3.66083469688,0.00142779274305,22.1621989576
nolo,8.33600821181,6.31957533564,0.00146044673523,22.6690542243
TER94,9.54987836053,8.36524831634,0.00147282307527,22.8611597743
miple1,11.4673849949,11.0640255341,0.00147282307527,22.8611597743
CG42540,10.3087940598,9.09859533319,0.00147282307527,22.8611597743
CG13532,8.08954144074,0.0,0.00163600897563,25.3941313198
CG4238,9.25528009512,7.81444650177,0.00177491931746,27.5502976456
CG6115,8.42258804659,8.90452012653,0.00177491931746,27.5502976456
Sec16,3.36945882583,0.0,0.00194175002269,30.1398438521
HIPP1,6.09904782311,0.0,0.00201135394335,31.2202359087
Arp1,6.52609432346,7.7409842065,0.00209086789089,32.4544514023
CG3257,10.8897392709,9.90342960458,0.00213238245702,33.0988404978
ppl,0.0,6.48029042497,0.00221073834775,34.3150806338
CG16758,8.94467873659,10.3903377597,0.00254913889704,39.5677339598
pros,9.91724991901,9.15975914849,0.0025539527125,39.6424540034
CG6145,0.0,8.57745406086,0.0026641228572,41.3525149895
dpr2,0.0,8.32161720738,0.00274804120397,42.6550955681
CG13654,7.06719631977,0.0,0.00285052336252,44.245823633
CG6154,0.0,4.53779810007,0.0029371589306,45.5905809207
CR44704,0.0,0.893328705876,0.0029371589306,45.5905809207
Trxr-1,7.77618296216,8.79947038207,0.00304394018393,47.248039535
CG4565,0.0,5.97475847794,0.00309625179863,48.0600204183
betaCOP,0.0,7.87171787135,0.00331651673921,51.4789728259
DIP-beta,0.0,7.27875049257,0.00348497681177,54.0938100723
Atg10,0.0,0.90367166453,0.00352705120034,54.7468887317
ArgRS-m,0.445835460815,0.0,0.00352705120034,54.7468887317
CG3313,0.516342110665,0.0,0.00352705120034,54.7468887317
CG34356,0.462200998909,0.0,0.00352705120034,54.7468887317
Jra,0.0,1.12395735006,0.00352705120034,54.7468887317
CG8152,1.26591800111,0.0,0.00352705120034,54.7468887317
CG12772,0.74162923505,0.0,0.00352705120034,54.7468887317
CG14372,0.0,1.77187681956,0.00352705120034,54.7468887317
CG11788,0.0,0.584957992335,0.00352705120034,54.7468887317
NKAIN,8.17620556959,9.11896129542,0.0036299774941,56.3445106633
CG31475,0.0,7.99247687326,0.00364894251992,56.6388857942
CG12155,5.06704476517,0.0,0.00364894251992,56.6388857942
CG9586,4.73065081237,0.0,0.00364894251992,56.6388857942
l(3)j2D3,0.0,5.06545441481,0.00364894251992,56.6388857942
CG32473,5.16013788484,0.0,0.00364894251992,56.6388857942
BtbVII,3.70147178104,0.0,0.00373444360938,57.9660337047
mri,0.0,7.59732451154,0.00373444360938,57.9660337047
Ubqn,0.0,6.0872693611,0.00398864969176,61.9118205154
dpr3,4.23296064547,7.90588033182,0.00405851819082,62.9963193579
plum,5.82302224431,0.0,0.0041336439511,64.162421409
Rtf1,0.0,6.07753769691,0.00415787213509,64.5384912809
exd,7.19499127616,8.07380801232,0.00430777905941,66.8653465602
CG5466,8.66738051461,7.8172263022,0.00430777905941,66.8653465602
Fhos,0.0,2.43619307189,0.00447257634231,69.4233299853
CG34402,0.0,4.95155334083,0.00447257634231,69.4233299853
CG12236,0.0,7.34356381416,0.00482617982151,74.9119631895
CG4101,0.0,5.50938997948,0.00482617982151,74.9119631895
REG,7.82514437705,4.86637369139,0.00493354571083,76.5784965235
Hsp67Bc,10.4698689002,9.18408540551,0.00508834087578,78.9812270738
CG45186,8.41470726236,7.05622515749,0.00508834087578,78.9812270738
ATPsynC,13.6246349441,13.8218575633,0.00509655249555,79.108687836
Eip71CD,0.0,5.01459684647,0.00544425276621,84.5056914371
MFS10,0.0,0.876582669827,0.00545841288083,84.7254847362
CG33774,2.427008365,0.0,0.00545841288083,84.7254847362
CG10188,0.0,4.65877548244,0.00587556329273,91.2004934297
CG17778,7.64100745489,8.92405900245,0.00591876009522,91.8709941979
NaPi-III,8.43763789375,9.46927249171,0.00601141270381,93.3091479885
ND-49,9.32090344446,10.028243859,0.00601141270381,93.3091479885
dpr8,8.03771619169,5.75224900272,0.00601141270381,93.3091479885
l(1)G0320,6.90929652752,3.25579005989,0.00617968770751,95.9211125959
ArfGAP3,5.67414930491,8.59649425062,0.0064228111727,99.6948750227
Sep1,1.08010769448,7.23433377845,0.00649274409288,100.78037381
mthl8,3.56792486911,0.0,0.00663282670479,102.954736112
Ac3,3.90952955704,0.0,0.00692625716683,107.509363743
RpL11,6.40215172322,0.0,0.00696973433282,108.184216314
CG5087,0.0,7.63017333898,0.00696973433282,108.184216314
chn,8.72518041339,6.030772693,0.00705850305669,109.562084446
Vha44,9.291393385,10.2605672206,0.00706898472796,109.724780947
fne,8.75109336593,8.10384772042,0.00706898472796,109.724780947
Gpdh,8.98568673476,10.0809875184,0.00706898472796,109.724780947
CG11137,5.99556592872,7.48657696677,0.00706898472796,109.724780947
CG43729,11.1568706273,10.6214804653,0.00706898472796,109.724780947
Rdl,10.9693155667,10.546622421,0.00706898472796,109.724780947
CG8216,9.22185135578,7.85284100215,0.00706898472796,109.724780947
smg,3.41365780938,0.0,0.00770023265441,119.523011262
CG5220,2.55868827606,0.0,0.00770023265441,119.523011262
HP5,4.29524664476,0.0,0.00781736611063,121.341156769
CG7506,0.0,5.76860226133,0.00794171135451,123.271243645
MTA1-like,1.20403068903,0.0,0.00802528727053,124.568509013
CG42541,6.82160619555,0.0,0.00815814803603,126.630773815
CG5590,0.0,0.0,0.00823657790279,127.848162207
Snx16,0.0,0.0,0.00823657790279,127.848162207
CG11399,0.0,0.0,0.00823657790279,127.848162207
Coq2,0.0,0.0,0.00823657790279,127.848162207
Usp20-33,0.0,0.0,0.00823657790279,127.848162207
CG17221,0.0,0.0,0.00823657790279,127.848162207
CG10425,0.0,0.0,0.00823657790279,127.848162207
cold,0.0,0.0,0.00823657790279,127.848162207
CG1227,0.0,0.0,0.00823657790279,127.848162207
beta4GalT7,0.0,0.0,0.00823657790279,127.848162207
Uhg5,0.0,0.0,0.00823657790279,127.848162207
Taf13,0.0,0.0,0.00823657790279,127.848162207
ab,0.0,0.0,0.00823657790279,127.848162207
CG17650,0.0,0.0,0.00823657790279,127.848162207
CG10616,0.0,0.0,0.00823657790279,127.848162207
CG10384,0.0,0.0,0.00823657790279,127.848162207
CG13623,0.0,4.62933741901,0.0082400050643,127.901358608
CD98hc,9.37623257882,7.54953287953,0.00828746337493,128.638006506
Fas1,9.13711570247,9.66340610481,0.00828746337493,128.638006506
Cisd2,8.38529438807,8.99180979409,0.00828746337493,128.638006506
CG9170,7.68635296849,8.61418095692,0.00828746337493,128.638006506
CG9248,0.0,6.26067462973,0.00922543868928,143.197259335
sowah,0.0,6.23222556189,0.00931456777471,144.580720999
glob1,7.40196729409,0.0,0.00952535138118,147.852504139
Dgk,0.0,5.24746832107,0.00966848626792,150.074243851
