symbol,medianA,medianB,pvalue,pvalue_adj
hth,9.44222536265,0.0,9.15336830931e-06,0.142078582897
CG42342,5.31998194637,10.5219504809,1.75893739454e-05,0.27302226238
CG15537,10.8215918551,8.44987747516,1.82922767695e-05,0.283932720016
beat-VI,0.0,7.85540313402,1.87923035691e-05,0.291694136
CG45186,8.30752717879,6.12093143522,2.99179589652e-05,0.464386559058
PVRAP,8.31077956535,0.0,6.44528980183e-05,1.00043788304
Ac76E,7.41105566233,0.0,0.000148206009967,2.30045368671
regucalcin,7.45566734955,9.25176541875,0.000153557237674,2.38351544317
ATPsynC,13.5546883699,13.8725618119,0.000154022352814,2.39073496038
CG33543,9.10647363671,0.0,0.000162360448308,2.52015887864
klg,4.73494318025,7.76655373476,0.000181067514352,2.81052995777
CG31676,9.06544468661,0.0,0.000191695863289,2.97550318997
CCKLR-17D3,7.97175630213,0.0,0.000191695863289,2.97550318997
CG31997,6.2439599263,9.43434580843,0.00029277029605,4.54438053528
CG10527,7.74533124833,8.70685508718,0.000296021072947,4.59483909429
CG5674,4.04535421722,0.0,0.000302203756243,4.69080670441
Fas3,6.81877613692,0.0,0.000386116522864,5.99330066789
mspo,7.42747438439,8.93683117233,0.000445826278835,6.92011550008
hppy,0.791605156995,7.46262850509,0.0004791681021,7.43764728079
CG31814,0.0,7.17117106849,0.000481941769935,7.48070015293
Sulf1,7.173742201,0.0,0.0004986200163,7.73957989301
beat-IIb,0.0,5.7639851639,0.000542166280837,8.41550501115
GV1,6.96689805148,0.0,0.000542166280837,8.41550501115
betaTub56D,11.3125303532,10.2431569119,0.000676970721546,10.5079395398
TER94,9.22761413094,8.15850020294,0.000676970721546,10.5079395398
CG12484,0.0,8.51239893367,0.000755145951111,11.7213754531
CG34380,8.70318585165,7.34844411224,0.000995695028697,15.4551782354
CG31637,8.42425552353,2.09079469077,0.00102287859676,15.8771215789
Src42A,7.3616096905,6.10177866117,0.00121571023979,18.870254342
nAChRbeta1,10.8091123556,11.4394773553,0.00121836740449,18.9114988526
CG10413,5.56952268095,0.0,0.00126291265293,19.6029301988
CG31475,0.0,7.83226352189,0.00126291265293,19.6029301988
CG7506,0.462200998909,6.8285852757,0.00130526710377,20.2603559847
Mmp2,1.20233467538,0.0,0.00142779274305,22.1621989576
CG11788,0.0,3.44080277758,0.00142779274305,22.1621989576
CG12772,1.18322031829,0.0,0.00142779274305,22.1621989576
POSH,0.0,1.99202960177,0.00142779274305,22.1621989576
HIP,5.77179622056,6.68549070852,0.00146044673523,22.6690542243
CG42541,7.58095725192,0.0,0.00148723147035,23.0848068828
CG5116,1.95740587964,0.0,0.00156917424068,24.3567225639
CG42747,7.86672227217,0.446020708581,0.00157976558932,24.5211214775
Eph,3.93508427287,0.421825026722,0.00165136891435,25.6325482885
CG32392,0.0,5.52818030989,0.00171566764987,26.6305932612
Con,8.73289817777,6.03737919844,0.00177491931746,27.5502976456
Moe,7.3538388256,0.523492865445,0.00179822645201,27.9120709882
Nmdar2,4.67149517916,7.34585854581,0.00190761839086,29.610052663
Ccn,0.0,8.17403549409,0.00209647825016,32.541535399
bwa,0.0,6.68326415553,0.00237647722609,36.8876795033
CG13654,7.06719631977,0.0,0.00237816800051,36.9139237038
SsRbeta,5.22918936018,0.0,0.00252281894047,39.159195594
nolo,8.71059605891,6.72799022408,0.00254913889704,39.5677339598
mim,6.69229256577,0.0,0.0027480089233,42.6545945074
alpha-Man-Ia,5.48300830161,0.0,0.00285052336252,44.245823633
tinc,6.55615286427,0.0,0.00309625179863,48.0600204183
Ostgamma,0.0,5.55772189765,0.00344965301637,53.54551412
CG10384,0.0,1.44140399373,0.00352705120034,54.7468887317
CG34376,0.462200998909,0.0,0.00352705120034,54.7468887317
Tango13,0.0,2.25387022094,0.00352705120034,54.7468887317
twz,1.03115227277,0.0,0.00352705120034,54.7468887317
yip2,0.0,0.82363806736,0.00352705120034,54.7468887317
CG10444,3.02401447092,0.0,0.00352705120034,54.7468887317
CG4238,9.16027630452,8.04184950151,0.0036299774941,56.3445106633
CG9267,0.0,7.72912609715,0.00364894251992,56.6388857942
CR43898,0.0,1.40670750322,0.00364894251992,56.6388857942
Ca-alpha1T,8.17409306659,1.61667709511,0.00372253114903,57.7811284952
Kr-h2,7.78317206344,3.39468242065,0.00391260416836,60.7314419014
atms,0.0,6.728980976,0.00391260416836,60.7314419014
CG34383,5.23068784215,0.0,0.00398864969176,61.9118205154
CG34113,5.44457301289,0.0,0.00398864969176,61.9118205154
CG4406,7.17648540394,0.0,0.0041336439511,64.162421409
Act5C,10.2483224252,9.48362360406,0.00430777905941,66.8653465602
Syngr,6.78543445916,4.91373605901,0.00430777905941,66.8653465602
CG5934,8.13139153102,9.09971519655,0.00430777905941,66.8653465602
Arl4,7.82787219011,8.76776527774,0.00430777905941,66.8653465602
CG34393,0.0,4.01162341332,0.00447257634231,69.4233299853
CG8641,5.80977991783,0.0,0.00447257634231,69.4233299853
scaf6,7.09586055359,0.0,0.00457076610572,70.9474314929
pyd,5.75779089388,0.0,0.00464668781242,72.1258882244
Pp2B-14D,4.45949986511,0.0,0.00478027785591,74.1994728795
HIP-R,5.89986150386,7.21929995253,0.00508834087578,78.9812270738
Nhe3,8.84074098111,7.48500250985,0.00509655249555,79.108687836
ctrip,0.975932477691,6.47421493544,0.00523521521884,81.2610106268
Nmdar1,1.58143795965,7.9839298503,0.00523521521884,81.2610106268
Atg18a,7.69052571514,4.51510487146,0.00523521521884,81.2610106268
stck,0.0,4.6680379979,0.00543592854447,84.3764828673
Unc-115b,1.56696194169,0.0,0.00544425276621,84.5056914371
CG32112,0.0,6.1911215841,0.00544425276621,84.5056914371
dpr13,0.0,6.09214247969,0.00570910433234,88.6167174465
Xrp1,0.0,5.80190326595,0.00586160832233,90.9838843792
CG9253,7.13761781762,0.0,0.00586160832233,90.9838843792
plum,5.71490975017,0.0,0.00587556329273,91.2004934297
igl,12.0274796775,12.1651523774,0.00601141270381,93.3091479885
CG42540,10.2684684119,9.25909236334,0.00601141270381,93.3091479885
CG34015,5.21294699438,0.0,0.0064436900087,100.018956315
glob1,7.78330357914,0.0,0.0064436900087,100.018956315
Vps35,1.31441574146,8.45380363554,0.00649274409288,100.78037381
baf,2.914678113,0.0,0.00653613018271,101.453812696
Dpit47,7.34771699314,0.0,0.00663282670479,102.954736112
CG4168,7.15191351186,1.3330225589,0.00670625474974,104.094486225
CG11722,0.0,6.27366743403,0.00674805680549,104.743337735
CG3499,0.0,8.05912941053,0.00674805680549,104.743337735
CG8243,7.42230385371,0.0,0.0067947678321,105.46838629
Hsepi,0.0,7.52237622876,0.0067947678321,105.46838629
stau,6.38780377935,4.15148048595,0.00686066545951,106.491249262
CG8331,8.1777407038,6.96973423199,0.0069644785992,108.102636817
jeb,5.9727246314,7.32870665017,0.00705850305669,109.562084446
CG11267,9.55663926138,8.83192181266,0.00706898472796,109.724780947
fwe,7.91686941622,5.54857737765,0.00706898472796,109.724780947
14-3-3epsilon,10.6373327406,10.1249147531,0.00706898472796,109.724780947
Mob2,9.28670945624,9.9740544156,0.00706898472796,109.724780947
levy,9.86599165643,10.3345543383,0.00706898472796,109.724780947
dpr2,0.0,8.08020437837,0.00763910951658,118.574257916
plx,3.69471442232,0.446020708581,0.00763910951658,118.574257916
thoc7,7.32378394955,5.00875268855,0.00763910951658,118.574257916
Usp47,3.15877718488,0.0,0.00781736611063,121.341156769
CR45007,2.42232167334,0.0,0.00781736611063,121.341156769
CG5059,3.88726394121,0.0,0.00802528727053,124.568509013
CG10417,8.1939189136,5.31433357711,0.00805333439793,125.003856525
Pvf3,0.0,6.98147051661,0.00815814803603,126.630773815
CG12316,0.0,0.0,0.00823657790279,127.848162207
Grip84,0.0,0.0,0.00823657790279,127.848162207
nct,0.0,0.0,0.00823657790279,127.848162207
CG1738,0.0,0.0,0.00823657790279,127.848162207
CG5590,0.0,0.0,0.00823657790279,127.848162207
CG14857,0.0,0.0,0.00823657790279,127.848162207
CG9650,0.0,0.0,0.00823657790279,127.848162207
CR44806,0.0,0.0,0.00823657790279,127.848162207
IntS14,0.0,0.0,0.00823657790279,127.848162207
stan,0.0,0.0,0.00823657790279,127.848162207
CG5728,0.0,0.0,0.00823657790279,127.848162207
CG11158,0.0,0.0,0.00823657790279,127.848162207
Uvrag,0.0,0.0,0.00823657790279,127.848162207
lili,0.0,0.0,0.00823657790279,127.848162207
CG32547,0.0,0.0,0.00823657790279,127.848162207
NLaz,0.0,0.0,0.00823657790279,127.848162207
beat-IV,0.0,0.0,0.00823657790279,127.848162207
Phax,0.0,0.0,0.00823657790279,127.848162207
DIP-beta,0.0,6.96022498211,0.0082400050643,127.901358608
milt,2.34940256545,6.22917366187,0.00824041168623,127.907670194
Pde6,5.52341504262,0.0,0.00896604537191,139.170956263
Dgk,0.0,6.3861956122,0.00922543868928,143.197259335
DIP-theta,0.0,5.96627146761,0.00922543868928,143.197259335
beta3GalTII,6.51117299384,0.0,0.00922543868928,143.197259335
Tl,0.0,1.68227543714,0.00922543868928,143.197259335
RpL34a,0.0,5.83830191454,0.00931456777471,144.580720999
CG4662,7.68695695117,4.30334137285,0.00942455500723,146.287942822
CG13921,8.85429307035,7.26407754,0.00967348688211,150.151863384
RpL24,8.65599196457,7.66620443502,0.0096866596658,150.356331332
MESK2,10.1287595547,10.8714403351,0.0096866596658,150.356331332
nmo,9.56143618929,8.69551528109,0.0096866596658,150.356331332
CG16865,2.19170405538,0.0,0.00974606052132,151.278351412
twe,1.55442187254,0.0,0.00974606052132,151.278351412
Ubc2,6.30716698426,2.57369027645,0.0107784465374,167.303047153
CG15630,7.60632129843,0.0,0.010812027636,167.824292966
Dyb,0.0,6.06148564971,0.010812027636,167.824292966
oaf,0.0,7.65853433634,0.0108968262449,169.140536974
GABPI,7.89228764004,9.11386554192,0.010995767115,170.676297159
CG34370,8.72031035753,6.91407444007,0.0112880312616,175.212821242
mt:ND5,6.33136749813,5.29626468549,0.0112880312616,175.212821242
miple1,11.4901776729,11.1257786246,0.0112880312616,175.212821242
pros,10.0807246018,9.47106656636,0.0112880312616,175.212821242
CG32075,0.0,5.56585091844,0.0115984223418,180.030711589
kuz,1.83799621818,0.0,0.0115984223418,180.030711589
CG12004,4.29021939964,7.98807464472,0.0116342743551,180.58720654
Efa6,0.0,1.62621287944,0.011783775848,182.907768713
CG34356,0.462200998909,0.0,0.011783775848,182.907768713
beta4GalNAcTA,1.71688207071,0.0,0.011783775848,182.907768713
CG15236,0.0,2.55362068363,0.011783775848,182.907768713
CG12975,3.47274654836,6.0675793516,0.0122129533629,189.569462099
CG9855,0.0,6.18516105652,0.0123146335106,191.147741352
CG6406,0.0,5.77258440825,0.0127422475789,197.785166919
MED31,1.2283356627,6.33398304094,0.0130791275405,203.014217684
CG32000,1.0468942142,6.85991508934,0.0130791275405,203.014217684
Sec16,0.876727229391,0.0,0.013084786887,203.10206206
GCC88,0.0,2.43729912664,0.013084786887,203.10206206
CG17568,0.0,5.68613987898,0.013084786887,203.10206206
POLDIP2,8.10241208589,8.99304509834,0.0130983982427,203.313337523
RpS10b,4.97152805692,7.21214188941,0.0130983982427,203.313337523
CG5214,9.92528591522,10.7225805672,0.0131146939174,203.566278986
CG6115,8.4587550336,8.78084145794,0.0131146939174,203.566278986
ATPsyngamma,11.5315285747,11.9790426794,0.0131146939174,203.566278986
RpS6,9.17356625496,8.44704875735,0.0131146939174,203.566278986
dysc,8.52423010813,9.62131673106,0.0131146939174,203.566278986
Gpdh,8.93936387494,10.3620942682,0.0131146939174,203.566278986
CG9531,9.09061813926,9.87001649638,0.0131146939174,203.566278986
CG6144,8.1446758847,9.27916192589,0.0131146939174,203.566278986
tay,3.93234066047,0.0,0.0133466716311,207.167037058
CG8032,4.18829480497,8.00133948472,0.0135242580583,209.92353358
Nab2,7.40275621516,1.74095032746,0.0135242580583,209.92353358
bys,3.36252034017,0.0,0.0138544332379,215.048512718
woc,0.0,0.48069795851,0.0141814401924,220.124314667
Cyp6a17,1.73004433078,0.0,0.0141814401924,220.124314667
Tango14,0.0,1.70052609082,0.0141814401924,220.124314667
CG12155,2.40205058155,0.0,0.0141814401924,220.124314667
CR32745,4.07602381624,0.0,0.0142000564574,220.413276333
CG33774,3.67650184054,0.0,0.0142515527606,221.21260195
Hmt4-20,4.05717050062,0.0,0.0143623615826,222.932576485
Not1,0.0,6.3355394595,0.0143623615826,222.932576485
PRL-1,7.75744111561,3.67580642906,0.0148323523275,230.227772827
RNaseX25,5.01922792906,0.0,0.0149637184723,232.266838127
CG6184,8.71181772875,6.50001029704,0.0151193855559,234.683102598
RpS17,7.88219092968,6.39457050298,0.0151914109883,235.80108136
mt:ND4,4.35677857251,3.7437012825,0.0151914109883,235.80108136
Vha44,9.1354937903,10.0378550618,0.0151914109883,235.80108136
kat-60L1,6.42800829391,8.0492465146,0.0151914109883,235.80108136
ND-B17,8.04612965679,9.076095627,0.0151914109883,235.80108136
nSyb,11.3577253054,10.9189376997,0.0151914109883,235.80108136
Rdl,10.9693155667,10.6488544546,0.0151914109883,235.80108136
CG3257,10.7093051852,9.86297018137,0.0151914109883,235.80108136
CG31388,0.0,7.40685723077,0.0152110271534,236.105563475
Pa1,3.52618893687,7.73399243993,0.0152110271534,236.105563475
Pex23,3.89843945568,0.0,0.0154079350585,239.161967977
CG11583,0.0,5.91000556555,0.015490861509,240.449152343
z,0.0,4.56735701784,0.015490861509,240.449152343
CG30010,0.0,3.71791862164,0.015490861509,240.449152343
CG8891,5.56673866011,0.0,0.0154918624829,240.46468946
lace,0.0,6.84281465883,0.0154918624829,240.46468946
Gug,0.0,3.4072697651,0.0155706873687,241.688209337
mRpL46,7.0355020961,4.19937767692,0.0156735875468,243.285425902
GCS1,0.53159905215,7.51783696978,0.0159007278833,246.811098205
dpr1,2.22069672922,7.23986934313,0.0159007278833,246.811098205
CG1847,9.05116849165,6.37250110343,0.0161428625289,250.569512174
mRpL55,6.56984651494,5.31930083605,0.0161428625289,250.569512174
T-cp1,8.01595611733,0.0,0.0166967762734,259.167361316
Git,0.437398838392,0.0,0.0169881050876,263.68936717
Vps53,1.40255085972,0.0,0.0169881050876,263.68936717
CG9067,0.0,1.20013248936,0.0169881050876,263.68936717
RpII15,5.39694619865,0.0,0.0175102859776,271.794658944
Teh4,7.8994776627,0.0,0.0175102859776,271.794658944
RhoGAPp190,0.0,3.44735056184,0.0175102859776,271.794658944
CG15168,0.0,5.37372235841,0.0175102859776,271.794658944
Pp1alpha-96A,7.75454980911,8.96601215671,0.017544558047,272.326630006
Glut4EF,8.06997161851,7.3125696941,0.017544558047,272.326630006
ATPsynD,10.7555242657,11.1931386071,0.017544558047,272.326630006
CG13004,4.41380021269,6.21656372578,0.017544558047,272.326630006
CG9170,7.71378772488,8.62298929527,0.017544558047,272.326630006
Ras64B,6.9785485483,0.0,0.0176348348428,273.72790643
CG12236,0.0,7.2200406425,0.0179638856678,278.835433336
ValRS,0.0,7.2256224992,0.0179809847018,279.100844541
CG8668,0.0,5.77121310489,0.0181055099237,281.033725035
dpr6,6.68941865874,8.45464785977,0.0181095934207,281.097109076
Hsp23,4.92944550612,0.0,0.0182672287128,283.54392408
CG34402,0.0,3.9838375734,0.0182672287128,283.54392408
Mad1,3.67128370588,0.0,0.0182672287128,283.54392408
Sirup,0.0,0.0,0.0183437214739,284.731244718
ste14,0.0,0.0,0.0183437214739,284.731244718
Cyp6a23,0.0,0.0,0.0183437214739,284.731244718
Start1,0.0,0.0,0.0183437214739,284.731244718
CG12134,0.0,0.0,0.0183437214739,284.731244718
cwo,0.0,0.0,0.0183437214739,284.731244718
CG7600,0.0,0.0,0.0183437214739,284.731244718
ab,0.0,0.0,0.0183437214739,284.731244718
CR46109,0.0,0.0,0.0183437214739,284.731244718
CR45190,0.0,0.0,0.0183437214739,284.731244718
CG30463,0.0,0.0,0.0183437214739,284.731244718
numb,0.0,0.0,0.0183437214739,284.731244718
pgant3,0.0,0.0,0.0183437214739,284.731244718
Spt3,0.0,0.0,0.0183437214739,284.731244718
CG11560,0.0,0.0,0.0183437214739,284.731244718
Fhos,0.0,0.0,0.0183437214739,284.731244718
Ced-12,0.0,0.0,0.0183437214739,284.731244718
E2f1,0.0,0.0,0.0183437214739,284.731244718
BRWD3,0.0,0.0,0.0183437214739,284.731244718
Dbp45A,0.0,0.0,0.0183437214739,284.731244718
Uba2,0.0,0.0,0.0183437214739,284.731244718
CG17650,0.0,0.0,0.0183437214739,284.731244718
CG8173,0.0,0.0,0.0183437214739,284.731244718
rig,0.0,0.0,0.0183437214739,284.731244718
MRP,0.0,0.0,0.0183437214739,284.731244718
CG14655,0.0,0.0,0.0183437214739,284.731244718
CG3386,0.0,0.0,0.0183437214739,284.731244718
Gmer,0.0,0.0,0.0183437214739,284.731244718
vfl,0.0,0.0,0.0183437214739,284.731244718
Src64B,0.0,0.0,0.0183437214739,284.731244718
CG13025,0.0,0.0,0.0183437214739,284.731244718
CR44268,0.0,0.0,0.0183437214739,284.731244718
dpr20,0.0,0.0,0.0183437214739,284.731244718
CG30183,0.0,0.0,0.0183437214739,284.731244718
vir,0.0,0.0,0.0183437214739,284.731244718
Nup107,0.0,0.0,0.0183437214739,284.731244718
Mgat2,6.82635736704,8.74555285377,0.0186258783998,289.110884522
cact,6.64671984309,0.0,0.0193720357289,300.692738584
Hmg-2,6.64170796049,0.0,0.0193720357289,300.692738584
CG7337,0.0,6.18764574643,0.0193720357289,300.692738584
eIF-2beta,6.51372907678,0.0,0.0197629943462,306.761198241
Pde11,0.0,8.13373604078,0.0197629943462,306.761198241
CG8726,7.35033541862,8.88454695662,0.0201803045546,313.238687296
hig,7.83730107079,8.89183012777,0.0202020597941,313.576372124
pnut,9.16438630539,9.90687860088,0.0202020597941,313.576372124
fred,0.0,0.523492865445,0.020256616798,314.423205939
Jra,0.0,1.12395735006,0.020256616798,314.423205939
Ge-1,0.0,0.960564831045,0.020256616798,314.423205939
kar,0.0,0.421825026722,0.020256616798,314.423205939
CG10947,3.82333044984,0.0,0.020256616798,314.423205939
GstE13,0.0,6.45908204505,0.0203808484123,316.351529055
Pmm45A,0.0,8.00372730693,0.0203808484123,316.351529055
tnc,1.14988957727,0.0,0.0204179919985,316.928071801
CG5844,6.83388130022,0.0,0.0204179919985,316.928071801
CG3803,0.0,7.43542545935,0.0208033508428,322.909611781
fabp,6.65029340082,2.98678210515,0.0208611855677,323.807322382
bin3,0.0,0.898201005543,0.021149864206,328.288192206
CG10286,3.8968555316,0.0,0.021208748482,329.202193937
