symbol,medianA,medianB,pvalue,pvalue_adj
Ac76E,7.54661870729,0.0,9.33764556343e-06,0.144938934436
hth,9.0163017437,0.0,1.11685890367e-05,0.173358839028
CG42342,6.49044641544,10.2598504172,1.82210136462e-05,0.282826573817
beat-VI,0.0,7.91371940961,1.87923035691e-05,0.291694136
CG31814,0.0,7.14279129417,1.87923035691e-05,0.291694136
CG15537,10.5210930292,8.36151283925,4.86728378236e-05,0.755499788697
Sulf1,6.90606133673,0.0,6.27394017787e-05,0.973840994409
Fas3,7.46098680966,0.0,7.39782380629e-05,1.14829021121
CG34380,8.86814990083,6.98916189925,0.000121576208476,1.88710590796
Act5C,10.310156637,9.77644188203,0.000123103116411,1.91080657294
PVRAP,8.36155569753,1.89522981947,0.000138338286964,2.14728689026
CG31997,4.7712495475,9.68995998532,0.000144911179874,2.249311334
Mmp2,4.73120720269,0.0,0.000191695863289,2.97550318997
CG31676,8.58988999226,0.0,0.000191695863289,2.97550318997
RpL34a,0.0,5.83830191454,0.00019433835008,3.01651986994
mspo,2.30549531933,8.7234533691,0.000268413593425,4.16631579714
klg,5.41206046755,7.97720549967,0.000361849544811,5.61662863455
regucalcin,7.56596385623,9.37097122214,0.000361849544811,5.61662863455
CG10527,7.63239320793,8.70685508718,0.000365740995907,5.67703173847
CG42540,10.3635616631,9.00589975129,0.000365740995907,5.67703173847
betaTub56D,11.3963319647,10.4612087222,0.00045046779818,6.99216116335
CG9855,0.0,6.45946631561,0.000490627225359,7.61551579203
CG31475,0.0,8.05664823559,0.000505276606553,7.84290348691
DIP-theta,0.0,5.96627146761,0.000542166280837,8.41550501115
GV1,7.25008670096,0.0,0.000542166280837,8.41550501115
mtd,8.0746953371,5.37710317913,0.000551706634864,8.56359038637
CG4238,9.41067267265,8.04184950151,0.000826019728117,12.8214782198
Mob2,8.73056748299,9.8851042086,0.000826019728117,12.8214782198
plum,4.65101457122,0.0,0.000917336707587,14.2389003752
Ccn,0.0,8.37929916011,0.00113640233548,17.6392370513
CG32392,0.0,5.04452154883,0.00113640233548,17.6392370513
CG14411,0.0,7.59924865806,0.00126291265293,19.6029301988
SsRbeta,3.8209951867,0.0,0.00139888360254,21.7134712786
CCKLR-17D3,7.22022289908,0.0,0.00142779274305,22.1621989576
Tango14,0.0,3.86837311862,0.00142779274305,22.1621989576
CG34402,0.0,3.9838375734,0.00142779274305,22.1621989576
CG10384,0.0,2.65384311025,0.00142779274305,22.1621989576
CG11788,0.0,3.44080277758,0.00142779274305,22.1621989576
sax,0.0,5.36040096874,0.00142779274305,22.1621989576
Gpdh,8.98568673476,10.3620942682,0.00147282307527,22.8611597743
CG34393,0.0,6.02518197548,0.00156917424068,24.3567225639
Pde11,0.0,7.21631977251,0.00163600897563,25.3941313198
CG12484,0.0,8.34674368431,0.00166511987523,25.8459907033
CG13004,4.32951037216,6.30031672895,0.00177131609779,27.4943684699
fwe,7.70017559644,5.5101107885,0.00177491931746,27.5502976456
Ktl,9.83697796471,10.6451243892,0.00177491931746,27.5502976456
atms,0.0,7.36708305157,0.00190593953565,29.5839934724
CG8641,6.79972442507,0.0,0.00194175002269,30.1398438521
Nmdar2,5.24497087214,7.22770036846,0.00211572035207,32.8402113049
CG45186,8.20942694641,6.12093143522,0.00211572035207,32.8402113049
Prosbeta6,6.2069058869,3.69291055699,0.00211572035207,32.8402113049
CG1317,5.685912974,8.11759609951,0.00212820989586,33.0340740036
inc,9.388831688,10.2878907296,0.00213238245702,33.0988404978
beat-IIb,0.0,5.7639851639,0.00239300692391,37.1442534729
CG34370,8.85971079841,6.9792264405,0.0025539527125,39.6424540034
CG31221,9.82727535374,8.94045748613,0.0025539527125,39.6424540034
Gug,0.0,5.69354194883,0.0027480089233,42.6545945074
hppy,4.15181059642,7.53024529782,0.00293985221537,45.632386087
qkr58E-2,8.28370735346,6.69731565367,0.00293985221537,45.632386087
ATPsynC,13.6422923898,13.8725618119,0.00304947296561,47.3339193722
dpr6,3.45878396798,8.69120710963,0.00328417982783,50.9770392876
CG32112,0.0,7.14794040095,0.00331651673921,51.4789728259
CG13532,7.86701212552,0.83562820102,0.00341170718464,52.95651892
