symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.53255220969,10.2598504172,1.80085268433e-05,0.279528353662
beat-VI,0.0,7.5320702524,1.87923035691e-05,0.291694136
hppy,0.0,7.83621276092,5.07473053166e-05,0.787699673125
CG31676,9.08585387243,0.0,6.2654363942e-05,0.972521037107
CCKLR-17D3,8.28460202115,0.0,6.2654363942e-05,0.972521037107
CG31814,0.0,7.17117106849,7.08433523144e-05,1.09963051462
CG15537,10.9346375748,9.31440052049,9.80807368533e-05,1.52240919744
ATPsynC,13.5662573735,13.8982932948,9.80807368533e-05,1.52240919744
CG10527,7.63183410714,8.51487705944,0.000123103116411,1.91080657294
betaTub56D,11.6508030646,10.0585303057,0.000123103116411,1.91080657294
hig,5.54622317725,9.04702805214,0.000123103116411,1.91080657294
mspo,2.30549531933,9.03360449204,0.000138338286964,2.14728689026
CG45186,8.34704549082,5.49413210584,0.000153557237674,2.38351544317
regucalcin,7.45566734955,9.82000594948,0.000154022352814,2.39073496038
Ac76E,7.5038019718,0.0,0.000188639994557,2.92806999551
beat-IIb,0.0,4.92194608422,0.000191695863289,2.97550318997
Fas3,7.72678865999,0.0,0.000203467506621,3.15822263778
CG7506,0.0,6.48631733215,0.000252741572561,3.92305468928
hth,9.21409576925,0.82528573317,0.000252741572561,3.92305468928
Vps35,0.0,8.35501024981,0.000260993147107,4.05113562939
CG31997,3.19315106693,9.52775016536,0.000268413593425,4.16631579714
tinc,7.0815203022,0.0,0.000301562738535,4.68085682754
PVRAP,8.11180483878,3.79691651737,0.000346567437383,5.37941976306
CG12484,0.0,8.4647349832,0.000359671675717,5.58282375049
CG34393,0.0,7.06906857748,0.000401100451324,6.22588120545
Sulf1,7.0316224882,0.0,0.000490627225359,7.61551579203
stau,7.2310557939,2.0743283163,0.000589256886706,9.14644539545
klg,5.67543279819,8.36686968418,0.000670439238374,10.406557858
Nmdar2,6.25604609473,7.53882365704,0.000670439238374,10.406557858
CG34380,8.90682409818,6.50753816066,0.000824088988833,12.7915092847
plum,5.71490975017,0.0,0.000916382889454,14.2240952101
Syn,7.61949658577,4.84089805386,0.000995695028697,15.4551782354
Cow,6.2602967538,7.94320257229,0.00100475242783,15.5957671848
dpr2,0.0,8.13997227453,0.00112099897716,17.4001461234
GV1,7.63126819019,0.0,0.00126291265293,19.6029301988
CG32392,0.0,5.95795768099,0.00139888360254,21.7134712786
Coq2,2.58003533734,0.0,0.00142779274305,22.1621989576
CG12182,0.0,4.10681714894,0.00142779274305,22.1621989576
twz,4.0689657261,0.0,0.00142779274305,22.1621989576
Hexim,0.0,2.0039669518,0.00142779274305,22.1621989576
Gpdh,8.68363607714,10.2568555332,0.00147282307527,22.8611597743
scrt,8.21234043387,6.48236645112,0.00147282307527,22.8611597743
pigeon,0.0,8.06717110111,0.00161732083694,25.1040540309
CG3078,0.0,8.34168172384,0.00166511987523,25.8459907033
sesB,11.9966473642,12.4041171573,0.00177491931746,27.5502976456
dpr3,0.0,7.92023631879,0.001828432202,28.3809246395
Sep1,2.87299389786,7.86978987105,0.00198913301754,30.8753226982
CG31388,0.904616741775,7.99200548208,0.00198913301754,30.8753226982
Sec22,7.58719221608,0.0,0.00209647825016,32.541535399
CG42699,7.50528280582,0.82528573317,0.00216729483419,33.6407504163
Pp2B-14D,6.69690176449,0.0,0.00221073834775,34.3150806338
Nmdar1,0.0,8.08235102719,0.00221073834775,34.3150806338
CG42541,7.50270598557,0.0,0.0022921955282,35.5794589887
Vha44,9.1354937903,9.97474821241,0.0025539527125,39.6424540034
CG12541,0.0,4.63203662894,0.00278672611851,43.2555628115
CG13532,7.46861336385,0.0,0.00286910496103,44.534247205
Ccn,0.0,8.54295248859,0.00291155513335,45.1931587799
CG7781,11.2844093988,11.6784790429,0.00304947296561,47.3339193722
Rtnl1,9.54504046864,8.8741128906,0.00304947296561,47.3339193722
inc,9.02594535442,10.1828418659,0.00304947296561,47.3339193722
fwe,7.22939426695,5.4163161299,0.00304947296561,47.3339193722
Cngl,9.00165878239,7.85985714683,0.00304947296561,47.3339193722
GstT1,4.47009307344,0.0,0.00307529397712,47.7347131128
Rdh,5.69119303213,4.99695134214,0.00326938483288,50.747391376
aPKC,0.0,6.27840157579,0.00340824673532,52.9028058256
Uba3,1.6946982455,0.0,0.00352705120034,54.7468887317
Nipped-A,1.06509584899,0.0,0.00352705120034,54.7468887317
CG12316,0.0,2.74022646697,0.00352705120034,54.7468887317
CG30463,0.0,0.68757833922,0.00352705120034,54.7468887317
CG32075,0.0,3.11753031688,0.00352705120034,54.7468887317
Sec63,0.96535553174,0.0,0.00352705120034,54.7468887317
CG5003,0.0,0.88916013371,0.00352705120034,54.7468887317
Fhos,0.0,1.91270020644,0.00352705120034,54.7468887317
ab,0.0,0.63776590521,0.00352705120034,54.7468887317
Nup107,2.70417909362,0.0,0.00352705120034,54.7468887317
CG32206,0.0,0.719572309705,0.00352705120034,54.7468887317
CG4882,6.87030984398,8.50078779211,0.00360467167913,55.9517138034
Pp1alpha-96A,7.75454980911,8.80022797575,0.0036299774941,56.3445106633
CG32262,0.0,7.42343124276,0.00373444360938,57.9660337047
dpr13,0.0,5.50494110263,0.00373444360938,57.9660337047
Ubc2,6.12527631314,1.76164528844,0.00391260416836,60.7314419014
Aps,0.0,7.00831252616,0.00398864969176,61.9118205154
mCD8-GFP,11.7212744491,9.53228978724,0.0042357913158,65.7479528038
Syx7,7.25429629811,8.29768030931,0.00427891027272,66.4172452531
Tsp42Ek,1.50339859919,6.73164152101,0.00430055266134,66.7531784093
HP5,4.74429632039,0.0,0.00437130777888,67.8514393438
CG17168,0.0,7.625624352,0.00442947100501,68.7542489398
CG4848,2.59487363074,0.0,0.00447257634231,69.4233299853
beta3GalTII,5.46339205135,0.0,0.00451760512169,70.1222666989
Cdc27,4.63159887212,0.0,0.00451760512169,70.1222666989
CG1104,0.0,7.36141149647,0.00457076610572,70.9474314929
Hsp70Bb,6.35727109138,4.37497546906,0.00461059787865,71.5657002724
igl,12.0218075394,12.3195184152,0.00509655249555,79.108687836
nAChRbeta1,10.9023264153,11.2679091758,0.00509655249555,79.108687836
CG11597,0.0,7.56479706959,0.00540745351568,83.9344934703
CG31475,0.0,6.61910632037,0.00544425276621,84.5056914371
CG5758,7.33541555926,0.0,0.00570910433234,88.6167174465
mRpL27,4.73061198512,6.26170036002,0.00582677971481,90.4432747333
CR32745,3.61928504884,0.0,0.00587556329273,91.2004934297
Ostgamma,0.0,7.10587313827,0.00587556329273,91.2004934297
fabp,6.65029340082,3.47078412025,0.00597427122471,92.7326379499
Tsp66E,10.5841599592,10.8904009985,0.00601141270381,93.3091479885
CG3257,10.8749929629,10.2145959263,0.00601141270381,93.3091479885
VhaAC45,10.0979300102,10.8287383778,0.00601141270381,93.3091479885
14-3-3zeta,10.977290438,10.5630006062,0.00601141270381,93.3091479885
nAChRalpha3,7.23097146858,8.18011498042,0.00601141270381,93.3091479885
homer,7.30798686186,2.42538100498,0.00617968770751,95.9211125959
CG4168,6.55927648136,2.76519060535,0.00649274409288,100.78037381
CG34402,0.0,4.95155334083,0.00653613018271,101.453812696
CG4164,3.16076809762,0.0,0.00663282670479,102.954736112
CG15912,3.39641387011,0.0,0.00663282670479,102.954736112
Fgop2,7.09940585638,0.0,0.00663282670479,102.954736112
CG7841,0.0,4.59258521344,0.00663282670479,102.954736112
Strip,0.513240566905,7.50423761422,0.00670625474974,104.094486225
Nak,0.0,6.51942101633,0.0067947678321,105.46838629
Usp14,3.05917583764,8.28525978926,0.00686066545951,106.491249262
Ddr,6.62895582895,0.0,0.00692625716683,107.509363743
Nhe1,7.17802480984,0.0,0.00696973433282,108.184216314
mod(mdg4),8.22667533306,7.47458602749,0.00702709940089,109.074636901
CG14818,6.78558853654,5.9972752156,0.00705850305669,109.562084446
