symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,4.49493914797,10.3675982044,1.75893739454e-05,0.27302226238
beat-VI,0.0,7.91371940961,1.87923035691e-05,0.291694136
betaTub56D,11.4026313409,10.1396348471,2.34743628248e-05,0.364369059766
PVRAP,8.22135194736,0.0,2.79943635337e-05,0.434528510771
CG15537,10.8165530097,8.82187464635,3.82914473375e-05,0.594359845572
Ac76E,7.36212103593,0.0,6.2654363942e-05,0.972521037107
regucalcin,7.45566734955,9.48068900029,7.76409585271e-05,1.20514295826
Rpb11,5.19024191709,0.0,9.43200352927e-05,1.46403558781
CG31814,0.0,7.39124486664,9.43200352927e-05,1.46403558781
CG31997,0.0,9.48450822756,0.000102961253475,1.59816457644
CG31676,7.8268126545,0.0,0.000191695863289,2.97550318997
GV1,7.63126819019,0.0,0.000191695863289,2.97550318997
CG34370,9.05760087507,7.25277066412,0.000192101013517,2.98179193182
Fas3,6.81350651996,0.0,0.000239209057348,3.71300298815
CG12484,0.0,8.34674368431,0.000289872476541,4.49940058086
CG10527,7.60521359827,8.59060966443,0.000296021072947,4.59483909429
klg,5.23224180291,8.3691172984,0.000356065705973,5.52685188811
Hsp70Bb,6.7016545674,3.87439049874,0.000445826278835,6.92011550008
Vps35,0.0,8.35501024981,0.000468514203725,7.27227747022
mCD8-GFP,12.1781582342,9.06644506815,0.000525874701383,8.16262711487
mspo,5.47476912061,9.03360449204,0.00053936770472,8.37206551266
CG15236,0.0,5.74795300679,0.000542166280837,8.41550501115
Gr28b,8.09023416549,0.0,0.000599404297285,9.30395350247
Sulf1,6.43529502845,0.0,0.000606251512059,9.41023597018
CG13532,7.661095118,0.0,0.000717893223829,11.1431386203
Ccn,0.0,8.12253253474,0.000746609897836,11.5888788342
nolo,9.40969783302,6.29936086744,0.000824088988833,12.7915092847
hdc,5.01708023517,0.0,0.000884060424462,13.7223859085
hppy,0.0,7.15592173989,0.000912230265352,14.1596381788
CG2371,6.78072981544,0.0,0.000919774599492,14.2767413333
hth,8.41991079925,0.82528573317,0.000927243614384,14.3926753825
CG9328,9.91635946141,8.81217250011,0.00100475242783,15.5957671848
stau,7.17333713161,0.0,0.00111189349193,17.2588107817
fwe,7.08749243764,5.192308927,0.00121836740449,18.9114988526
CG32176,0.0,5.31250797454,0.00126291265293,19.6029301988
CG6406,0.0,7.85323163158,0.00135089837356,20.9686445544
CG12107,0.0,4.21578910039,0.00139888360254,21.7134712786
CG10194,3.82816690151,0.0,0.00142779274305,22.1621989576
CG32392,0.0,5.95795768099,0.00150721646069,23.3950139029
EndoGI,3.12754908685,0.0,0.00156917424068,24.3567225639
CG42541,7.50270598557,0.0,0.00166511987523,25.8459907033
CG3257,10.9752196887,9.86397359148,0.00177491931746,27.5502976456
dpr2,0.0,8.41730717573,0.00201135394335,31.2202359087
CG12236,0.0,7.34356381416,0.00201257007866,31.239112761
miple1,11.4402876096,10.9346548664,0.00213238245702,33.0988404978
Syn,7.82951819397,6.22613278607,0.00213238245702,33.0988404978
shi,11.044090556,10.033473949,0.00213238245702,33.0988404978
dpr3,1.6081434175,8.09702984766,0.00216729483419,33.6407504163
CG33543,9.38996900121,0.0,0.00221073834775,34.3150806338
fred,0.0,2.96786741287,0.00239300692391,37.1442534729
AMPKalpha,8.48803692325,6.41310588732,0.00250604271143,38.8987949668
Hsp23,7.12175358155,0.0,0.00252281894047,39.159195594
cno,7.51098437565,0.0,0.00252281894047,39.159195594
swi2,2.22402182844,0.0,0.00252281894047,39.159195594
acj6,4.51170701246,6.69102839254,0.00253472786605,39.3440459369
CG34380,9.07178814736,6.50753816066,0.00253472786605,39.3440459369
CG42540,10.1274108897,9.20668735932,0.0025539527125,39.6424540034
CG14411,0.0,7.41080057939,0.0027480089233,42.6545945074
bon,4.46253647432,0.0,0.00278672611851,43.2555628115
CG13654,7.25020312035,0.0,0.00285052336252,44.245823633
CG42747,8.07181597162,0.0,0.00286910496103,44.534247205
Ac3,5.1533772509,0.0,0.00291155513335,45.1931587799
Dpck,7.95883959157,5.48956219402,0.0030273744898,46.9909068306
CG45186,8.53895155276,6.47174868172,0.0030273744898,46.9909068306
Nmdar2,6.15127467756,7.63940403825,0.00304394018393,47.248039535
Appl,7.83696453926,2.81353051053,0.00304394018393,47.248039535
twf,7.77374697388,0.78419209231,0.00328417982783,50.9770392876
btsz,6.17524608967,0.0,0.00344965301637,53.54551412
CG8353,0.0,5.47645599333,0.00344965301637,53.54551412
CG4168,6.55927648136,2.9589034943,0.00350437791695,54.3949540269
CG34393,0.0,2.83719662952,0.00352705120034,54.7468887317
CCKLR-17D3,3.12080164057,0.0,0.00352705120034,54.7468887317
CG32683,1.3590712397,0.0,0.00352705120034,54.7468887317
CR44445,0.0,2.63629548652,0.00352705120034,54.7468887317
Fhos,0.0,1.91270020644,0.00352705120034,54.7468887317
spz,1.15991260765,0.0,0.00352705120034,54.7468887317
Atg10,0.0,1.0834672217,0.00352705120034,54.7468887317
CG11788,0.0,2.85584478524,0.00352705120034,54.7468887317
Coq2,1.07026691518,0.0,0.00352705120034,54.7468887317
psidin,0.0,2.33060845037,0.00352705120034,54.7468887317
PQBP1,0.0,1.81421435612,0.00352705120034,54.7468887317
Cp1,7.76767296989,7.10765123271,0.0036299774941,56.3445106633
DIP-beta,0.0,6.96022498211,0.0041336439511,64.162421409
CG15735,0.0,7.00989386328,0.0041336439511,64.162421409
CG4238,9.11657884274,7.95899465758,0.00430055266134,66.7531784093
nSyb,11.4564846594,10.9464616193,0.00430777905941,66.8653465602
Nsf2,0.0,3.77028395999,0.00447257634231,69.4233299853
aPKC,0.0,5.81683134625,0.00482617982151,74.9119631895
mtd,7.97318291528,4.59658728651,0.00508834087578,78.9812270738
ATPsynC,13.614835581,13.8725618119,0.00509655249555,79.108687836
Gpdh,8.98568673476,10.0809875184,0.00509655249555,79.108687836
14-3-3zeta,11.0842287308,10.5771556682,0.00509655249555,79.108687836
Act5C,10.5745020802,9.79538350109,0.00509655249555,79.108687836
tinc,4.80114488946,0.0,0.0053005570512,82.2752465487
luna,0.0,3.64286394577,0.0053005570512,82.2752465487
HP5,5.15891913743,0.0,0.00544425276621,84.5056914371
CG17574,0.0,4.35225464003,0.00544425276621,84.5056914371
Arpc1,8.74004830894,7.54072162619,0.00545010546949,84.5965370974
Dap160,7.3091559042,0.421825026722,0.00550127178673,85.3907406736
fne,9.12915012298,8.45566801678,0.00601141270381,93.3091479885
Bap60,0.0,6.0963623422,0.0064649498014,100.348950817
Pdk,7.02348085512,0.0,0.0064649498014,100.348950817
Dpy-30L1,4.8302991603,0.0,0.0064649498014,100.348950817
CG4565,0.0,4.63459865417,0.00663282670479,102.954736112
CG11317,0.0,5.52463631526,0.00663282670479,102.954736112
Ras85D,8.46603562595,5.7597081707,0.00702709940089,109.074636901
CG13004,4.65591970531,6.25430742322,0.00705850305669,109.562084446
Nckx30C,9.10575733131,8.11052349519,0.00706898472796,109.724780947
Ih,9.10882163837,9.91415790062,0.00706898472796,109.724780947
Syngr,7.26229051243,5.45458482893,0.00706898472796,109.724780947
Cisd2,8.55023026615,9.00020213889,0.00706898472796,109.724780947
drongo,5.10452923803,7.85896390681,0.00727208916095,112.877367956
Cdc27,4.63159887212,0.0,0.00770023265441,119.523011262
CG17193,7.02216778974,0.0,0.00770143730756,119.541709888
Eip71CD,0.0,5.35469489074,0.00770143730756,119.541709888
MFS10,0.0,1.90634506638,0.00781736611063,121.341156769
Fgop2,4.47599826234,0.0,0.00802528727053,124.568509013
Sec63,0.0,0.0,0.00823657790279,127.848162207
Bx,0.0,0.0,0.00823657790279,127.848162207
PIG-C,0.0,0.0,0.00823657790279,127.848162207
CG3065,0.0,0.0,0.00823657790279,127.848162207
ab,0.0,0.0,0.00823657790279,127.848162207
Usp20-33,0.0,0.0,0.00823657790279,127.848162207
CG10444,0.0,0.0,0.00823657790279,127.848162207
MTA1-like,0.0,0.0,0.00823657790279,127.848162207
CG32075,0.0,0.0,0.00823657790279,127.848162207
CG43861,0.0,0.0,0.00823657790279,127.848162207
CR45054,0.0,0.0,0.00823657790279,127.848162207
Edc3,0.0,0.0,0.00823657790279,127.848162207
pins,0.0,0.0,0.00823657790279,127.848162207
CDC45L,0.0,0.0,0.00823657790279,127.848162207
CG34356,0.0,0.0,0.00823657790279,127.848162207
RfC4,0.0,0.0,0.00823657790279,127.848162207
Gclm,0.0,0.0,0.00823657790279,127.848162207
Uba3,0.0,0.0,0.00823657790279,127.848162207
park,0.0,0.0,0.00823657790279,127.848162207
CG13919,0.0,0.0,0.00823657790279,127.848162207
dpr17,0.0,0.0,0.00823657790279,127.848162207
CG14857,0.0,0.0,0.00823657790279,127.848162207
RNaseX25,6.83080165945,0.0,0.0082400050643,127.901358608
ssx,7.80809293605,5.0256900436,0.00824041168623,127.907670194
Trx-2,6.34358045495,7.84983348827,0.00824041168623,127.907670194
Trp1,6.28509635078,8.24879647081,0.00828746337493,128.638006506
Con,8.40212742743,6.36163804263,0.00828746337493,128.638006506
CG45050,7.48091530442,8.33919644836,0.00828746337493,128.638006506
PCB,8.7120066761,6.56025213378,0.0085313207872,132.423161259
CG42271,2.31948172138,7.76233931744,0.0089600468541,139.077847269
oaf,0.0,7.61745127732,0.00896604537191,139.170956263
Cbp80,0.0,2.60323422182,0.00914149983987,141.894360514
alpha-Man-Ia,5.53580227725,2.3638862206,0.00922986119094,143.265905406
CG32206,0.0,1.79616958295,0.00931456777471,144.580720999
Ca-alpha1T,7.86851617973,3.06108053404,0.00942455500723,146.287942822
CG43658,2.02216068847,7.48172448058,0.00942455500723,146.287942822
qkr58E-2,8.54601315808,6.70080285668,0.00955525089186,148.316604343
chn,9.03872782602,6.030772693,0.00963401099964,149.539118736
eIF-4B,5.33166016845,3.66871855021,0.00967348688211,150.151863384
CG15803,1.32642096924,0.0,0.00970929361144,150.707655437
CG14903,0.0,4.27127372925,0.00970929361144,150.707655437
twin,7.89346198226,0.0,0.00970929361144,150.707655437
RpL11,7.04275731389,0.0,0.00970929361144,150.707655437
CG11399,0.0,1.95035972824,0.00974606052132,151.278351412
CG10011,3.16918160478,0.0,0.00974606052132,151.278351412
CG17568,0.0,3.2108155059,0.00974606052132,151.278351412
Pvf3,0.444663920862,5.76191669078,0.010080054078,156.462599399
Fur2,4.33089385963,0.454757643106,0.0104769505192,162.623225958
CG8258,0.0,6.78762957419,0.010524821166,163.366274139
toc,3.06732635734,7.61227311257,0.0107784465374,167.303047153
SsRbeta,5.06377553628,0.0,0.010812027636,167.824292966
fabp,6.68894701391,2.98678210515,0.010995767115,170.676297159
Hsp70Aa,1.84068168709,0.955505597935,0.010995767115,170.676297159
PAPLA1,3.40962926157,0.0,0.0110568859277,171.62498337
CG42389,2.32336081601,0.0,0.0110568859277,171.62498337
