symbol,medianA,medianB,pvalue,pvalue_adj
Ac76E,7.97300218529,0.0,5.13445780758e-06,0.0796970540892
CG42342,6.53288033861,10.4045970432,1.82210136462e-05,0.282826573817
CG31676,8.91966095877,0.0,1.87923035691e-05,0.291694136
CG31997,2.50839997567,9.52775016536,2.05109686014e-05,0.318371254631
betaTub56D,11.4853782973,10.0441167191,4.86728378236e-05,0.755499788697
CG45186,8.20558325362,5.55248219576,6.08385738294e-05,0.94433634298
beat-VI,0.0,7.85540313402,6.2654363942e-05,0.972521037107
regucalcin,7.41893741138,9.8290784823,9.68279741405e-05,1.50296381461
CG31814,0.0,7.28783949414,0.000106995032231,1.66077689029
plum,4.54290207708,0.0,0.000106995032231,1.66077689029
PVRAP,8.31077956535,1.9016866979,0.000110207004978,1.71063313127
GV1,8.83154092958,0.0,0.00011600356004,1.80060725894
Sulf1,7.00751417913,0.0,0.000132597583797,2.05817969569
CG15537,10.6067577181,8.82187464635,0.000154022352814,2.39073496038
Fas3,7.62376931597,0.0,0.000191427754366,2.97134160328
CCKLR-17D3,7.97175630213,0.0,0.000191695863289,2.97550318997
fabp,6.43393105379,0.0,0.000388399919053,6.02874354353
CG9855,0.0,5.52365792083,0.000505276606553,7.84290348691
CG11317,0.0,4.76971318834,0.000542166280837,8.41550501115
Nmdar2,3.54165375316,7.34585854581,0.000644725598377,10.007430738
CG12975,3.47274654836,6.2322458774,0.000687455978547,10.670691699
CG12541,0.0,5.65825684893,0.000741696486829,11.5126128686
dpr6,0.0,8.67963072373,0.000924738753125,14.353794926
ST6Gal,11.2577968705,10.2602453442,0.00100475242783,15.5957671848
CG31388,0.0,7.08885637766,0.0010139646038,15.7387585801
mspo,2.30549531933,8.62126065105,0.00112748770879,17.5008642158
CG32392,0.0,5.95795768099,0.00113640233548,17.6392370513
Hsc70-3,9.16503300632,7.22873712167,0.00121836740449,18.9114988526
Ccn,0.0,8.2599288726,0.00123829633922,19.2208357774
CG33543,8.7773522152,0.0,0.00123829633922,19.2208357774
stan,0.0,3.86165408988,0.00142779274305,22.1621989576
CG34393,0.0,4.01162341332,0.00142779274305,22.1621989576
CG10384,0.0,1.93178549784,0.00142779274305,22.1621989576
Galphaq,0.0,0.918411629522,0.00142779274305,22.1621989576
klg,5.41206046755,7.76655373476,0.00144200028716,22.3827284574
CG7708,8.16670084546,9.66319555153,0.00147282307527,22.8611597743
Hsp67Bc,10.5898535518,9.035726893,0.00147282307527,22.8611597743
CG12484,0.0,8.07260567934,0.00166511987523,25.8459907033
betaCOP,0.0,8.2163867499,0.00171566764987,26.6305932612
CG34383,4.0314183995,0.0,0.00171566764987,26.6305932612
miple1,11.4807932429,11.1257786246,0.00177491931746,27.5502976456
RpS6,9.03367628311,8.51939676469,0.00177491931746,27.5502976456
NK7.1,7.04007449456,0.82363806736,0.00190593953565,29.5839934724
Hmg-2,6.54843260625,0.0,0.00194175002269,30.1398438521
CG15630,7.33503460159,0.0,0.00194175002269,30.1398438521
hth,9.581670305,0.0,0.00201257007866,31.239112761
dpr3,0.0,7.51494956576,0.00201257007866,31.239112761
CG44422,1.78490497461,7.68438008202,0.00211572035207,32.8402113049
Ktl,9.47784880132,10.5467253411,0.00213238245702,33.0988404978
hppy,0.445835460815,7.89921300159,0.00216729483419,33.6407504163
DIP-beta,0.0,7.03361332954,0.00221073834775,34.3150806338
CG6154,0.0,3.3235034316,0.00239300692391,37.1442534729
corn,0.0,3.28287203926,0.00239300692391,37.1442534729
nAChRalpha3,7.00004329885,8.15100463444,0.0025539527125,39.6424540034
glob1,7.96641547884,0.0,0.0026641228572,41.3525149895
CG9253,6.8344365892,1.11882160324,0.00274804120397,42.6550955681
Cow,6.28238444939,8.29799684184,0.00304947296561,47.3339193722
CG7357,0.445835460815,0.0,0.00352705120034,54.7468887317
CG32473,2.00123255533,0.0,0.00352705120034,54.7468887317
CG11788,0.0,0.584957992335,0.00352705120034,54.7468887317
Jra,0.0,1.12395735006,0.00352705120034,54.7468887317
beat-IIb,0.0,0.985523729535,0.00352705120034,54.7468887317
twz,3.00736867431,0.0,0.00352705120034,54.7468887317
CG32075,0.0,2.44832060157,0.00352705120034,54.7468887317
beat-IV,1.50976842215,0.0,0.00352705120034,54.7468887317
tinc,6.32522354262,0.0,0.00359044554028,55.7308956763
Hsp70Bb,6.35727109138,4.72089435047,0.00360467167913,55.9517138034
ND-13A,7.53015654597,8.21384825199,0.0036299774941,56.3445106633
14-3-3zeta,11.1952105627,10.4194557723,0.0036299774941,56.3445106633
Drep2,8.1150045688,9.73301653248,0.0036299774941,56.3445106633
CG4238,9.39135129567,8.04184950151,0.00394912500293,61.2983182955
T-cp1,7.94322359148,0.0,0.00415787213509,64.5384912809
CG10565,8.47001168332,7.39274501067,0.00416441879531,64.6401085409
mCD8-GFP,11.9495030051,10.1518396375,0.00427891027272,66.4172452531
CG17385,9.100384802,8.5666918677,0.00427891027272,66.4172452531
Hrb98DE,9.15744889363,8.05189508914,0.00430777905941,66.8653465602
Sin,0.0,1.76642535121,0.00447257634231,69.4233299853
cnir,5.72190438487,0.0,0.00451760512169,70.1222666989
CR12842,6.16798737982,0.0,0.00478027785591,74.1994728795
CG5466,9.04914092621,5.04028913322,0.00493354571083,76.5784965235
CG10188,0.0,4.07983198606,0.00493654540271,76.6250577408
akirin,8.46353179577,0.0,0.00494472589418,76.7520353295
TM4SF,12.3309841969,11.9023035547,0.00509655249555,79.108687836
Nhe3,8.50025624684,6.34626640108,0.00509655249555,79.108687836
pros,10.1332854842,9.34351038187,0.00509655249555,79.108687836
Sap47,11.4393098074,11.9395375095,0.00509655249555,79.108687836
drpr,9.57491765657,10.0773587829,0.00509655249555,79.108687836
CG7337,0.0,5.60376944144,0.00540745351568,83.9344934703
Ip259,0.0,6.34187714315,0.00543592854447,84.3764828673
CG12006,7.46810738782,0.0,0.00544425276621,84.5056914371
CG11964,6.69114995069,0.0,0.00544425276621,84.5056914371
Gr28b,6.35588864172,0.0,0.00545841288083,84.7254847362
beta4GalNAcTA,5.39726974885,0.0,0.00545841288083,84.7254847362
