symbol,medianA,medianB,pvalue,pvalue_adj
Ac76E,7.52063337099,0.0,5.13445780758e-06,0.0796970540892
CG31676,9.12404343887,0.0,5.13445780758e-06,0.0796970540892
CG42342,6.71536585904,10.1346389308,1.82210136462e-05,0.282826573817
CG31814,0.0,7.16623958819,2.70325472882e-05,0.419599199007
CG15537,10.7889586982,8.98246313855,3.0028801484e-05,0.466107056635
betaTub56D,11.3836074977,10.2262946779,3.0028801484e-05,0.466107056635
GV1,9.10578079544,0.0,3.03089062316e-05,0.470454842527
PVRAP,8.39288146607,0.0,3.98264953155e-05,0.618186860287
beat-VI,0.0,7.8033993752,6.2654363942e-05,0.972521037107
CG31997,5.56015071701,9.69074384019,9.19345635454e-05,1.42700829535
regucalcin,6.71209927348,9.35120995021,0.000144911179874,2.249311334
fabp,6.65708622434,0.0,0.000162360448308,2.52015887864
Hsp70Bb,6.7016545674,4.37497546906,0.000236135092723,3.66528890925
Ccn,0.0,8.37929916011,0.000254836523736,3.95557252143
mCD8-GFP,12.1584254495,9.82921466882,0.000287940759511,4.46941646913
CG45186,9.05037531253,6.16122862925,0.000364765459768,5.66188946651
Fas3,7.32636550403,0.0,0.000376532512733,5.84453766264
miple1,11.4389986003,10.9202976456,0.00045046779818,6.99216116335
Sulf1,6.21942561301,0.0,0.000490627225359,7.61551579203
CG9855,0.0,5.32920206768,0.000542166280837,8.41550501115
rad,0.0,5.63980409706,0.00058095302954,9.01755292451
CG12484,0.0,8.34674368431,0.000673809488881,10.4588708864
ST6Gal,11.3397865258,10.2602453442,0.000676970721546,10.5079395398
CG31388,0.0,8.07875139781,0.000717893223829,11.1431386203
plum,5.95554375114,0.0,0.000742842896261,11.5304074358
CG4238,9.39135129567,7.96897548415,0.00074630365321,11.5841253051
klg,5.41206046755,8.11534670195,0.000818314149943,12.7018722354
Hsp67Bc,10.5898157268,8.86133655214,0.000826019728117,12.8214782198
CdsA,9.71602649536,8.87564264113,0.000826019728117,12.8214782198
CG32392,0.0,6.52099421274,0.000827498854029,12.8444372122
dpr6,0.0,8.77002820022,0.00112099897716,17.4001461234
nAChRalpha3,6.86837899653,8.18011498042,0.00121836740449,18.9114988526
hth,8.72637325185,0.0,0.00135089837356,20.9686445544
CCKLR-17D3,7.55530006337,0.0,0.00142779274305,22.1621989576
ab,0.0,2.90504208335,0.00142779274305,22.1621989576
Oscillin,6.51757442601,0.0,0.00142779274305,22.1621989576
IscU,8.75611431758,9.58294710047,0.00147282307527,22.8611597743
dpr3,0.0,7.76106466218,0.00166511987523,25.8459907033
mod(mdg4),8.81410876391,7.43907301611,0.00176053230348,27.3269824146
CG33543,9.50323445178,0.0,0.001828432202,28.3809246395
CG15202,6.1519552508,0.0,0.00196453706682,30.4935443511
Blos2,5.01845512268,0.0,0.00209647825016,32.541535399
CG2059,5.927152872,0.0,0.00239300692391,37.1442534729
CG11317,0.0,5.80920456127,0.00239300692391,37.1442534729
iPLA2-VIA,0.0,6.88189705312,0.00252281894047,39.159195594
Gug,0.0,6.70674743238,0.00255244743278,39.6190890516
ND-13A,7.57290127094,8.23950996221,0.0025539527125,39.6424540034
CG12541,0.0,5.981274045,0.00286910496103,44.534247205
DIP-beta,0.0,7.08537334237,0.00291155513335,45.1931587799
CG43658,4.91032285492,7.69494661401,0.0030273744898,46.9909068306
Bgb,7.95107659697,6.12029374928,0.00326938483288,50.747391376
UGP,0.0,7.1218789446,0.00331651673921,51.4789728259
CG10527,7.54380170803,8.47922390807,0.00332244042047,51.5709202066
HP1c,7.46992956928,0.0,0.00344965301637,53.54551412
CG17187,0.466652846343,0.0,0.00352705120034,54.7468887317
CG11788,0.0,0.584957992335,0.00352705120034,54.7468887317
bys,1.05801659815,0.0,0.00352705120034,54.7468887317
Upf3,0.0,0.454757643106,0.00352705120034,54.7468887317
Rep,0.0,3.15786518012,0.00352705120034,54.7468887317
CG34393,0.0,2.83719662952,0.00352705120034,54.7468887317
tkv,0.0,0.490381504102,0.00352705120034,54.7468887317
CG10384,0.0,0.490381504102,0.00352705120034,54.7468887317
CG30463,0.0,0.68757833922,0.00352705120034,54.7468887317
CG15923,0.0,0.409705584683,0.00352705120034,54.7468887317
Tango14,0.0,0.63776590521,0.00352705120034,54.7468887317
CG34380,9.08125665758,6.50753816066,0.00360467167913,55.9517138034
CG42540,10.2834688603,9.09859533319,0.0036299774941,56.3445106633
