symbol,medianA,medianB,pvalue,pvalue_adj
Ac76E,7.97300218529,0.0,5.13445780758e-06,0.0796970540892
CG42342,6.29942743085,10.3466236073,1.80085268433e-05,0.279528353662
beat-VI,0.0,8.0136202805,1.87923035691e-05,0.291694136
PVRAP,8.39288146607,0.0,3.58926629413e-05,0.557125914175
betaTub56D,11.6429988657,10.1396348471,3.82914473375e-05,0.594359845572
hth,9.25949345685,0.0,3.98264953155e-05,0.618186860287
Fas3,7.72678865999,0.0,5.07461880929e-05,0.787682331577
mspo,0.0,9.1840857607,5.07473053166e-05,0.787699673125
CG31814,0.0,7.36779657261,6.53070589699e-05,1.01369616933
CG10527,7.47002634462,8.49096418768,7.78979465439e-05,1.20913192626
klg,5.34914593016,8.3691172984,0.000119311802124,1.85195779258
CG15537,10.5533873088,8.44987747516,0.000123103116411,1.91080657294
CG31997,2.26284957183,9.31882880789,0.000138338286964,2.14728689026
Pde11,0.0,7.90055448688,0.000162360448308,2.52015887864
CG31676,8.58988999226,0.0,0.000191695863289,2.97550318997
pros,10.1121559058,9.26090242034,0.000192101013517,2.98179193182
CG4238,9.24605620259,7.95899465758,0.000365740995907,5.67703173847
Ccn,0.0,8.37929916011,0.000403173249831,6.25805518388
dpr2,0.0,8.48261403193,0.000444828728981,6.90463153124
Mob2,8.8758279659,9.79177544678,0.00045046779818,6.99216116335
CG32392,0.0,5.95795768099,0.000481941769935,7.48070015293
DIP-theta,0.0,5.24148814985,0.000542166280837,8.41550501115
GV1,8.25462100784,0.0,0.000542166280837,8.41550501115
GXIVsPLA2,0.0,4.05387978934,0.000542166280837,8.41550501115
dpr6,3.45878396798,8.82430946051,0.000589256886706,9.14644539545
CG42541,6.88735401488,0.0,0.000614632174771,9.5403206168
regucalcin,7.56596385623,8.85421801884,0.0006753339723,10.482533918
DIP-beta,0.0,7.34779145447,0.000717893223829,11.1431386203
hppy,2.9062047664,7.15592173989,0.000787953959844,12.2306213647
CG7506,0.0,6.64270773153,0.000882615531441,13.699958279
CG34380,8.70318585165,6.86682037365,0.000995695028697,15.4551782354
CG6443,0.0,7.65035600116,0.0010139646038,15.7387585801
plum,6.44479766644,0.0,0.00112099897716,17.4001461234
RpLP2,7.84116302754,6.62750649422,0.00121836740449,18.9114988526
CG12484,0.0,8.32100863467,0.00122607677974,19.0311637751
dpr3,0.0,7.41307632456,0.00123829633922,19.2208357774
CG42747,7.59506656012,0.0,0.00123829633922,19.2208357774
Sulf1,6.58705044476,0.0,0.00138410255674,21.4840398857
CG41099,8.49344585407,5.55731594544,0.00141157064903,21.9103996143
CCKLR-17D3,7.22022289908,0.0,0.00142779274305,22.1621989576
Upf3,0.0,1.50312092446,0.00142779274305,22.1621989576
CG34356,1.30411046735,0.0,0.00142779274305,22.1621989576
Nup107,5.56112838804,0.0,0.00142779274305,22.1621989576
fne,9.17644363448,8.33240105463,0.00177491931746,27.5502976456
14-3-3zeta,11.0842287308,10.4665981579,0.00177491931746,27.5502976456
ATPsynC,13.5662573735,13.8490443435,0.00177491931746,27.5502976456
miple1,11.3298726542,11.0135503974,0.00177491931746,27.5502976456
Hsp67Bc,10.7973463872,9.18408540551,0.00177491931746,27.5502976456
CG33543,8.62300042161,0.0,0.00196453706682,30.4935443511
CG4168,7.49746386826,2.9589034943,0.00204982228844,31.8173415611
MESK2,10.1602018618,10.9762889216,0.00213238245702,33.0988404978
CG34370,8.52609691115,7.53652952875,0.0025539527125,39.6424540034
dpr1,5.21958181503,7.49186263773,0.00299439011492,46.4789233637
spen,5.68356536206,7.88836608683,0.0030273744898,46.9909068306
ST6Gal,11.2421461559,10.1441627397,0.00304947296561,47.3339193722
Rep,0.0,7.51831651698,0.00307529397712,47.7347131128
CG6406,0.0,7.74026071445,0.00331651673921,51.4789728259
Hsp70Bb,6.36590295228,4.64405523027,0.00332244042047,51.5709202066
CG4565,0.0,6.36534887698,0.00344965301637,53.54551412
CG9590,0.0,2.64858157253,0.00352705120034,54.7468887317
beat-IIb,0.0,1.19789352099,0.00352705120034,54.7468887317
Zir,0.0,0.52474215904,0.00352705120034,54.7468887317
Pex11,0.0,1.9016866979,0.00352705120034,54.7468887317
CR46078,0.0,0.493792078473,0.00352705120034,54.7468887317
E(Pc),1.39582648702,0.0,0.00352705120034,54.7468887317
tinc,7.0815203022,0.0,0.00359044554028,55.7308956763
p,8.02084335108,9.18877141793,0.00360467167913,55.9517138034
CG16758,9.76930394612,10.5020237374,0.0036299774941,56.3445106633
Syt4,9.06063490396,9.81399076257,0.0036299774941,56.3445106633
Mmp2,1.20233467538,0.0,0.00364894251992,56.6388857942
CG3011,0.0,4.30830671046,0.00364894251992,56.6388857942
Gr28b,6.76279954374,0.0,0.00364894251992,56.6388857942
CG4004,0.0,2.78607440281,0.00364894251992,56.6388857942
Hmg-2,6.54843260625,0.0,0.00373444360938,57.9660337047
corn,0.0,5.39602362434,0.00373444360938,57.9660337047
swi2,2.18904554676,0.0,0.00373444360938,57.9660337047
CG17778,2.99549229817,8.86720174422,0.00405851819082,62.9963193579
Rpb10,5.12898897386,0.0,0.0040621522325,63.0527269528
CG13532,7.18171727041,0.0,0.0040621522325,63.0527269528
cmpy,7.18484140753,8.52977135706,0.00430055266134,66.7531784093
RpS17,8.07528461861,6.66565933443,0.00430777905941,66.8653465602
nAChRbeta1,10.8793390545,11.5471565742,0.00430777905941,66.8653465602
Cdc27,6.42930166425,0.0,0.00451760512169,70.1222666989
fabp,6.62715200789,0.69483214661,0.00464668781242,72.1258882244
RhoGAP100F,7.06323992787,3.05211016995,0.00493354571083,76.5784965235
RpL11,7.00344003149,0.0,0.00494472589418,76.7520353295
ATPsynbeta,13.1298343946,12.6817569881,0.00509655249555,79.108687836
Gapdh2,12.0619625964,12.2886509105,0.00509655249555,79.108687836
Cngl,8.80800128717,7.90500022609,0.00509655249555,79.108687836
Cow,7.01128729111,8.22406620675,0.00509655249555,79.108687836
IntS11,6.18001412724,0.0,0.0053005570512,82.2752465487
CG14411,0.0,7.41080057939,0.00540745351568,83.9344934703
cin,2.30734184082,0.0,0.00544425276621,84.5056914371
Ddr,6.69263151099,0.53259974323,0.00569007744509,88.3213821027
