symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.53255220969,10.2811700724,1.80085268433e-05,0.279528353662
beat-VI,0.0,7.92142419507,1.87923035691e-05,0.291694136
CG15537,11.0125018621,8.39708591538,2.34743628248e-05,0.364369059766
PVRAP,8.05251202507,1.89522981947,3.36991026146e-05,0.523077470784
CG31676,9.33839255226,0.0,6.2654363942e-05,0.972521037107
GV1,7.63126819019,0.0,0.00011600356004,1.80060725894
Ac76E,6.99971670328,0.0,0.000148206009967,2.30045368671
CG31814,0.0,7.05354086457,0.000188639994557,2.92806999551
Fas3,7.32636550403,0.0,0.000191427754366,2.97134160328
mRpS31,6.95032965586,0.0,0.000191695863289,2.97550318997
hth,8.80349143939,0.0,0.000313816746402,4.87106353765
CG4238,9.25528009512,7.60935591948,0.000449304376389,6.9741025303
betaTub56D,11.4250819998,10.3577662703,0.00045046779818,6.99216116335
alpha-Man-Ia,5.27107418956,0.0,0.0004791681021,7.43764728079
tinc,5.79436482038,0.0,0.000505276606553,7.84290348691
CCKLR-17D3,7.73146886827,0.0,0.000542166280837,8.41550501115
CG34380,9.07178814736,6.98916189925,0.0006753339723,10.482533918
pyd,6.10164154776,0.97084973408,0.000722323516879,11.211905629
hppy,2.8634968968,7.15592173989,0.000787953959844,12.2306213647
CG31997,6.2439599263,9.43434580843,0.000806842561265,12.523810236
dpr3,2.99833918815,8.09702984766,0.000882615531441,13.699958279
CG14480,6.96488982285,0.0,0.000912230265352,14.1596381788
CG33543,9.10647363671,0.0,0.000924738753125,14.353794926
Unc-115b,1.45600745897,0.0,0.000986770339198,15.316649205
regucalcin,7.66794298987,9.50045027222,0.00100248323755,15.5605448133
CG2991,7.6194836071,6.08424763654,0.00100248323755,15.5605448133
CG42540,10.216218878,9.16639678144,0.00100475242783,15.5957671848
TER94,9.37402139001,8.31220662406,0.00121836740449,18.9114988526
sowah,0.0,7.05000185665,0.00126291265293,19.6029301988
tsr,5.89322067457,0.0,0.00138410255674,21.4840398857
fred,0.0,2.83612302501,0.00142779274305,22.1621989576
klg,4.96803505663,7.72673385896,0.00144200028716,22.3827284574
spir,9.30807574637,7.21492427428,0.00146044673523,22.6690542243
CG45186,8.49898735175,6.85749426107,0.00147282307527,22.8611597743
fabp,6.74753332526,1.65352316371,0.00157976558932,24.5211214775
Rpn6,8.96571717506,7.81345178042,0.00158420443385,24.5900212222
Dpy-30L1,6.17949158146,0.0,0.00163600897563,25.3941313198
DIP-beta,0.0,7.08537334237,0.00166511987523,25.8459907033
CG10527,7.70560947055,8.65993287208,0.00177491931746,27.5502976456
CG7518,8.1251289591,2.15471926032,0.00179822645201,27.9120709882
Atg18a,8.05440616387,5.76601016776,0.00190593953565,29.5839934724
glob1,7.77988549985,0.0,0.00201135394335,31.2202359087
Eip63E,4.4487361783,0.0,0.00221073834775,34.3150806338
Ubc2,6.14152051245,0.495875655162,0.0022921955282,35.5794589887
sty,8.98095263276,2.45775752933,0.00250604271143,38.8987949668
CG43658,4.14098768272,7.8085355298,0.00250604271143,38.8987949668
CG32392,0.0,7.74885237512,0.00252281894047,39.159195594
CG8010,7.27420334566,0.0,0.00252281894047,39.159195594
Src42A,7.73786674185,6.51837812692,0.00254913889704,39.5677339598
l(3)03670,8.75117707076,7.37145765219,0.0025539527125,39.6424540034
nSyb,11.4564846594,10.968555626,0.0025539527125,39.6424540034
CG9391,7.07996706133,1.6277258746,0.00260376866526,40.4156972221
Vps35,0.0,8.21086395341,0.00286910496103,44.534247205
Tailor,7.15459663686,0.0,0.00286910496103,44.534247205
CG42673,0.0,7.28029107934,0.00291155513335,45.1931587799
Sulf1,7.00751417913,0.0,0.00291155513335,45.1931587799
nAChRbeta1,10.7673655403,11.2561628107,0.00304947296561,47.3339193722
CG8031,7.68405606963,0.0,0.00307529397712,47.7347131128
CG31475,0.0,8.41054357465,0.00307529397712,47.7347131128
Elk,6.21356328987,0.0,0.00331651673921,51.4789728259
Socs36E,5.85194038297,0.0,0.00331651673921,51.4789728259
CG15432,5.68790804432,0.0,0.00331651673921,51.4789728259
chic,6.86764839833,0.0,0.00340824673532,52.9028058256
twz,1.03115227277,0.0,0.00352705120034,54.7468887317
Fhos,0.0,0.523492865445,0.00352705120034,54.7468887317
beta3GalTII,3.90466215402,0.0,0.00352705120034,54.7468887317
CG8839,0.437398838392,0.0,0.00352705120034,54.7468887317
Mmp2,0.685992564715,0.0,0.00352705120034,54.7468887317
osp,0.466652846343,0.0,0.00352705120034,54.7468887317
CG12772,0.74162923505,0.0,0.00352705120034,54.7468887317
mspo,6.80362019054,8.91478661422,0.00356688708755,55.3652213729
Act5C,10.6345579811,9.62491171345,0.0036299774941,56.3445106633
l(1)G0289,0.0,5.9330966905,0.00363867987433,56.4795890094
CG42389,3.06807422208,0.0,0.00364894251992,56.6388857942
18w,2.6630267987,0.0,0.00364894251992,56.6388857942
rush,7.4878732844,0.0,0.00364894251992,56.6388857942
Blos2,4.58787185965,0.0,0.00364894251992,56.6388857942
CG12155,5.89372545205,0.0,0.00364894251992,56.6388857942
cathD,7.82256900399,3.91977815842,0.00372253114903,57.7811284952
su(f),6.10264018237,0.0,0.00374224898317,58.0871887168
cue,7.93171934389,0.0,0.00383068638571,59.4599140789
hdc,6.3250460282,0.0,0.00383068638571,59.4599140789
Nedd8,6.12532096195,0.0,0.00391260416836,60.7314419014
Nab2,7.42267583571,0.446020708581,0.00405851819082,62.9963193579
miple1,11.4754804156,11.0634128475,0.00430777905941,66.8653465602
CG2680,7.595559612,6.4842188591,0.00442139823196,68.6289433564
CG34356,1.18151973207,0.0,0.00447257634231,69.4233299853
CG5674,3.70754432834,0.0,0.00450661135093,69.9516213891
Ten-m,8.20899902293,3.26543826684,0.00493354571083,76.5784965235
eIF-2beta,6.61980728414,0.0,0.00493654540271,76.6250577408
CG8243,7.75606968516,0.0,0.00494472589418,76.7520353295
hig,7.31604975682,8.91040475102,0.00508834087578,78.9812270738
nolo,8.48958893852,6.60352937675,0.00508834087578,78.9812270738
