symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.04411045218,10.2436978851,1.80085268433e-05,0.279528353662
beat-VI,0.0,7.90017468295,6.2654363942e-05,0.972521037107
CG31814,0.0,7.23540422289,7.08433523144e-05,1.09963051462
CG15537,11.0074630168,8.60192360967,7.78979465439e-05,1.20913192626
GV1,7.79535500775,0.0,0.00011600356004,1.80060725894
CG6195,0.0,7.74611066729,0.00011600356004,1.80060725894
Ac76E,7.970785442,0.0,0.00011600356004,1.80060725894
glob1,8.67031321277,0.0,0.000161903572382,2.51306725052
CG31676,8.72191224169,0.0,0.000191695863289,2.97550318997
CG31997,2.26284957183,9.21179152227,0.000215892781976,3.35108776183
betaTub56D,11.5078289564,9.970605623,0.000238840864478,3.70728789844
CG12484,0.0,8.37606453386,0.000289872476541,4.49940058086
stau,7.97108463847,4.94029808252,0.000361849544811,5.61662863455
Sulf1,6.75430592041,0.0,0.000376532512733,5.84453766264
Fas3,7.72678865999,0.0,0.000386116522864,5.99330066789
CG33543,8.70753210132,0.0,0.000386116522864,5.99330066789
klg,0.0,7.6587453975,0.0004791681021,7.43764728079
tinc,4.55881709865,0.0,0.000505276606553,7.84290348691
CG42389,3.14096972264,0.0,0.000505276606553,7.84290348691
Galphaq,0.0,1.78593461025,0.000542166280837,8.41550501115
CCKLR-17D3,7.97175630213,0.0,0.000542166280837,8.41550501115
CG34393,0.0,6.33985682561,0.000542166280837,8.41550501115
CG34015,6.10840833313,0.0,0.000673809488881,10.4588708864
CG42540,10.1752538919,8.97290046723,0.000676970721546,10.5079395398
CG4238,9.11657884274,8.01098294459,0.000676970721546,10.5079395398
hth,9.04668315255,1.39300237083,0.000760159209284,11.7991912465
LpR2,7.456062275,3.51311625195,0.000995695028697,15.4551782354
TyrRS,6.80476455882,0.0,0.00113640233548,17.6392370513
PVRAP,8.16205913364,5.62433725844,0.00116590237631,18.0971366851
regucalcin,7.45641172609,9.312325279,0.00121836740449,18.9114988526
CG5758,7.72556801746,0.0,0.00126291265293,19.6029301988
RNaseX25,7.55391920819,0.0,0.00130526710377,20.2603559847
plum,6.37910479509,0.0,0.00132692743138,20.5965675898
CG10527,7.56018384826,8.51487705944,0.00133721448484,20.7562432338
dpr3,2.62481722797,8.02125158295,0.00136666167891,21.2133225801
atms,0.0,6.93649940029,0.00136672541789,21.2143119366
Teh4,4.716024898,0.0,0.00142779274305,22.1621989576
mRpS18C,5.96590435426,4.43309576658,0.0015028760232,23.3276416321
CG7639,0.437398838392,7.90486973712,0.00157976558932,24.5211214775
hig,5.68671316601,8.89183012777,0.00177131609779,27.4943684699
Nmdar2,5.84924464139,7.53882365704,0.00190761839086,29.610052663
mgl,4.34589211371,0.0,0.00194175002269,30.1398438521
CG15630,7.50557899319,0.0,0.00205903263078,31.960304495
Trs31,6.3189669338,0.0,0.00209647825016,32.541535399
CG45186,8.49943324073,4.96029007595,0.00228994716263,35.5445598584
Alas,8.09930397645,4.41748592156,0.00250604271143,38.8987949668
Ccn,0.0,8.00316224723,0.0026641228572,41.3525149895
MED22,6.07662700489,0.0,0.00285052336252,44.245823633
Vps35,0.0,8.32561114878,0.00285052336252,44.245823633
l(1)10Bb,0.0,4.9403953517,0.00291155513335,45.1931587799
HP5,5.30368534834,0.0,0.0029371589306,45.5905809207
CG8216,9.42434927466,7.4308396044,0.00299439011492,46.4789233637
CG8909,4.42270783897,7.89789985502,0.00304947296561,47.3339193722
CG31475,0.0,7.83226352189,0.00307529397712,47.7347131128
Pex23,4.05857248483,0.0,0.00309625179863,48.0600204183
GXIVsPLA2,0.0,6.62460962171,0.00331651673921,51.4789728259
ppl,0.0,6.83364163976,0.00340824673532,52.9028058256
fws,2.51944222829,0.0,0.00352705120034,54.7468887317
stan,0.0,1.54698356708,0.00352705120034,54.7468887317
CG43861,0.599600076635,0.0,0.00352705120034,54.7468887317
twz,3.49035095947,0.0,0.00352705120034,54.7468887317
Unc-115b,0.591747022205,0.0,0.00352705120034,54.7468887317
beta3GalTII,2.45492932621,0.0,0.00352705120034,54.7468887317
CG10384,0.0,0.490381504102,0.00352705120034,54.7468887317
prt,1.7301192435,0.0,0.00352705120034,54.7468887317
CG33774,0.903994464025,0.0,0.00352705120034,54.7468887317
Vps53,4.34784170692,0.0,0.00359044554028,55.7308956763
ATPsynC,13.5240993967,13.8747758264,0.0036299774941,56.3445106633
MESK2,10.338321239,11.0085633732,0.0036299774941,56.3445106633
CG12155,6.39942462689,0.0,0.00364894251992,56.6388857942
CG8010,7.27420334566,0.0,0.00364894251992,56.6388857942
CG12004,3.39120100843,7.90047268405,0.00372253114903,57.7811284952
alpha-Man-Ia,4.76393220857,0.0,0.0040621522325,63.0527269528
CG5903,9.26012929837,10.0851293001,0.00430777905941,66.8653465602
fne,9.27005383475,7.68406416058,0.00430777905941,66.8653465602
Dhit,8.53931372755,7.3873395429,0.00430777905941,66.8653465602
CG4565,0.0,3.69293926264,0.00447257634231,69.4233299853
CG1104,0.0,6.45003989144,0.00451760512169,70.1222666989
sowah,0.0,6.71287333695,0.00451760512169,70.1222666989
tapas,0.0,7.27120904747,0.00494472589418,76.7520353295
mspo,6.09862331446,8.45172596627,0.00506374462822,78.5994441192
CG34380,8.49932930908,7.34844411224,0.00506374462822,78.5994441192
nmo,9.63111686728,8.77482882723,0.00509655249555,79.108687836
Max,6.87337489959,1.89599909715,0.00525425985974,81.5566215428
l(2)41Ab,0.0,3.14274255152,0.0053005570512,82.2752465487
Efa6,0.0,4.82928925688,0.00540745351568,83.9344934703
tsr,4.12892486968,0.0,0.00540745351568,83.9344934703
NitFhit,0.0,4.98177759013,0.00544425276621,84.5056914371
sfl,3.04103695748,0.0,0.00544425276621,84.5056914371
CG32392,0.0,4.40160486138,0.00544425276621,84.5056914371
CG10866,0.0,6.35907310707,0.00544425276621,84.5056914371
CG42271,0.0,6.38623974376,0.00544425276621,84.5056914371
bys,2.36065085077,0.0,0.00545841288083,84.7254847362
CG12950,1.30524923327,0.0,0.00545841288083,84.7254847362
beta4GalNAcTA,3.81436905943,0.0,0.00545841288083,84.7254847362
CG7357,6.29355208229,0.0,0.00545841288083,84.7254847362
CG10103,0.0,2.54804666219,0.00545841288083,84.7254847362
hppy,2.9142318832,7.84414305347,0.00569007744509,88.3213821027
CG42307,2.18398912141,0.0,0.00570910433234,88.6167174465
cact,7.55047145756,0.0,0.00586160832233,90.9838843792
p47,7.26903383113,0.0,0.00586160832233,90.9838843792
CR42491,4.03402085717,0.0,0.00586160832233,90.9838843792
nAChRalpha6,8.93980420515,8.10681038544,0.00601141270381,93.3091479885
TER94,9.34424426599,8.31220662406,0.00601141270381,93.3091479885
Arf79F,9.62392784151,9.05150694704,0.00601141270381,93.3091479885
Sep4,9.19378875639,8.45790023838,0.00601141270381,93.3091479885
CG16854,0.0,2.45139846816,0.00640153135102,99.3645696306
Myt1,6.43034394008,0.0,0.00640153135102,99.3645696306
BicD,0.0,2.16200951743,0.00640153135102,99.3645696306
x16,3.14882604626,0.0,0.00640153135102,99.3645696306
dati,7.9535543765,3.30563460641,0.0064228111727,99.6948750227
Aef1,5.72115689781,0.0,0.0064436900087,100.018956315
Hsp23,7.1833703044,0.0,0.0064649498014,100.348950817
Not1,0.0,6.08010565856,0.0064649498014,100.348950817
DIP-beta,0.0,6.58479590119,0.0064649498014,100.348950817
fred,0.0,1.74737824361,0.00663282670479,102.954736112
Hsp27,2.37234682016,0.0,0.00663282670479,102.954736112
rdgC,5.86219157197,0.0,0.0067947678321,105.46838629
pigeon,0.0,6.50161643573,0.0067947678321,105.46838629
maf-S,7.28393735628,6.14146849037,0.00686066545951,106.491249262
Adam,8.52700964465,7.30367755434,0.0069644785992,108.102636817
mCD8-GFP,11.9599203015,9.64594726988,0.0069644785992,108.102636817
CG8331,8.58154220931,7.6893785443,0.00702709940089,109.074636901
Hsp70Bb,6.48688318637,4.42340053998,0.00702709940089,109.074636901
Src42A,7.62903878081,6.88657137092,0.00705850305669,109.562084446
igl,11.9907240072,12.3195184152,0.00706898472796,109.724780947
HmgZ,8.85535453652,8.00012620544,0.00706898472796,109.724780947
REG,7.73692410928,1.72583059733,0.00732347214775,113.674934677
CG14591,9.07574132464,7.40318692283,0.00754608265317,117.130294943
CG8866,0.0,6.52418014724,0.00761334768996,118.174382844
bonsai,3.09931188453,7.49111869498,0.00763910951658,118.574257916
CG5674,3.13793545476,0.0,0.00781736611063,121.341156769
PAPLA1,6.31261002748,0.0,0.00781736611063,121.341156769
ebd2,0.0,3.685826602,0.00802528727053,124.568509013
CG12772,1.46136189687,0.0,0.00802528727053,124.568509013
Pde11,3.17205828538,8.34584065207,0.0081700454027,126.815444741
Fdh,0.0,0.0,0.00823657790279,127.848162207
CG5118,0.0,0.0,0.00823657790279,127.848162207
JIL-1,0.0,0.0,0.00823657790279,127.848162207
unc-45,0.0,0.0,0.00823657790279,127.848162207
Fhos,0.0,0.0,0.00823657790279,127.848162207
spri,0.0,0.0,0.00823657790279,127.848162207
SmD3,0.0,0.0,0.00823657790279,127.848162207
Coq2,0.0,0.0,0.00823657790279,127.848162207
CG32163,0.0,0.0,0.00823657790279,127.848162207
CG14857,0.0,0.0,0.00823657790279,127.848162207
CG30463,0.0,0.0,0.00823657790279,127.848162207
CG11123,0.0,0.0,0.00823657790279,127.848162207
CG13168,0.0,0.0,0.00823657790279,127.848162207
CR44816,0.0,0.0,0.00823657790279,127.848162207
cold,0.0,0.0,0.00823657790279,127.848162207
Sec63,0.0,0.0,0.00823657790279,127.848162207
dpr17,0.0,0.0,0.00823657790279,127.848162207
RpL34a,0.0,5.39790823903,0.0082400050643,127.901358608
rdgA,6.22571423469,5.27110136931,0.00827568991394,128.455258844
mura,6.86686336477,8.17924986526,0.00828746337493,128.638006506
Drep2,8.9199952104,9.73301653248,0.00828746337493,128.638006506
Hsp67Bc,10.7973463872,9.11176142491,0.00828746337493,128.638006506
CG6145,0.499343029751,8.56027498409,0.00860538725139,133.572820916
CG14946,7.86751773191,2.83123026635,0.00860538725139,133.572820916
dpr2,0.0,7.34647858019,0.00876529106594,136.054847926
