symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.58673873629,10.2209387724,1.80085268433e-05,0.279528353662
betaTub56D,11.879442611,10.0441167191,1.82922767695e-05,0.283932720016
Ac76E,7.58512494718,0.0,1.87923035691e-05,0.291694136
GV1,9.04857417956,0.0,3.03089062316e-05,0.470454842527
beat-VI,0.0,7.95849095854,6.2654363942e-05,0.972521037107
CG31997,2.26284957183,9.52775016536,6.92728397833e-05,1.07525301912
CG15537,10.7151034697,8.60192360967,0.000123103116411,1.91080657294
Ccn,0.0,8.00316224723,0.000128393684088,1.99292676441
CG32392,0.0,7.18999866144,0.000128393684088,1.99292676441
Hsp70Bb,6.48688318637,4.6924803012,0.000191538245668,2.97305664926
tinc,4.57021556781,0.0,0.000191695863289,2.97550318997
CG31676,7.8268126545,0.0,0.000191695863289,2.97550318997
mspo,4.41064178701,8.74673052075,0.000225527629852,3.50063987056
Irp-1A,8.20859833384,0.0,0.000259912350261,4.03435950075
CG31814,0.0,7.0628342157,0.000301562738535,4.68085682754
Fas3,7.56927577065,0.0,0.000302203756243,4.69080670441
PVRAP,8.22892325654,4.60273177745,0.000346567437383,5.37941976306
mCD8-GFP,11.8654206673,10.1518396375,0.000364765459768,5.66188946651
dpr6,0.0,8.77002820022,0.000400152907868,6.21117343593
dpr2,0.0,7.90841203583,0.000476968848332,7.40351046381
CG12484,0.0,7.43419982536,0.000490627225359,7.61551579203
Sulf1,6.75430592041,0.0,0.000595886334442,9.24934768321
klg,5.23224180291,7.97720549967,0.000644725598377,10.007430738
MESK2,10.1056990377,10.9864671945,0.000676970721546,10.5079395398
plum,4.54290207708,0.0,0.000792514928053,12.3014167132
regucalcin,7.60687183639,9.02733499975,0.00100248323755,15.5605448133
CR45160,1.82590111636,0.0,0.0010139646038,15.7387585801
l(1)10Bb,0.0,5.17644837477,0.00108495092142,16.8406082023
fabp,5.82784838659,0.0,0.00123829633922,19.2208357774
CG10674,5.62074269029,0.0,0.00135089837356,20.9686445544
dpr3,0.0,7.60285698197,0.00137316776791,21.3143100934
CG42389,1.52147895726,0.0,0.00142779274305,22.1621989576
oxt,3.28116137379,0.0,0.00142779274305,22.1621989576
CG10384,0.0,1.70282062062,0.00142779274305,22.1621989576
beat-IIb,0.0,3.2269099059,0.00142779274305,22.1621989576
Galphaq,0.0,0.918411629522,0.00142779274305,22.1621989576
CG34393,0.0,5.98906810917,0.00142779274305,22.1621989576
mura,6.6154261324,8.16630951755,0.00146972308396,22.8130417092
dpr1,0.0,7.31075389541,0.00163600897563,25.3941313198
CG31475,0.0,7.99247687326,0.0018668701386,28.9775582913
