symbol,medianA,medianB,pvalue,pvalue_adj
hth,9.34399940507,0.0,1.46238770616e-05,0.22699181975
CG42342,6.29909930193,10.1184863987,1.75893739454e-05,0.27302226238
beat-VI,0.0,7.96884873157,1.87923035691e-05,0.291694136
CG15537,10.9346375748,8.72088733784,2.34743628248e-05,0.364369059766
hppy,0.0,7.83621276092,3.98264953155e-05,0.618186860287
Ac76E,7.10571365346,0.0,6.2654363942e-05,0.972521037107
CG31676,9.33839255226,0.0,6.2654363942e-05,0.972521037107
CG31814,0.0,6.95013549208,6.53070589699e-05,1.01369616933
betaTub56D,11.5141283325,10.3905026839,7.78979465439e-05,1.20913192626
CG10527,7.5415999158,8.65993287208,0.000123103116411,1.91080657294
CG34402,0.0,6.78377895866,0.000148206009967,2.30045368671
CG31997,7.18786964791,9.70418345734,0.000186526072248,2.89525769344
CCKLR-17D3,7.66220461997,0.0,0.000191695863289,2.97550318997
regucalcin,7.45566734955,9.59989480367,0.000236135092723,3.66528890925
miple1,11.4660959856,10.9327178814,0.000238840864478,3.70728789844
plum,5.82302224431,0.0,0.000239209057348,3.71300298815
CG33543,9.50323445178,0.0,0.000313816746402,4.87106353765
PVRAP,8.11180483878,5.77881440195,0.000356065705973,5.52685188811
Gpdh,8.98816373268,10.1338905263,0.00045046779818,6.99216116335
CG34380,8.86814990083,6.98916189925,0.00045046779818,6.99216116335
Sulf1,6.41893026858,0.0,0.0004986200163,7.73957989301
mri,0.0,7.73669197363,0.000505276606553,7.84290348691
kar,0.0,0.948549721579,0.000542166280837,8.41550501115
fabp,6.68894701391,0.0,0.000722323516879,11.211905629
CG32392,0.0,7.18999866144,0.000741696486829,11.5126128686
Sep1,1.96631644353,7.83528958612,0.000787953959844,12.2306213647
MFS17,7.96081802379,5.55835676375,0.000824088988833,12.7915092847
Ank2,9.56139169184,8.89655717919,0.000826019728117,12.8214782198
klg,5.80982227734,8.11534670195,0.000995695028697,15.4551782354
Vps4,7.1779299367,4.05200569889,0.00107504485903,16.6868463018
CG5214,9.92057435686,11.0219073965,0.00121836740449,18.9114988526
dpr8,8.25878529644,5.6134098755,0.00121836740449,18.9114988526
bol,8.58140915141,7.41406099889,0.00121836740449,18.9114988526
GV1,7.73132719693,0.0,0.00126291265293,19.6029301988
mspo,2.50250883072,8.98828278229,0.00136666167891,21.2133225801
CG3803,1.40255085972,7.73290419716,0.00136666167891,21.2133225801
dpr13,0.0,5.84777006461,0.00138410255674,21.4840398857
CR44704,0.0,0.861358399629,0.00142779274305,22.1621989576
CG11788,0.0,6.86152766455,0.00142779274305,22.1621989576
spz,3.50983688369,0.0,0.00142779274305,22.1621989576
CG30463,0.0,2.24369606412,0.00142779274305,22.1621989576
Blos2,4.44847348933,0.0,0.00142779274305,22.1621989576
Sin,0.0,2.10016374288,0.00142779274305,22.1621989576
CG34393,0.0,5.98906810917,0.00156917424068,24.3567225639
CG43658,1.10684261968,7.09689333453,0.00165136891435,25.6325482885
CG7656,8.02024285961,7.2186113386,0.00176053230348,27.3269824146
CG6617,7.38646081931,0.960564831045,0.00179822645201,27.9120709882
CG31475,0.0,6.61910632037,0.00194175002269,30.1398438521
Vps35,0.0,8.47933303455,0.00201257007866,31.239112761
CG32262,0.0,6.09876509804,0.00209647825016,32.541535399
olf413,0.0,6.98362625221,0.00209647825016,32.541535399
Vha44,9.10138838443,9.93482716583,0.00213238245702,33.0988404978
roq,0.719318733165,5.19952686604,0.00216729483419,33.6407504163
Tailor,7.05328055197,0.0,0.00226897640886,35.2190518183
CG7565,8.24199515379,1.85452643435,0.0022921955282,35.5794589887
twf,7.77374697388,0.78419209231,0.0022921955282,35.5794589887
oaf,0.0,7.71741621483,0.00237647722609,36.8876795033
CG42541,7.72505547116,0.0,0.00237647722609,36.8876795033
Golgin84,7.03117083333,0.0,0.00237816800051,36.9139237038
CG14971,5.50342109533,0.0,0.00239300692391,37.1442534729
