symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,8.10215104992,5.13445780758e-06,0.0796970540892
plum,6.86835871039,0.0,1.60001094808e-05,0.248353699361
CG42342,6.84938971276,10.2808250142,1.80085268433e-05,0.279528353662
Ac76E,7.970785442,0.0,1.87923035691e-05,0.291694136
CG31814,0.0,7.39124486664,1.87923035691e-05,0.291694136
betaTub56D,11.6446199153,10.3298167427,2.34743628248e-05,0.364369059766
mspo,2.10514646768,9.15640310362,3.36991026146e-05,0.523077470784
hth,9.34399940507,0.0,4.58679335698e-05,0.711962064871
CG31676,8.72191224169,0.0,6.2654363942e-05,0.972521037107
GV1,7.98065736208,0.0,6.2654363942e-05,0.972521037107
CG15537,10.9295987294,8.60192360967,7.78979465439e-05,1.20913192626
CG31997,2.26284957183,9.41223316482,8.75151666445e-05,1.35841041666
klg,4.90512051924,8.29569321769,9.19345635454e-05,1.42700829535
PVRAP,8.33912049763,3.79691651737,9.19345635454e-05,1.42700829535
CG10527,7.37979215327,8.59060966443,9.80807368533e-05,1.52240919744
Fas3,7.32636550403,0.0,0.000188639994557,2.92806999551
CG31950,3.78613587718,0.0,0.000191695863289,2.97550318997
CG45186,8.5919445396,5.5287393154,0.00029277029605,4.54438053528
IA-2,10.6888869165,9.74679840791,0.000296021072947,4.59483909429
Sulf1,6.6604278368,0.0,0.000301562738535,4.68085682754
CG32392,0.0,5.95795768099,0.000308239766457,4.78449765495
regucalcin,7.56596385623,9.20195130466,0.000365740995907,5.67703173847
CG42540,10.1064282361,8.97290046723,0.00045046779818,6.99216116335
CG34393,0.0,6.33985682561,0.000542166280837,8.41550501115
CCKLR-17D3,7.66220461997,0.0,0.000542166280837,8.41550501115
CG7028,0.0,4.32792411086,0.000542166280837,8.41550501115
hppy,1.23744061781,7.83621276092,0.000560911060533,8.7064614816
Pmm45A,0.0,8.29026190973,0.000606251512059,9.41023597018
atms,0.0,5.73125833313,0.000614632174771,9.5403206168
CG33543,8.7773522152,0.0,0.000755145951111,11.7213754531
spi,8.44875346233,6.39383135261,0.00116590237631,18.0971366851
CG5758,7.19003627446,0.0,0.00126291265293,19.6029301988
Hsp68,0.0,6.38160173137,0.00132692743138,20.5965675898
Vps35,0.0,8.45380363554,0.00137316776791,21.3143100934
CG8839,2.01960763626,0.0,0.00142779274305,22.1621989576
IntS11,5.80164339644,0.0,0.00142779274305,22.1621989576
CG11788,0.0,3.44080277758,0.00142779274305,22.1621989576
Con,8.68865856928,7.20475984139,0.00147282307527,22.8611597743
CG31030,11.6334975073,11.1415450571,0.00147282307527,22.8611597743
TBC1D16,9.49590461065,8.43650577523,0.00177131609779,27.4943684699
TER94,9.37402139001,7.90248784352,0.00177491931746,27.5502976456
tinc,6.31382507347,0.0,0.0018610634418,28.8874267436
CG34402,0.0,5.40732669385,0.00194175002269,30.1398438521
CG8866,0.0,7.40238196347,0.00201257007866,31.239112761
CG34380,8.61174526693,6.98916189925,0.00211572035207,32.8402113049
CG6145,0.0,8.56027498409,0.00221073834775,34.3150806338
stau,8.21671011862,4.58919462329,0.00228994716263,35.5445598584
CG31388,0.0,7.40685723077,0.00242461696602,37.6349045466
CG12484,0.0,7.43419982536,0.00242461696602,37.6349045466
CG12004,5.53743398927,8.2594954712,0.00250604271143,38.8987949668
CG5466,8.66738051461,7.3650122425,0.00253472786605,39.3440459369
Alas,8.41657341874,5.54185387142,0.00254913889704,39.5677339598
nmo,9.45863608481,8.33639625339,0.0025539527125,39.6424540034
pros,10.0469694504,9.15975914849,0.0025539527125,39.6424540034
HPS1,1.65011951163,7.9379381062,0.00274804120397,42.6550955681
CG6195,0.0,7.79693059362,0.00286910496103,44.534247205
beat-IIb,0.0,5.59226919497,0.0029371589306,45.5905809207
hig,6.35340327461,8.30446563039,0.00304394018393,47.248039535
CG3257,11.1521412722,9.86297018137,0.00304947296561,47.3339193722
CG34370,8.64880597491,7.30863073706,0.00304947296561,47.3339193722
CG15630,7.55810060665,0.0,0.00309625179863,48.0600204183
CG42747,7.46775393678,0.446020708581,0.00311817639929,48.4003340699
CG10672,1.05807999078,7.42190749659,0.00328417982783,50.9770392876
CG7841,0.0,7.37468779733,0.00344965301637,53.54551412
CG12541,0.0,4.85019002237,0.00344965301637,53.54551412
CG44098,0.0,8.19450193886,0.00344965301637,53.54551412
Mpc1,5.86243442683,8.13824873552,0.00350437791695,54.3949540269
CG14529,0.708340687155,0.0,0.00352705120034,54.7468887317
CG10384,0.0,2.39146129782,0.00352705120034,54.7468887317
Unc-115b,0.591747022205,0.0,0.00352705120034,54.7468887317
fred,0.0,0.523492865445,0.00352705120034,54.7468887317
Syx8,0.0,1.07254538768,0.00352705120034,54.7468887317
CG4565,0.0,1.03495847289,0.00352705120034,54.7468887317
