symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.53288033861,10.2598504172,1.82210136462e-05,0.282826573817
betaTub56D,11.879442611,10.2262946779,1.82922767695e-05,0.283932720016
fabp,6.67298788728,0.0,3.58926629413e-05,0.557125914175
mspo,0.0,8.91478661422,4.01279246574e-05,0.622865646532
CG15537,10.9346375748,8.82187464635,4.86728378236e-05,0.755499788697
CG31814,0.0,7.36286509232,5.07461880929e-05,0.787682331577
Ac76E,7.47554723852,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.96884873157,6.2654363942e-05,0.972521037107
PVRAP,8.33912049763,1.9016866979,8.75151666445e-05,1.35841041666
CG31997,3.05175074134,9.48450822756,0.000173095085209,2.68678191261
CG31676,8.0748229587,0.0,0.000191695863289,2.97550318997
CG32392,0.0,6.52099421274,0.00019433835008,3.01651986994
Fas3,7.24805788633,0.0,0.000376532512733,5.84453766264
Sulf1,6.90606133673,0.0,0.000376532512733,5.84453766264
GV1,7.63126819019,0.0,0.000401100451324,6.22588120545
CCKLR-17D3,7.22022289908,0.0,0.000542166280837,8.41550501115
beat-Va,4.75658495264,0.0,0.000542166280837,8.41550501115
miple1,11.4754804156,10.9327178814,0.00055308909204,8.58504888665
CG12541,0.0,6.10869309175,0.000741696486829,11.5126128686
klg,5.41206046755,8.11534670195,0.000818314149943,12.7018722354
Ca-alpha1T,7.97297210735,0.669389385775,0.000927243614384,14.3926753825
hppy,0.445835460815,7.48771848555,0.00107504485903,16.6868463018
Madm,0.0,7.26871721273,0.00108495092142,16.8406082023
Max,6.7524462553,0.0,0.00112871004054,17.5198372493
mCD8-GFP,11.8654206673,9.53228978724,0.00116590237631,18.0971366851
NaPi-III,7.69272298978,9.41933323534,0.00121571023979,18.870254342
CG34393,0.0,6.33985682561,0.00126291265293,19.6029301988
Lerp,0.0,5.10781999489,0.00126291265293,19.6029301988
CG6145,0.0,7.53300378927,0.00126291265293,19.6029301988
beat-IIb,0.0,2.18341725053,0.00142779274305,22.1621989576
NFAT,0.0,1.20523145982,0.00142779274305,22.1621989576
Coq2,2.58003533734,0.0,0.00142779274305,22.1621989576
fred,0.0,2.71486588448,0.00142779274305,22.1621989576
CG34356,1.30411046735,0.0,0.00142779274305,22.1621989576
Nmdar2,5.30560331298,6.95465040077,0.00146044673523,22.6690542243
regucalcin,7.70652923785,9.59989480367,0.00146972308396,22.8130417092
CG43658,0.0,7.81020225539,0.00157976558932,24.5211214775
dpr6,0.0,8.77002820022,0.00163600897563,25.3941313198
DIP-beta,0.0,6.97408409341,0.00166511987523,25.8459907033
CG7565,8.49749460181,1.85452643435,0.00179822645201,27.9120709882
tinc,6.32522354262,0.0,0.0018610634418,28.8874267436
CG12484,0.0,8.32100863467,0.00201257007866,31.239112761
dpr2,0.0,7.35264756383,0.00205903263078,31.960304495
betaCOP,0.0,7.8783210443,0.00209647825016,32.541535399
ATPsynbeta,13.1093417484,12.6815371714,0.00213238245702,33.0988404978
Trx-2,6.12571769409,7.5959424612,0.00213238245702,33.0988404978
CG34380,9.17820454656,6.2480390713,0.00254913889704,39.5677339598
plum,3.66750221046,0.0,0.00255244743278,39.6190890516
Gpdh,8.98568673476,10.0809875184,0.0025539527125,39.6424540034
CG10527,7.67742295794,8.59060966443,0.0025539527125,39.6424540034
Ca-beta,0.0,5.26411028424,0.0026641228572,41.3525149895
Hsp70Bb,6.28334530354,4.11245665935,0.00274041277185,42.5366870446
dpr3,0.0,7.86207992634,0.0027480089233,42.6545945074
CG13532,7.80492790456,0.0,0.00285052336252,44.245823633
CG42271,0.0,7.62721859548,0.00291155513335,45.1931587799
CG31950,4.9424901188,0.0,0.00292094333165,45.3388823938
RanBPM,7.055311282,2.40092643685,0.00293985221537,45.632386087
CG13220,8.58848318141,7.82327144628,0.00304394018393,47.248039535
ATPsynC,13.5662573735,13.9186275313,0.00304947296561,47.3339193722
ND-13A,7.64187368489,8.43726351048,0.00304947296561,47.3339193722
ND-B12,9.06419579395,8.23745604633,0.00304947296561,47.3339193722
7B2,10.4848674159,9.39719538195,0.00304947296561,47.3339193722
hth,8.80349143939,1.39300237083,0.00328417982783,50.9770392876
CG15202,6.39606899069,0.0,0.00340824673532,52.9028058256
oaf,0.0,7.62895342979,0.00340824673532,52.9028058256
Sec63,1.6424252357,0.0,0.00352705120034,54.7468887317
CG7766,0.0,1.01051638597,0.00352705120034,54.7468887317
CG10384,0.0,0.490381504102,0.00352705120034,54.7468887317
Nup107,2.70417909362,0.0,0.00352705120034,54.7468887317
AsnRS-m,2.43458240033,0.0,0.00352705120034,54.7468887317
CG14372,0.0,2.03200119925,0.00352705120034,54.7468887317
Usp16-45,0.0,1.61337637888,0.00352705120034,54.7468887317
CG10616,0.0,1.90403338171,0.00352705120034,54.7468887317
CG17493,7.18383602586,8.48177791407,0.0036299774941,56.3445106633
CG10960,8.13716504136,6.64963667161,0.0036299774941,56.3445106633
CG32104,0.0,3.60988081804,0.00364894251992,56.6388857942
LeuRS-m,0.0,7.79626028396,0.00364894251992,56.6388857942
CG33774,2.6461474767,0.0,0.00364894251992,56.6388857942
CG7506,0.0,4.94146686325,0.00383068638571,59.4599140789
CG6966,0.0,5.89278197662,0.00398864969176,61.9118205154
CG6724,0.0,3.03574149776,0.00447257634231,69.4233299853
CG34402,0.0,4.57045525031,0.00447257634231,69.4233299853
CG11317,0.0,6.35691780613,0.00447257634231,69.4233299853
Eip71CD,0.0,5.001314945,0.00478027785591,74.1994728795
CG33543,8.74334559878,0.0,0.00478027785591,74.1994728795
RpL11,6.64746681594,0.0,0.00478027785591,74.1994728795
CR12842,6.24268914195,0.0,0.00494472589418,76.7520353295
CG42709,7.86051976083,5.18232818758,0.00506374462822,78.5994441192
Syn,7.61949658577,6.23098094621,0.00508834087578,78.9812270738
CG42540,10.2257153334,9.20668735932,0.00509655249555,79.108687836
