symbol,medianA,medianB,pvalue,pvalue_adj
Ac76E,7.58512494718,0.0,9.33764556343e-06,0.144938934436
CG42342,6.29942743085,10.2598504172,1.80085268433e-05,0.279528353662
CG31997,2.26284957183,9.47259337847,2.6333192812e-05,0.408743818827
regucalcin,7.22812767673,9.50045027222,4.69932122786e-05,0.729428640989
CG45186,8.62510156507,6.12093143522,4.86728378236e-05,0.755499788697
CG15537,10.7537574758,8.45421407759,4.86728378236e-05,0.755499788697
beat-VI,0.0,7.2493506179,6.2654363942e-05,0.972521037107
CG31814,0.0,7.06776569599,6.2654363942e-05,0.972521037107
CG31676,8.58988999226,0.0,6.2654363942e-05,0.972521037107
Ccn,0.0,8.62863929358,0.00011600356004,1.80060725894
GV1,8.51985169305,0.0,0.00011600356004,1.80060725894
PVRAP,8.30320825617,1.89522981947,0.000138338286964,2.14728689026
betaTub56D,11.3963319647,10.2431569119,0.000192101013517,2.98179193182
Hsp70Bb,6.46815053472,4.37497546906,0.00029277029605,4.54438053528
mCD8-GFP,12.2071909614,9.82921466882,0.00029277029605,4.54438053528
14-3-3zeta,11.1840518145,10.7027068433,0.00045046779818,6.99216116335
RpL34a,0.0,6.01177740168,0.000468514203725,7.27227747022
CG32392,0.0,6.52099421274,0.000505276606553,7.84290348691
CR44987,0.0,2.46884306486,0.000542166280837,8.41550501115
CG12484,0.0,8.63039023255,0.000608105492195,9.43901344985
Fas3,7.62376931597,0.0,0.000884060424462,13.7223859085
CG31475,0.0,8.05664823559,0.000919774599492,14.2767413333
CG14669,0.0,5.6709350761,0.000924738753125,14.353794926
hth,8.42096920758,0.0,0.000924738753125,14.353794926
miple1,11.4030105715,11.0135503974,0.00100475242783,15.5957671848
hppy,2.9142318832,7.53024529782,0.00107504485903,16.6868463018
Not1,0.0,6.08010565856,0.00112880308385,17.5212814675
tinc,7.0815203022,0.0,0.00112880308385,17.5212814675
RpS10b,3.96576971648,7.02422952141,0.00120776019566,18.746853757
Ubc2,6.78875181897,0.0,0.00135089837356,20.9686445544
Mmp2,2.79361948626,0.0,0.00142779274305,22.1621989576
CG34402,0.0,3.9838375734,0.00142779274305,22.1621989576
CG10527,7.66057972054,8.78791857444,0.00161411225715,25.0542504554
RNaseX25,7.40715445169,0.0,0.00161732083694,25.1040540309
ATPsynC,13.6209240231,13.8725618119,0.00177491931746,27.5502976456
Ubr3,2.49502714611,7.07323001849,0.00209086789089,32.4544514023
fwe,7.0320953615,5.52534963194,0.00213238245702,33.0988404978
beat-IIb,0.0,5.7639851639,0.00228171554653,35.4167887132
CG15236,0.0,5.06294076656,0.00239300692391,37.1442534729
CG6724,0.0,4.59309959555,0.00239300692391,37.1442534729
CG2059,5.33652952249,0.0,0.00239300692391,37.1442534729
CG9586,4.80424152022,0.0,0.00252281894047,39.159195594
Src42A,7.3616096905,6.10177866117,0.00253472786605,39.3440459369
CG4238,9.33842994137,7.63059502557,0.00253472786605,39.3440459369
CG43658,4.91032285492,7.69494661401,0.00253472786605,39.3440459369
ValRS,0.0,7.2256224992,0.00255244743278,39.6190890516
GCS1,0.0,7.96154209645,0.00286910496103,44.534247205
DIP-beta,0.0,6.96022498211,0.00291155513335,45.1931587799
CG14411,0.0,7.59924865806,0.0029371589306,45.5905809207
Nmdar2,2.64484622014,7.26839534764,0.00293985221537,45.632386087
RpII15,6.53324234771,0.0,0.00309625179863,48.0600204183
CR42491,5.13358092184,0.0,0.00319987388694,49.6684424731
l(3)03670,8.67603810955,7.63863379798,0.00332244042047,51.5709202066
CG10804,0.0,3.65917121551,0.00344965301637,53.54551412
Sulf1,6.90606133673,0.0,0.00348497681177,54.0938100723
thoc7,7.41246406733,5.00875268855,0.00350437791695,54.3949540269
CCKLR-17D3,3.56271658433,0.0,0.00352705120034,54.7468887317
CG32547,0.0,1.24852829468,0.00352705120034,54.7468887317
twz,3.00736867431,0.0,0.00352705120034,54.7468887317
CG8549,0.0,0.43857106277,0.00352705120034,54.7468887317
Jra,0.0,1.12395735006,0.00352705120034,54.7468887317
CG3500,0.0,1.48601561037,0.00352705120034,54.7468887317
ena,0.444663920862,0.0,0.00352705120034,54.7468887317
CG34393,0.0,2.83719662952,0.00352705120034,54.7468887317
Uvrag,0.47658944794,0.0,0.00352705120034,54.7468887317
msn,0.477089538452,0.0,0.00352705120034,54.7468887317
Tango14,0.0,1.70052609082,0.00352705120034,54.7468887317
Galphaq,0.0,0.490381504102,0.00352705120034,54.7468887317
Trxr-1,7.19059532359,9.41111563881,0.00362364234065,56.2461764115
Cp1,7.64055812369,6.99957083142,0.0036299774941,56.3445106633
VhaAC39-1,11.3054381065,10.6472611629,0.0036299774941,56.3445106633
CG1718,0.0,6.8771307326,0.00364894251992,56.6388857942
twe,3.28453843155,0.0,0.00364894251992,56.6388857942
Csk,0.0,4.44022760088,0.00374224898317,58.0871887168
CG31388,0.0,7.22393312121,0.00398864969176,61.9118205154
pyd,6.56354734729,0.0,0.0040621522325,63.0527269528
FoxP,4.80795153046,0.0,0.0040621522325,63.0527269528
7B2,10.2887070791,9.46587381329,0.00430777905941,66.8653465602
plx,4.18891536927,0.446020708581,0.00442947100501,68.7542489398
CG13995,0.0,2.83326541843,0.00447257634231,69.4233299853
Eip55E,7.78259563435,0.0,0.00450661135093,69.9516213891
CG9855,0.0,5.52365792083,0.00451760512169,70.1222666989
CG34015,6.30883245849,0.0,0.00457076610572,70.9474314929
scaf6,6.39854134255,0.0,0.00478027785591,74.1994728795
CR44030,3.82433254988,0.0,0.00493654540271,76.6250577408
CG7506,0.0,6.96701382561,0.00494472589418,76.7520353295
mspo,5.27775560923,8.93683117233,0.00501472614484,77.8385792202
TM4SF,12.5704099004,12.0436997813,0.00509655249555,79.108687836
