symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,4.49493914797,10.1184863987,1.69078033979e-05,0.262442924342
CG15537,11.0749585188,9.26767829693,3.82914473375e-05,0.594359845572
PVRAP,8.39288146607,1.89522981947,5.46570872633e-05,0.848387308501
beat-VI,0.0,7.59038652799,6.2654363942e-05,0.972521037107
CG31814,0.0,7.16623958819,7.08433523144e-05,1.09963051462
CG12484,0.0,8.34674368431,7.41699466527e-05,1.15126591194
Ac76E,7.75279121936,0.0,0.00011600356004,1.80060725894
CG31997,5.31460031317,9.21179152227,0.000181067514352,2.81052995777
mCD8-GFP,12.1405840777,9.82921466882,0.000186526072248,2.89525769344
CG31676,7.8268126545,0.0,0.000191695863289,2.97550318997
betaTub56D,11.3963319647,10.3298167427,0.000192101013517,2.98179193182
Ccn,0.0,8.37929916011,0.000254836523736,3.95557252143
CG10527,6.99331331457,8.65993287208,0.000265258790082,4.11734693965
hppy,0.0,7.53024529782,0.000323022914551,5.01396167967
klg,5.23224180291,7.86939716241,0.000346567437383,5.37941976306
regucalcin,7.56596385623,8.68519810136,0.000365740995907,5.67703173847
GV1,7.34807954072,0.0,0.000401100451324,6.22588120545
CG4168,7.1305132861,2.33891196094,0.000410945679018,6.37869882972
Hsp70Bb,6.63593194691,4.37497546906,0.000547573038485,8.49942870336
CG42540,10.1796604238,8.88020488533,0.00055308909204,8.58504888665
miple1,11.3849110961,10.9346548664,0.00055308909204,8.58504888665
Nmdar2,5.5938418395,7.53882365704,0.000670439238374,10.406557858
plum,6.3366851723,0.0,0.000742842896261,11.5304074358
atms,0.0,7.92621543638,0.000746008722863,11.5795473963
mspo,5.47476912061,8.83118640944,0.000806842561265,12.523810236
scaf6,7.83921584845,0.0,0.000912230265352,14.1596381788
hth,9.04668315255,2.21828810399,0.000959980575337,14.9008184904
Src42A,7.51300750605,6.31753758538,0.00100248323755,15.5605448133
CG45186,8.62510156507,6.68077953757,0.00121836740449,18.9114988526
CG6154,0.0,4.53779810007,0.00122388950565,18.9972129066
CG6621,5.54497086814,0.0,0.00126291265293,19.6029301988
Sulf1,6.90606133673,0.0,0.00132692743138,20.5965675898
CG5674,5.41002277127,0.0,0.00138410255674,21.4840398857
CG12004,4.31291573845,7.81735494489,0.00141157064903,21.9103996143
Coq2,2.58003533734,0.0,0.00142779274305,22.1621989576
CCKLR-17D3,6.6835182249,0.0,0.00142779274305,22.1621989576
stau,6.56873852324,0.0,0.00157976558932,24.5211214775
pyd,5.75779089388,2.99636791608,0.00170367355559,26.4444209299
dpr3,5.66535996252,8.03673343187,0.00170367355559,26.4444209299
CG3257,11.0675894857,10.2729690014,0.00177491931746,27.5502976456
DIP-beta,0.0,6.96022498211,0.00201257007866,31.239112761
kdn,0.0,5.63900228177,0.00226897640886,35.2190518183
Ubc2,6.39292362503,1.26576963327,0.0022921955282,35.5794589887
CG33543,8.89769739238,0.0,0.00237647722609,36.8876795033
fabp,6.40018637608,0.0,0.00242461696602,37.6349045466
Cdc27,6.24069210937,0.0,0.00252281894047,39.159195594
dpr8,7.93286068545,6.29309456105,0.0025539527125,39.6424540034
Rpt2,8.43511717663,5.39435315622,0.00274041277185,42.5366870446
eIF3-S9,0.0,8.03534300419,0.00292094333165,45.3388823938
Myt1,5.47377127392,0.0,0.0029371589306,45.5905809207
mtd,7.8996962854,5.26013932814,0.00304394018393,47.248039535
CG6115,8.30119220556,9.21263402795,0.00304947296561,47.3339193722
tinc,5.32060514255,0.0,0.00309625179863,48.0600204183
CG13850,0.0,7.94376105808,0.00348497681177,54.0938100723
CR45190,0.0,0.446020708581,0.00352705120034,54.7468887317
beat-IIb,0.0,0.985523729535,0.00352705120034,54.7468887317
CG13919,0.44159108324,0.0,0.00352705120034,54.7468887317
lili,0.0,0.99066796755,0.00352705120034,54.7468887317
CG34393,0.0,2.83719662952,0.00352705120034,54.7468887317
CG32176,0.0,2.14535250049,0.00352705120034,54.7468887317
CG12772,0.44159108324,0.0,0.00352705120034,54.7468887317
beg,2.77600788033,0.0,0.00352705120034,54.7468887317
otk,0.0,2.1845330878,0.00352705120034,54.7468887317
Socs16D,0.53159905215,0.0,0.00352705120034,54.7468887317
14-3-3zeta,11.1166408103,10.5771556682,0.0036299774941,56.3445106633
Dgk,0.0,5.41317192795,0.00364894251992,56.6388857942
CG32104,0.0,3.60988081804,0.00364894251992,56.6388857942
Not1,0.0,4.64234899288,0.00373444360938,57.9660337047
spir,9.70676686433,5.97612379863,0.00388846980714,60.3568283465
Usp47,4.8614309942,0.0,0.00398864969176,61.9118205154
jeb,4.28590275029,6.90051539424,0.0042357913158,65.7479528038
TER94,9.22761413094,8.19837386208,0.00430777905941,66.8653465602
CG4238,8.96302119067,7.95899465758,0.00430777905941,66.8653465602
ATPsynC,13.5459362092,13.8725618119,0.00430777905941,66.8653465602
CG11396,0.0,5.23479799963,0.00437130777888,67.8514393438
EndoGI,5.14679350721,0.0,0.00450661135093,69.9516213891
Fas3,6.51474818239,0.0,0.00478027785591,74.1994728795
dpr2,0.0,7.66376215838,0.00493654540271,76.6250577408
RpL34a,0.0,5.55445612812,0.00494472589418,76.7520353295
hdc,5.32685454851,0.0,0.00494472589418,76.7520353295
CG16758,8.67749230247,10.0376701534,0.00501472614484,77.8385792202
brp,9.56645108624,8.06190366476,0.00509655249555,79.108687836
bic,6.11281204378,8.59339666858,0.00509655249555,79.108687836
CG11752,7.54061361468,8.22942366437,0.00509655249555,79.108687836
CG32392,0.0,5.95795768099,0.00540745351568,83.9344934703
CG42699,6.7995488949,0.0,0.00543592854447,84.3764828673
Ddr,5.35860165773,0.0,0.00543592854447,84.3764828673
DIP-delta,2.57486336808,0.0,0.00545841288083,84.7254847362
nAChRalpha1,0.0,3.16781604656,0.00570910433234,88.6167174465
GlyRS,0.0,7.9316817759,0.00570910433234,88.6167174465
CG13054,9.173148721,6.01420073572,0.00582677971481,90.4432747333
CG2246,9.15212998081,6.9039349652,0.00597427122471,92.7326379499
CG33090,10.204485249,8.51571353194,0.00601141270381,93.3091479885
dpr1,2.22069672922,7.4805029194,0.00621296200904,96.4375963044
prt,6.13649333778,0.0,0.00640153135102,99.3645696306
CG42747,7.73940964883,0.446020708581,0.00649274409288,100.78037381
