symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.001676529,10.3820259198,1.75893739454e-05,0.27302226238
tinc,5.80576328953,0.0,1.87923035691e-05,0.291694136
beat-VI,0.0,7.8033993752,1.87923035691e-05,0.291694136
Ac76E,7.36212103593,0.0,1.87923035691e-05,0.291694136
betaTub56D,11.4250819998,10.0441167191,2.34743628248e-05,0.364369059766
CG15537,10.9295987294,8.40825271113,2.34743628248e-05,0.364369059766
PVRAP,8.11571142199,0.0,6.44528980183e-05,1.00043788304
Ccn,0.0,7.91726886871,7.08433523144e-05,1.09963051462
CG31814,0.0,7.02516109025,8.37425492817e-05,1.29985184995
dpr3,1.6081434175,8.09702984766,0.000138338286964,2.14728689026
regucalcin,7.56596385623,9.70987267892,0.000153557237674,2.38351544317
Hsp70Bb,6.59336176078,4.51322027883,0.000153557237674,2.38351544317
CG31676,7.50949433801,0.0,0.000191695863289,2.97550318997
CG43324,9.18522159823,8.41048049583,0.000192101013517,2.98179193182
CG31997,5.31460031317,9.3620707457,0.000225527629852,3.50063987056
mCD8-GFP,12.1893495896,9.82921466882,0.000236135092723,3.66528890925
B52,8.41447342286,6.5873167512,0.000238840864478,3.70728789844
Fas3,7.62376931597,0.0,0.000239209057348,3.71300298815
GV1,7.41210735154,0.0,0.000401100451324,6.22588120545
hppy,0.0,7.15592173989,0.0004986200163,7.73957989301
CG5516,3.62683255067,0.0,0.000542166280837,8.41550501115
CG13532,7.93936158193,0.0,0.00054836409405,8.51170746785
fwe,7.39296542293,5.192308927,0.00055308909204,8.58504888665
Ubc2,6.14152051245,0.0,0.000608105492195,9.43901344985
klg,5.41206046755,8.36686968418,0.000670439238374,10.406557858
mspo,4.6076552984,8.91478661422,0.000787953959844,12.2306213647
Cow,6.80805071309,8.42510327562,0.000826019728117,12.8214782198
EndoGI,3.12754908685,0.0,0.000986770339198,15.316649205
CR44704,0.0,0.987357386336,0.000986770339198,15.316649205
14-3-3zeta,11.1181785154,10.5771556682,0.00100475242783,15.5957671848
CG10527,7.46994965691,8.57886938482,0.00110438931751,17.1423309864
CG43658,0.915318068785,7.71615774276,0.00112748770879,17.5008642158
CG32392,0.0,6.23049477896,0.00113640233548,17.6392370513
fidipidine,0.0,6.71911197479,0.00126291265293,19.6029301988
CG42389,1.97146532714,0.0,0.00142779274305,22.1621989576
fred,0.0,4.01902721865,0.00142779274305,22.1621989576
CG12484,0.0,6.91171563488,0.00148723147035,23.0848068828
CG33543,9.39123911567,0.0,0.00161732083694,25.1040540309
CG45186,8.62510156507,6.85749426107,0.00177491931746,27.5502976456
CG11191,8.85642307752,4.84857655356,0.00211572035207,32.8402113049
hig,5.50903703137,8.94419667802,0.00212820989586,33.0340740036
7B2,10.524801744,9.38471576018,0.00213238245702,33.0988404978
hth,8.11450675498,0.82528573317,0.0022921955282,35.5794589887
CG1812,0.0,4.91128627961,0.00239300692391,37.1442534729
CR45160,1.44942536993,0.0,0.00252281894047,39.159195594
CG3625,10.3726935077,9.95819967965,0.0025539527125,39.6424540034
CG2371,7.07229074944,0.0,0.00309625179863,48.0600204183
CG3295,0.0,7.70353673736,0.00350254619339,54.3665220138
CG32683,1.3590712397,0.0,0.00352705120034,54.7468887317
CG5118,0.0,0.459629942773,0.00352705120034,54.7468887317
CCKLR-17D3,3.12080164057,0.0,0.00352705120034,54.7468887317
CG34402,0.0,2.18246783195,0.00352705120034,54.7468887317
CG13392,0.0,1.91270020644,0.00352705120034,54.7468887317
CG11755,0.70779613488,0.0,0.00352705120034,54.7468887317
CR43242,0.0,0.93102587473,0.00352705120034,54.7468887317
Nmdar2,5.89587187567,7.48713390619,0.00360467167913,55.9517138034
Bacc,9.22406516484,10.1558563,0.0036299774941,56.3445106633
CG3257,10.9752196887,10.1502675779,0.0036299774941,56.3445106633
CG12155,5.06704476517,0.0,0.00364894251992,56.6388857942
twe,3.28453843155,0.0,0.00364894251992,56.6388857942
CG31475,0.0,8.0920392322,0.00373444360938,57.9660337047
HP5,5.15891913743,0.0,0.00374224898317,58.0871887168
CG42747,8.07181597162,0.0,0.00383068638571,59.4599140789
CG7506,0.462200998909,6.33067516724,0.00391260416836,60.7314419014
CG8004,7.16658798257,0.0,0.00398864969176,61.9118205154
eIF-4B,5.26061029257,4.49124409013,0.00427891027272,66.4172452531
RpS19a,6.20458496016,7.15323651098,0.00430777905941,66.8653465602
mRpS31,4.95402589929,0.0,0.00437130777888,67.8514393438
Gip,0.0,5.12256120364,0.00447257634231,69.4233299853
CG8012,0.0,5.33631841175,0.00447257634231,69.4233299853
Dlip2,0.0,4.82409679461,0.00450661135093,69.9516213891
jet,3.59082268022,0.0,0.00451760512169,70.1222666989
Cdc27,4.63159887212,0.0,0.00451760512169,70.1222666989
Not1,0.0,3.78376738403,0.00451760512169,70.1222666989
CR12842,6.29814595568,0.0,0.00482617982151,74.9119631895
dpr2,0.0,7.90841203583,0.00493654540271,76.6250577408
REG,7.85063074747,0.0,0.00494472589418,76.7520353295
FoxP,3.95149650079,0.0,0.00494472589418,76.7520353295
ATPsynC,13.5101374589,13.8562321281,0.00509655249555,79.108687836
ND-18,8.67468118446,9.44563258937,0.00509655249555,79.108687836
BtbVII,4.62902958877,0.0,0.00544425276621,84.5056914371
CG15630,5.62575616826,0.0,0.00544425276621,84.5056914371
Dnz1,0.0,7.76852331649,0.00544425276621,84.5056914371
CG6191,0.0,2.13618025159,0.00545841288083,84.7254847362
Ubqn,0.0,5.85169134841,0.00570910433234,88.6167174465
TM4SF,12.3512670329,11.9176327583,0.00601141270381,93.3091479885
Hsp67Bc,10.3122090126,9.035726893,0.00601141270381,93.3091479885
Sulf1,6.90606133673,0.0,0.00623102589102,96.7179838804
Gr28b,6.28779567849,0.0,0.00653613018271,101.453812696
Nopp140,0.0,2.78456352577,0.0067947678321,105.46838629
dati,7.35472037859,1.82957186124,0.00686066545951,106.491249262
CG42541,7.11136775865,0.0,0.00692625716683,107.509363743
CG14480,6.83020150629,0.0,0.00692625716683,107.509363743
Rab2,8.48750706137,7.34298191612,0.00702709940089,109.074636901
CG4168,6.04053835982,1.3330225589,0.00732347214775,113.674934677
CG6154,0.0,4.19846052561,0.00770143730756,119.541709888
CG32176,0.0,5.02206751541,0.00781736611063,121.341156769
Galphaq,0.0,1.64742865644,0.00802528727053,124.568509013
beat-Va,5.25838899726,0.0,0.00802528727053,124.568509013
Fhos,0.0,0.0,0.00823657790279,127.848162207
CG6006,0.0,0.0,0.00823657790279,127.848162207
Det,0.0,0.0,0.00823657790279,127.848162207
CR45190,0.0,0.0,0.00823657790279,127.848162207
CG31098,0.0,0.0,0.00823657790279,127.848162207
CG10413,0.0,0.0,0.00823657790279,127.848162207
mRpL11,0.0,0.0,0.00823657790279,127.848162207
Atg10,0.0,0.0,0.00823657790279,127.848162207
CG34393,0.0,0.0,0.00823657790279,127.848162207
l(3)j2D3,0.0,0.0,0.00823657790279,127.848162207
CG43861,0.0,0.0,0.00823657790279,127.848162207
CG8152,0.0,0.0,0.00823657790279,127.848162207
MTA1-like,0.0,0.0,0.00823657790279,127.848162207
CG8043,0.0,0.0,0.00823657790279,127.848162207
CG31251,0.0,0.0,0.00823657790279,127.848162207
ldlCp,0.0,0.0,0.00823657790279,127.848162207
RpL11,6.64078828699,0.0,0.0082400050643,127.901358608
CG10674,5.53732537239,0.0,0.00826542146736,128.295872016
Src42A,7.42470107806,6.3807328436,0.00827568991394,128.455258844
Syn,7.81842184392,5.54242656636,0.00963401099964,149.539118736
Itp-r83A,0.0,1.41229759056,0.00966848626792,150.074243851
elm,9.13592514481,8.51039136636,0.0096866596658,150.356331332
Drep2,8.88501696763,9.67943719129,0.0096866596658,150.356331332
ps,10.481640148,11.1078129079,0.0096866596658,150.356331332
MESK2,10.338321239,11.0085633732,0.0096866596658,150.356331332
CG11873,6.64402178881,0.0,0.00970929361144,150.707655437
IleRS,0.0,3.43524014494,0.00974606052132,151.278351412
CR46078,0.0,0.493792078473,0.00974606052132,151.278351412
Rpi,2.66439613817,0.0,0.00974606052132,151.278351412
CG8516,3.45878396798,0.0,0.00974606052132,151.278351412
CG32473,2.00123255533,0.0,0.00974606052132,151.278351412
CG14777,7.54048532919,4.49913257304,0.00997795713259,154.877850612
CG12975,3.87299104194,6.00730194958,0.0104769505192,162.623225958
CG8891,5.56673866011,0.0,0.010524821166,163.366274139
aPKC,1.37108453594,5.81683134625,0.0107784465374,167.303047153
Rgk1,3.23150465919,0.0,0.010812027636,167.824292966
mRpS18C,5.76841459092,0.0,0.0108968262449,169.140536974
spir,9.62971863728,4.18824440013,0.010995767115,170.676297159
sowah,0.0,6.17539588235,0.0110568859277,171.62498337
CG5674,2.13745572207,0.0,0.0110568859277,171.62498337
plum,4.84546192834,0.0,0.0112199271545,174.155709292
CG34380,8.9636164599,7.64258449241,0.0112293518472,174.301999373
Msp300,8.74260097091,8.10204239331,0.0112880312616,175.212821242
nAChRalpha3,6.8484099824,8.26097607854,0.0112880312616,175.212821242
CG8861,9.87912997575,9.32754066044,0.0112880312616,175.212821242
Hexo1,7.90464840749,0.0,0.0113892126512,176.783358771
Rpb12,0.0,4.53846136713,0.0114025301101,176.990072369
CG6406,0.0,7.39499391625,0.0114025301101,176.990072369
beat-IIb,0.0,3.2269099059,0.0115984223418,180.030711589
Bgb,7.69269421188,5.0599241477,0.0116342743551,180.58720654
CG6724,0.0,2.36870702507,0.011783775848,182.907768713
Ubr1,0.513240566905,0.0,0.011783775848,182.907768713
Blos2,1.34440262167,0.0,0.011783775848,182.907768713
CG1968,0.0,2.58309291714,0.011783775848,182.907768713
CG10188,0.0,3.68275085705,0.0121614578309,188.770148451
CG17163,8.1263024956,3.35039262835,0.0122129533629,189.569462099
CG13054,8.85134725986,6.46336390242,0.0127900973043,198.527890357
Arp3,8.29685834828,7.26779517135,0.0130495525571,202.555154792
CG4238,9.08874194821,7.77372982832,0.0130495525571,202.555154792
Ptp99A,5.41155666477,3.41082833546,0.0130983982427,203.313337523
Trp1,6.80924909373,8.28905605892,0.0130983982427,203.313337523
CG11752,7.42673444705,8.10476703181,0.0131146939174,203.566278986
fne,8.67140811173,8.27282420406,0.0131146939174,203.566278986
Oaz,8.3821801315,9.35334298575,0.0131146939174,203.566278986
CG6439,10.231224566,10.6273315853,0.0131146939174,203.566278986
RpLP2,7.57898497341,6.55321285041,0.0131146939174,203.566278986
igl,11.9120584071,12.1247809118,0.0131146939174,203.566278986
Mob2,8.7451501848,9.66459324021,0.0131146939174,203.566278986
tay,3.81341874048,0.0,0.0131707186202,204.435894423
Vps4,6.5423158186,0.0,0.013304503679,206.512506106
insv,0.0,4.28725269621,0.0138544332379,215.048512718
CG11396,0.0,2.92425655104,0.0138544332379,215.048512718
l(3)03670,8.76607268898,7.49037343463,0.0141030413397,218.907407675
mle,0.0,1.91270020644,0.0141814401924,220.124314667
Upf3,0.0,0.454757643106,0.0141814401924,220.124314667
CG10194,7.43453423103,0.0,0.0142000564574,220.413276333
l(2)35Be,5.23534104111,0.0,0.0142000564574,220.413276333
GXIVsPLA2,0.0,5.94162409705,0.0149637184723,232.266838127
Elk,5.45920454143,0.0,0.0149637184723,232.266838127
thoc7,7.50851209554,3.46569956776,0.0150115469035,233.009231036
nolo,8.72785215499,6.17735907116,0.0151193855559,234.683102598
CG17385,8.91129654956,8.48683533966,0.0151733946934,235.521432431
Ih,9.40521396274,9.98424945862,0.0151914109883,235.80108136
ND-13A,7.69257865302,8.43726351048,0.0151914109883,235.80108136
CG6115,8.11518009004,8.98204531602,0.0151914109883,235.80108136
Tsp66E,10.4205899893,10.9313871532,0.0151914109883,235.80108136
PAPLA1,3.40962926157,0.0,0.0154063337215,239.137112025
Vps35,0.0,7.63377682138,0.0155706873687,241.688209337
CG14806,4.86096640993,7.34406649215,0.0156735875468,243.285425902
CG4596,6.89801248534,9.00317921971,0.0161428625289,250.569512174
mtd,7.93739078053,7.09837928121,0.0163128059337,253.207373704
Con,8.71373800035,4.25832564153,0.0163128059337,253.207373704
Ten-m,8.05615942786,0.78419209231,0.0164434596991,255.235381449
swi2,1.9005552145,0.0,0.0166995540422,259.210477843
Dap160,7.28799658524,2.97929621345,0.0168539850237,261.607555538
lili,0.0,0.99066796755,0.0169881050876,263.68936717
tant,1.45702875137,0.0,0.0169881050876,263.68936717
CG42699,7.06630596124,3.45992773845,0.0171092355205,265.569553749
CG9391,6.98047371779,3.81600826225,0.0171489874888,266.186583801
Mob4,8.93044072873,7.63157266601,0.0173464574665,269.251712796
Wbp2,7.19730347647,5.84423965103,0.0174652427277,271.095497619
qkr58E-2,7.99639261155,7.06578282854,0.0174652427277,271.095497619
mod(mdg4),8.7703702669,7.61913935406,0.0174652427277,271.095497619
CR43898,0.0,1.30614102139,0.0175102859776,271.794658944
LpR2,7.86382504297,5.79832220257,0.0175247198723,272.018701858
IscU,9.04136280483,9.35398879911,0.017544558047,272.326630006
Tace,9.25422718159,7.94761453151,0.017544558047,272.326630006
RpS6,8.97614863954,8.46495280373,0.017544558047,272.326630006
CG18815,9.94731704794,9.36078074344,0.017544558047,272.326630006
CG13398,0.0,7.64855683118,0.0176348348428,273.72790643
SP2353,6.25351379355,0.0,0.0181055099237,281.033725035
CG9253,4.59855074754,0.0,0.0181055099237,281.033725035
CG7857,6.55647920838,0.0,0.0182672287128,283.54392408
dpr13,0.0,3.57069745533,0.0182672287128,283.54392408
spri,0.0,0.0,0.0183437214739,284.731244718
ab,0.0,0.0,0.0183437214739,284.731244718
CG11788,0.0,0.0,0.0183437214739,284.731244718
CG9650,0.0,0.0,0.0183437214739,284.731244718
CG15385,0.0,0.0,0.0183437214739,284.731244718
CG13667,0.0,0.0,0.0183437214739,284.731244718
PIG-C,0.0,0.0,0.0183437214739,284.731244718
CG18528,0.0,0.0,0.0183437214739,284.731244718
E(var)3-9,0.0,0.0,0.0183437214739,284.731244718
osp,0.0,0.0,0.0183437214739,284.731244718
CG12134,0.0,0.0,0.0183437214739,284.731244718
CG10444,0.0,0.0,0.0183437214739,284.731244718
woc,0.0,0.0,0.0183437214739,284.731244718
CG12121,0.0,0.0,0.0183437214739,284.731244718
Mtor,0.0,0.0,0.0183437214739,284.731244718
