symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.53255220969,10.3836224461,1.82210136462e-05,0.282826573817
Ac76E,7.58512494718,0.0,1.87923035691e-05,0.291694136
CG31814,0.0,7.16623958819,3.92892831811e-05,0.609848253538
CG15537,10.8165530097,8.55596224321,4.86728378236e-05,0.755499788697
CG31676,7.50949433801,0.0,6.2654363942e-05,0.972521037107
beat-VI,0.0,7.91371940961,6.2654363942e-05,0.972521037107
Sulf1,7.03919724698,0.0,6.27394017787e-05,0.973840994409
Nmdar2,5.50037367403,7.34585854581,9.68279741405e-05,1.50296381461
regucalcin,7.41893741138,9.37097122214,9.77664335981e-05,1.51753058231
betaTub56D,11.3125303532,10.3905026839,9.80807368533e-05,1.52240919744
CG9855,0.0,6.21421875148,0.000148206009967,2.30045368671
PVRAP,8.05641860828,0.0,0.000162360448308,2.52015887864
GV1,7.98065736208,0.0,0.000191695863289,2.97550318997
CG33543,9.50323445178,0.0,0.000202898452929,3.14938978637
hth,9.21409576925,0.0,0.000232858915968,3.61443609366
CG31997,6.38536025189,9.63827279813,0.000236135092723,3.66528890925
plum,4.65101457122,0.0,0.000302203756243,4.69080670441
mtd,8.32749888488,4.59658728651,0.000364765459768,5.66188946651
hppy,0.0,7.10429307748,0.0004986200163,7.73957989301
CCKLR-17D3,7.46051033295,0.0,0.000542166280837,8.41550501115
Fas3,6.81350651996,0.0,0.000634034528259,9.84148394764
CG13532,8.00144580289,0.445696984452,0.000722323516879,11.211905629
Ccn,0.0,7.91726886871,0.000884060424462,13.7223859085
mCD8-GFP,12.1584254495,10.0898314103,0.000982205636211,15.2457958853
klg,5.23224180291,8.18652316844,0.000982205636211,15.2457958853
Hsp70Bb,6.50890648864,4.64405523027,0.000995695028697,15.4551782354
14-3-3zeta,11.3001260468,10.5771556682,0.00100475242783,15.5957671848
CG10527,7.46994965691,8.46072158614,0.00110438931751,17.1423309864
fabp,6.44111332009,0.0,0.00111189349193,17.2588107817
Max,6.87337489959,0.0,0.00111189349193,17.2588107817
mspo,5.47476912061,8.89150946257,0.00120776019566,18.746853757
stau,6.69586846445,2.99125967181,0.00124181627851,19.275472275
CG32392,0.0,6.52099421274,0.00125050505117,19.4103394042
beat-Va,5.25838899726,0.0,0.00126291265293,19.6029301988
NK7.1,6.91171791763,1.87200134872,0.00141157064903,21.9103996143
CG34402,0.0,5.04293553701,0.00142779274305,22.1621989576
CG42747,8.07181597162,0.0,0.00166511987523,25.8459907033
CG7337,0.0,6.54199479163,0.00171566764987,26.6305932612
eIF-4B,5.44307672209,4.08484136503,0.00177131609779,27.4943684699
CG34370,8.45459252854,6.959719872,0.00177491931746,27.5502976456
miple1,11.4673849949,10.9327178814,0.00177491931746,27.5502976456
tinc,5.79436482038,0.0,0.0018610634418,28.8874267436
CG12484,0.0,7.5758565385,0.00201257007866,31.239112761
CG5674,4.72944658681,0.0,0.00205903263078,31.960304495
SsRbeta,5.06377553628,0.0,0.00209647825016,32.541535399
CG45186,8.30752717879,7.01804372581,0.00213238245702,33.0988404978
DIP-beta,0.0,6.96022498211,0.00221073834775,34.3150806338
PEK,6.98372939902,0.0,0.00226897640886,35.2190518183
CG11317,0.0,5.80920456127,0.00239300692391,37.1442534729
CG32428,7.44394499412,0.0,0.00242461696602,37.6349045466
Src42A,7.60341371945,6.10177866117,0.00254913889704,39.5677339598
Con,9.08808176985,6.87577196117,0.0025539527125,39.6424540034
Not1,0.0,6.63145965267,0.0027480089233,42.6545945074
stck,0.0,4.36010282722,0.00286910496103,44.534247205
nolo,8.818928485,6.17735907116,0.00304394018393,47.248039535
CG42540,10.1064282361,9.36756035199,0.00304947296561,47.3339193722
swi2,2.28287567723,0.0,0.00307529397712,47.7347131128
Acyp2,5.28259636786,0.0,0.00344965301637,53.54551412
CG10384,0.0,1.21243911652,0.00352705120034,54.7468887317
CG12772,0.74162923505,0.0,0.00352705120034,54.7468887317
CG34393,0.0,0.82363806736,0.00352705120034,54.7468887317
CG11788,0.0,2.85584478524,0.00352705120034,54.7468887317
fred,0.0,0.523492865445,0.00352705120034,54.7468887317
Mmp2,0.516342110665,0.0,0.00352705120034,54.7468887317
CG4627,1.5434601843,0.0,0.00352705120034,54.7468887317
Atg10,0.0,1.0834672217,0.00352705120034,54.7468887317
Tango14,0.0,1.70052609082,0.00352705120034,54.7468887317
fwe,7.70017559644,5.92602424138,0.0036299774941,56.3445106633
bic,5.8484182146,8.19646889803,0.0036299774941,56.3445106633
CG32206,0.0,1.54485804288,0.00364894251992,56.6388857942
CG10413,4.02759599118,0.0,0.00364894251992,56.6388857942
5-HT1A,5.89862045319,0.0,0.00364894251992,56.6388857942
CG4662,7.70946914841,2.31701553707,0.00372253114903,57.7811284952
CG14024,9.71378162255,7.17278988828,0.00388846980714,60.3568283465
atms,0.0,5.47626504826,0.00415787213509,64.5384912809
Atg18a,7.55327347881,0.0,0.00418611821577,64.9769269452
RpS6,8.95827371001,8.44704875735,0.00430777905941,66.8653465602
TER94,9.22761413094,7.95521822478,0.00430777905941,66.8653465602
CG1812,0.0,3.16999331171,0.00447257634231,69.4233299853
Tango13,0.0,5.97660926988,0.00447257634231,69.4233299853
CR44704,0.0,0.861358399629,0.00447257634231,69.4233299853
Rab40,3.85608257515,0.0,0.00447257634231,69.4233299853
Blos2,3.5001485581,0.0,0.00447257634231,69.4233299853
CG2371,6.24006514585,0.0,0.00447257634231,69.4233299853
Eip71CD,0.0,3.38006229929,0.00447257634231,69.4233299853
CG10188,0.0,2.92852692963,0.00450661135093,69.9516213891
CG15630,7.50557899319,0.0,0.00450661135093,69.9516213891
Dip-C,4.25860096615,0.0,0.00450661135093,69.9516213891
CG2162,0.0,5.46237728368,0.00451760512169,70.1222666989
CG12006,7.54055895448,0.0,0.00451760512169,70.1222666989
Bgb,7.69269421188,6.3346521144,0.00461059787865,71.5657002724
mRpL27,5.01352603046,6.44688683284,0.00461059787865,71.5657002724
CG32276,7.54731135758,5.43579875819,0.00493354571083,76.5784965235
glo,8.06242543608,4.98372243006,0.00508834087578,78.9812270738
nmo,9.56143618929,8.77482882723,0.00509655249555,79.108687836
Ktl,9.62998856423,10.6451243892,0.00509655249555,79.108687836
CG14657,8.29532588724,2.62704375048,0.00525425985974,81.5566215428
Pp2B-14D,5.8236038293,0.0,0.00544425276621,84.5056914371
CG12034,8.26606824759,0.0,0.00544425276621,84.5056914371
CG12004,1.6424252357,8.12997135937,0.00550127178673,85.3907406736
Eph,5.37758185255,0.68757833922,0.00569007744509,88.3213821027
CG42271,0.0,7.5344883097,0.00570910433234,88.6167174465
Socs36E,4.52727469432,0.0,0.00587556329273,91.2004934297
CG42541,7.38734626422,0.0,0.00592082091217,91.9029821987
ST6Gal,10.9285402544,10.1441627397,0.00601141270381,93.3091479885
CG31637,8.2912788785,2.09079469077,0.00617968770751,95.9211125959
CG10635,0.437398838392,5.80348504593,0.00621296200904,96.4375963044
beat-IV,7.33443175464,0.0,0.00640153135102,99.3645696306
CG7506,0.0,6.48631733215,0.0064436900087,100.018956315
Rpb11,4.79226415956,0.0,0.0064649498014,100.348950817
CG17337,8.3419096952,1.60696008715,0.00649274409288,100.78037381
dpr6,3.23063469077,8.45464785977,0.00649274409288,100.78037381
CG9410,7.3742963425,2.2958526209,0.00649274409288,100.78037381
Tailor,5.86261320629,0.0,0.00653613018271,101.453812696
CG42389,1.97146532714,0.0,0.00663282670479,102.954736112
CG15236,0.0,3.24082486269,0.00663282670479,102.954736112
oaf,5.89249505711,7.91680819147,0.00686066545951,106.491249262
Qtzl,5.93309218642,3.82970464768,0.00686066545951,106.491249262
Ptpa,7.32729741138,0.0,0.00696973433282,108.184216314
CG5758,7.72556801746,0.0,0.00696973433282,108.184216314
RpLP2,7.67685747734,6.5862504147,0.00706898472796,109.724780947
Nmdar1,0.516342110665,7.90149822816,0.00732347214775,113.674934677
put,5.48406393391,0.0,0.00740310196334,114.910948675
CG2246,9.51012002196,7.24849641049,0.00754608265317,117.130294943
Ca-alpha1T,7.84877153672,1.90403338171,0.00763910951658,118.574257916
Rpn3,7.21813820374,4.9157939601,0.00763910951658,118.574257916
l(2)35Be,5.19960829872,0.0,0.00770023265441,119.523011262
koko,6.25288563666,0.0,0.00770023265441,119.523011262
thoc6,4.24631585812,0.0,0.00770143730756,119.541709888
Trs23,0.0,4.05211238684,0.00781736611063,121.341156769
CG16854,0.0,1.69394621012,0.00802528727053,124.568509013
MTA1-like,1.20403068903,0.0,0.00802528727053,124.568509013
Atxn7,2.88757837608,0.0,0.00802528727053,124.568509013
T-cp1,8.17597553693,0.0,0.00815814803603,126.630773815
CG10444,0.0,0.0,0.00823657790279,127.848162207
beta4GalNAcTA,0.0,0.0,0.00823657790279,127.848162207
CR45874,0.0,0.0,0.00823657790279,127.848162207
CG32075,0.0,0.0,0.00823657790279,127.848162207
CG34376,0.0,0.0,0.00823657790279,127.848162207
Vang,0.0,0.0,0.00823657790279,127.848162207
Mys45A,0.0,0.0,0.00823657790279,127.848162207
CR45999,0.0,0.0,0.00823657790279,127.848162207
sn,0.0,0.0,0.00823657790279,127.848162207
CG9650,0.0,0.0,0.00823657790279,127.848162207
POSH,0.0,0.0,0.00823657790279,127.848162207
Nup107,0.0,0.0,0.00823657790279,127.848162207
CG14857,0.0,0.0,0.00823657790279,127.848162207
CG30463,0.0,0.0,0.00823657790279,127.848162207
dpr13,0.0,6.09214247969,0.0082400050643,127.901358608
ND-13A,7.87460553631,8.41393680176,0.00828746337493,128.638006506
Act5C,10.4468358555,9.48362360406,0.00828746337493,128.638006506
CG42732,7.72999908636,1.6277258746,0.00860538725139,133.572820916
Ddr,7.06178849983,0.53259974323,0.0089600468541,139.077847269
CG8031,7.26637538245,0.0,0.00896604537191,139.170956263
CG6966,0.0,4.07361959553,0.00914149983987,141.894360514
pall,7.07259325645,0.0,0.00914149983987,141.894360514
CG34383,4.27505395084,0.0,0.00914149983987,141.894360514
Bap60,0.0,7.08924690045,0.00914149983987,141.894360514
pic,4.03690001895,0.0,0.00922543868928,143.197259335
Tl,0.0,1.68227543714,0.00922543868928,143.197259335
dpr3,4.23296064547,7.98053273458,0.00922986119094,143.265905406
Non1,0.0,7.37309095916,0.00931456777471,144.580720999
Hsp23,6.62022053631,0.0,0.00931456777471,144.580720999
CG14971,5.59099110994,0.0,0.00931456777471,144.580720999
CG5466,8.52304116087,7.624706641,0.00955525089186,148.316604343
kar,0.0,0.900778351687,0.00966848626792,150.074243851
CG13384,0.0,4.51550175856,0.00966848626792,150.074243851
ksh,0.0,1.21500481917,0.00966848626792,150.074243851
ATPsynD,10.747989052,11.1343942405,0.0096866596658,150.356331332
Ank2,9.6433691667,8.82242514192,0.0096866596658,150.356331332
bun,9.83601503548,8.92345285826,0.0096866596658,150.356331332
