symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.75747165329,10.2598504172,1.82922767695e-05,0.283932720016
CG31676,9.08585387243,0.0,1.87923035691e-05,0.291694136
Ac76E,7.75279121936,0.0,3.92892831811e-05,0.609848253538
beat-VI,0.0,7.2493506179,6.2654363942e-05,0.972521037107
CG31997,0.0,8.98666735411,6.44528980183e-05,1.00043788304
CG15537,10.669553252,8.82187464635,7.78979465439e-05,1.20913192626
CG12484,0.0,8.63039023255,9.38526806308e-05,1.45678130875
betaTub56D,11.7859729739,10.0585303057,9.80807368533e-05,1.52240919744
Fas3,7.56927577065,0.0,0.000105103273193,1.6314130065
CG31814,0.0,7.06776569599,0.000106995032231,1.66077689029
GV1,8.35468001457,0.0,0.00011600356004,1.80060725894
PVRAP,8.22892325654,1.89522981947,0.000138338286964,2.14728689026
beat-IIb,0.0,5.7639851639,0.000191695863289,2.97550318997
CG2059,5.71101905356,0.0,0.000191695863289,2.97550318997
dpr2,0.0,7.82885767998,0.000302203756243,4.69080670441
mspo,2.30549531933,8.83118640944,0.000332648759751,5.16337404885
hppy,0.445835460815,7.53024529782,0.000388399919053,6.02874354353
CG7506,0.0,6.96701382561,0.000403173249831,6.25805518388
aPKC,0.0,6.27840157579,0.0004791681021,7.43764728079
dpr3,0.0,8.02125158295,0.0004986200163,7.73957989301
CCKLR-17D3,8.177379142,0.0,0.000542166280837,8.41550501115
klg,4.40782189658,7.86487506125,0.000644725598377,10.007430738
CG10527,7.63183410714,8.78791857444,0.000826019728117,12.8214782198
Vps35,0.0,8.32561114878,0.000884060424462,13.7223859085
CG14480,7.20038293158,0.0,0.000924738753125,14.353794926
CG4238,9.24605620259,7.65007259293,0.000995695028697,15.4551782354
regucalcin,7.68562168799,9.70987267892,0.00100475242783,15.5957671848
CG17193,6.78302259768,0.0,0.00126291265293,19.6029301988
hth,9.34399940507,0.0,0.00135089837356,20.9686445544
CG43658,0.915318068785,7.8085355298,0.00136666167891,21.2133225801
CG34393,0.0,5.98906810917,0.00142779274305,22.1621989576
CG3065,0.0,5.425912335,0.00142779274305,22.1621989576
CG4168,6.95749850832,0.0,0.00166511987523,25.8459907033
CG31475,0.0,8.0920392322,0.0018668701386,28.9775582913
stau,6.69586846445,0.0,0.00201257007866,31.239112761
CG34380,9.1955094925,7.64258449241,0.00212820989586,33.0340740036
ND-13A,7.48076343208,8.15384808524,0.00213238245702,33.0988404978
Ubr3,0.0,6.89285450878,0.00237647722609,36.8876795033
CR42491,4.32263807521,0.0,0.00237816800051,36.9139237038
VhaAC45,9.90230683683,10.6598456667,0.0025539527125,39.6424540034
hig,7.26169410033,9.11048152374,0.0025539527125,39.6424540034
Prosalpha7,7.23285647364,0.0,0.0026641228572,41.3525149895
CG2063,7.13911802095,0.0,0.0027480089233,42.6545945074
CG32392,0.0,6.52099421274,0.0027480089233,42.6545945074
RNaseX25,7.2240905623,0.0,0.00291155513335,45.1931587799
Hsp70Bb,5.91738767032,4.11245665935,0.00299439011492,46.4789233637
Src42A,7.44991611849,6.10177866117,0.0030273744898,46.9909068306
Myb,7.63449250491,3.40874160195,0.0031244049632,48.4970138387
drl,7.13858237221,0.0,0.00344965301637,53.54551412
CG13654,8.46256269814,0.0,0.00348497681177,54.0938100723
Sulf1,6.70655668116,0.0,0.00348497681177,54.0938100723
CG11134,0.0,1.83236124707,0.00352705120034,54.7468887317
Sec63,0.96535553174,0.0,0.00352705120034,54.7468887317
CG8012,0.0,1.96987879425,0.00352705120034,54.7468887317
twe,1.99074202443,0.0,0.00352705120034,54.7468887317
CG32683,1.3590712397,0.0,0.00352705120034,54.7468887317
beta4GalNAcTA,2.09748698872,0.0,0.00352705120034,54.7468887317
CG13919,0.44159108324,0.0,0.00352705120034,54.7468887317
twz,3.03781345333,0.0,0.00352705120034,54.7468887317
Fhos,0.0,1.91270020644,0.00352705120034,54.7468887317
CG4164,1.7215958641,0.0,0.00352705120034,54.7468887317
Uvrag,1.09949684529,0.0,0.00352705120034,54.7468887317
CG6762,0.0,5.92937256649,0.00364894251992,56.6388857942
Blos2,4.58787185965,0.0,0.00364894251992,56.6388857942
beta3GalTII,6.80803769678,0.0,0.00373444360938,57.9660337047
CG31224,3.48642643908,0.0,0.00374224898317,58.0871887168
rad,0.0,5.63980409706,0.0040621522325,63.0527269528
GCS1,0.0,7.96154209645,0.0041336439511,64.162421409
CG42271,0.0,7.62721859548,0.0041336439511,64.162421409
Sec22,7.76107910192,0.0,0.0041336439511,64.162421409
Tsp42Ek,1.85504851578,7.22784663143,0.00430055266134,66.7531784093
Nsf2,0.0,2.91464205224,0.00447257634231,69.4233299853
Cdc27,2.36525220306,0.0,0.00447257634231,69.4233299853
Pp2B-14D,6.69690176449,0.0,0.00450661135093,69.9516213891
Ccn,0.761769364135,8.25575051256,0.00464668781242,72.1258882244
CG6724,0.0,7.87329424678,0.00478027785591,74.1994728795
CG3793,8.29250883528,3.273978661,0.00493354571083,76.5784965235
Ubc2,6.12527631314,0.0,0.00493654540271,76.6250577408
mCD8-GFP,11.4328816914,9.53228978724,0.00501472614484,77.8385792202
Hsp67Bc,10.723939011,9.1466090214,0.00509655249555,79.108687836
UGP,0.0,6.38728313738,0.00540745351568,83.9344934703
Mitf,0.0,0.947529495899,0.00545841288083,84.7254847362
CG45186,8.37518895033,6.14801712301,0.00552847790733,85.8130340775
CG8841,6.95909646105,0.0,0.00586160832233,90.9838843792
Nmdar2,6.23925322502,7.62263814653,0.00597427122471,92.7326379499
Ih,9.10882163837,9.83638935427,0.00601141270381,93.3091479885
