symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,8.07651577841,5.13445780758e-06,0.0796970540892
GV1,8.51985169305,0.0,7.09569794446e-06,0.110139423494
hth,9.34399940507,0.0,1.45213319843e-05,0.22540011506
CG42342,6.3415332251,10.1346389308,1.80085268433e-05,0.279528353662
CG31676,9.08987277464,0.0,1.87923035691e-05,0.291694136
Ac76E,7.52063337099,0.0,3.03089062316e-05,0.470454842527
CG15537,10.5210930292,8.30872127947,4.86728378236e-05,0.755499788697
CG4238,9.39816050087,7.54753189756,4.86728378236e-05,0.755499788697
atms,0.0,6.728980976,7.08433523144e-05,1.09963051462
CG33543,9.21973908728,0.0,7.41699466527e-05,1.15126591194
PVRAP,8.34669180681,2.70104507956,8.75151666445e-05,1.35841041666
CG10527,7.37979215327,9.02042738737,9.80807368533e-05,1.52240919744
CG31997,4.7712495475,9.48603299562,0.000144911179874,2.249311334
CG34380,8.86814990083,7.64258449241,0.000192101013517,2.98179193182
klg,2.32045688648,7.97720549967,0.000268413593425,4.16631579714
glob1,8.24305647716,0.0,0.000302203756243,4.69080670441
CG31814,0.0,7.02516109025,0.000302203756243,4.69080670441
betaTub56D,11.4250819998,10.4332591946,0.00045046779818,6.99216116335
Fas3,7.32636550403,0.0,0.000490627225359,7.61551579203
hppy,1.23744061781,7.15592173989,0.000560911060533,8.7064614816
Tailor,7.13092838789,0.0,0.000606251512059,9.41023597018
CG1657,5.41530100126,0.0,0.000634034528259,9.84148394764
CG31475,0.0,8.47471493699,0.000741696486829,11.5126128686
CG42540,10.1752538919,8.81229267151,0.00100475242783,15.5957671848
regucalcin,7.45641172609,9.50045027222,0.00120776019566,18.746853757
jeb,6.00810279652,7.65055606229,0.00121836740449,18.9114988526
Pmm45A,0.0,7.59248105814,0.00132692743138,20.5965675898
CG15630,7.55810060665,0.0,0.00138410255674,21.4840398857
CG34393,0.0,3.66083469688,0.00142779274305,22.1621989576
CCKLR-17D3,7.73146886827,0.0,0.00142779274305,22.1621989576
Galphaq,0.0,1.64742865644,0.00142779274305,22.1621989576
CG43861,1.30794076379,0.0,0.00142779274305,22.1621989576
POSH,0.0,1.99202960177,0.00142779274305,22.1621989576
CG10089,0.0,3.84195647436,0.00142779274305,22.1621989576
dpr2,0.0,7.60399426223,0.00161732083694,25.1040540309
CG12484,0.0,8.4647349832,0.00163600897563,25.3941313198
l(2)41Ab,0.0,5.09873893666,0.00169115023202,26.2500339014
GstE13,0.0,6.8075959818,0.00169115023202,26.2500339014
mspo,7.42747438439,9.05075834072,0.00176053230348,27.3269824146
CG32112,0.0,6.1911215841,0.00194175002269,30.1398438521
Gycalpha99B,10.9740549707,11.2402330444,0.00213238245702,33.0988404978
CG45186,8.37518895033,6.52023007284,0.00213238245702,33.0988404978
CG18135,0.0,7.77748574662,0.00237647722609,36.8876795033
CG9773,0.0,4.87830743194,0.00307529397712,47.7347131128
Grasp65,7.22170253666,0.0,0.00309625179863,48.0600204183
beat-Ia,7.8232428783,2.4342922719,0.00311817639929,48.4003340699
aPKC,0.0,6.66792514052,0.00340824673532,52.9028058256
Atg10,0.0,0.90367166453,0.00352705120034,54.7468887317
CG34376,0.814189480655,0.0,0.00352705120034,54.7468887317
CG7083,0.0,1.54062365204,0.00352705120034,54.7468887317
Fhos,0.0,0.523492865445,0.00352705120034,54.7468887317
sff,0.0,0.490381504102,0.00352705120034,54.7468887317
CG1227,0.0,1.12395735006,0.00352705120034,54.7468887317
CG9705,0.0,2.51313907327,0.00352705120034,54.7468887317
NLaz,0.0,3.5021954622,0.00352705120034,54.7468887317
AdSL,3.51695167349,0.0,0.00352705120034,54.7468887317
CG8839,0.437398838392,0.0,0.00352705120034,54.7468887317
msn,0.477089538452,0.0,0.00352705120034,54.7468887317
CG11788,0.0,0.584957992335,0.00352705120034,54.7468887317
CG32547,0.0,1.24852829468,0.00352705120034,54.7468887317
CG4565,0.0,3.14123765707,0.00359044554028,55.7308956763
pros,10.1005884953,9.14006437557,0.0036299774941,56.3445106633
Drep2,8.42443900829,9.44981552849,0.0036299774941,56.3445106633
plx,3.97040942286,0.0,0.00415787213509,64.5384912809
l(3)03670,8.72524978105,7.63863379798,0.00430777905941,66.8653465602
CG3257,10.9752196887,9.90242619447,0.00430777905941,66.8653465602
CR43898,0.0,1.20951066811,0.00447257634231,69.4233299853
Pde6,5.66602270521,0.0,0.00451760512169,70.1222666989
CG2063,6.91752970386,0.0,0.00451760512169,70.1222666989
GCS1,0.0,7.51783696978,0.00457076610572,70.9474314929
CG1109,5.15186437868,0.0,0.00478027785591,74.1994728795
CG13384,0.0,6.83282946891,0.00478027785591,74.1994728795
CG8311,0.0,7.66898121341,0.00478027785591,74.1994728795
CG14977,0.0,6.22085761924,0.00494472589418,76.7520353295
dpr6,0.0,8.95465287299,0.00494472589418,76.7520353295
CG8216,9.42434927466,8.1906047257,0.00509655249555,79.108687836
miple1,11.4660959856,11.0801886183,0.00509655249555,79.108687836
UGP,0.0,5.51924235649,0.0053005570512,82.2752465487
CG7427,0.0,7.23264076269,0.00543592854447,84.3764828673
Vps35,0.0,8.32561114878,0.00543592854447,84.3764828673
put,5.48406393391,0.0,0.00570910433234,88.6167174465
CG1814,2.74344997328,8.38146466112,0.00582677971481,90.4432747333
plum,5.71490975017,0.0,0.00587556329273,91.2004934297
CG32392,0.0,5.56149033026,0.00587556329273,91.2004934297
Ptpa,7.21074468399,0.0,0.00587556329273,91.2004934297
SmD2,7.74357274119,5.96783161454,0.00597427122471,92.7326379499
Sdc,8.50672540127,6.21821953127,0.00600211729593,93.1648646674
Cisd2,8.03933283908,8.84009396408,0.00601141270381,93.3091479885
Src42A,7.44991611849,6.3807328436,0.00601141270381,93.3091479885
Ostgamma,0.0,6.41511241801,0.0064436900087,100.018956315
CG5059,3.88726394121,0.0,0.00663282670479,102.954736112
Eph,5.178592802,0.421825026722,0.00670625474974,104.094486225
ValRS,0.0,7.35996358025,0.0067947678321,105.46838629
CG10188,0.0,3.36324616754,0.0067947678321,105.46838629
CG12541,0.0,6.36732591617,0.00700700427144,108.762720301
CG34370,8.45459252854,6.91407444007,0.00706898472796,109.724780947
CG2082,12.1643446317,11.6597841312,0.00706898472796,109.724780947
CG8032,3.15998227555,7.77274629262,0.00727208916095,112.877367956
CG33774,3.61172348058,0.0,0.00770023265441,119.523011262
cm,0.0,6.50852582905,0.00770023265441,119.523011262
CG11396,0.0,7.10774629829,0.00770143730756,119.541709888
cact,6.64671984309,0.0,0.00770143730756,119.541709888
5-HT1A,6.09189059108,0.0,0.00770143730756,119.541709888
beat-IIb,0.0,5.97566221415,0.00770143730756,119.541709888
Mulk,7.84520222735,0.523492865445,0.00787960493564,122.307227811
CG8728,8.26525696196,5.97889598379,0.00787960493564,122.307227811
fred,0.0,1.74737824361,0.00802528727053,124.568509013
rdgC,5.69907777807,0.0,0.00805893116142,125.090729488
CG6195,0.0,6.26253447564,0.00805893116142,125.090729488
CG42541,6.88735401488,0.0,0.00815814803603,126.630773815
Ripalpha,7.30777460971,0.0,0.00815814803603,126.630773815
CG8005,0.0,0.0,0.00823657790279,127.848162207
CR45597,0.0,0.0,0.00823657790279,127.848162207
JIL-1,0.0,0.0,0.00823657790279,127.848162207
Mmp2,0.0,0.0,0.00823657790279,127.848162207
