symbol,medianA,medianB,pvalue,pvalue_adj
CG31814,0.0,7.25885251691,5.13445780758e-06,0.0796970540892
CG42342,6.58641060736,10.1346389308,1.82210136462e-05,0.282826573817
CG10527,7.60521359827,8.43680871439,1.82922767695e-05,0.283932720016
beat-VI,0.0,7.64239028681,1.87923035691e-05,0.291694136
CG15537,10.8165530097,9.31440052049,3.82914473375e-05,0.594359845572
Ac76E,7.52063337099,0.0,3.92892831811e-05,0.609848253538
PVRAP,8.45122890743,1.89522981947,5.46570872633e-05,0.848387308501
CG45186,8.49898735175,6.0995357319,6.14635008328e-05,0.954036459927
CG31676,7.8268126545,0.0,6.2654363942e-05,0.972521037107
klg,4.40782189658,7.97587140353,7.28770520889e-05,1.13119760252
hth,8.93339507521,0.82528573317,8.75151666445e-05,1.35841041666
hppy,0.445835460815,7.79368594865,0.000129502823541,2.01014282701
miple1,11.4791469391,11.0801886183,0.000154022352814,2.39073496038
CG31997,4.7712495475,9.56599773539,0.000181067514352,2.81052995777
betaTub56D,11.3548574626,10.1396348471,0.000238840864478,3.70728789844
CG12484,0.0,8.34674368431,0.000252741572561,3.92305468928
mspo,5.07740675757,9.03360449204,0.000280015124478,4.34639476215
Sep1,1.08010769448,8.10187001986,0.000346567437383,5.37941976306
ppl,0.0,6.83364163976,0.000386116522864,5.99330066789
dpr2,0.0,8.20527913073,0.00039571968757,6.14236099045
GV1,7.63126819019,0.0,0.000401100451324,6.22588120545
plum,5.82302224431,0.0,0.000468514203725,7.27227747022
beat-IIb,0.0,3.43927969736,0.000542166280837,8.41550501115
regucalcin,7.60687183639,8.95326645119,0.00055308909204,8.58504888665
14-3-3zeta,11.1166408103,10.5630006062,0.00055308909204,8.58504888665
Jupiter,8.61066981667,9.64130447511,0.000676970721546,10.5079395398
CG32392,0.0,6.52099421274,0.000741696486829,11.5126128686
spir,9.66338812704,7.57974952787,0.000826019728117,12.8214782198
Ccn,0.0,8.54295248859,0.000884060424462,13.7223859085
CG7506,0.462200998909,6.48631733215,0.000927243614384,14.3926753825
pyd,6.56354734729,0.0,0.00107504485903,16.6868463018
atms,0.0,7.55447628375,0.00112871004054,17.5198372493
Vps35,0.0,8.2956728562,0.00112871004054,17.5198372493
CG4168,7.11342044297,3.05804898185,0.00116590237631,18.0971366851
hig,7.64025361549,9.04702805214,0.00121836740449,18.9114988526
CG31388,0.0,7.99200548208,0.00130526710377,20.2603559847
spi,8.43991987595,0.0,0.00137316776791,21.3143100934
ab,0.0,3.24139236922,0.00142779274305,22.1621989576
CG11885,0.0,2.36852927334,0.00142779274305,22.1621989576
CG5590,0.0,4.51607688771,0.00142779274305,22.1621989576
beat-IV,3.9229246624,0.0,0.00142779274305,22.1621989576
ATPsynC,13.6401202073,13.8725618119,0.00147282307527,22.8611597743
Sulf1,6.6604278368,0.0,0.00161732083694,25.1040540309
Ubc2,6.30716698426,2.81727351453,0.00170367355559,26.4444209299
CG34380,8.70318585165,6.50753816066,0.00177131609779,27.4943684699
akirin,8.21192915553,2.59103761384,0.00190593953565,29.5839934724
pins,0.0,7.5199151086,0.00194175002269,30.1398438521
Fas3,6.60057759662,0.0,0.00196453706682,30.4935443511
Kap3,0.0,8.25244901975,0.00197494511039,30.6550980034
RpL9,5.19987184562,7.3648437424,0.00209086789089,32.4544514023
Act5C,10.7051860379,9.88218015932,0.00213238245702,33.0988404978
l(1)G0156,10.6621878092,10.2485913343,0.00213238245702,33.0988404978
CG42699,7.06630596124,0.0,0.00221073834775,34.3150806338
Atg18a,8.22705224847,2.42422459606,0.0022921955282,35.5794589887
OstStt3,5.13627765092,0.0,0.00252281894047,39.159195594
Sec16,2.15876734637,0.0,0.00255244743278,39.6190890516
ATPsyngamma,11.5519186428,12.0224101182,0.0025539527125,39.6424540034
CG6115,8.26556993456,8.94913106279,0.0025539527125,39.6424540034
CG4238,9.00296205014,8.01098294459,0.0025539527125,39.6424540034
alpha-Man-Ia,4.64207123264,0.68757833922,0.00260376866526,40.4156972221
CG33543,9.21973908728,3.22308316757,0.00274804120397,42.6550955681
igl,12.0274796775,12.2144591151,0.00304947296561,47.3339193722
CG8498,6.44097538108,7.02786710618,0.00304947296561,47.3339193722
tinc,6.55615286427,0.0,0.00309625179863,48.0600204183
Tudor-SN,6.93460925863,0.0,0.00340824673532,52.9028058256
DIP-beta,0.0,7.14490257849,0.00348497681177,54.0938100723
Gk2,0.0,2.82538863929,0.00352705120034,54.7468887317
CG14764,0.0,2.46212084485,0.00352705120034,54.7468887317
CG12123,0.0,1.5427572986,0.00352705120034,54.7468887317
CCKLR-17D3,3.56271658433,0.0,0.00352705120034,54.7468887317
Nmdar2,5.24497087214,7.13289110732,0.00360467167913,55.9517138034
Gdi,9.03093721103,8.01228489796,0.0036299774941,56.3445106633
CG34393,0.0,6.3445630945,0.00364894251992,56.6388857942
CG1718,0.0,6.75356357649,0.00364894251992,56.6388857942
Mmp2,1.20233467538,0.0,0.00364894251992,56.6388857942
Pvf3,0.961006031527,6.53055939692,0.00372253114903,57.7811284952
bchs,0.0,4.73603883535,0.00373444360938,57.9660337047
CG10561,0.0,6.49739182632,0.00374224898317,58.0871887168
Rpb12,0.0,4.7128045893,0.00374224898317,58.0871887168
betaCOP,0.0,7.87171787135,0.00398864969176,61.9118205154
scaf6,7.47753812619,0.0,0.0040621522325,63.0527269528
PDCD-5,6.45422399673,0.0,0.00415787213509,64.5384912809
IA-2,10.6730445058,10.1050916407,0.00430777905941,66.8653465602
CG34402,0.0,4.57045525031,0.00447257634231,69.4233299853
Nmdar1,3.26528874762,8.25023013783,0.00481299234794,74.7072672248
CG5674,4.1563215281,0.0,0.00493654540271,76.6250577408
CG6454,0.0,7.42861604043,0.00493654540271,76.6250577408
CG14024,9.85588810618,7.44260158835,0.00508834087578,78.9812270738
Con,8.68865856928,6.378395912,0.00509655249555,79.108687836
CG42540,10.4348800011,9.05830475531,0.00509655249555,79.108687836
dpr1,3.62306075492,7.23986934313,0.00523521521884,81.2610106268
CG42747,8.07181597162,2.07439917165,0.00523521521884,81.2610106268
Neos,0.0,4.63779220948,0.0053005570512,82.2752465487
CG6443,0.0,7.53798995586,0.00543592854447,84.3764828673
CG9121,0.0,5.17902124653,0.00544425276621,84.5056914371
CG17883,5.24484674709,7.39124588348,0.00545010546949,84.5965370974
GlcT-1,0.0,2.76651053503,0.00545841288083,84.7254847362
Unc-115b,1.20233467538,0.0,0.00545841288083,84.7254847362
GAPcenA,4.13112201893,7.71963265729,0.00550127178673,85.3907406736
CG43658,0.915318068785,7.28202698424,0.00569007744509,88.3213821027
CG8866,0.0,5.26179279604,0.00571579258186,88.7205324556
CG10188,0.0,6.28962129192,0.00587556329273,91.2004934297
Cngl,8.52419392389,7.90500022609,0.00601141270381,93.3091479885
nAChRbeta2,7.13267174717,9.07135341789,0.00601141270381,93.3091479885
Trx-2,6.58441505976,7.66608608517,0.00601141270381,93.3091479885
bun,10.296480125,9.18614962448,0.00601141270381,93.3091479885
Pa1,0.0,7.71548521213,0.0064436900087,100.018956315
CG8243,7.59221635206,0.0,0.0064436900087,100.018956315
CG5059,3.88726394121,0.0,0.00663282670479,102.954736112
NFAT,0.0,0.926394942961,0.00663282670479,102.954736112
scat,0.0,6.23332586034,0.00663282670479,102.954736112
Mpc1,3.03681737023,7.88263194184,0.00670625474974,104.094486225
CG17684,0.0,6.61908452795,0.00674805680549,104.743337735
CG4596,6.33830047876,8.53622761782,0.00686066545951,106.491249262
RhoGAP100F,6.76177672918,0.0,0.00692625716683,107.509363743
CG13850,0.0,8.18114230317,0.00692625716683,107.509363743
CG31550,0.90393559763,7.54052579322,0.00692625716683,107.509363743
CG9601,6.50737343604,0.0,0.00696973433282,108.184216314
chrb,8.57143687348,7.04090383464,0.00702709940089,109.074636901
jeb,5.47372130259,6.90051539424,0.00705850305669,109.562084446
Hrb98DE,8.9625954382,8.05189508914,0.00706898472796,109.724780947
TER94,9.34424426599,8.43602316462,0.00706898472796,109.724780947
stau,6.39585009007,0.91693135551,0.00732347214775,113.674934677
CG15202,6.30217247925,0.0,0.00761334768996,118.174382844
Irp-1A,7.998416647,0.0,0.00770143730756,119.541709888
stv,0.0,6.26064996598,0.00781736611063,121.341156769
DIP-theta,0.0,4.7297459707,0.00781736611063,121.341156769
Fur1,6.53508585438,0.58701185739,0.00787960493564,122.307227811
CG16812,5.11892997473,0.0,0.00802528727053,124.568509013
CG4558,7.94730505352,0.0,0.00805893116142,125.090729488
CG16758,9.04672918988,10.0376701534,0.0081700454027,126.815444741
l(3)76BDm,0.0,0.0,0.00823657790279,127.848162207
Fhos,0.0,0.0,0.00823657790279,127.848162207
CG9650,0.0,0.0,0.00823657790279,127.848162207
rig,0.0,0.0,0.00823657790279,127.848162207
Uhg5,0.0,0.0,0.00823657790279,127.848162207
CG10874,0.0,0.0,0.00823657790279,127.848162207
CR45190,0.0,0.0,0.00823657790279,127.848162207
CG10384,0.0,0.0,0.00823657790279,127.848162207
ssp,0.0,0.0,0.00823657790279,127.848162207
DNApol-iota,0.0,0.0,0.00823657790279,127.848162207
CR44445,0.0,0.0,0.00823657790279,127.848162207
twz,0.0,0.0,0.00823657790279,127.848162207
MTA1-like,0.0,0.0,0.00823657790279,127.848162207
CG30463,0.0,0.0,0.00823657790279,127.848162207
CG30271,0.0,0.0,0.00823657790279,127.848162207
bys,0.0,0.0,0.00823657790279,127.848162207
CG11788,0.0,0.0,0.00823657790279,127.848162207
E(Pc),0.0,0.0,0.00823657790279,127.848162207
Csk,0.0,5.36001780556,0.0082400050643,127.901358608
CG10631,4.85297860587,0.0,0.0082400050643,127.901358608
AnxB10,7.3437738908,8.58800766645,0.00824041168623,127.907670194
nAChRalpha3,6.8968116295,8.18011498042,0.00828746337493,128.638006506
ST6Gal,11.0579554349,10.1441627397,0.00828746337493,128.638006506
ND-15,8.59341469793,9.1850690707,0.00828746337493,128.638006506
TBC1D16,9.20299206863,8.26449099718,0.00828746337493,128.638006506
tty,1.19980684413,8.45265840314,0.0089600468541,139.077847269
fabp,6.65029340082,2.02809108805,0.0089600468541,139.077847269
chic,6.74867467133,0.0,0.00896604537191,139.170956263
Spp,0.0,6.36681859222,0.00914149983987,141.894360514
swi2,1.9005552145,0.0,0.00914149983987,141.894360514
beta3GalTII,6.80803769678,0.0,0.00922543868928,143.197259335
CG2025,0.0,2.89098312932,0.00931456777471,144.580720999
mCD8-GFP,12.1405840777,9.82921466882,0.00963401099964,149.539118736
Tsp66E,10.4606069675,10.8904009985,0.0096866596658,150.356331332
Dscam4,8.82169759559,6.0325278219,0.0096866596658,150.356331332
CG34370,8.72031035753,7.53652952875,0.0096866596658,150.356331332
Ssrp,4.77038606978,0.0,0.00970929361144,150.707655437
twin,7.90613992673,0.0,0.00971815874941,150.845260108
CG2931,0.791605156995,0.0,0.00974606052132,151.278351412
CG6621,2.72843117245,0.0,0.00974606052132,151.278351412
CG14411,0.0,3.62212636287,0.00974606052132,151.278351412
Dgk,0.0,3.27594960954,0.00974606052132,151.278351412
CG33774,3.63088430609,0.0,0.0103424167488,160.534992776
Cdc27,5.73832415665,0.0,0.010812027636,167.824292966
Task6,7.67406039098,5.44023353545,0.010995767115,170.676297159
Clic,7.99158270574,7.23771977601,0.010995767115,170.676297159
Mad1,3.94967598549,0.0,0.0110568859277,171.62498337
qkr58E-2,8.2146403754,7.06578282854,0.0111415444563,172.939053051
CG6184,8.85974751271,7.01108841314,0.0112733508526,174.984951934
7B2,10.3002572148,9.65274770461,0.0112880312616,175.212821242
14-3-3epsilon,10.5628497369,10.1005407628,0.0112880312616,175.212821242
CG1317,6.29101743555,7.87926491079,0.0112880312616,175.212821242
inc,9.47020072404,10.1828418659,0.0112880312616,175.212821242
nAChRbeta1,10.8218512022,11.261216021,0.0112880312616,175.212821242
UQCR-C2,10.9434981248,11.255270615,0.0112880312616,175.212821242
brp,9.15207103563,8.1173400598,0.0112880312616,175.212821242
CG5214,10.0573189416,10.8156964904,0.0112880312616,175.212821242
Sin,0.0,1.76642535121,0.0115984223418,180.030711589
Usp16-45,0.0,4.30097302119,0.0115984223418,180.030711589
Coq2,2.58003533734,0.0,0.0115984223418,180.030711589
CG7510,2.68160194791,6.37888807048,0.0116342743551,180.58720654
aPKC,3.27517649517,6.88142833745,0.0116342743551,180.58720654
CG5003,0.0,0.88916013371,0.011783775848,182.907768713
woc,0.0,0.48069795851,0.011783775848,182.907768713
Pdp,7.99263723041,5.90755029027,0.0120172595735,186.531903099
CG34191,5.68258228861,2.18231438713,0.0122129533629,189.569462099
Ten-m,7.36945972157,4.6777397385,0.0122129533629,189.569462099
CG8009,6.73630248192,0.0,0.0127422475789,197.785166919
cdc14,0.0,4.22956390517,0.0127422475789,197.785166919
Eip63E,4.68455450664,1.22272389755,0.0127900973043,198.527890357
dpr6,7.19778889683,8.51295621548,0.0127900973043,198.527890357
rdgA,6.65835905185,5.41393068757,0.0130495525571,202.555154792
CG11601,4.79112082744,0.0,0.0130760452557,202.966374459
Mcr,0.0,3.6209853279,0.013084786887,203.10206206
sw,6.36394791225,4.96953190189,0.0130983982427,203.313337523
Rbcn-3A,6.42267208165,7.81842342518,0.0130983982427,203.313337523
Hsc70-3,8.74263614972,7.62569415394,0.0131146939174,203.566278986
bic,6.11281204378,8.49685460413,0.0131146939174,203.566278986
Taf12,6.59389506568,8.00606380167,0.0131146939174,203.566278986
UGP,0.0,7.1218789446,0.013304503679,206.512506106
CG10713,6.97441930816,0.0,0.0133466716311,207.167037058
POSH,0.0,0.960564831045,0.0141814401924,220.124314667
mRpL38,7.98830981484,4.50341705349,0.0148323523275,230.227772827
dpr13,0.0,6.09214247969,0.0149637184723,232.266838127
mRpL35,6.58460787285,4.67550816416,0.0150115469035,233.009231036
Ggamma30A,8.84410660372,7.85185064961,0.0151914109883,235.80108136
ND-ASHI,8.48601038765,9.23482530337,0.0151914109883,235.80108136
RpL31,6.07956894984,6.95690333626,0.0151914109883,235.80108136
SdhD,9.64456719671,8.95203896256,0.0151914109883,235.80108136
levy,9.97359170121,10.3345543383,0.0151914109883,235.80108136
CG8336,0.0,6.91472208903,0.0152110271534,236.105563475
CG7028,0.0,4.0034881357,0.015490861509,240.449152343
Gr28b,6.28779567849,0.0,0.015490861509,240.449152343
Hmt4-20,2.08351506539,0.0,0.015490861509,240.449152343
CR12842,5.86423979206,0.0,0.0155706873687,241.688209337
AP-1mu,8.12010629766,4.19708624359,0.0156735875468,243.285425902
RpS10b,3.06369854887,7.01393974998,0.0164434596991,255.235381449
DCTN4-p62,8.12560653592,0.0,0.0166439694144,258.34769325
Dscam3,0.0,6.2641806311,0.0166439694144,258.34769325
thoc7,7.56862903566,5.00875268855,0.0168539850237,261.607555538
CG2918,5.94107701273,8.10082761675,0.0168539850237,261.607555538
Tango14,0.0,0.63776590521,0.0169881050876,263.68936717
CG10616,0.0,1.90403338171,0.0169881050876,263.68936717
CG32075,0.0,3.11753031688,0.0169881050876,263.68936717
Arp10,0.719318733165,0.0,0.0169881050876,263.68936717
conu,6.90816026971,3.20360905125,0.0171489874888,266.186583801
RpL24-like,7.60352373013,6.79614933597,0.0175247198723,272.018701858
NKAIN,7.96157603703,9.1223363538,0.017544558047,272.326630006
Nhe3,8.84074098111,7.5199332685,0.017544558047,272.326630006
Gbeta13F,10.6938341803,10.2123181536,0.017544558047,272.326630006
Syt4,9.06063490396,9.84923422556,0.017544558047,272.326630006
lace,0.444663920862,6.52756906629,0.0176348348428,273.72790643
CG4404,0.0,7.52996069368,0.0176348348428,273.72790643
CG3803,0.0,7.09290320645,0.0176348348428,273.72790643
vap,0.0,6.48600847206,0.0179809847018,279.100844541
Hmg-2,3.6389710803,0.0,0.0182672287128,283.54392408
CG10413,4.02759599118,0.0,0.0182672287128,283.54392408
CG17807,0.0,0.0,0.0183437214739,284.731244718
CG12056,0.0,0.0,0.0183437214739,284.731244718
Lig4,0.0,0.0,0.0183437214739,284.731244718
GluRIIE,0.0,0.0,0.0183437214739,284.731244718
Srp68,0.0,0.0,0.0183437214739,284.731244718
CG15098,0.0,0.0,0.0183437214739,284.731244718
18SrRNA-Psi:CR41602,0.0,0.0,0.0183437214739,284.731244718
IntS14,0.0,0.0,0.0183437214739,284.731244718
CG1738,0.0,0.0,0.0183437214739,284.731244718
CG14995,0.0,0.0,0.0183437214739,284.731244718
Src64B,0.0,0.0,0.0183437214739,284.731244718
hay,0.0,0.0,0.0183437214739,284.731244718
Nipped-A,0.0,0.0,0.0183437214739,284.731244718
CG15385,0.0,0.0,0.0183437214739,284.731244718
Shroom,0.0,0.0,0.0183437214739,284.731244718
Upf3,0.0,0.0,0.0183437214739,284.731244718
eIF-2alpha,0.0,0.0,0.0183437214739,284.731244718
CG6950,0.0,0.0,0.0183437214739,284.731244718
CG6006,0.0,0.0,0.0183437214739,284.731244718
Torsin,0.0,0.0,0.0183437214739,284.731244718
CG7156,0.0,0.0,0.0183437214739,284.731244718
ena,0.0,0.0,0.0183437214739,284.731244718
CR44027,0.0,0.0,0.0183437214739,284.731244718
CG10444,0.0,0.0,0.0183437214739,284.731244718
CG31251,0.0,0.0,0.0183437214739,284.731244718
DNApol-delta,0.0,0.0,0.0183437214739,284.731244718
Gmer,0.0,0.0,0.0183437214739,284.731244718
CG10050,0.0,0.0,0.0183437214739,284.731244718
CG3909,0.0,0.0,0.0183437214739,284.731244718
CG7806,0.0,0.0,0.0183437214739,284.731244718
CG43861,0.0,0.0,0.0183437214739,284.731244718
Xpd,0.0,0.0,0.0183437214739,284.731244718
CG31441,0.0,0.0,0.0183437214739,284.731244718
CG11123,0.0,0.0,0.0183437214739,284.731244718
lili,0.0,0.0,0.0183437214739,284.731244718
Crtc,0.0,0.0,0.0183437214739,284.731244718
CG7049,0.0,0.0,0.0183437214739,284.731244718
HtrA2,0.0,0.0,0.0183437214739,284.731244718
Ced-12,0.0,0.0,0.0183437214739,284.731244718
CG2147,0.0,0.0,0.0183437214739,284.731244718
Rpb5,0.0,0.0,0.0183437214739,284.731244718
pgant3,0.0,0.0,0.0183437214739,284.731244718
CG6479,0.0,0.0,0.0183437214739,284.731244718
plx,3.88236133762,0.446020708581,0.0183953892003,285.533231167
CR42491,5.13358092184,0.490381504102,0.0183953892003,285.533231167
Der-1,0.421643145623,7.25291941347,0.0183953892003,285.533231167
CG1161,8.05052079023,8.84065901363,0.018812675844,292.01035445
CG12125,2.00061181194,7.61485000783,0.018992798814,294.806223191
l(3)02640,0.0,7.03621881719,0.019348477992,300.327075393
Grasp65,7.6085945406,0.0,0.0193720357289,300.692738584
Gie,7.22487863711,7.95465779028,0.0201803045546,313.238687296
Arl4,7.82787219011,8.81049801267,0.0202020597941,313.576372124
Syngr,6.12834840886,4.70918134217,0.0202020597941,313.576372124
MESK2,10.2613513028,10.8252654517,0.0202020597941,313.576372124
ATPsynF,10.1837488721,10.4508831756,0.0202020597941,313.576372124
MRE16,7.721532247,8.23593606961,0.0202020597941,313.576372124
msn,1.07026691518,0.0,0.020256616798,314.423205939
Ddr,5.87050786758,0.0,0.0203808484123,316.351529055
MED26,0.445835460815,7.70568695064,0.0203808484123,316.351529055
